aba	阿巴	Aba	abaA
dilei	地雷	Landmine	dileiL
dilei	滴泪	Drop tears	dileiD
dili	地理	Geography	diliG
dili	地里	In the fields	diliI
dili	地利	Favorable location	diliF
dili	嘀哩	Didi-li	diliD
dili	地力	Soil Fertility	diliS
dili	底里	Bottom	diliB
dili	砥砺	Perseverance	diliP
dilian	低廉	Cheap	dilianC
diliang	地量	Ground measurement	diliangG
diliao	底料	Base material	diliaoB
dilie	低劣	inferior quality	diliei
diling	低龄	Low-age	dilingL
diling	低领	Crew neck	dilingC
diling	帝陵	Imperial Tomb	dilingI
diliu	第六	Sixth	diliuS
dilong	地龙	Dragon	dilongD
dilou	滴漏	Leak	dilouL
dilou	敌楼	Fortress	dilouF
dilun	涤纶	Polyester	dilunP
diluo	低落	Depressed	diluoD
dimai	地脉	Earth vein	dimaiE
diman	地幔	The mantle of the earth	dimanT
dimao	地貌	Topography	dimaoT
dimei	弟妹	younger brother's wife	dimeiy
dimei	低眉	Lowered eyebrows	dimeiL
dimi	低迷	Downturn	dimiD
dimian	地面	Ground	dimianG
dimian	底面	Bottom	dimianB
diming	地名	Place name	dimingP
dimo	地膜	Soil crust	dimoS
dimu	地亩	Mu	dimuM
dimu	蒂姆	Tim	dimuT
dimu	地母	Earth Mother	dimuE
dina	蒂娜	Tina	dinaT
dineng	低能	Low power	dinengL
dingan	定案	Final Decision	dinganF
dingban	钉板	Nail board	dingbanN
dingbiao	定标	Calibration	dingbiaoC
dingbu	顶部	Top	dingbuT
dingcan	订餐	Ordering	dingcanO
dingceng	顶层	Layer	dingcengL
dingchang	定长	Determine length	dingchangD
dingchou	丁丑	Ding Chou	dingchouD
dingchui	钉锤	Nail hammer	dingchuiN
dingchun	丁醇	Butanol	dingchunB
dingdan	订单	Order	dingdanO
dingdang	叮当	Ding-dong	dingdangD
dingdian	顶点	Vertex	dingdianV
dingdian	定点	Specifically	dingdianS
dingding	丁丁	Dummy	dingdingDu
dingding	叮叮	Ding-dong	dingdingDi
dingding	定鼎	Establishing a Firm Foundation	dingdingE
dingdu	定都	Capital City	dingduC
dingduan	顶端	Top	dingduanT
dingduo	顶多	At most	dingduoA
dinge	定额	Quota	dingeQ
dingfang	盯防	Vigilance	dingfangV
dingfeng	顶峰	Summit	dingfengS
dinggao	定稿	Final draft	dinggaoF
dingge	定格	Freeze	dinggeF
dingge	定个	Set up	dinggeS
dingge	顶个	To endure	dinggeT
dinggou	订购	Order	dinggouO
dingguan	顶管	Top pipe	dingguanT
dinggui	定规	Rules	dingguiR
dinghai	定海	Stabilize the Sea	dinghaiS
dinghao	定好	Finished	dinghaoF
dinghao	订好	Bound properly	dinghaoB
dinghui	定慧	Fixed and Wisdom	dinghuiF
dinghun	订婚	Engage	dinghunE
dingji	顶级	Top-level	dingjiT
dingji	丁基	Butyl	dingjiB
dingjia	定价	Set price	dingjiaS
dingjian	顶尖	Top	dingjianT
dingjiao	顶角	Vertex angle	dingjiaoV
dingjin	订金	Deposit	dingjinD
dingjin	定金	Deposit	dingjinD
dingjing	定睛	To stare	dingjingT
dingju	定居	Settle down	dingjuS
dingju	定局	Foregone	dingjuFo
dingju	定距	Fixed distance	dingjuFi
dingkou	丁口	Ding Kou	dingkouD
dingli	订立	Establish	dingliE
dingli	定理	Theorem	dingliT
dingli	定力	Steadfastness	dingliS
dingli	鼎力	Wholehearted support	dingliW
dingli	定例	Regulations	dingliR
dingliang	定量	Quantitative	dingliangQ
dinglou	顶楼	Top floor	dinglouT
dinglun	定论	Conclusion	dinglunC
dingluo	钉螺	Shipworm	dingluoS
dinglv	定律	Law	dinglvL
dingmao	钉帽	Nail cap	dingmaoN
dingmen	顶门	Top of the family	dingmenT
dingming	定名	Naming	dingmingN
dingmou	丁某	Mr. Ding	dingmouM
dingning	叮咛	Detailed instructions	dingningD
dingpa	钉耙	Crowbar	dingpaC
dingpeng	顶棚	Roof	dingpengR
dingpiao	订票	To issue tickets	dingpiaoT
dingping	定评	Official judgment	dingpingO
dingqi	定期	Regularly	dingqiR
dingqin	定亲	Marriage	dingqinM
dingqing	定情	Romantic	dingqingR
dingque	丁炔	Butyne	dingqueB
dingran	定然	Dingran (Certainly	dingranD
dingren	盯人	Mark	dingrenM
dingshang	顶上	Top	dingshangT
dingshen	定神	To calm one's mind	dingshenT
dingsheng	鼎盛	Flourishing	dingshengF
dingshi	定时	Timed	dingshiT
dingshi	定式	Formula	dingshiFo
dingshi	定势	Established Position	dingshiE
dingshi	顶事	Useful	dingshiU
dingshi	定食	Fixed Meal	dingshiFi
dingshu	订书	Binding books	dingshuB
dingsuan	丁酸	Butyric acid	dingsuanB
dingtao	定陶	Dingtao	dingtaoD
dingtian	顶天	To Reach the Sky	dingtianT
dingwan	丁烷	Butane	dingwanB
dingwei	定位	Locate	dingweiL
dingwei	定为	Designate as	dingweiDe
dingwei	丁未	Ding Wei	dingweiDi
dingxi	定息	Fixed interest	dingxiF
dingxi	丁烯	Butene	dingxiB
dingxi	定西	Dingxi	dingxiD
dingxia	定下	Decided	dingxiaD
dingxian	定弦	Tuning	dingxianT
dingxiang	定向	Directional	dingxiangD
dingxiang	丁香	Cloves	dingxiangC
dingxie	钉鞋	Nail shoe	dingxieN
dingxin	鼎新	Reform	dingxinR
dingxing	定性	To determine	dingxingT
dingxing	定型	Maturation	dingxingM
dingya	顶芽	Terminal bud	dingyaT
dingyao	定要	Certainly	dingyaoC
dingyao	叮咬	Reminder	dingyaoR
dingyao	定窑	Jingdezhen Kiln	dingyaoJ
dingyi	定义	Definition	dingyiD
dingyin	定音	Tuning	dingyinT
dingyu	定于	Set at	dingyuS
dingyu	定语	Phrase	dingyuP
dingyue	订阅	Subscription	dingyueS
dingyue	订约	Contract	dingyueC
dingze	定则	Rule	dingzeR
dingzhen	顶针	Thimble	dingzhenT
dingzheng	订正	Correct	dingzhengC
dingzhi	定制	Custom	dingzhiC
dingzhi	定值	Fixed value	dingzhiFix
dingzhi	丁酯	Butyl ester	dingzhiB
dingzhi	鼎峙	Firmly established	dingzhiFir
dingzhou	定州	Dingzhou	dingzhouD
dingzhu	叮嘱	Urge	dingzhuU
dingzhu	盯住	To stare at	dingzhuTo s
dingzhu	顶住	To hold on	dingzhuTo h
dingzhun	定准	Fixed Standard	dingzhunF
dingzi	钉子	Nail	dingziN
dingzi	丁字	Right-angle	dingziR
dingzi	顶子	A type of traditional Chinese musical instrument	dingziA
dingzi	锭子	Ingot	dingziI
dingzi	定子	Permanent magnet	dingziP
dingzui	定罪	Convict	dingzuiC
dingzui	顶嘴	To argue	dingzuiT
dingzuo	定做	Custom-make	dingzuoC
dinuo	蒂诺	Tino	dinuoT
dipan	地盘	Territory	dipanT
dipan	底盘	Chassis	dipanC
dipi	地皮	Lot	dipiL
dipian	底片	Negative film	dipianN
dipin	低频	Low frequency	dipinL
diping	低平	Low and flat	dipingL
diping	滴瓶	Dropper bottle	dipingD
dipu	地铺	Mat	dipuM
diqi	底气	Confidence	diqiC
diqi	第七	Seventh	diqiS
diqi	地契	Land deed	diqiL
diqi	低泣	To weep softly	diqiT
diqiao	地壳	Crust	diqiaoC
diqin	嫡亲	Close relative	diqinC
diqing	敌情	Enemy situation	diqingE
diqiu	地球	Earth	diqiuE
diqiu	敌酋	Leading Enemy	diqiuL
diqu	地区	Region	diquR
dique	的确	Really	diqueR
diqun	敌群	Enemy group	diqunE
dire	地热	Geothermal energy	direG
diren	敌人	Enemy	direnE
diru	滴入	To drip into	diruT
disan	第三	Third	disanT
dise	底色	Background	diseB
dishang	地上	On the ground	dishangOn the g
dishang	堤上	On the embankment	dishangOn the e
disheng	低声	Softly	dishengSof
disheng	笛声	Sound of the flute	dishengSou
dishi	第十	Tenth	dishiTen
dishi	地势	Terrain	dishiTer
dishi	地市	Earth city	dishiE
dishi	的士	Taxi	dishiTa
dishi	敌视	To despise	dishiTo
dishi	低湿	Damp	dishiD
dishi	帝室	Imperial family	dishiI
dishou	敌手	Enemy	dishouE
dishou	低手	Low hand	dishouLow 
dishou	低首	Lowering one's head	dishouLowe
dishu	底数	Base	dishuB
dishu	地书	Earth script	dishuE
dishua	地刷	Floor broom	dishuaF
dishui	地税	Land Tax	dishuiLa
dishui	滴水	Drizzle	dishuiD
dishui	低水	Low water level	dishuiLo
disi	第四	Fourth	disiF
disi	蒂斯	Chinese:  Tiss	disiC
disong	递送	Delivery	disongD
disu	低速	Low speed	disuL
disu	低俗	Vulgar	disuV
ditan	地毯	Carpet	ditanC
ditan	低碳	Low-carbon	ditanL
ditan	地坛	Temple of Heaven	ditanT
ditang	低糖	Low-sugar	ditangL
ditie	地铁	Subway	ditieS
diting	谛听	To listen attentively	ditingT
ditou	低头	Bow one's head	ditouB
ditou	地头	Head (of a table	ditouH
ditu	地图	Map	dituM
ditu	底图	Base map	dituB
ditu	底土	Subsoil	dituS
ditui	递推	Regression	dituiR
diudiao	丢掉	Throw away	diudiaoT
diukai	丢开	To discard	diukaiT
diulian	丢脸	Lose face	diulianL
diuqi	丢弃	Discard	diuqiD
diuqiu	丢球	Missed Ball	diuqiuM
diuren	丢人	Embarrass	diurenE
diushi	丢失	Lose	diushiL
diuxia	丢下	To abandon	diuxiaT
diwa	低洼	Low-lying	diwaL
diwai	地外	Extraterrestrial	diwaiE
diwai	堤外	Outside the embankment	diwaiO
diwang	帝王	Emperor	diwangE
diwang	地王	Dizenguo (literally "earth king	diwangD
diwei	地位	Status	diweiS
diwei	低微	Humble	diweiH
diwei	低位	Low bit	diweiLow b
diwei	帝位	Imperial Throne	diweiI
diwei	低纬	Low latitude	diweiLow l
diwei	地委	Provincial Committee	diweiP
diwen	低温	Low temperature	diwenL
diwen	地温	Ground temperature	diwenG
diwo	敌我	Enemy and ourselves	diwoE
diwu	第五	Fifth	diwuF
dixi	底细	Details	dixiD
dixi	嫡系	Tiexi	dixiT
dixia	地下	Underground	dixiaU
dixia	底下	Below	dixiaB
dixia	低下	Low	dixiaL
dixian	底线	Bottom line	dixianB
dixian	低限	Lower limit	dixianL
dixiang	帝乡	The imperial capital	dixiangT
dixiang	滴向	Drip towards	dixiangD
dixiao	抵消	Offset	dixiaoO
dixiao	低效	Inefficient	dixiaoI
dixie	滴血	Drop blood	dixieD
dixin	地心	Core of the Earth	dixinC
dixing	地形	Terrain	dixingT
dixing	地星	Earth star	dixingE
dixiong	弟兄	Brother	dixiongB
dixue	地穴	Cave	dixueC
dixue	地学	Learning on the ground	dixueL
diya	抵押	Mortgage	diyaM
diya	低压	Low Voltage	diyaL
diya	地压	Press down	diyaP
diyang	低氧	Low Oxygen	diyangL
diyang	底样	Sample	diyangS
diye	帝业	Imperial affairs	diyeI
diyi	第一	First	diyiF
diyi	敌意	Enmity	diyiE
diyi	地衣	Lichen	diyiL
diyin	低音	Bass	diyinB
diyin	低吟	Low murmur	diyinL
diyin	笛音	Dizi sound	diyinD
diyou	敌友	Enemy and allies	diyouE
diyu	低于	Lower than	diyuL
diyu	地域	Region	diyuReg
diyu	地狱	Hell	diyuH
diyu	抵御	Resist	diyuRes
diyu	低语	Whispers	diyuW
diyuan	地缘	Geopolitical	diyuanG
diyue	缔约	Contracting	diyueC
diyun	底蕴	Inside information	diyunI
diyun	低云	Low clouds	diyunL
dizai	抵在	To brace against	dizaiT
dizao	缔造	To create	dizaoT
dizeng	递增	To increase	dizengT
dizhai	抵债	To offset debts	dizhaiT
dizhai	第宅	Residence	dizhaiR
dizhe	低者	Low-level	dizheL
dizhen	地震	Earthquake	dizhenEa
dizhen	敌阵	Enemy formation	dizhenEn
dizhi	地址	Address	dizhiA
dizhi	地质	Geology	dizhiG
dizhi	抵制	Boycott	dizhiB
dizhi	地支	Earthly branches	dizhiE
dizhi	帝制	Imperial system	dizhiI
dizhi	低值	Low value	dizhiL
dizhou	地轴	Earth axis	dizhouE
dizhu	地主	Landowner	dizhuL
dizhu	抵住	Resist	dizhuR
dizhuan	地砖	Floor Tile	dizhuanF
dizi	弟子	Disciple	diziD
dizi	笛子	Flute	diziFl
dizi	底子	Foundation	diziFo
dizu	地租	Land Rent	dizuL
dizuo	底座	Base	dizuoB
dongan	东岸	East bank	donganE
dongao	冬奥	Winter Olympics	dongaoW
dongbei	东北	Northeast	dongbeiN
dongbi	动笔	To begin writing	dongbiT
dongbian	东边	East	dongbianE
dongbin	动宾	Active Verb-Object	dongbinA
dongbu	东部	East	dongbuE
dongce	东侧	East side	dongceE
dongcha	洞察	Insight	dongchaI
dongchan	动产	Movable property	dongchanM
dongchang	东厂	Dongchang	dongchangD
dongche	动车	Train	dongcheT
dongche	洞彻	Insightful	dongcheI
dongcheng	东城	East City	dongchengE
dongcheng	冻成	Frozen into	dongchengF
dongchong	冬虫	Winter Cherries	dongchongW
dongchuang	冻疮	Frostbite	dongchuangF
dongchun	冬春	Winter-spring	dongchunW
dongci	动词	Verb	dongciV
dongda	洞达	Insightful	dongdaI
dongdan	东单	Eastern Monks	dongdanE
dongdang	动荡	Turbulent	dongdangT
dongdao	东到	Eastward	dongdaoE
dongdao	动刀	Cutting tool	dongdaoC
dongde	懂得	Understand	dongdeU
dongde	冻得	Frozen	dongdeF
dongde	东德	East Germany	dongdeE
dongdian	动点	Moving point	dongdianM
dongding	洞顶	Cave roof	dongdingC
dongdong	东东	Dongdong	dongdongD
dongdong	咚咚	Knock knock	dongdongK
dongdong	动动	A slight movement	dongdongA
dongdong	洞洞	Hole	dongdongH
dongdu	东渡	To migrate east	dongduT
dongduan	东段	Eastern section	dongduanEaste
dongduan	东端	East end	dongduanEast 
donge	东阿	Dong'e	dongeD
donge	冻饿	Frozen and starving	dongeF
dongfang	东方	East	dongfangE
dongfei	东非	East Africa	dongfeiE
dongfeng	东风	East Wind	dongfengE
dongfu	洞府	Noble Residence	dongfuN
donggan	动感	Dynamic	dongganD
donggong	动工	Start construction	donggongS
donggong	东宫	Eastern Palace	donggongE
donggong	冬宫	Winter Palace	donggongW
donggou	东沟	East Canal	donggouE
dongguan	东莞	Dongguan	dongguanD
dongguan	东关	East Gate	dongguanE
dongguo	东郭	Hut	dongguoH
donghai	东海	East Sea	donghaiE
donghan	东汉	Eastern Han Dynasty	donghanE
donghan	冬寒	Winter cold	donghanW
donghe	恫吓	Intimidate	dongheI
donghe	东河	East River	dongheE
donghu	东湖	East Lake	donghuE
donghua	动画	Animation	donghuaA
donghuai	冻坏	Frozen damage	donghuaiF
dongji	冬季	Winter	dongjiW
dongji	动机	Motivation	dongjiM
dongjia	东家	House	dongjiaH
dongjian	洞见	Insight	dongjianI
dongjiang	冻僵	Frozen stiff	dongjiangF
dongjiang	东疆	Eastern Xinjiang	dongjiangE
dongjiang	东江	Dongjiang	dongjiangD
dongjie	冻结	Freeze	dongjieF
dongjin	东晋	Eastern Jin Dynasty	dongjinE
dongjin	东进	Advance Eastward	dongjinA
dongjing	动静	Movement	dongjingM
dongjing	东京	Tokyo	dongjingT
dongjing	东经	Longitude	dongjingL
dongjiu	东九	Dongjiu	dongjiuD
dongjue	动觉	Kinesthetic	dongjueK
dongjun	东君	Dongjun	dongjunD
dongkong	洞孔	Hole	dongkongH
dongkou	洞口	Mouth of the cave	dongkouM
dongkou	动口	To speak	dongkouT
dongku	洞窟	Cave	dongkuCave
dongku	洞库	Cave storage	dongkuCave 
donglai	东来	From the East	donglaiF
donglai	东莱	Donglai	donglaiD
dongli	动力	Power	dongliP
dongli	洞里	Dòng lǐ	dongliD
dongli	东篱	Beside the eastern fence	dongliB
dongliang	栋梁	Pillar	dongliangP
dongliang	动量	Momentum	dongliangM
dongliao	东辽	Dong Liao	dongliaoD
donglie	冻裂	Frozen and cracked	donglieF
donglin	东临	Facing east	donglinF
dongliu	东流	Dongliu	dongliuD
donglu	东路	Eastern Route	dongluE
donglu	东麓	Donglu	dongluD
dongluan	动乱	Uproar	dongluanU
donglun	动轮	Moving wheel	donglunM
dongmai	动脉	Artery	dongmaiA
dongman	动漫	Anime	dongmanA
dongmen	东门	East gate	dongmenE
dongmeng	东盟	Asean	dongmengA
dongmian	东面	East	dongmianE
dongmian	冬眠	Hibernation	dongmianH
dongnan	东南	Southeast	dongnanS
dongnao	动脑	To think hard	dongnaoT
dongnei	冻馁	Suffering from cold and hunger	dongneiS
dongneng	动能	Kinetic energy	dongnengK
dongou	东欧	Eastern Europe	dongouE
dongping	东平	Dongping	dongpingD
dongpo	东坡	Dongpo (Refers to Su Shi	dongpoD
dongpu	东浦	Dongpu	dongpuD
dongqian	动迁	Forced relocation	dongqianF
dongqing	动情	Moving	dongqingM
dongqing	东青	Eastern Green	dongqingE
dongran	洞然	Intuitive understanding	dongranI
dongren	动人	Touching	dongrenT
dongri	冬日	Winter day	dongriW
dongrong	动容	Moving	dongrongM
dongrou	冻肉	Frozen meat	dongrouF
dongsha	东沙	East Sands	dongshaE
dongshan	东山	Eastern Mountain	dongshanE
dongshang	冻伤	Frostbite	dongshangF
dongshang	洞上	On top of a cave	dongshangO
dongshen	动身	Leave	dongshenL
dongsheng	东升	Rising in the East	dongshengR
dongshi	懂事	Sensible	dongshiS
dongshi	董事	Director	dongshiD
dongshi	东市	Eastern Market	dongshiE
dongshou	动手	Start to work	dongshouS
dongsi	冻死	Freeze to death	dongsiF
dongsi	东四	East Fourth	dongsiE
dongtai	动态	Dynamic	dongtaiD
dongtan	动弹	Move	dongtanM
dongtang	东堂	Dongtang	dongtangD
dongtian	冬天	Winter	dongtianW
dongtian	洞天	Cave heaven	dongtianC
dongting	动听	Pleasant to hear	dongtingP
dongting	洞庭	Dongting Lake	dongtingD
dongtou	东头	Headland	dongtouH
dongtu	冻土	Permafrost	dongtuP
dongtu	东突	Eastern Turks	dongtuEastern Tu
dongtu	东土	Eastern Territory	dongtuEastern Te
dongwai	洞外	Outside the cave	dongwaiO
dongwei	东魏	Eastern Wei	dongweiE
dongwo	动窝	To stir up	dongwoT
dongwu	动物	Animal	dongwuA
dongwu	东吴	Eastern Wu	dongwuE
dongxi	东西	Thing	dongxiT
dongxi	洞悉	Fully aware	dongxiF
dongxia	冬夏	Winter and summer	dongxiaW
dongxian	东线	Eastern Front	dongxianE
dongxiang	动向	Trend	dongxiangT
dongxiang	东向	Facing east	dongxiangF
dongxiang	东乡	Dongxiang	dongxiangD
dongxiao	洞箫	Chinese dizi	dongxiaoC
dongxin	动心	To move	dongxinT
dongxing	东行	Eastward journey	dongxingE
dongxue	洞穴	Cave	dongxueC
dongxue	冬雪	Winter Snow	dongxueW
dongya	东亚	East Asia	dongyaE
dongyang	东洋	East Sea	dongyangE
dongyang	东阳	Dongyang	dongyangD
dongyao	动摇	Shake	dongyaoS
dongyi	动议	Motion	dongyiMot
dongyi	东夷	Barbarian State	dongyiB
dongyi	东移	Move East	dongyiMov
dongyin	动因	Motivation	dongyinM
dongyong	动用	Use	dongyongU
dongyong	冬泳	Winter swimming	dongyongW
dongyu	冬雨	Winter Rain	dongyuW
dongyu	冻雨	Frozen rain	dongyuF
dongyuan	动员	Mobilize	dongyuanM
dongyuan	冻原	Permafrost	dongyuanP
dongyun	董允	Dong Yun	dongyunD
dongzhai	东宅	Dong Zhai	dongzhaiD
dongzhe	动辄	As a matter of course	dongzheA
dongzhe	动着	Moving	dongzheM
dongzheng	东征	Eastern expedition	dongzhengE
dongzhi	冬至	Dongzhi	dongzhiD
dongzhi	东至	Extending to the east	dongzhiE
dongzhou	东周	Eastern Zhou	dongzhouE
dongzhu	冻住	Freeze	dongzhuF
dongzhuang	冬装	Winter clothes	dongzhuangW
dongzhuo	董卓	Dong Zhuo	dongzhuoD
dongzu	侗族	Dong People	dongzuD
dongzui	动嘴	Speak	dongzuiS
dongzuo	动作	Action	dongzuoA
douban	豆瓣	Fermented broad bean paste	doubanF
doucai	斗彩	Measuring with color	doucaiM
douchi	豆豉	Fermented soybean paste	douchiF
douda	斗大	To be ambitious	doudaT
doudao	斗倒	To defeat decisively	doudaoT
doude	逗得	Amused to the point of	doudeA
doudi	兜底	Bottom line	doudiB
doudiao	抖掉	Shake off	doudiaoS
doudong	抖动	Shake	doudongS
doudou	痘痘	Pimples	doudouP
doudou	抖抖	Shake	doudouS
doudu	兜肚	(This is a descriptive term	doudu(
douer	兜儿	Pocket	douerP
doufa	斗法	Fighting with methods	doufaF
doufang	斗方	Chessboard	doufangC
doufu	豆腐	Tofu	doufuT
dougong	斗拱	Bracket joint	dougongB
douhao	逗号	Comma	douhaoC
douhui	都会	Metropolis	douhuiM
douji	斗鸡	Cock fighting	doujiC
doujia	豆荚	Bean pods	doujiaB
doujiang	豆浆	Soymilk	doujiangS
doujiao	豆角	Broad beans	doujiaoB
doujun	陡峻	Steep and rugged	doujunS
douke	豆科	Fabaceae	doukeF
doukou	豆蔻	Anise	doukouA
doule	逗乐	To amuse	douleT
doulei	豆类	Legumes	douleiL
douli	兜里	To have something in one's pocket	douliT
douli	斗笠	Small hat	douliSm
douli	豆粒	Grain	douliG
douli	陡立	Steep and upright	douliSt
douli	斗力	Douluo	douliD
douliu	逗留	Stay	douliuS
douluan	斗乱	Chaotic	douluanC
douluo	抖落	Shake off	douluoS
doumiao	豆苗	Bean sprouts	doumiaoB
doumou	兜鍪	Dragon's Blood	doumouD
douniu	斗牛	Bullfight	douniuB
dounong	逗弄	to tease	dounongt
douou	斗殴	Assault	dououA
doupeng	斗篷	Cloak	doupengC
doupo	陡坡	Steep slope	doupoSt
doupo	豆粕	Soybean Meal	doupoSo
douqiao	陡峭	Steep	douqiaoS
douqu	逗趣	Funny	douquF
douran	陡然	Suddenly	douranS
douren	逗人	Amusing	dourenA
dousha	斗杀	Fight to kill	doushaF
doushou	兜售	Peddle	doushouP
dousou	抖擞	To shake off drowsiness	dousouT
douwo	逗我	To tease me	douwoT
douxiao	逗笑	To make laugh	douxiaoT
douxing	都行	It doesn't matter	douxingI
douxiu	斗宿	Fighting at night	douxiuF
douya	豆芽	Sprouts	douyaSp
douya	陡崖	Steep cliff	douyaSt
douyin	逗引	Lead	douyinL
douyou	豆油	Soybean oil	douyouS
douzheng	斗争	Struggle	douzhengS
douzhi	斗志	Fighting spirit	douzhiF
douzhi	陡直	Steep and Straight	douzhiS
douzhi	斗智	Battle of wits	douzhiB
douzi	豆子	Bean	douziB
douzi	兜子	- Difficult to translate directly	douzi-
duanan	断案	To settle cases	duananT
duanban	短板	Weakness	duanbanW
duanbang	短棒	Short stick	duanbangS
duanbo	短波	Shortwave	duanboS
duanceng	断层	Geologic fault	duancengG
duancha	端茶	Serve tea	duanchaS
duanchang	断肠	Heart-piercing	duanchangH
duanchang	短长	Short and Long	duanchangSh
duanchang	段长	Section leader	duanchangSe
duancheng	短程	Short distance	duanchengSh
duancheng	短秤	Small scale	duanchengSm
duanchi	短池	Short pool	duanchiS
duanchu	短处	Shortcoming	duanchuS
duanchuan	短传	Short message	duanchuanS
duanchui	断炊	To stop cooking	duanchuiT
duancu	短促	Brief	duancuB
duanda	短打	Short-sleeved garment	duandaS
duanda	锻打	Forging	duandaF
duandai	断代	Intergenerational	duandaiI
duandang	断档	To cut off	duandangT
duandao	端到	End-to-end	duandaoE
duandi	短笛	Recorder	duandiR
duandi	端的	Proper	duandiP
duandian	断电	Power failure	duandianP
duandian	断点	Breakpoint	duandianB
duandian	端点	Endpoint	duandianE
duandiao	断掉	Break	duandiaoB
duanding	断定	Conclude	duandingC
duanduan	短短	Short	duanduanS
duanduan	断断	Fragmented	duanduanF
duanduo	短多	Short Multi	duanduoS
duanfa	短发	Short hair	duanfaS
duanfang	端方	Rectified	duanfangR
duange	短歌	Ballad	duangeB
duangong	短工	Temporary labor	duangongT
duangua	短褂	Short jacket	duanguaS
duangun	短棍	Short stick	duangunS
duanhao	短号	Short staff	duanhaoS
duanhe	断喝	Short Command	duanheS
duanhou	断后	Breakpoint	duanhouB
duanhu	断乎	Absolutely	duanhuA
duanhun	断魂	Broken soul	duanhunB
duanjian	锻件	Forged parts	duanjianF
duanjiao	断交	To break off relations	duanjiaoT
duanjie	端接	Connection	duanjieC
duanjie	短接	Short circuit	duanjieS
duanju	短句	Short sentence	duanjuShort s
duanju	短剧	Short drama	duanjuShort d
duanju	断句	Punctuation	duanjuP
duanjue	断绝	Cut off	duanjueC
duankai	断开	Disconnect	duankaiD
duankou	端口	Port	duankouP
duankou	断口	Fracture	duankouF
duanku	短裤	Shorts	duankuS
duanli	端粒	Telomere	duanliT
duanlian	锻炼	Exercise	duanlianE
duanlian	短链	Short chain	duanlianS
duanlie	断裂	Break	duanlieB
duanliu	断流	Broken river	duanliuB
duanlu	短路	Short circuit	duanluS
duanlu	断路	open circuit	duanluo
duanluo	段落	Paragraph	duanluoP
duanma	短码	Short Code	duanmaS
duanmao	短毛	Short-haired	duanmaoS
duanmen	端门	Proper entrance	duanmenP
duanmian	断面	Cross-section	duanmianC
duanmian	端面	End face	duanmianE
duanming	短命	Short-lived	duanmingS
duanmu	端木	End-wood	duanmuE
duannai	断奶	Weaning	duannaiW
duanni	端倪	Details	duanniD
duanpao	短跑	Sprinting	duanpaoS
duanpian	短片	Short film	duanpianShort f
duanpian	短篇	Short Story	duanpianShort S
duanping	端平	Level	duanpingL
duanqi	短期	Short-term	duanqiS
duanqi	端起	Lift up	duanqiL
duanqi	断气	Die	duanqiD
duanqian	短浅	Superficial	duanqianS
duanqiao	断桥	Broken Bridge	duanqiaoB
duanque	短缺	Shortage	duanqueS
duanqun	短裙	Short Skirt	duanqunS
duanran	断然	Determinedly	duanranD
duanshao	煅烧	Calcination	duanshaoC
duanshao	短少	Shortage	duanshaoS
duansheng	短绳	Short rope	duanshengS
duanshi	短诗	Short poems	duanshiS
duanshi	断事	Rash action	duanshiR
duanshou	短寿	Short lifespan	duanshouS
duanshu	椴树	Alfalfa	duanshuA
duansong	断送	Ruin	duansongR
duantong	锻铜	To cast copper	duantongT
duantou	断头	Beheading	duantouB
duantu	短途	Short-distance	duantuS
duantui	短腿	Short-legged	duantuiS
duanwa	短袜	Short socks	duanwaS
duanwei	短尾	Short tail	duanweiS
duanwen	短文	Short essay	duanwenS
duanwu	端午	Dragon Boat Festival	duanwuD
duanxian	短线	Short line	duanxianSh
duanxian	断线	Broken line	duanxianB
duanxian	端线	Serve	duanxianSe
duanxiang	端详	To examine carefully	duanxiangT
duanxiao	短小	Short	duanxiaoS
duanxin	短信	Text message	duanxinT
duanxu	断续	Intermittent	duanxuI
duanya	断崖	Cliff	duanyaC
duanya	锻压	Die forging	duanyaD
duanyan	断言	Assert	duanyanA
duanyan	端砚	Carved Jade Seal	duanyanC
duanyang	端阳	Sun	duanyangS
duanyi	短衣	Short garment	duanyiS
duanyin	断音	Stressed tone	duanyinS
duanyu	短语	Phrase	duanyuP
duanzan	短暂	Short	duanzanS
duanzao	锻造	Forge	duanzaoF
duanzha	锻轧	Cold rolling	duanzhaC
duanzhang	断章	Broken chapters	duanzhangB
duanzhe	断折	Broken and bent	duanzheB
duanzheng	端正	Upright	duanzhengU
duanzhi	锻制	To forge	duanzhiTo f
duanzhi	断指	Severed finger	duanzhiSe
duanzhi	断肢	Amputation	duanzhiA
duanzhi	端直	Straight and Upright	duanzhiSt
duanzhi	断枝	To break off branches	duanzhiTo b
duanzhuang	端庄	Dignified	duanzhuangD
duanzi	缎子	Satin	duanziS
duanzi	端子	Terminal	duanziT
duanzou	断奏	Broken rhythm	duanzouB
duanzuo	端坐	Sit upright	duanzuoS
duba	独霸	Monopoly	dubaM
dubai	独白	Monologue	dubaiM
duban	督办	Supervise	dubanS
dubao	读报	Read newspapers	dubaoR
duben	读本	Basic Text	dubenB
dubi	读毕	Finished reading	dubiF
dubo	赌博	Gamble	duboG
ducai	独裁	Dictatorship	ducaiD
ducao	毒草	Poisonous Plants	ducaoP
ducao	渡槽	Aqueduct	ducaoA
duceng	镀层	Plating	ducengP
