aerbaniya 阿尔巴尼亚
yubujingrensibuxiu 语不惊人死不休
yudiyuguomenzhiwai 御敌于国门之外
yuehanneisibao 约翰内斯堡
yupingdongzuzizhixian 玉屏侗族自治县
yuyuantangongyuan 玉渊潭公园
zhengzhijingjixue 政治经济学
zhengzhixieshanghuiyi 政治协商会议
zhenzhugangshijian 珍珠港事件
zhibuluotuohaixia 直布罗陀海峡
zhideyitideshi 值得一提的是
zhijiaosanjiaoxing 直角三角形
zhiliangjishujianduju 质量技术监督局
zhiqisuoyiran 知其所以然
zhiyuanshenzaicishanzhong 只缘身在此山中
zhonggongzhongyangbangongting 中共中央办公厅
zhonggongzhongyangguowuyuan 中共中央国务院
zhonggongzhongyangzhengfaweiyuanhui 中共中央政法委员会
zhonggongzhongyangzhengzhiju 中共中央政治局
zhongguodizhidaxue 中国地质大学
zhongguogongchandang 中国共产党
zhongguogongchandangzhongyangweiyuanhui 中国共产党中央委员会
zhongguogongchengyuan 中国工程院
zhongguogongnonghongjun 中国工农红军
zhongguoguomindanggemingweiyuanhui 中国国民党革命委员会
zhongguokexueyuan 中国科学院
zhongguokuangyedaxue 中国矿业大学
zhongguolishibowuguan 中国历史博物馆
zhongguomeishuguan 中国美术馆
zhongguominzhucujinhui 中国民主促进会
zhongguominzhujianguohui 中国民主建国会
zhongguominzhutongmeng 中国民主同盟
zhongguononggongminzhudang 中国农工民主党
zhongguonongyedaxue 中国农业大学
zhongguoqingnianbao 中国青年报
zhongguoqingnianchubanshe 中国青年出版社
zhongguorenmindaxue 中国人民大学
zhongguorenminjiefangjun 中国人民解放军
zhongguorenminzhengzhixieshanghuiyi 中国人民政治协商会议
zhongguoshehuikexueyuan 中国社会科学院
zhongguotongmenghui 中国同盟会
zhongguozhengfadaxue 中国政法大学
zhongguozhigongdang 中国致公党
zhonghuaquanguozonggonghui 中华全国总工会
zhonghuarenmingongheguo 中华人民共和国
zhonghuarenmingongheguoguowuyuan 中华人民共和国国务院
zhonghuashijitan 中华世纪坛
zhongrenshichaihuoyangao 众人拾柴火焰高
zhongyangdianshitai 中央电视台
zhongyanggeminggenjudi 中央革命根据地
zhongyangguwenweiyuanhui 中央顾问委员会
zhongyangjunshiweiyuanhui 中央军事委员会
zhongyangminzudaxue 中央民族大学
zhongyangrenminguangbodiantai 中央人民广播电台
zhongyangrenminzhengfu 中央人民政府
zhongyangshangwuqu 中央商务区
zhongyangshujichu 中央书记处
zhongyangweiyuanhui 中央委员会
zhongyangyinyuexueyuan 中央音乐学院
zhongyangzhengzhiju 中央政治局
zhongyangzhengzhijuchangwei 中央政治局常委
zhongyannierliyuxing 忠言逆耳利于行
zhuanshujingjiqu 专属经济区
zhujiangsanjiaozhou 珠江三角洲
zhumenjiurouchou 朱门酒肉臭
zhumulangmafeng 珠穆朗玛峰
zhungaerpendi 准噶尔盆地
zibenmijixing 资本密集型
zidongshouhuoji 自动售货机
zijinshantianwentai 紫金山天文台
ziranbaohuqu 自然保护区
ziranbianzhengfa 自然辩证法
ziyoumaoyiqu 自由贸易区
ziyouzhiyezhe 自由职业者
ziyuanjieyuexing 资源节约型
zuidagongyueshu 最大公约数
zuigaorenminfayuan 最高人民法院
zuigaorenminjianchayuan 最高人民检察院
zuiwengzhiyibuzaijiu 醉翁之意不在酒
zuojiachubanshe 作家出版社
