阿维菌素	aweijunsu
林果	linguo
磷化铝	linhualv
磷化锌	linhuaxin
临界湿度	linjieshidu
淋溶	linrong
林麝	linshe
淋失	linshi
磷酸二氢钾	linsuanerqingjia
磷酸盐	linsuanyan
淋洗	linxi
灵福	lingfu
零假设	lingjiashe
铃兰	linglan
凌霄	lingxiao
铃行法	lingxingfa
铃行试验	lingxingshiyan
流化床干燥	liuhuachuangganzao
六氯苯	liulvben
柳杉	liushan
硫酸铵	liusuanan
硫酸钾	liusuanjia
硫酸铜	liusuantong
硫酸锌	liusuanxin
龙船花	longchuanhua
垄耕	longgeng
龙葵	longkui
龙舌兰	longshelan
龙爪花	longzhaohua
漏播	loubo
蝼蛄	lougu
楼梯栏杆	loutilangan
路单	ludan
露地	ludi
陆地棉	ludimian
陆地生态系统	ludishengtaixitong
陆地卫星	ludiweixing
露地栽培	ludizaipei
芦荟	luhui
芦粟	lusu
露田	lutian
露营车	luyingche
卵寄生物	luanjishengwu
轮毂罩	lunguzhao
轮回亲本	lunhuiqinben
轮回选择	lunhuixuanze
轮式拖拉机	lunshituolaji
轮休地	lunxiudi
轮作	lunzuo
罗布麻	luobuma
罗浮	luofu
落花	luohua
落荚	luojia
落葵	luokui
罗勒	luole
落蕾	luolei
罗望子	luowangzi
落下灰	luoxiahui
裸燕麦	luoyanmai
落叶果树	luoyeguoshu
落叶松	luoyesong
律草	lvcao
氯虫苯甲酰胺	lvchongbenjiaxianan
绿豆	lvdou
绿丰	lvfeng
氯氟氰菊酯	lvfuqingjuzhi
滤光片	lvguangpian
氯化铵	lvhuaan
氯化钾	lvhuajia
绿僵菌	lvjiangjun
驴骡	lvluo
绿色证书	lvsezhengshu
绿洲	lvzhou
马齿苋	machixian
马耳他热	maertare
马蜂橙	mafengcheng
马拉硫磷	malaliulin
麻类	malei
麻类作物	maleizuowu
马蔺	malin
马铃薯	malingshu
马铃薯泥	malingshuni
马铃薯挖掘机	malingshuwajueji
马唐	matang
马蹄	mati
马缨杜鹃	mayingdujuan
马樱花	mayinghua
麦蛾	maie
麦角	maijiao
麦芽	maiya
漫灌	manguan
满江红	manjianghong
曼陀罗	mantuoluo
慢性辐照	manxingfuzhao
慢性伤害	manxingshanghai
芒种	mangzhong
毛虫	maochong
毛管	maoguan
毛管传导度	maoguanchuandaodu
毛管力	maoguanli
毛管上限	maoguanshangxian
毛管势	maoguanshi
毛管水	maoguanshui
毛渠	maoqu
毛樱桃	maoyingtao
镁肥	meifei
酶工程	meigongcheng
玫瑰	meigui
霉菌	meijun
美人蕉	meirenjiao
每枝	meizhi
密度分割	midufenge
密度制约因子	miduzhiyueyinzi
米糠油	mikangyou
秘密会议	mimihuiyi
咪鲜胺	mixianan
面包心	mianbaoxin
面粉处理	mianfenchuli
免耕	miangeng
棉绒	mianrong
棉叶蝉	mianyechan
免疫	mianyi
免疫性	mianyixing
面源	mianyuan
棉籽壳	mianzike
棉籽油	mianziyou
苗龄	miaoling
苗数	miaoshu
灭多威	mieduowei
灭菌	miejun
敏感作物	minganzuowu
民俗学家	minsuxuejia
民族志	minzuzhi
明沟	minggou
明惠帝	minghuidi
抹除	mochu
耱地	modi
磨粉机	mofenji
抹灰工	mohuigong
膜技术	mojishu
茉莉	moli
模拟计算机	monijisuanji
磨砂灯泡	moshadengpao
母本	muben
木菠萝	muboluo
牧场主	muchangzhu
木耳菜	muercai
木槿	mujin
木兰	mulan
木麻黄	mumahuang
木莓	mumei
木虱	mushi
目视判读	mushipandu
木薯	mushu
钼酸铵	musuanan
木条地板	mutiaodiban
木樨	muxi
木香	muxiang
苜蓿	muxu
母羊	muyang
木质部	muzhibu
木质素	muzhisu
纳他霉素	natameisu
耐旱作物	naihanzuowu
耐碱性	naijianxing
耐涝	nailao
奶牛场	nainiuchang
耐热蔬菜	naireshucai
耐热性	nairexing
耐湿	naishi
耐盐作物	naiyanzuowu
耐渍性	naizixing
南美栗鼠	nanmeilishu
南天竹	nantianzhu
内含子	neihanzi
内融合	neironghe
能流物流分析	nengliuwuliufenxi
逆温	niwen
逆转录酶	nizhuanlumei
年降水量	nianjiangshuiliang
年景预报	nianjingyubao
粘菌	nianjun
碾米	nianmi
粘土	niantu
酿酒葡萄	niangjiuputao
鸟巢蕨	niaochaojue
牛轭湖	niuehu
牛肝菌	niuganjun
牛筋草	niujincao
牛毛毡	niumaozhan
农产品	nongchanpin
农产品加工	nongchanpinjiagong
农产品派购	nongchanpinpaigou
农产品商品量	nongchanpinshangpinliang
农产品商品率	nongchanpinshangpinlv
农产品收购	nongchanpinshougou
农产品统购	nongchanpintonggou
农产品议购	nongchanpinyigou
农产品征购	nongchanpinzhenggou
农村雇工	nongcungugong
农村合作经济	nongcunhezuojingji
农村基层	nongcunjiceng
农村经济	nongcunjingji
农村人口	nongcunrenkou
农村人民公社	nongcunrenmingongshe
农村消费	nongcunxiaofei
农村重点户	nongcunzhongdianhu
农村专业户	nongcunzhuanyehu
农工联合企业	nonggonglianheqiye
农机工业	nongjigongye
农家宝	nongjiabao
农家肥	nongjiafei
农渠	nongqu
农事	nongshi
农特产品	nongtechanpin
农田基本建设	nongtianjibenjianshe
农田林网	nongtianlinwang
浓香	nongxiang
农学	nongxue
农学家	nongxuejia
农药化工	nongyaohuagong
农业拨款	nongyebokuan
农业部	nongyebu
农业产业	nongyechanye
农业产业化	nongyechanyehua
农业多种经营	nongyeduozhongjingying
农业工程	nongyegongcheng
农业管理体制	nongyeguanlitizhi
农业害虫	nongyehaichong
农业技术	nongyejishu
农业机械化	nongyejixiehua
农业建筑	nongyejianzhu
农业经济学	nongyejingjixue
农业劳动	nongyelaodong
农业气象学	nongyeqixiangxue
农业企业	nongyeqiye
农业区	nongyequ
农业生态学	nongyeshengtaixue
农业系统	nongyexitong
农业现代化	nongyexiandaihua
农业用地	nongyeyongdi
农业原材料	nongyeyuancailiao
农业综合开发	nongyezonghekaifa
农用工业	nongyonggongye
农用智能仪表	nongyongzhinengyibiao
农作物	nongzuowu
暖棚栽培	nuanpengzaipei
糯稻	nuodao
糯米	nuomi
糯性	nuoxing
女店员	nvdianyuan
欧查果	ouchaguo
排气阀门	paiqifamen
排趋性	paiquxing
排水沟	paishuigou
排序程序	paixuchengxu
判别函数	panbiehanshu
蟠桃	pantao
胚嫁接	peijiajie
佩兰	peilan
培土	peitu
喷粉	penfen
喷灌	penguan
喷雾	penwu
喷雾干燥	penwuganzao
喷雾机	penwuji
喷雾器	penwuqi
膨化	penghua
硼镁肥	pengmeifei
硼砂	pengsha
啤酒花	pijiuhua
皮棉	pimian
枇杷	pipa
偏回归	pianhuigui
瓢虫	piaochong
频数分布	pinshuofenbu
品质育种	pinzhiyuzhong
品种纯度	pinzhongchundu
品种登记	pinzhongdengji
品种间	pinzhongjian
品种鉴定	pinzhongjianding
品种间杂交	pinzhongjianzajiao
品种间杂种	pinzhongjianzazhong
品种区域化	pinzhongquyuhua
平地	pingdi
评工记分	pinggongjifen
苹果	pingguo
苹果树	pingguoshu
苹果园	pingguoyuan
平交路口	pingjiaolukou
平均数	pingjunshu
平流霜冻	pingliushuangdong
婆罗门参	poluomencan
坡田	potian
蒲包花	pubaohua
匍匐茎	pufujing
匍匐型花生	pufuxinghuasheng
普钙	pugai
葡萄	putao
蒲桃	putao
葡萄柚	putaoyou
葡萄园	putaoyuan
普通过磷酸钙	putongguolinsuangai
铺筑	puzhu
蛴螬	qicao
气传病害	qichuanbinghai
启动子	qidongzi
器官培养	qiguanpeiyang
气候变化	qihoubianhua
气候带	qihoudai
气候生产力	qihoushengchanli
气候因素	qihouyinsu
气候灾害	qihouzaihai
气候资源	qihouziyuan
气化	qihua
歧化选择	qihuaxuanze
气溶胶	qirongjiao
期望均方	qiwangjunfang
气温高	qiwengao
气象学	qixiangxue
旗叶	qiye
七叶树	qiyeshu
潜伏期	qianfuqi
前辐照	qianfuzhao
前轮驱动	qianlunqudong
千亩	qianmu
牵牛	qianniu
牵牛花	qianniuhua
千日红	qianrihong
牵引式农具	qianyinshinongju
强化	qianghua
羟化物	qianghuawu
枪乌贼	qiangwuzei
荞麦	qiaomai
桥式耕作系统	qiaoshigengzuoxitong
切花	qiehua
切连科夫辐射	qieliankefufushe
芹菜	qincai
亲代	qindai
禽肥	qinfei
亲和	qinhe
亲和性	qinhexing
侵染性病害	qinranxingbinghai
勤施	qinshi
侵蚀土壤	qinshiturang
清粉	qingfen
青果	qingguo
氢化	qinghua
青稞	qingke
清理	qingli
苘麻	qingma
氢酸	qingsuan
青头菌	qingtoujun
氢氧化铜	qingyanghuatong
青鱼	qingyu
清淤	qingyu
秋播作物	qiubozuowu
秋海棠	qiuhaitang
楸木	qiumu
秋收作物	qiushouzuowu
犰狳	qiuyu
楸子	qiuzi
驱避	qubi
曲辰	quchen
趋化性	quhuaxing
曲颈甑	qujingzeng
苣荬菜	qumaicai
取食刺激剂	qushicijiji
取土	qutu
驱蚊醇	quwenchun
取样误差	quyangwucha
区域试验	quyushiyan
全国青联	quanguoqinglian
全酶	quanmei
全能性	quannengxing
炔螨特	quemante
缺塘	quetang
缺氧保藏	queyangbaocang
群体	qunti
群体密度	quntimidu
染色体工程	ransetigongcheng
热带雨林气候	redaiyulinqihou
热带作物	redaizuowu
热辐射	refushe
热害	rehai
热释光	reshiguang
人工气候箱	rengongqihouxiang
人工饲料	rengongsiliao
人口过剩	renkouguosheng
人口增长	renkouzengzhang
人心果	renxinguo
人造奶油	renzaonaiyou
轫致辐射	renzhifushe
日变化	ribianhua
日照率	rizhaolv
日照时间	rizhaoshijian
日照时数	rizhaoshishu
溶剂回收	rongjihuishou
溶解氧	rongjieyang
蝾螈	rongyuan
肉豆蔻	roudoukou
肉鸽	rouge
乳白灯泡	rubaidengpao
乳化剂	ruhuaji
乳剂	ruji
乳品业	rupinye
入渗	rushen
乳熟	rushu
乳熟期	rushuqi
乳糖操纵子	rutangcaozongzi
乳油	ruyou
乳制品	ruzhipin
软磁盘	ruancipan
软化	ruanhua
软设备	ruanshebei
软枣猕猴桃	ruanzaomihoutao
瑞香	ruixiang
撒播	sabo
撒粪机	safenji
噻虫嗪	saichongqin
噻螨酮	saimantong
噻嗪酮	saiqintong
三包一奖	sanbaoyijiang
三角刮刀	sanjiaoguadao
三角花	sanjiaohua
三氯异氰尿酸	sanlvyiqingniaosuan
三农	sannong
三色堇	sansejin
三色苋	sansexian
散射光	sansheguang
三熟	sanshu
三叶草	sanyecao
伞状	sanzhuang
三唑磷	sanzuolin
三唑锡	sanzuoxi
桑园	sangyuan
扫描线	saomiaoxian
森林保护	senlinbaohu
刹车踏板	shachetaban
杀虫剂	shachongji
杀虫脒	shachongmi
沙果	shaguo
杀菌剂	shajunji
沙梨	shali
杀铃脲	shalingniao
杀灭菊酯	shamiejuzhi
沙漠化	shamohua
杀扑磷	shapulin
杀青	shaqing
沙壤	sharang
砂壤土	sharangtu
砂土	shatu
杀线虫剂	shaxianchongji
沙枣	shazao
筛理	shaili
山茶	shancha
山地气候	shandiqihou
栅格数据	shangeshuju
山核桃	shanhetao
珊瑚树	shanhushu
山荆子	shanjingzi
山苦荬	shankumai
山梨	shanli
山毛榉	shanmaoju
山葡萄	shanputao
山区农业	shanqunongye
山桃	shantao
山田	shantian
山楂	shanzha
山茱萸	shanzhuyu
商品化	shangpinhua
墒情	shangqing
上限	shangxian
少耕	shaogeng
少耕法	shaogengfa
梢瓜	shaogua
少施	shaoshi
韶子	shaozi
射干	shegan|yegan
猞猁	sheli
蛇麻	shema
蛇目菊	shemuju
设施蔬菜	sheshishucai
舌鳎	sheta
摄影测量学	sheyingceliangxue
渗出	shenchu
渗漏	shenlou
渗漏率	shenloulv
渗漏水	shenloushui
深施	shenshi
深水稻	shenshuidao
渗透深度	shentoushendu
渗透压	shentouya
生板栗	shengbanli
生产过剩	shengchanguosheng
省工	shenggong
生核桃	shenghetao
生活力	shenghuoli
生活污水	shenghuowushui
生胶	shengjiao
生理病害	shenglibinghai
生命表	shengmingbiao
生态旅游	shengtailvyou
生态农业	shengtainongye
生态平衡	shengtaipingheng
生态圈	shengtaiquan
生态危机	shengtaiweiji
生物反应器	shengwufanyingqi
生物防治	shengwufangzhi
生物肥料	shengwufeiliao
生物化学	shengwuhuaxue
生物技术	shengwujishu
生物碱	shengwujian
生物降解	shengwujiangjie
生物利用率	shengwuliyonglv
生物群落	shengwuqunluo
生物制剂	shengwuzhiji
生物质能	shengwuzhineng
生物种衣剂	shengwuzhongyiji
生物转化	shengwuzhuanhua
生长发育	shengzhangfayu
生长率	shengzhanglv
生长期	shengzhangqi
生长习性	shengzhangxixing
生殖隔离	shengzhigeli
矢车菊	shicheju
湿沉降	shichenjiang
食虫虻	shichongmeng
石刁柏	shidiaobai
示范区	shifanqu
施肥	shifei
施肥播种机	shifeibozhongji
施肥机	shifeiji
施肥位置	shifeiweizhi
世高	shigao
石膏粉	shigaofen
事故保险	shigubaoxian
湿害	shihai
适合性测验	shihexingceyan
石画	shihua
石灰土	shihuitu
石鸡	shiji
实际收入	shijishouru
食荚豌豆	shijiawandou
时间隔离	shijiangeli
施颗粒肥机	shikelifeiji
石榴树	shiliushu
莳萝	shiluo
十亩	shimu
石楠	shinan
食品保藏	shipinbaocang
湿润气候	shirunqihou
湿润温和气候	shirunwenheqihou
湿润指数	shirunzhishu
实生砧	shishengzhen
石蒜	shisuan
食物链	shiwulian
食蚜蝇	shiyaying
施药	shiyao
实蝇	shiying
适应性	shiyingxing
食用大黄	shiyongdahuang
食用菌类	shiyongjunlei
食用植物油	shiyongzhiwuyou
食用作物	shiyongzuowu
石竹	shizhu
石竹花	shizhuhua
柿子树	shizishu
授粉	shoufen
手扶拖拉机	shoufutuolaji
收割机	shougeji
受体	shouti
收种	shouzhong
蔬菜罐头	shucaiguantou
蔬菜泥	shucaini
蔬菜园艺	shucaiyuanyi
蔬菜栽培	shucaizaipei
蔬菜汁	shucaizhi
树冠反射	shuguanfanshe
鼠害	shuhai
属间杂交	shujianzajiao
数据	shuju
数据编码	shujubianma
数据格式	shujugeshi
数码单反相机	shumadanfanxiangji
树莓	shumei
黍米	shumi
属性数据	shuxingshuju
数学模拟	shuxuemoni
数学模型	shuxuemoxing
薯蓣	shuyu
薯芋类蔬菜	shuyuleishucai
数字滤波器	shuzilvboqi
数字乡村	shuzixiangcun
刷麸	shuafu
衰变产物	shuaibianchanwu
衰变常数	shuaibianchangshu
衰减系数	shuaijianxishu
衰老	shuailao
双倍体	shuangbeiti
双层经营	shuangcengjingying
双二倍体	shuangerbeiti
霜害	shuanghai
双甲脒	shuangjiami
霜降	shuangjiang
双交	shuangjiao
双交种	shuangjiaozhong
双列杂交	shuangliezajiao
双人房间	shuangrenfangjian
霜穴	shuangxue
双子叶	shuangziye
水胺硫磷	shuianliulin
水代法取油	shuidaifaquyou
水稻插秧机	shuidaochayangji
水稻田	shuidaotian
水稻土	shuidaotu
水分补偿	shuifenbuchang
水分亏缺	shuifenkuique
水分利用系数	shuifenliyongxishu
水分调节	shuifentiaojie
水浮莲	shuifulian
水果罐头	shuiguoguantou
水果香精	shuiguoxiangjing
水葫芦	shuihulu
水化	shuihua
水花生	shuihuasheng
水剂	shuiji
水浆	shuijiang
水浇地	shuijiaodi
水利土壤改良	shuilituranggailiang
水帘	shuilian
睡莲	shuilian
水泥搅拌车	shuinijiaobanche
水芹	shuiqin
水杉	shuishan
水生生态系统	shuishengshengtaixitong
睡鼠	shuishu
水松	shuisong
水田	shuitian
水土保持	shuitubaochi
水土流失	shuituliushi
水稳性	shuiwenxing
水文学	shuiwenxue
水污染	shuiwuran
水污染监测	shuiwuranjiance
水污染源	shuiwuranyuan
水质分析	shuizhifenxi
水质评价	shuizhipingjia
死分活评	sifenhuoping
死分死记	sifensiji
四季豆	sijidou
司库	siku
四棱豆	silengdou
饲料作物	siliaozuowu
饲用	siyong
饲用甜菜	siyongtiancai
松粉	songfen
松土	songtu
速冻干燥	sudongganzao
粟灰螟	suhuiming
塑料大棚	suliaodapeng
粟芒蝇	sumangying
塑盘	supan
速扑杀	supusha
速效	suxiao
苏云金杆菌	suyunjinganjun
酸橙	suancheng
酸豆	suandou
酸浆	suanjiang
酸角	suanjiao
酸炼	suanlian
酸模	suanmo
酸雨	suanyu
酸枣	suanzao
穗部	suibu
穗醋栗	suiculi
穗肥	suifei
穗行法	suihangfa
随机变量	suijibianliang
随机存取	suijicunqu
随机交配	suijijiaopei
随机取样	suijiquyang
随机区组	suijiquzu
随机误差	suijiwucha
随机样本	suijiyangben
随军记者	suijunjizhe
穗粒	suili
损失估计	sunshiguji
损失率	sunshilv
薹菜	taicai
台风	taifeng
太阳辐射	taiyangfushe
太阳能	taiyangneng
太阳能电池	taiyangnengdianchi
太阳紫外辐射	taiyangziwaifushe
碳铵	tanan
碳氮比	tandanbi
昙花	tanhua
炭灰色	tanhuise
碳水	tanshui
碳水化合物	tanshuihuahewu
碳酸氢铵	tansuanqingan
碳循环	tanxunhuan
塘鹅	tange
唐家村	tangjiacun
棠梨	tangli
糖料作物	tangliaozuowu
糖用甜菜	tangyongtiancai
绦虫	taochong
桃小食心虫	taoxiaoshixinchong
特许权税	texuquanshui
特征提取	tezhengtiqu
特征向量	tezhengxiangliang
特征值	tezhengzhi
鹈鹕	tihu
提苗	timiao
提莫菲维小麦	timofeiweixiaomai
梯田	titian
梯田农业	titiannongye
提温	tiwen
体细胞接合	tixibaojiehe
体细胞杂交	tixibaozajiao
甜菜	tiancai
甜菜收获机	tiancaishouhuoji
甜菜象虫	tiancaixiangchong
甜橙	tiancheng
天蛾	tiane
甜瓜	tiangua
田间	tianjian
田间去杂	tianjianquza
田间释放	tianjianshifang
天门冬	tianmendong
甜糯	tiannuo
田薯	tianshu
田旋花	tianxuanhua
甜叶菊	tianyeju
条播机	tiaoboji
调节剂	tiaojieji
调料作物	tiaoliaozuowu
贴梗海棠	tiegenghaitang
通风井	tongfengjing
同类群	tongleiqun
通透性	tongtouxing
通透性土壤	tongtouxingturang
同位素	tongweisu
同位素富集度	tongweisufujidu
同位素交换	tongweisujiaohuan
同位素药盒	tongweisuyaohe
通用机架	tongyongjijia
同源多倍体	tongyuanduobeiti
同源四倍体	tongyuansibeiti
铜制剂	tongzhiji
同质性	tongzhixing
突变第二代	tubiandierdai
突变谱	tubianpu
突变体种质库	tubiantizhongzhiku
突变易发点	tubianyifadian
突变子	tubianzi
土地	tudi
土地报酬	tudibaochou
土地承包	tudichengbao
土地分级	tudifenji
土地分类	tudifenlei
土地改革	tudigaige
土地改良	tudigailiang
土地公有制	tudigongyouzhi
土地构成	tudigoucheng
土地管理	tudiguanli
土地规划	tudiguihua
土地开发	tudikaifa
土地开垦	tudikaiken
土地利用方式	tudiliyongfangshi
土地利用结构	tudiliyongjiegou
土地利用率	tudiliyonglv
土地买卖	tudimaimai
土地没收	tudimoshou
土地评价	tudipingjia
土地平整	tudipingzheng
土地生产力	tudishengchanli
土地生产率	tudishengchanlv
土地适宜性	tudishiyixing
土地私有制	tudisiyouzhi
土地退化	tudituihua
土地征收	tudizhengshou
土地质量	tudizhiliang
土地转包	tudizhuanbao
土地资本	tudiziben
土地租佃	tudizudian
秃尖	tujian
土块	tukuai
土壤	turang
土壤比重	turangbizhong
土壤处置	turangchuzhi
土壤调查	turangdiaocha
土壤冻结	turangdongjie
土壤肥力	turangfeili
土壤腐殖质	turangfuzhizhi
土壤改良	turanggailiang
土壤改良剂	turanggailiangji
土壤耕性	turanggengxing
土壤含水量	turanghanshuiliang
土壤环境	turanghuanjing
土壤胶体	turangjiaoti
土壤结持度	turangjiechidu
土壤结构	turangjiegou
土壤结皮	turangjiepi
土壤毛管作用	turangmaoguanzuoyong
土壤排水	turangpaishui
土壤侵蚀	turangqinshi
土壤热通量	turangretongliang
土壤生产力	turangshengchanli
土壤水	turangshui
土壤酸度	turangsuandu
土壤特性	turangtexing
土壤条件	turangtiaojian
土壤通气	turangtongqi
土壤退化	turangtuihua
土壤温度	turangwendu
土壤物理性质	turangwulixingzhi
土壤污染	turangwuran
土壤吸湿水	turangxishishui
土壤有效水	turangyouxiaoshui
土壤蒸发计	turangzhengfaji
土壤质地	turangzhidi
土壤质量评价	turangzhiliangpingjia
土壤重力水	turangzhonglishui
菟丝子	tusizi
图象处理	tuxiangchuli
图象合成	tuxianghecheng
土样	tuyang
徒长	tuzhang
脱臭	tuochou
脱肥	tuofei
脱胶	tuojiao
脱蜡	tuola
脱壳	tuoqiao
脱水	tuoshui
脱水蔬菜	tuoshuishucai
脱酸	tuosuan
脱盐	tuoyan
脱氧胞苷酸	tuoyangbaogansuan
脱氧核糖核酸	tuoyanghetanghesuan
脱氧鸟苷酸	tuoyangniaogansuan
脱氧腺苷酸	tuoyangxiangansuan
挖沟	wagou
外汇兑换券	waihuiduihuanquan
外激素	waijisu
晚稻	wandao
豌豆	wandou
豌豆尖	wandoujian
万灵	wanling
完全随机设计	wanquansuijisheji
晚收	wanshou
万寿菊	wanshouju
晚熟性	wanshuxing
晚霜	wanshuang
晚香玉	wanxiangyu
威霸	weiba
微波干燥	weiboganzao
微波遥感	weiboyaogan
危害程度	weihaichengdu
危害程度预测	weihaichengduyuce
微机信息系统	weijixinxixitong
围垦地	weikendi
微量元素	weiliangyuansu
微量元素肥料	weiliangyuansufeiliao
委陵菜	weilingcai
卫生纸架	weishengzhijia
喂食器	weishiqi
圩田	weitian
微型胶卷	weixingjiaojuan
温床	wenchuang
温床栽培	wenchuangzaipei
温带	wendai
温带多雨气候	wendaiduoyuqihou
温带气候	wendaiqihou
稳定剂	wendingji
温度雨量图	wenduyuliangtu
文冠果	wenguanguo
文具胶带	wenjujiaodai
纹理	wenli
温室	wenshi
温室管理	wenshiguanli
温室通风	wenshitongfeng
温湿图	wenshitu
温室效应	wenshixiaoying
文殊兰	wenshulan
文艺评论	wenyipinglun
文竹	wenzhu
蕹菜	wengcai
渥堆	wodui
无壁犁	wubili
无病毒果树	wubingduguoshu
乌鸫	wudong
无公害蔬菜	wugonghaishucai
无害化	wuhaihua
物候观测	wuhouguance
物候谱	wuhoupu
物候图	wuhoutu
物候学定律	wuhouxuedinglv
无花果	wuhuaguo
无机肥料	wujifeiliao
无机废水	wujifeishui
无记名支票	wujimingzhipiao
物价管制	wujiaguanzhi
芜菁	wujing
雾景	wujing
芜菁甘蓝	wujingganlan
乌桕	wujiu
乌拉草	wulacao
乌榄	wulan
五敛子	wulianzi
五氯酚	wulvfen
污泥	wuni
污染监测	wuranjiance
污染物	wuranwu
污染源	wuranyuan
无融合生殖	wurongheshengzhi
无霜	wushuang
污水处理	wushuichuli
污水灌溉系统	wushuiguangaixitong
雾凇	wusong
无限生长	wuxianshengzhang
无效假设	wuxiaojiashe
无性第二代	wuxingdierdai
无性繁殖	wuxingfanzhi
五氧化二磷	wuyanghuaerlin
戊唑醇	wuzuochun
细胞工程	xibaogongcheng
细胞培养	xibaopeiyang
细胞器移植	xibaoqiyizhi
细胞亲和力	xibaoqinheli
细胞融合	xibaoronghe
细胞系	xibaoxi
烯啶虫胺	xidingchongan
西葫芦	xihulu
细菌	xijun
细菌性青枯病	xijunxingqingkubing
细粒	xili
洗麦	ximai
系谱法	xipufa
细筛	xishai
吸收剂量	xishoujiliang
吸水势	xishuishi
系统分析员	xitongfenxiyuan
烯酰吗啉	xixianmalin
细香葱	xixiangcong
夏播	xiabo
夏大豆	xiadadou
下行列车	xiaxinglieche
酰胺态氮肥	xianantaidanfei
苋菜	xiancai
线虫	xianchong
现代农业	xiandainongye
籼稻	xiandao
县计生委	xianjishengwei
现金价格	xianjinjiage
仙客来	xiankelai
纤毛状	xianmaozhuang
显热通量	xianretongliang
仙人掌果	xianrenzhangguo
鲜食	xianshi
显示装置	xianshizhuangzhi
纤维素	xianweisu
线性回归	xianxinghuigui
限制性内切核酸酶	xianzhixingneiqiehesuanmei
鲜重	xianzhong
香椿	xiangchun
相对生物效应	xiangduishengwuxiaoying
相对湿度	xiangduishidu
香榧	xiangfei
香菇	xianggu
相关系数	xiangguanxishu
相关指数	xiangguanzhishu
橡胶树	xiangjiaoshu
橡胶作物	xiangjiaozuowu
香菌	xiangjun
香茅	xiangmao
香蒲	xiangpu
镶嵌图	xiangqiantu
香芹酚	xiangqinfen
向日葵	xiangrikui
箱式照相机	xiangshizhaoxiangji
香豌豆	xiangwandou
香豌豆花	xiangwandouhua
香雪兰	xiangxuelan
象元	xiangyuan
香橼	xiangyuan
香樟	xiangzhang
小扁豆	xiaobiandou
小苍兰	xiaocanglan
消毒剂	xiaoduji
小段包工	xiaoduanbaogong
硝化抑制剂	xiaohuayizhiji
硝化作用	xiaohuazuoyong
小井	xiaojing
小莱豆	xiaolaidou
小礼拜堂	xiaolibaitang
小羚羊	xiaolingyang
小麦	xiaomai
小麦粉	xiaomaifen
小满	xiaoman
小米	xiaomi
小气候	xiaoqihou
销售价格	xiaoshoujiage
硝酸铵	xiaosuanan
硝酸钙	xiaosuangai
硝酸钾	xiaosuanjia
硝态氮	xiaotaidan
硝态氮肥	xiaotaidanfei
小土地出租者	xiaotudichuzuzhe
小组委员会	xiaozuweiyuanhui
协方差	xiefangcha
协方差分析	xiefangchafenxi
协同效应	xietongxiaoying
新根	xingen
辛硫磷	xinliulin
信使	xinshi
心土犁	xintuli
新闻来源	xinwenlaiyuan
形钉	xingding
星天牛	xingtianniu
性状	xingzhuang
雄冠	xiongguan
雄蕊	xiongrui
雄性不育	xiongxingbuyu
雄蚁	xiongyi
锈斑	xiuban
溴虫腈	xiuchongjing
修复过程	xiufuguocheng
修剪	xiujian
锈菌	xiujun
休闲	xiuxian
修枝剪	xiuzhijian
需肥量	xufeiliang
需水量	xushuiliang
需氧生物处理	xuyangshengwuchuli
萱草	xuancao
悬浮固体	xuanfuguti
旋覆花	xuanfuhua
旋毛虫	xuanmaochong
选择差	xuanzecha
选择强度	xuanzeqiangdu
选择指数	xuanzezhishu
旋转锄	xuanzhuanchu
旋转设计	xuanzhuansheji
雪暴	xuebao
雪害	xuehai
穴距	xueju
雪松	xuesong
熏干	xungan
驯化	xunhua
循环基金	xunhuanjijin
训练样本	xunlianyangben
熏烟	xunyan
鲟鱼	xunyu
熏蒸	xunzheng
芽变	yabian
蚜虫	yachong
芽蕉	yajiao
亚麻	yama
亚热带	yaredai
鸭舌草	yashecao
压条繁殖	yatiaofanzhi
芽选择	yaxuanze
芽叶	yaye
鸭跖草	yazhicao
亚洲玉米螟	yazhouyumiming
延迟型冷害	yanchixinglenghai
延缓剂	yanhuanji
烟碱	yanjian
严厉查处	yanlichachu
燕麦片	yanmaipian
芫荽	yansui
烟熏保藏	yanxunbaocang
厌氧发酵	yanyangfajiao
腌制	yanzhi
盐渍	yanzi
腌渍保藏	yanzibaocang
眼子菜	yanzicai
洋白菜	yangbaicai
养虫工厂	yangchonggongchang
养地	yangdi
氧化钾	yanghuajia
氧化乐果	yanghualeguo
氧化塘	yanghuatang
氧化亚铜	yanghuayatong
洋蓟	yangji
阳历	yangli
阳离子	yanglizi
阳桃	yangtao
秧田	yangtian
氧效应	yangxiaoying
养猪场	yangzhuchang
摇臂收割机	yaobishougeji
鳐鱼	yaoyu
叶斑	yeban
叶背	yebei
叶菜	yecai
叶菜类	yecailei
叶菜类蔬菜	yecaileishucai
野鸽	yege
叶互生	yehusheng
冶金学	yejinxue
夜来香	yelaixiang
叶龄	yeling
叶面积	yemianji
叶面积指数	yemianjizhishu
野苜蓿	yemuxu
野蔷薇	yeqiangwei
叶鞘	yeqiao
野生大豆	yeshengdadou
野生菌	yeshengjun
野生种	yeshengzhong
液体肥料	yetifeiliao
液体闪烁计数器	yetishanshuojishuqi
叶形	yexing
野燕麦	yeyanmai
叶子花	yezihua
疫病	yibing
异丙甲草胺	yibingjiacaoan
异丙威	yibingwei
