生产储备	shengchanchubei
库藏股	kucanggu
库存查询	kucunchaxun
库存现金	kucunxianjin
库存资金	kucunzijin
库房出库	kufangchuku
库房结存	kufangjiecun
库房入库	kufangruku
跨国企业	kuaguoqiye
跨国银行	kuaguoyinhang
跨行	kuahang
跨行转账	kuahangzhuanzhang
跨年度	kuaniandu
跨期交易	kuaqijiaoyi
跨期套利	kuaqitaoli
跨期套期	kuaqitaoqi
快公司	kuaigongsi
会计报表	kuaijibaobiao
会计方法	kuaijifangfa
会计年度	kuaijiniandu
会计期间	kuaijiqijian
会计师	kuaijishi
会计循环	kuaijixunhuan
快速拔高	kuaisubagao
快速回落	kuaisuhuiluo
快速建仓	kuaisujiancang
快速攀升	kuaisupansheng
快速上行	kuaisushangxing
快速增长	kuaisuzengzhang
宽限期	kuanxianqi
亏很多钱	kuihenduoqian
亏损面	kuisunmian
亏损问题	kuisunwenti
亏损项目	kuisunxiangmu
昆明机床	kunmingjichuang
扩大贷款	kuodadaikuan
扩大利润	kuodalirun
扩大至	kuodazhi
扩容压力	kuorongyali
扩张成本	kuozhangchengben
扩张能力	kuozhangnengli
扩张收购	kuozhangshougou
扩张速度	kuozhangsudu
拉长阳	lachangyang
拉出长阳	lachuchangyang
拉低均价	ladijunjia
拉高房价	lagaofangjia
拉高均价	lagaojunjia
垃圾股	lajigu
垃圾债券	lajizhaiquan
拉卡	laka
拉升股票	lashenggupiao
拉升行情	lashenghangqing
拉升阶段	lashengjieduan
来定义	laidingyi
来衡量	laihengliang
来判断	laipanduan
蓝筹板块	lanchoubankuai
蓝筹股	lanchougu
蓝筹泡沫	lanchoupaomo
揽存	lancun
蓝海创投	lanhaichuangtou
拦路状态	lanluzhuangtai
蓝山投资	lanshantouzi
蓝天法	lantianfa
朗伯德街	langbodejie
老虎机	laohuji
老虎基金	laohujijin
老基金	laojijin
老客户	laokehu
老牌	laopai
劳务收支	laowushouzhi
劳资谈判	laozitanpan
乐当家	ledangjia
雷达警示	leidajingshi
累计处置	leijichuzhi
累计存货	leijicunhuo
累计发放	leijifafang
累计分配	leijifenpei
累积红利	leijihongli
累计回收	leijihuishou
累积计划	leijijihua
累积金额	leijijine
累计净值	leijijingzhi
累计亏损	leijikuisun
累计区域	leijiquyu
累计实现	leijishixian
累计拖欠	leijituoqian
累计现金	leijixianjin
累计盈利	leijiyingli
累积盈余	leijiyingyu
累计佣金	leijiyongjin
累积债券	leijizhaiquan
累计涨幅	leijizhangfu
勒紧策略	leijincelue
累进税	leijinshui
累进税率	leijinshuilv
累进税制	leijinshuizhi
雷曼兄弟	leimanxiongdi
类似举措	leisijucuo
类似于	leisiyu
累退税制	leituishuizhi
冷门行业	lengmenhangye
冷门交易	lengmenjiaoyi
冷却期	lengqueqi
立案稽查	lianjicha
离岸基金	lianjijin
离岸设立	liansheli
理财策略	licaicelue
理财产品	licaichanpin
理财服务	licaifuwu
理财公馆	licaigongguan
理财顾问	licaiguwen
理财观念	licaiguannian
理财规划	licaiguihua
理财金	licaijin
理财沙龙	licaishalong
理财社区	licaishequ
理财收入	licaishouru
理财网站	licaiwangzhan
理财学校	licaixuexiao
理财业务	licaiyewu
理财周报	licaizhoubao
利差	licha
利多	liduo
利多因素	liduoyinsu
利好	lihao
利好刺激	lihaociji
利好网	lihaowang
立即付款	lijifukuan
立即将	lijijiang
利空	likong
利空出尽	likongchujin
利空打击	likongdaji
利空因素	likongyinsu
利空影响	likongyingxiang
利空政策	likongzhengce
利率	lilv
利率变动	lilvbiandong
利率标准	lilvbiaozhun
利率不变	lilvbubian
利率掉期	lilvdiaoqi
利率浮动	lilvfudong
利率管理	lilvguanli
利率较低	lilvjiaodi
利率决定	lilvjueding
利率太低	lilvtaidi
利率政策	lilvzhengce
利率周期	lilvzhouqi
礼品税	lipinshui
利润增加	lirunzengjia
利润增速	lirunzengsu
利润中心	lirunzhongxin
历史变量	lishibianliang
历史波幅	lishibofu
历史成本	lishichengben
历史经验	lishijingyan
历史审计	lishishenji
历史数据	lishishuju
历史新低	lishixindi
历史新高	lishixingao
利息率	lixilv
利息税	lixishui
利息水平	lixishuiping
利息损失	lixisunshi
利息证书	lixizhengshu
利息支出	lixizhichu
利息总额	lixizonge
理想方式	lixiangfangshi
理性下挫	lixingxiacuo
利益冲突	liyichongtu
利用网站	liyongwangzhan
利用资金	liyongzijin
利于增强	liyuzengqiang
力争突破	lizhengtupo
联邦赤字	lianbangchizi
联储基金	lianchujijin
连带效应	liandaixiaoying
连带影响	liandaiyingxiang
联动机制	liandongjizhi
联合发文	lianhefawen
联合浮动	lianhefudong
联合会员	lianhehuiyuan
联合交易	lianhejiaoyi
联合金银	lianhejinyin
联合控股	lianhekonggu
联合契约	lianheqiyue
联合推出	lianhetuichu
联合银行	lianheyinhang
联合债券	lianhezhaiquan
联合证券	lianhezhengquan
廉价股票	lianjiagupiao
联名积分	lianmingjifen
联名卡	lianmingka
联锁董事	liansuodongshi
连锁银行	liansuoyinhang
联网网点	lianwangwangdian
联系方式	lianxifangshi
联系机制	lianxijizhi
联系券商	lianxiquanshang
连续暴跌	lianxubaodie
连续多次	lianxuduoci
连续发行	lianxufaxing
连续交易	lianxujiaoyi
连续三年	lianxusannian
连续上攻	lianxushanggong
连续上涨	lianxushangzhang
连续突破	lianxutupo
连续下跌	lianxuxiadie
连续盈利	lianxuyingli
连续债券	lianxuzhaiquan
连续涨停	lianxuzhangting
连续走强	lianxuzouqiang
廉租房	lianzufang
良茂期货	liangmaoqihuo
量能	liangneng
量身定制	liangshendingzhi
两市大跌	liangshidadie
量缩价跌	liangsuojiadie
良性局面	liangxingjumian
量子基金	liangzijijin
列入监管	lierujianguan
临额	line
林凡顺	linfanshun
临时沟通	linshigoutong
临时契约	linshiqiyue
临时停牌	linshitingpai
临时召开	linshizhaokai
林羽今	linyujin
林子滟	linziyan
零存整取	lingcunzhengqu
领导集体	lingdaojiti
领跌	lingdie
零跌码	lingdiema
领购簿	linggoubu
领购资格	linggouzige
零股	linggu
零股卖空	linggumaikong
零股买卖	linggumaimai
零和博弈	lingheboyi
灵活运用	linghuoyunyong
零基差	lingjicha
零加码	lingjiama
零减码	lingjianma
领军者	lingjunzhe
另库存放	lingkucunfang
领票	lingpiao
领票户	lingpiaohu
领取汇款	lingquhuikuan
零散税收	lingsanshuishou
零手	lingshou
零首付	lingshoufu
零售网络	lingshouwangluo
零售银行	lingshouyinhang
灵通卡	lingtongka
零息	lingxi
零息国债	lingxiguozhai
领先地位	lingxiandiwei
另行公告	lingxinggonggao
零星股	lingxinggu
另行通知	lingxingtongzhi
另有打算	lingyoudasuan
领涨板块	lingzhangbankuai
零涨码	lingzhangma
流标	liubiao
留成外汇	liuchengwaihui
留存收益	liucunshouyi
流动比率	liudongbilv
流动贷款	liudongdaikuan
流动负债	liudongfuzhai
流动基金	liudongjijin
流动频繁	liudongpinfan
流动市值	liudongshizhi
流动息票	liudongxipiao
流动性	liudongxing
流动性差	liudongxingcha
流动性好	liudongxinghao
流动证券	liudongzhengquan
流动资产	liudongzichan
流动资金	liudongzijin
六合彩	liuhecai
刘明康	liumingkang
流入股市	liurugushi
流失期权	liushiqiquan
流通成本	liutongchengben
流通范围	liutongfanwei
流通份额	liutongfene
流通股	liutonggu
流通股东	liutonggudong
流通价格	liutongjiage
流通日期	liutongriqi
流通市值	liutongshizhi
流通数量	liutongshuliang
流向查询	liuxiangchaxun
流置在外	liuzhizaiwai
流转税	liuzhuanshui
垄断竞争	longduanjingzheng
垄断市场	longduanshichang
龙虎榜	longhubang
龙卡	longka
龙双	longshuang
龙头股	longtougu
龙头老大	longtoulaoda
龙头企业	longtouqiye
龙虾陷阱	longxiaxianjing
龙债券	longzhaiquan
路边摊	lubiantan
陆家嘴	lujiazui
鲁能金穗	lunengjinsui
陆续发布	luxufabu
路走势图	luzoushitu
略微上扬	lueweishangyang
略微上涨	lueweishangzhang
略有放大	lueyoufangda
略有上涨	lueyoushangzhang
略有下降	lueyouxiajiang
伦敦指数	lundunzhishu
轮换制	lunhuanzhi
伦亚金融	lunyajinrong
裸币	luobi
裸钞	luochao
罗杰斯	luojiesi
裸男卡	luonanka
绿票讹诈	lvpiaoezha
绿色指数	lvsezhishu
绿鞋计划	lvxiejihua
履约保函	lvyuebaohan
马钢认购	magangrengou
卖超	maichao
卖超比率	maichaobilv
卖出股票	maichugupiao
卖出汇率	maichuhuilv
卖出交易	maichujiaoyi
卖出命令	maichumingling
卖出权	maichuquan
卖出信号	maichuxinhao
卖出指令	maichuzhiling
买点	maidian
买点基金	maidianjijin
买点指令	maidianzhiling
买断	maiduan
买断型	maiduanxing
买方定价	maifangdingjia
卖方定价	maifangdingjia
买方垄断	maifanglongduan
卖方垄断	maifanglongduan
买方市场	maifangshichang
卖方市场	maifangshichang
买方业务	maifangyewu
卖方业务	maifangyewu
买股票	maigupiao
卖股票	maigupiao
买国债	maiguozhai
买或卖	maihuomai
买基金	maijijin
卖价	maijia
买价上涨	maijiashangzhang
买壳成本	maikechengben
迈科期货	maikeqihuo
买壳上市	maikeshangshi
买壳收益	maikeshouyi
卖壳收益	maikeshouyi
买壳者	maikezhe
买空	maikong
卖空	maikong
卖空规则	maikongguize
卖空集团	maikongjituan
买空卖空	maikongmaikong
卖空行为	maikongxingwei
卖空账户	maikongzhanghu
卖空者	maikongzhe
买卖方式	maimaifangshi
买卖关系	maimaiguanxi
买卖合同	maimaihetong
买卖双方	maimaishuangfang
买入规则	mairuguize
买入汇率	mairuhuilv
买入基础	mairujichu
买入机构	mairujigou
买入价位	mairujiawei
买入美元	mairumeiyuan
买入期权	mairuqiquan
买入委托	mairuweituo
买入信号	mairuxinhao
买入一些	mairuyixie
买入指令	mairuzhiling
买通	maitong
买压	maiya
卖压	maiya
买一个	maiyige
买债券	maizhaiquan
卖主	maizhu
满仓	mancang
满仓不动	mancangbudong
慢牛阶段	manniujieduan
盲目跟风	mangmugenfeng
盲目杀跌	mangmushadie
盲目性	mangmuxing
毛差价	maochajia
毛收益	maoshouyi
冒险行为	maoxianxingwei
贸易结算	maoyijiesuan
贸易禁令	maoyijinling
贸易逆差	maoyinicha
贸易融资	maoyirongzi
贸易收支	maoyishouzhi
贸易顺差	maoyishuncha
贸易外汇	maoyiwaihui
贸易项下	maoyixiangxia
贸易盈余	maoyiyingyu
每盎司	meiangsi
每半年	meibannian
每本份数	meibenfenshu
每个股东	meigegudong
每股	meigu
美股	meigu
美股大涨	meigudazhang
每股收益	meigushouyi
美国财长	meiguocaizhang
美国高盛	meiguogaosheng
美国国债	meiguoguozhai
美国价格	meiguojiage
美国运通	meiguoyuntong
美国资本	meiguoziben
每季度	meijidu
美联储	meilianchu
美联银行	meilianyinhang
美林	meilin
美式期权	meishiqiquan
美式权证	meishiquanzheng
煤炭股	meitangu
煤炭行业	meitanhangye
煤炭价格	meitanjiage
每桶	meitong
每一份	meiyifen
没有办理	meiyoubanli
没有发行	meiyoufaxing
没有风险	meiyoufengxian
没有股息	meiyouguxi
没有价值	meiyoujiazhi
没有结余	meiyoujieyu
没有开通	meiyoukaitong
没有年费	meiyounianfei
没有披露	meiyoupilu
没有收益	meiyoushouyi
没有一笔	meiyouyibi
美元泛滥	meiyuanfanlan
美元惯例	meiyuanguanli
美元荒	meiyuanhuang
美元价值	meiyuanjiazhi
美元区	meiyuanqu
美元危机	meiyuanweiji
美元债券	meiyuanzhaiquan
美元指数	meiyuanzhishu
美元走势	meiyuanzoushi
每月到期	meiyuedaoqi
每月还款	meiyuehuankuan
每种货币	meizhonghuobi
美洲豹	meizhoubao
美洲银行	meizhouyinhang
门外汉	menwaihan
猛犬债券	mengquanzhaiquan
蒙特利尔	mengtelier
猛增至	mengzengzhi
弥补成本	mibuchengben
密封递价	mifengdijia
密封销售	mifengxiaoshou
密集上市	mijishangshi
米兰银行	milanyinhang
秘密情报	mimiqingbao
密切跟踪	miqiegenzong
密切关注	miqieguanzhu
免保证金	mianbaozhengjin
免代理费	miandailifei
免费搭车	mianfeidache
免费接入	mianfeijieru
免费开户	mianfeikaihu
免费领取	mianfeilingqu
免费邮箱	mianfeiyouxiang
免费资讯	mianfeizixun
免费咨询	mianfeizixun
免税工具	mianshuigongju
免税红利	mianshuihongli
免税用尽	mianshuiyongjin
免息分期	mianxifenqi
民安期货	minanqihuo
民安证券	minanzhengquan
闽发证券	minfazhengquan
敏感指标	minganzhibiao
民生银行	minshengyinhang
民生证券	minshengzhengquan
民族证券	minzuzhengquan
名称之前	mingchengzhiqian
名列第一	mingliediyi
明确处分	mingquechufen
明确市场	mingqueshichang
明日股市	mingrigushi
明日走势	mingrizoushi
明晚在京	mingwanzaijing
明显成效	mingxianchengxiao
明显低估	mingxiandigu
明显多于	mingxianduoyu
明显放缓	mingxianfanghuan
明显好于	mingxianhaoyu
明显回升	mingxianhuisheng
明显加快	mingxianjiakuai
明显降低	mingxianjiangdi
明显看出	mingxiankanchu
明显扩大	mingxiankuoda
明显利好	mingxianlihao
明显趋缓	mingxianquhuan
明显上涨	mingxianshangzhang
明显走弱	mingxianzouruo
名义汇率	mingyihuilv
名义价值	mingyijiazhi
名义利率	mingyililv
名义收益	mingyishouyi
名义资产	mingyizichan
摩根	mogen
摩根财团	mogencaituan
摩根大通	mogendatong
末日轮	morilun
摹写签章	moxieqianzhang
某一证券	mouyizhengquan
某种公司	mouzhonggongsi
某种证券	mouzhongzhengquan
目标公司	mubiaogongsi
目标股	mubiaogu
目标价位	mubiaojiawei
目标值	mubiaozhi
牡丹国际	mudanguoji
牡丹卡	mudanka
母公司	mugongsi
募股资金	muguzijin
募集能力	mujinengli
募集资金	mujizijin
目前高达	muqiangaoda
目前仍然	muqianrengran
拿到批文	nadaopiwen
哪个机构	nagejigou
拿股票	nagupiao
纳什均衡	nashijunheng
纳税担保	nashuidanbao
纳税评估	nashuipinggu
纳税人	nashuiren
纳税申报	nashuishenbao
纳税限额	nashuixiane
纳税证明	nashuizhengming
纳斯达克	nasidake
耐心等待	naixindengdai
南博网	nanbowang
难度较大	nandujiaoda
南都期货	nanduqihuo
南方成份	nanfangchengfen
南方基金	nanfangjijin
男人帮	nanrenbang
南四行	nansihang
南通银行	nantongyinhang
难以避免	nanyibimian
难以对	nanyidui
难以界定	nanyijieding
难以接轨	nanyijiegui
难以逆转	nanyinizhuan
难以判断	nanyipanduan
恼怒方	naonufang
内部环境	neibuhuanjing
内部控制	neibukongzhi
内部流通	neibuliutong
内部人士	neiburenshi
内部人员	neiburenyuan
内部融资	neiburongzi
内部审计	neibushenji
内部完成	neibuwancheng
内部信息	neibuxinxi
内部资金	neibuzijin
内部资料	neibuziliao
内卡外抛	neikawaipao
内幕交易	neimujiaoyi
内幕人员	neimurenyuan
内幕消息	neimuxiaoxi
内盘	neipan
内需	neixu
内需增长	neixuzengzhang
内在价值	neizaijiazhi
能保持	nengbaochi
能贷款	nengdaikuan
能够帮助	nenggoubangzhu
能够出售	nenggouchushou
能够出手	nenggouchushou
能够防止	nenggoufangzhi
能上市	nengshangshi
能源基地	nengyuanjidi
能源趋势	nengyuanqushi
逆差	nicha
逆差价	nichajia
逆掉期	nidiaoqi
拟发行	nifaxing
匿名广告	nimingguanggao
匿名客户	nimingkehu
拟上市	nishangshi
逆势	nishi
逆市操作	nishicaozuo
逆势回涨	nishihuizhang
逆势建仓	nishijiancang
逆势做空	nishizuokong
拟收购	nishougou
你这么早	nizhemezao
逆转	nizhuan
年报行情	nianbaohangqing
年报披露	nianbaopilu
年初水平	nianchushuiping
年度收益	niandushouyi
年金	nianjin
年金计划	nianjinjihua
年金债券	nianjinzhaiquan
年亏损	niankuisun
年审	nianshen
年收益	nianshouyi
年收益率	nianshouyilv
年数据	nianshuju
年投资额	niantouzie
年薪	nianxin
粘性交易	nianxingjiaoyi
年证券法	nianzhengquanfa
年终股息	nianzhongguxi
年终红利	nianzhonghongli
年最低	nianzuidi
镍币	niebi
宁波海顺	ningbohaishun
宁波银行	ningboyinhang
宁波韵升	ningboyunsheng
宁夏嘉信	ningxiajiaxin
扭亏为盈	niukuiweiying
扭曲需求	niuquxuqiu
牛市反复	niushifanfu
牛市行情	niushihangqing
牛市结束	niushijieshu
牛市里面	niushilimian
牛市普涨	niushipuzhang
牛市在线	niushizaixian
牛熊证	niuxiongzheng
纽约计划	niuyuejihua
农行卡	nonghangka
农民银行	nongminyinhang
农业企业	nongyeqiye
农业投资	nongyetouzi
农业银行	nongyeyinhang
努力改善	nuligaishan
诺安基金	nuoanjijin
诺安债券	nuoanzhaiquan
诺德基金	nuodejijin
挪为他用	nuoweitayong
欧式权证	oushiquanzheng
欧元区	ouyuanqu
欧元走势	ouyuanzoushi
欧洲汇率	ouzhouhuilv
欧洲汇票	ouzhouhuipiao
欧洲货币	ouzhouhuobi
欧洲美元	ouzhoumeiyuan
欧洲期权	ouzhouqiquan
欧洲债券	ouzhouzhaiquan
排彩票	paicaipiao
派出机构	paichujigou
排除条款	paichutiaokuan
排队等候	paiduidenghou
排队论	paiduilun
牌价	paijia
排列三	pailiesan
排列五	pailiewu
拍卖结果	paimaijieguo
排名第一	paimingdiyi
派息日	paixiri
盘档	pandang
判断后市	panduanhoushi
盘后	panhou
盘后点评	panhoudianping
盘后交易	panhoujiaoyi
盘活	panhuo
盘活资产	panhuozichan
盘面分析	panmianfenxi
盘面显示	panmianxianshi
盘面语言	panmianyuyan
盘整	panzheng
盘整格局	panzhenggeju
盘整走势	panzhengzoushi
盘中	panzhong
盘中分析	panzhongfenxi
旁观者	pangguanzhe
泡沫经济	paomojingji
抛盘	paopan
抛盘压力	paopanyali
跑业务	paoyewu
跑赢大盘	paoyingdapan
跑赢大市	paoyingdashi
赔偿机制	peichangjizhi
赔偿期限	peichangqixian
配额制	peiezhi
配股	peigu
配售	peishou
配售部分	peishoubufen
配套措施	peitaocuoshi
培训成本	peixunchengben
培训费用	peixunfeiyong
培训课程	peixunkecheng
培训专员	peixunzhuanyuan
配置	peizhi
鹏华	penghua
鹏华基金	penghuajijin
鹏华中国	penghuazhongguo
皮包公司	pibaogongsi
批发商	pifashang
批复过程	pifuguocheng
批复文件	pifuwenjian
批卡	pika
批量撤销	piliangchexiao
批量入市	piliangrushi
批量指定	piliangzhiding
披露函	piluhan
疲软市场	piruanshichang
批文	piwen
批准程序	pizhunchengxu
批准发行	pizhunfaxing
骗线	pianxian
便宜股	pianyigu
票管中心	piaoguanzhongxin
票汇汇率	piaohuihuilv
票据市场	piaojushichang
票面价值	piaomianjiazhi
票面值	piaomianzhi
票面总值	piaomianzongzhi
票象	piaoxiang
票证汇总	piaozhenghuizong
频繁光顾	pinfanguanggu
频繁加息	pinfanjiaxi
频繁进出	pinfanjinchu
贫瘠投资	pinjitouzi
品牌中国	pinpaizhongguo
平安集团	pinganjituan
平安证券	pinganzhengquan
平仓	pingcang
凭单付现	pingdanfuxian
评估办法	pinggubanfa
评估比率	pinggubilv
评估标准	pinggubiaozhun
评估程序	pingguchengxu
评估单位	pinggudanwei
评估方案	pinggufangan
评估费	pinggufei
评估风险	pinggufengxian
评估过程	pingguguocheng
评估价格	pinggujiage
评估价值	pinggujiazhi
评估结果	pinggujieguo
凭股票	pinggupiao
评估清册	pingguqingce
评估师	pinggushi
评估小组	pingguxiaozu
评估意见	pingguyijian
评估增值	pingguzengzhi
评估债券	pingguzhaiquan
评估制度	pingguzhidu
评估中介	pingguzhongjie
评估中心	pingguzhongxin
评估专家	pingguzhuanjia
评估咨询	pingguzixun
平衡买入	pinghengmairu
平衡项目	pinghengxiangmu
平衡预算	pinghengyusuan
评级条件	pingjitiaojian
评级系统	pingjixitong
平级之间	pingjizhijian
评级资格	pingjizige
平价	pingjia
评价等级	pingjiadengji
平价发行	pingjiafaxing
评价企业	pingjiaqiye
平价权证	pingjiaquanzheng
评价日期	pingjiariqi
评价体系	pingjiatixi
平价下限	pingjiaxiaxian
平价销售	pingjiaxiaoshou
评价指标	pingjiazhibiao
评价制度	pingjiazhidu
评价中心	pingjiazhongxin
平静期	pingjingqi
平均达	pingjunda
平均跌幅	pingjundiefu
平均房价	pingjunfangjia
平均股价	pingjungujia
平均化	pingjunhua
平均利润	pingjunlirun
平均每家	pingjunmeijia
平均年限	pingjunnianxian
平均权益	pingjunquanyi
平均指数	pingjunzhishu
平开	pingkai
评判标准	pingpanbiaozhun
平券	pingquan
平台整理	pingtaizhengli
平稳运行	pingwenyunxing
平稳走势	pingwenzoushi
评选为	pingxuanwei
平邮	pingyou
平值	pingzhi
平值期权	pingzhiqiquan
平准基金	pingzhunjijin
破产重组	pochanchongzu
破产要求	pochanyaoqiu
破晓袭击	poxiaoxiji
普遍处于	pubianchuyu
普遍回调	pubianhuitiao
普遍认可	pubianrenke
普跌	pudie
浦东分行	pudongfenhang
浦发	pufa
浦发期货	pufaqihuo
浦发银行	pufayinhang
普卡	puka
普升金	pushengjin
普天	putian
普通出售	putongchushou
普通发售	putongfashou
普通股	putonggu
普通股份	putonggufen
普通账户	putongzhanghu
普涨	puzhang
普涨态势	puzhangtaishi
起步阶段	qibujieduan
汽车板块	qichebankuai
汽车贷款	qichedaikuan
汽车信贷	qichexindai
期初库存	qichukucun
启动资金	qidongzijin
期货吧	qihuoba
期货大厦	qihuodasha
期货公司	qihuogongsi
期货管理	qihuoguanli
期货合约	qihuoheyue
期货价格	qihuojiage
期货买入	qihuomairu
期货投资	qihuotouzi
期货网	qihuowang
其价值为	qijiazhiwei
期间利息	qijianlixi
其将在	qijiangzai
七乐彩	qilecai
齐鲁证券	qiluzhengquan
期末报表	qimobaobiao
期末报告	qimobaogao
期权操作	qiquancaozuo
期权单	qiquandan
期权定价	qiquandingjia
期权费	qiquanfei
期权合约	qiquanheyue
期权价格	qiquanjiage
期权交易	qiquanjiaoyi
期权类型	qiquanleixing
期权卖方	qiquanmaifang
期权日	qiquanri
起始号码	qishihaoma
气势如虹	qishiruhong
其他工作	qitagongzuo
其他股东	qitagudong
其他关于	qitaguanyu
其他行业	qitahangye
其他扣款	qitakoukuan
其他事项	qitashixiang
其他收入	qitashouru
其他特色	qitatese
其他原因	qitayuanyin
期限三年	qixiansannian
期限一年	qixianyinian
七星彩	qixingcai
其要求	qiyaoqiu
企业编码	qiyebianma
企业并购	qiyebinggou
企业重组	qiyechongzu
企业存款	qiyecunkuan
企业家	qiyejia
企业融资	qiyerongzi
企业银行	qiyeyinhang
企业债券	qiyezhaiquan
企业债权	qiyezhaiquan
企业账户	qiyezhanghu
企业组织	qiyezuzhi
其优点	qiyoudian
其原因	qiyuanyin
欺诈交易	qizhajiaoyi
欺诈者	qizhazhe
起止日期	qizhiriqi
其中一招	qizhongyizhao
签报错误	qianbaocuowu
前笔	qianbi
前程无忧	qianchengwuyou
钱串子	qianchuanzi
钱袋网	qiandaiwang
签订手续	qiandingshouxu
前滚	qiangun
签过字	qianguozi
签合同	qianhetong
签合同前	qianhetongqian
钱经	qianjing
前景不错	qianjingbucuo
前景堪忧	qianjingkanyou
潜力板块	qianlibankuai
潜力品种	qianlipinzhong
前两年	qianliangnian
前期高点	qianqigaodian
前期市场	qianqishichang
前期调整	qianqitiaozheng
前期投入	qianqitouru
前往当地	qianwangdangdi
前一个	qianyige
前一年	qianyinian
签约手续	qianyueshouxu
潜在顾客	qianzaiguke
潜在买方	qianzaimaifang
潜在压力	qianzaiyali
强大压力	qiangdayali
抢单	qiangdan
强劲发展	qiangjingfazhan
强劲增长	qiangjingzengzhang
枪客	qiangke
强力杀入	qianglisharu
强力推荐	qianglituijian
抢帽子	qiangmaozi
强势冲高	qiangshichonggao
强势多头	qiangshiduotou
强势反弹	qiangshifantan
强势反转	qiangshifanzhuan
强势股	qiangshigu
强势上攻	qiangshishanggong
强势证券	qiangshizhengquan
枪跳	qiangtiao
抢先交易	qiangxianjiaoyi
强制保险	qiangzhibaoxian
强制卖出	qiangzhimaichu
强制拍卖	qiangzhipaimai
强制清算	qiangzhiqingsuan
强制置押	qiangzhizhiya
侨汇	qiaohui
桥梁资金	qiaoliangzijin
侨兴环球	qiaoxinghuanqiu
且不论	qiebulun
勤勉尽责	qinmianjinze
请垂询	qingchuixun
清淡市场	qingdanshichang
青岛安信	qingdaoanxin
青岛海尔	qingdaohaier
青岛啤酒	qingdaopijiu
请关注	qingguanzhu
情况表	qingkuangbiao
青年财富	qingniancaifu
青啤认购	qingpirengou
清算期间	qingsuanqijian
清算人	qingsuanren
清算所	qingsuansuo
清算系统	qingsuanxitong
清算协议	qingsuanxieyi
清算银行	qingsuanyinhang
清算制度	qingsuanzhidu
轻微下跌	qingweixiadie
倾向于	qingxiangyu
取得收益	qudeshouyi
取得资金	qudezijin
区间限制	qujianxianzhi
取决于	qujueyu
取款金额	qukuanjine
取款日期	qukuanriqi
去年年底	qunianniandi
去年收购	qunianshougou
去年同期	quniantongqi
去取款	ququkuan
驱鲨剂	qushaji
趋势明朗	qushiminglang
趋势明显	qushimingxian
趋势投资	qushitouzi
趋势线	qushixian
取现	quxian
曲线提额	quxiantie
趋向成熟	quxiangchengshu
取消破产	quxiaopochan
取消上市	quxiaoshangshi
去银行	quyinhang
趋于谨慎	quyujinshen
区域型	quyuxing
区域性	quyuxing
区域增长	quyuzengzhang
全包租赁	quanbaozulin
全部达标	quanbudabiao
全部股份	quanbugufen
全部满足	quanbumanzu
全部上缴	quanbushangjiao
全部停止	quanbutingzhi
全部投入	quanbutouru
全部投资	quanbutouzi
全部退还	quanbutuihuan
全部赚钱	quanbuzhuanqian
全部转让	quanbuzhuanrang
全额保险	quanebaoxian
全额包销	quanebaoxiao
全额担保	quanedanbao
全额到账	quanedaozhang
全额抵押	quanediya
全额购买	quanegoumai
全额还款	quanehuankuan
全额赔付	quanepeifu
全额收购	quaneshougou
全额退保	quanetuibao
全额预缴	quaneyujiao
全国性	quanguoxing
全价股票	quanjiagupiao
全景网络	quanjingwangluo
全局观	quanjuguan
权利义务	quanliyiwu
全流通	quanliutong
全面发力	quanmianfali
全面反攻	quanmianfangong
全面反击	quanmianfanji
全面覆盖	quanmianfugai
全面活跃	quanmianhuoyue
全面开放	quanmiankaifang
全面上涨	quanmianshangzhang
全面审计	quanmianshenji
全面实施	quanmianshishi
全面收购	quanmianshougou
全面行使	quanmianxingshi
全球股市	quanqiugushi
全球路演	quanqiuluyan
全球凭证	quanqiupingzheng
全球商业	quanqiushangye
全球资本	quanqiuziben
全权推荐	quanquantuijian
全权信托	quanquanxintuo
券商	quanshang
券商规章	quanshangguizhang
券商借壳	quanshangjieke
券商直投	quanshangzhitou
权势走软	quanshizouruan
全体股东	quantigudong
权威数字	quanweishuzi
全线告捷	quanxiangaojie
全线飘红	quanxianpiaohong
全线杀跌	quanxianshadie
全线下挫	quanxianxiacuo
全线涨停	quanxianzhangting
权益类	quanyilei
权证	quanzheng
权证分析	quanzhengfenxi
权证价格	quanzhengjiage
权证交易	quanzhengjiaoyi
权证名称	quanzhengmingcheng
权证市场	quanzhengshichang
权证学校	quanzhengxuexiao
权重股	quanzhonggu
权重太大	quanzhongtaida
全资拥有	quanziyongyou
确保资本	quebaoziben
确定报价	quedingbaojia
确认手续	querenshouxu
确认条	querentiao
缺少头寸	queshaotoucun
缺资金	quezijin
裙摆理论	qunbaililun
群丰投资	qunfengtouzi
让银行	rangyinhang
热炒	rechao
热点出现	redianchuxian
热点分析	redianfenxi
热点话题	redianhuati
热点消失	redianxiaoshi
热门股	remengu
热门新股	remenxingu
热钱	reqian
热销基金	rexiaojijin
人贷卡	rendaika
认定标准	rendingbiaozhun
认定到期	rendingdaoqi
人多地少	renduodishao
认购成本	rengouchengben
认购单	rengoudan
认购额	rengoue
认购额度	rengouedu
认购方式	rengoufangshi
认购率	rengoulv
认购期权	rengouqiquan
认购权证	rengouquanzheng
认购协议	rengouxieyi
认购资本	rengouziben
