阿帕网	apawang
归纳逻辑	guinaluoji
归纳命题	guinamingti
归纳推理	guinatuili
归纳学习	guinaxuexi
归纳综合方法	guinazonghefangfa
规约	guiyue
归约	guiyue
规约验证	guiyueyanzheng
规约语言	guiyueyuyan
规则集	guizeji
规则库	guizeku
规则推理	guizetuili
规则子句	guizeziju
滚动条	gundongtiao
滚轮切换标签	gunlunqiehuanbiaoqian
滚筒绘图机	guntonghuituji
过程程序设计	guochengchengxusheji
过程重构	guochengchonggou
过程控制	guochengkongzhi
过程控制软件	guochengkongzhiruanjian
过程逻辑	guochengluoji
过程模型	guochengmoxing
过程实现方法	guochengshixianfangfa
过程数据	guochengshuju
过程同步	guochengtongbu
过程性知识	guochengxingzhishi
过程语言	guochengyuyan
过程语义	guochengyuyi
过冲	guochong
过度概化	guodugaihua
过渡曲面	guoduqumian
过渡曲线	guoduquxian
过渡效果	guoduxiaoguo
过度衍生	guoduyansheng
过孔	guokong
过零检测器	guolingjianceqi
过滤包管理器	guolvbaoguanliqi
过滤提示	guolvtishi
过滤页面内容	guolvyemianneirong
过期检查点	guoqijianchadian
过期数据	guoqishuju
哈佛结构	hafojiegou
哈密顿回路	hamidunhuilu
哈密顿路径	hamidunlujing
哈希加密	haxijiami
哈希信息	haxixinxi
海量存储器	hailiangcunchuqi
海阳顶端	haiyangdingduan
汉卡	hanka
汉明距离	hanmingjuli
汉明码	hanmingma
焊盘	hanpan
函数	hanshu
函数编程	hanshubiancheng
函数程序设计	hanshuchengxusheji
函数调用	hanshudiaoyong
函数体	hanshuti
函数依赖	hanshuyilai
函数依赖闭包	hanshuyilaibibao
汉语	hanyu
汉语词语编码	hanyuciyubianma
汉语词语库	hanyuciyuku
汉语分析	hanyufenxi
汉语理解	hanyulijie
汉语拼音	hanyupinyin
汉语人机界面	hanyurenjijiemian
汉语生成	hanyushengcheng
汉语信息处理	hanyuxinxichuli
汉语言语分析	hanyuyanyufenxi
汉语言语合成	hanyuyanyuhecheng
汉语言语识别	hanyuyanyushibie
汉语言语输入	hanyuyanyushuru
汉语语音分析	hanyuyuyinfenxi
汉语语音合成	hanyuyuyinhecheng
汉语语音识别	hanyuyuyinshibie
汉语语音输入	hanyuyuyinshuru
汉语自动分词	hanyuzidongfenci
汉语自动切分	hanyuzidongqiefen
汉字编码	hanzibianma
汉字编码方案	hanzibianmafangan
汉字编码技术	hanzibianmajishu
汉字编码输入	hanzibianmashuru
汉字部件	hanzibujian
汉字打印机	hanzidayinji
汉字代码	hanzidaima
汉字公用程序	hanzigongyongchengxu
汉字集	hanziji
汉字键盘	hanzijianpan
汉字检字法	hanzijianzifa
汉字交换码	hanzijiaohuanma
汉字结构	hanzijiegou
汉字流通频度	hanziliutongpindu
汉字内码	hanzineima
汉字区位码	hanziquweima
汉字生成器	hanzishengchengqi
汉字识别	hanzishibie
汉字识别系统	hanzishibiexitong
汉字使用频度	hanzishiyongpindu
汉字手持终端	hanzishouchizhongduan
汉字输出	hanzishuchu
汉字输入	hanzishuru
汉字输入程序	hanzishuruchengxu
汉字输入键盘	hanzishurujianpan
汉字输入码	hanzishuruma
汉字属性	hanzishuxing
汉字属性字典	hanzishuxingzidian
汉字特征	hanzitezheng
汉字显示终端	hanzixianshizhongduan
汉字信息处理	hanzixinxichuli
汉字样本	hanziyangben
汉字样本库	hanziyangbenku
汉字终端	hanzizhongduan
汉字字形库	hanzizixingku
行地址	hangdizhi|xingdizhi
行地址选通	hangdizhixuantong|xingdizhixuantong
行频	hangpin|xingpin
行扫描	hangsaomiao
杭士基阶层	hangshijijieceng
行业软件	hangyeruanjian
行译码	hangyima|xingyima
行主向量存储	hangzhuxiangliangcunchu|xingzhuxiangliangcunchu
好群推荐	haoquntuijian
合并按钮	hebinganniu
合并短整数	hebingduanzhengshu
合并结构	hebingjiegou
合并拷贝	hebingkaobei
合并扫描法	hebingsaomiaofa
合并整数	hebingzhengshu
合并中插	hebingzhongcha
合成部件	hechengbujian
合成词	hechengci
合成环境	hechenghuanjing
合成器	hechengqi
合成世界	hechengshijie
合成视频	hechengshipin
合成数字音频	hechengshuziyinpin
核磁共振	hecigongzhen
合法性撤消	hefaxingchexiao
合法性取消	hefaxingquxiao
赫夫曼编码	hefumanbianma
合格性测试	hegexingceshi
核基安全	hejianquan
合取查询	hequchaxun
合取范式	hequfanshi
合式公式	heshigongshi
合同网	hetongwang
核心映像库	hexinyingxiangku
合一	heyi
合一部件	heyibujian
合一子	heyizi
合作主体	hezuozhuti
黑白阴影效果	heibaiyinyingxiaoguo
黑板策略	heibancelue
黑板记忆组织	heibanjiyizuzhi
黑板结构	heibanjiegou
黑板模型	heibanmoxing
黑板体系结构	heibantixijiegou
黑板系统	heibanxitong
黑板协商	heibanxieshang
黑板协调	heibanxietiao|heibanxiediao
黑底屏	heidiping
黑洞	heidong
黑洞后门	heidonghoumen
黑而粗糙	heiercucao
黑盒	heihe
黑盒测试	heiheceshi
黑客	heike
黑客人物	heikerenwu
黑名单库	heimingdanku
黑体	heiti
黑箱	heixiang
黑箱测试	heixiangceshi
黑信号	heixinhao
黑炸弹蠕虫	heizhadanruchong
很小很强大	henxiaohenqiangda
恒定比特率	hengdingbitelv
恒角速度	hengjiaosudu
横跨边	hengkuabian
横排	hengpai
恒氏杀毒软件	hengshishaduruanjian
恒线速度	hengxiansudu
横向	hengxiang
横向检验	hengxiangjianyan
横向冗余检验	hengxiangrongyujianyan
横向扫描	hengxiangsaomiao
宏病毒	hongbingdu
宏处理程序	hongchulichengxu
宏观经济模型	hongguanjingjimoxing
红黑工程	hongheigongcheng
宏结点	hongjiedian
宏块	hongkuai
宏理论	honglilun
宏流水线算法	hongliushuixiansuanfa
宏任务化	hongrenwuhua
红色	hongse
红色战略	hongsezhanlue
宏语言	hongyuyan
宏指令	hongzhiling
后备软盘	houbeiruanpan
后备系统	houbeixitong
厚层压板	houcengyaban
后处理	houchuli
厚度计	houduji
后端网	houduanwang
后集	houji
后继标识	houjibiaozhi|houjibiaoshi
后继丛	houjicong
后继站	houjizhan
后加安全	houjiaanquan
后接成份	houjiechengfen
后进先出	houjinxianchu
后门	houmen
厚膜	houmo
厚膜电路	houmodianlu
后台	houtai
后台操作方式	houtaicaozuofangshi
后台初启程序	houtaichuqichengxu
后台调度程序	houtaidiaoduchengxu
后台分区	houtaifenqu
后台分页	houtaifenye
后台监控程序	houtaijiankongchengxu
后台进程	houtaijincheng
后台任务	houtairenwu
后台作业	houtaizuoye
后同步码	houtongbuma
后像	houxiang
后向串扰	houxiangchuanrao
候选键	houxuanjian
候选解	houxuanjie
后移一层	houyiyiceng
后援存储器	houyuancunchuqi
后援电池	houyuandianchi
后援高速缓存	houyuangaosuhuancun
后援系统	houyuanxitong
后置修饰	houzhixiushi
后缀	houzhui
互操作	hucaozuo
互操作性	hucaozuoxing
互斥变迁	huchibianqian
互工作	hugongzuo
互换	huhuan
互换电路	huhuandianlu
互换性	huhuanxing
呼叫重定向	hujiaochongdingxiang
呼叫改发	hujiaogaifa
呼叫接通分组	hujiaojietongfenzu
呼叫进行信号	hujiaojinxingxinhao
呼叫控制	hujiaokongzhi
呼叫控制规程	hujiaokongzhiguicheng
互联网	hulianwang
互联网安全	hulianwanganquan
忽略列表	hulueliebiao
呼气音	huqiyin
互通	hutong
互相怀疑	huxianghuaiyi
互信息	huxinxi
互指	huzhi
划代原则	huadaiyuanze
华东承启	huadongchengqi
划分算法	huafensuanfa
画渐变矩形	huajianbianjuxing
画矩形	huajuxing
华军软件	huajunruanjian
华莱士树	hualaishishu
话题小组	huatixiaozu
华途	huatu
画图片	huatupian
华夏木马	huaxiamuma
画弦	huaxian
话音	huayin
话音邮件	huayinyoujian
话语分析	huayufenxi
话语模型	huayumoxing
话语生成	huayushengcheng
画圆角矩形	huayuanjiaojuxing
花园路径句	huayuanlujingju
画中画	huazhonghua
坏扇区法	huaishanqufa
缓冲池	huanchongchi
缓冲存储器	huanchongcunchuqi
缓冲寄存器	huanchongjicunqi
缓冲器	huanchongqi
缓冲器算法	huanchongqisuanfa
缓冲区	huanchongqu
缓冲区分配	huanchongqufenpei
缓冲区管理	huanchongquguanli
缓冲区预分配	huanchongquyufenpei
缓冲装置	huanchongzhuangzhi
换出	huanchu
缓存	huancun
缓存文件	huancunwenjian
环等待时间	huandengdaishijian
换行	huanhang|huanxing
环回点	huanhuidian
换进	huanjin
环境光	huanjingguang
环境控制表	huanjingkongzhibiao
环境湿度	huanjingshidu
环境温度	huanjingwendu
环境映射	huanjingyingshe
换名	huanming
换名缓冲器	huanminghuanchongqi
换气单位	huanqidanwei
环绕在周围	huanraozaizhouwei
唤醒	huanxing
唤醒等待	huanxingdengdai
环形缓冲	huanxinghuanchong
唤醒原语	huanxingyuanyu
唤醒字符	huanxingzifu
环氧黏合剂	huanyangnianheji
换页	huanye
幻影后门	huanyinghoumen
还原	huanyuan
还原注销	huanyuanzhuxiao
环站	huanzhan
绘笔图	huibitu
汇编	huibian
汇编程序	huibianchengxu
汇编器	huibianqi
汇编语言	huibianyuyan
回拨	huibo
回波	huibo
灰尘与划痕	huichenyuhuahen
回答模式	huidamoshi
汇点	huidian
灰度	huidu
灰度变换	huidubianhuan
灰度级	huiduji
灰度校正	huidujiaozheng
灰度图像	huidutuxiang
灰度阈值	huiduyuzhi
恢复能力	huifunengli
恢复删除	huifushanchu
恢复鼠标	huifushubiao
灰鸽子后门	huigezihoumen
回归测试	huiguiceshi
回滚事务	huigunshiwu
灰盒测试	huiheceshi
会话层	huihuaceng
会话密钥	huihuamiyue|huihuamiyao
会话式分时	huihuashifenshi
会话型业务	huihuaxingyewu
会话状态	huihuazhuangtai
回叫	huijiao
回路	huilu
会面时间	huimianshijian
回扫时间	huisaoshijian
回声句	huishengju
回收程序	huishouchengxu
回送	huisong
回送测试	huisongceshi
回送方式	huisongfangshi
回送关闭	huisongguanbi
回送检验	huisongjianyan
回送检验系统	huisongjianyanxitong
回送开放	huisongkaifang
回溯	huisu
回弹力	huitanli|huidanli
回调	huitiao
绘图	huitu
绘图钢笔	huitugangbi
绘图机	huituji
回退	huitui
会议连接	huiyilianjie
绘制	huizhi
混沌	hundun
混沌动力学	hundundonglixue
混合编码	hunhebianma
混合动态系统	hunhedongtaixitong
混合集成电路	hunhejichengdianlu
混合计算机	hunhejisuanji
混合结构	hunhejiegou
混合模拟	hunhemoni
混合式	hunheshi
混合系统	hunhexitong
混合主体	hunhezhuti
混乱性	hunluanxing
混洗	hunxi
混洗交换	hunxijiaohuan
混洗交换网络	hunxijiaohuanwangluo
混音器	hunyinqi
伙伴系统	huobanxitong
活变迁	huobianqian
活动标签显示	huodongbiaoqianxianshi
活动地板	huodongdiban
活动分区	huodongfenqu
活动进程	huodongjincheng
活动驱动器	huodongqudongqi
活动文件	huodongwenjian
活动页	huodongye
活动主体	huodongzhuti
活动状态	huodongzhuangtai
霍恩子句	huoenziju
霍尔逻辑	huoerluoji
或非门	huofeimen
霍夫变换	huofubianhuan
活化边表	huohuabianbiao
或门	huomen
获取过程	huoquguocheng
获取焦点	huoqujiaodian
或事物	huoshiwu
活锁	huosuo
基本操作	jibencaozuo
基本词	jibenci
基本规程	jibenguicheng
基本集	jibenji
基本块	jibenkuai
基本密钥	jibenmiyue|jibenmiyao
基本平台	jibenpingtai
基本网系统	jibenwangxitong
基本优先级	jibenyouxianji
基本字长	jibenzichang
吉比特以太网	jibiteyitaiwang
畸变	jibian
基表	jibiao
吉布森混合法	jibusenhunhefa
即插即用	jichajiyong
集成	jicheng
集成测试	jichengceshi
集成电路	jichengdianlu
集成电源	jichengdianyuan
集成度	jichengdu
继承父类成员	jichengfuleichengyuan
集成数字控制	jichengshuzikongzhi
继承误差	jichengwucha
集成自动化	jichengzidonghua
基础部件	jichubujian
基础类	jichulei
基础设施	jichusheshi
基础网	jichuwang
计次循环首	jicixunhuanshou
计次循环尾	jicixunhuanwei
寄存器	jicunqi
寄存器长度	jicunqichangdu
寄存器着色	jicunqizhuose|jicunqizhese
击打式打印机	jidashidayinji
击打噪声	jidazaosheng
基带传输	jidaichuanshu
基带局	jidaiju
基底结构	jidijiegou
基底凸线	jidituxian
基底型式	jidixingshi
极点	jidian
继电控制	jidiankongzhi
继电器	jidianqi
机电一体化	jidianyitihua
机顶盒	jidinghe
肌动理论	jidonglilun
机读辞典	jiducidian
记法	jifa
机房管理	jifangguanli
机房维护	jifangweihu
计费	jifei
积分控制	jifenkongzhi
集肤效应	jifuxiaoying
激光存储器	jiguangcunchuqi
激光印刷机	jiguangyinshuaji
激光影碟	jiguangyingdie
激光照排机	jiguangzhaopaiji
机柜	jigui
基函数	jihanshu
几何变换	jihebianhuan
几何变形	jihebianxing
几何校正	jihejiaozheng|jihexiaozheng
集合类	jihelei
几何连续性	jihelianxuxing
几何平均	jihepingjun
集合语言	jiheyuyan
几何造型	jihezaoxing
激活	jihuo
激活函数	jihuohanshu
激活机制	jihuojizhi
激活新标签	jihuoxinbiaoqian
激活右边	jihuoyoubian
激活原语	jihuoyuanyu
激活左边	jihuozuobian
击键时间当量	jijianshijiandangliang
击键验证	jijianyanzheng
级控	jikong
级联	jilian
计量经济模型	jiliangjingjimoxing
计量语言学	jiliangyuyanxue
记录测量	jiluceliang
记录方式	jilufangshi
记录块	jilukuai
记录密度	jilumidu
记录日志	jilurizhi
记录锁定	jilusuoding
机密级	jimiji
积木块假设	jimukuaijiashe
积木世界	jimushijie
奇偶	jiou|qiou
奇偶归并排序	jiouguibingpaixu|qiouguibingpaixu
奇偶检验	jioujianyan|qioujianyan
基朴	jipu
机器词典	jiqicidian
机器发现	jiqifaxian
机器翻译	jiqifanyi
机器翻译评价	jiqifanyipingjia
机器狗蠕虫	jiqigouruchong
机器检查中断	jiqijianchazhongduan
机器码	jiqima
机器人	jiqiren
机器人工程	jiqirengongcheng
机器人学	jiqirenxue
机器视觉	jiqishijue
机器学习	jiqixuexi
机器语言	jiqiyuyan
机器运行	jiqiyunxing
机器指令	jiqizhiling
机器智能	jiqizhineng
机器周期	jiqizhouqi
机群	jiqun
集散控制	jisankongzhi
集散控制系统	jisankongzhixitong
寄生电容	jishengdianrong
寄生振荡	jishengzhendang
及时编译程序	jishibianyichengxu
即时编译器	jishibianyiqi
计时分析程序	jishifenxichengxu
即时解压缩	jishijieyasuo
计时器	jishiqi
及时生产	jishishengchan
即时通讯软件	jishitongxunruanjian
即时压缩	jishiyasuo
计时页	jishiye
技术规范	jishuguifan
技术可行性	jishukexingxing
基数排序	jishupaixu
计数器	jishuqi
奇数扫描	jishusaomiao
计数选择弧	jishuxuanzehu
技术主管	jishuzhuguan
极速波蠕虫	jisuboruchong
极速浏览器	jisuliulanqi
计算包封	jisuanbaofeng
计算程序	jisuanchengxu
计算弹道	jisuandandao
计算复杂度	jisuanfuzadu
计算复杂性	jisuanfuzaxing
计算机安全	jisuanjianquan
计算机病毒	jisuanjibingdu
计算机产业	jisuanjichanye
计算机程序	jisuanjichengxu
计算机代	jisuanjidai
计算机动画	jisuanjidonghua
计算机犯罪	jisuanjifanzui
计算机工程	jisuanjigongcheng
计算机管理	jisuanjiguanli
计算几何	jisuanjihe
计算机化	jisuanjihua
计算机技术	jisuanjijishu
计算机间谍	jisuanjijiandie
计算机可靠性	jisuanjikekaoxing
计算机科学	jisuanjikexue
计算机控制	jisuanjikongzhi
计算机类型	jisuanjileixing
计算机理解	jisuanjilijie
计算机乱用	jisuanjiluanyong
计算机密码学	jisuanjimimaxue
计算机软件	jisuanjiruanjian
计算机视觉	jisuanjishijue
计算机实现	jisuanjishixian
计算技术	jisuanjishu
计算机数据	jisuanjishuju
计算机数控	jisuanjishukong
计算机图像	jisuanjituxiang
计算机图形学	jisuanjituxingxue
计算机网络	jisuanjiwangluo
计算机系统	jisuanjixitong
计算机下棋	jisuanjixiaqi
计算机显示	jisuanjixianshi
计算机性能	jisuanjixingneng
计算机型谱	jisuanjixingpu
计算机疫苗	jisuanjiyimiao
计算机艺术	jisuanjiyishu
计算机硬件	jisuanjiyingjian
计算机应用	jisuanjiyingyong
计算机语言	jisuanjiyuyan
计算机诈骗	jisuanjizhapian
计算机制图	jisuanjizhitu
计算机字	jisuanjizi
计算机资源	jisuanjiziyuan
计算句法学	jisuanjufaxue
计算零知识	jisuanlingzhishi
计算逻辑	jisuanluoji
计算排序	jisuanpaixu
计算器	jisuanqi
计算声韵学	jisuanshengyunxue
计算使用	jisuanshiyong
计算数目	jisuanshumu
计算系统	jisuanxitong
计算性能	jisuanxingneng
计算语言学	jisuanyuyanxue
计算语义学	jisuanyuyixue
计算语意学	jisuanyuyixue
计算语音学	jisuanyuyinxue
计算语用学	jisuanyuyongxue
计算智能	jisuanzhineng
计算注册码	jisuanzhucema
集团口令	jituankouling
基网	jiwang
迹线	jixian
基线	jixian
集线器	jixianqi
极限优先级	jixianyouxianji
机箱	jixiang
机械式翻译	jixieshifanyi
机械手	jixieshou
机械鼠标	jixieshubiao
机械学习	jixiexuexi
基页	jiye
记忆保持度	jiyibaochidu
记忆表示	jiyibiaoshi
记忆组织包	jiyizuzhibao
基因块假设	jiyinkuaijiashe
基于规则	jiyuguize
基于规则语言	jiyuguizeyuyan
基于合一语法	jiyuheyiyufa
基于解释	jiyujieshi
基于实例	jiyushili
迹语言	jiyuyan
基于知识	jiyuzhishi
基于主体	jiyuzhuti
记帐策略	jizhangcelue
机制	jizhi
基址寄存器	jizhijicunqi
集中电容	jizhongdianrong
集中负载	jizhongfuzai
集中控制	jizhongkongzhi
集中式缓冲池	jizhongshihuanchongchi
集中式网	jizhongshiwang
机助翻译	jizhufanyi
机助人译	jizhurenyi
基准	jizhun
基准测试	jizhunceshi
基准程序	jizhunchengxu
基准电源	jizhundianyuan
基准码	jizhunma
基准网络	jizhunwangluo
基准线	jizhunxian
基子句	jiziju
加标图	jiabiaotu
加博变换	jiabobianhuan
加粗当前标签	jiacudangqianbiaoqian
加法器	jiafaqi
加急传送	jiajichuansong
加记录	jiajilu
加减器	jiajianqi
夹具	jiaju
加空记录	jiakongjilu
加亮	jialiang
假冒攻击	jiamaogongji
加密	jiami
加密法	jiamifa
加密结果	jiamijieguo
加密算法	jiamisuanfa
加密文本	jiamiwenben
加密协议	jiamixieyi
加强成分	jiaqiangchengfen
加强模糊	jiaqiangmohu
加权	jiaquan
加权同步距离	jiaquantongbujuli
加权图	jiaquantu
加入项目	jiaruxiangmu
加入杂色	jiaruzase
假色	jiase
假设验证	jiasheyanzheng
加速比	jiasubi
加速测试	jiasuceshi
加速定理	jiasudingli
加速键	jiasujian
加速器	jiasuqi
加速时间	jiasushijian
加速图形端口	jiasutuxingduankou
加锁	jiasuo
家态	jiatai
家庭版	jiatingban
家庭办公	jiatingbangong
假通过率	jiatongguolv
假脱机	jiatuoji
假脱机队列	jiatuojiduilie
假脱机管理	jiatuojiguanli
假脱机文件	jiatuojiwenjian
假脱机系统	jiatuojixitong
假脱机作业	jiatuojizuoye
加线条	jiaxiantiao
假信号	jiaxinhao
假言推理	jiayantuili
家园等级	jiayuandengji
家园装饰	jiayuanzhuangshi
架装安装	jiazhuanganzhuang
架装结构	jiazhuangjiegou
渐变	jianbian
渐变叠加	jianbiandiejia
鉴别	jianbie
鉴别交换	jianbiejiaohuan
鉴别逻辑	jianbieluoji
鉴别数据	jianbieshuju
鉴别头	jianbietou
鉴别信息	jianbiexinxi
剪裁过程	jiancaiguocheng
监测网路	jiancewanglu
检查表	jianchabiao
检查程序	jianchachengxu
检查点	jianchadian
检查点再启动	jianchadianzaiqidong
检查更新	jianchagengxin
检查和	jianchahe
检查链接	jianchalianjie
检错	jiancuo
检错例程	jiancuolicheng
检错码	jiancuoma
检错停机	jiancuotingji
简单安全特性	jiandananquantexing
简单多边形	jiandanduobianxing
简单链表	jiandanlianbiao
鉴定需求	jiandingxuqiu
监督控制	jiandukongzhi
监督学习	jianduxuexi
间发错误	jianfacuowu
减法器	jianfaqi
间隔计时器	jiangejishiqi
间隔帧	jiangezhen
简化字	jianhuazi
键记录器	jianjiluqi
间接地址	jianjiedizhi
简洁性	jianjiexing
间接寻址	jianjiexunzhi
监控程序	jiankongchengxu
监控方式	jiankongfangshi
监控任务	jiankongrenwu
监控台	jiankongtai
建立时间	jianlishijian
键码	jianma
简码	jianma
键帽	jianmao
建模	jianmo
键盘	jianpan
键盘打印机	jianpandayinji
剪切变换	jianqiebianhuan
剪取	jianqu
拣取设备	jianqushebei
兼容计算机	jianrongjisuanji
兼容机制	jianrongjizhi
兼容性	jianrongxing
兼容字符	jianrongzifu
溅射膜盘	jianshemopan
监视定时器	jianshidingshiqi
监视器	jianshiqi
监视信元	jianshixinyuan
监视状态	jianshizhuangtai
减速时间	jiansushijian
检索	jiansuo
检索机制	jiansuojizhi
检索空间	jiansuokongjian
检索树	jiansuoshu
检索型业务	jiansuoxingyewu
简体中文	jiantizhongwen
简体中文版	jiantizhongwenban
剪贴板	jiantieban
剑网木马	jianwangmuma
键位	jianwei
键位表	jianweibiao
键位布局	jianweibuju
间协议	jianxieyi
检验板测试	jianyanbanceshi
检验步骤	jianyanbuzhou
检验程序	jianyanchengxu
检验电路	jianyandianlu
检验计算	jianyanjisuan
检验例程	jianyanlicheng
检验码	jianyanma
检验器	jianyanqi
检验位	jianyanwei
检验序列	jianyanxulie
检验装置	jianyanzhuangzhi
检验总线	jianyanzongxian
简易收集面版	jianyishoujimianban
键元串	jianyuanchuan
键元集	jianyuanji
减震器	jianzhenqi
降级恢复	jiangjihuifu
降级运行	jiangjiyunxing
江民	jiangmin
江民防火墙	jiangminfanghuoqiang
江民杀毒软件	jiangminshaduruanjian
讲授学习	jiangshouxuexi
降维	jiangwei
脚本	jiaoben
脚本错误	jiaobencuowu
脚本知识表示	jiaobenzhishibiaoshi
交叉编译	jiaochabianyi
交叉存储器	jiaochacunchuqi
交叉存取	jiaochacunqu
交叉概率	jiaochagailv
交叉感染	jiaochaganran
交叉汇编程序	jiaochahuibianchengxu
交叉开关	jiaochakaiguan
交叉开关网	jiaochakaiguanwang
交叉连接	jiaochalianjie
交叉链接文件	jiaochalianjiewenjian
交叉耦合	jiaochaouhe
交叉耦合噪声	jiaochaouhezaosheng
交叉搜索	jiaochasousuo
交叉算子	jiaochasuanzi
交错路径	jiaocuolujing
交错因子	jiaocuoyinzi
较低指令字部	jiaodizhilingzibu
交付	jiaofu
交互	jiaohu
交互错误	jiaohucuowu
交互方式	jiaohufangshi
交互故障	jiaohuguzhang
交互技术	jiaohujishu
交互设备	jiaohushebei
交互式	jiaohushi
交互式查找	jiaohushichazhao
交互式处理	jiaohushichuli
交互式电视	jiaohushidianshi
交互式分时	jiaohushifenshi
交互式论证	jiaohushilunzheng
交互式批处理	jiaohushipichuli
交互式协议	jiaohushixieyi
交互式语言	jiaohushiyuyan
交互式证明	jiaohushizhengming
交互图	jiaohutu
交互图形系统	jiaohutuxingxitong
交互型业务	jiaohuxingyewu
交互运作	jiaohuyunzuo
交互中插	jiaohuzhongcha
交互主体	jiaohuzhuti
交换机	jiaohuanji
交换码	jiaohuanma
交换排列	jiaohuanpailie
交换排序	jiaohuanpaixu
交换线路	jiaohuanxianlu
交换虚电路	jiaohuanxudianlu
交换虚拟网	jiaohuanxuniwang
交谈服务	jiaotanfuwu
校验和	jiaoyanhe
校验状态	jiaoyanzhuangtai
校样颜色	jiaoyangyanshai
交钥匙系统	jiaoyaoshixitong|jiaoyaochixitong
教育点播	jiaoyudianbo
校正信号	jiaozhengxinhao|xiaozhengxinhao
截除	jiechu
接触电阻	jiechudianzu
解除分配	jiechufenpei
接触起停	jiechuqiting
接触式磁记录	jiechushicijilu
接触压力	jiechuyali
介词依附	jieciyifu
解答抽取	jiedachouqu
接地平面	jiedipingmian
接地系统	jiedixitong
节点	jiedian
结点	jiedian
节点插值	jiedianchazhi
介电常数	jiedianchangshu
结点关系度	jiedianguanxidu
节点删除	jiedianshanchu
介电损耗	jiediansunhao
截断误差	jieduanwucha
姐夫陈	jiefuchen
结构	jiegou
结构查询语言	jiegouchaxunyuyan
结构冲突	jiegouchongtu
结构存储器	jiegoucunchuqi
结构分页系统	jiegoufenyexitong
结构共享表征	jiegougongxiangbiaozheng
结构化保护	jiegouhuabaohu
结构化编程	jiegouhuabiancheng
结构化编辑器	jiegouhuabianjiqi
结构化程序	jiegouhuachengxu
结构化方法	jiegouhuafangfa
结构化分析	jiegouhuafenxi
结构化规约	jiegouhuaguiyue
结构化设计	jiegouhuasheji
结构理据	jiegouliju
结构模式识别	jiegoumoshishibie
结构歧义	jiegouqiyi
结构图	jiegoutu
结构性	jiegouxing
结构有界性	jiegouyoujiexing
接合	jiehe
结合价	jiehejia
结合价理论	jiehejialilun
结合价语法	jiehejiayufa
解决方案	jiejuefangan
接口	jiekou
接口测试	jiekouceshi
接口程序集	jiekouchengxuji
接口定义语言	jiekoudingyiyuyan
接口分析	jiekoufenxi
接口规约	jiekouguiyue
接口开销	jiekoukaixiao
接口描述语言	jiekoumiaoshuyuyan
接口速率	jiekousulv
接口需求	jiekouxuqiu
接口主体	jiekouzhuti
阶理论	jielilun
揭露	jielu
解码	jiema
解码器	jiemaqi
解密	jiemi
截面	jiemian
界面	jiemian
截面曲线	jiemianquxian
节能模式	jienengmoshi
解耦	jieou
接人层	jierenceng
解释	jieshi
解释程序	jieshichengxu
解释器	jieshiqi
解释型语言	jieshixingyuyan
接收端	jieshouduan
接收门	jieshoumen
接收器	jieshouqi
接受者	jieshouzhe
接收证实	jieshouzhengshi
接受状态	jieshouzhuangtai
解树	jieshu
结束打印	jieshudayin
结束块	jieshukuai
结束坐标	jieshuzuobiao
解锁	jiesuo
解锁记录	jiesuojilu
解锁数据库	jiesuoshujuku
解图	jietu
结温	jiewen
接线	jiexian
界线标记	jiexianbiaoji
界线符号	jiexianfuhao
借线进入	jiexianjinru
解压缩	jieyasuo
借移	jieyi
阶跃发生器	jieyuefashengqi
阶跃函数	jieyuehanshu
解增删锁	jiezengshansuo
介质	jiezhi
介质隔离	jiezhigeli
介质故障	jiezhiguzhang
结至环境热阻	jiezhihuanjingrezu
介质转换	jiezhizhuanhuan
禁闭	jinbi
锦标赛算法	jinbiaosaisuanfa
进程	jincheng
进程变迁	jinchengbianqian
进程调度	jinchengdiaodu
进程定性推理	jinchengdingxingtuili
进程间通信	jinchengjiantongxin
进程句柄	jinchengjubing
进程名	jinchengming
进程迁移	jinchengqianyi
进程同步	jinchengtongbu
进程优先级	jinchengyouxianji
进程状态	jinchengzhuangtai
紧凑模式	jincoumoshi
浸焊	jinhan
紧喉音	jinhouyin
金狐盗号木马	jinhudaohaomuma
进化策略	jinhuacelue
进化程序	jinhuachengxu
进化程序设计	jinhuachengxusheji
进化发展	jinhuafazhan
进化计算	jinhuajisuan
进化机制	jinhuajizhi
进化检查	jinhuajiancha
进化优化	jinhuayouhua
禁集	jinji
紧急断电	jinjiduandian
紧急开头	jinjikaitou
尽力投递	jinlitoudi
近邻	jinlin
紧密一致性	jinmiyizhixing
今日美食	jinrimeishi
金山毒霸	jinshanduba
金山反间谍	jinshanfanjiandie
金山清理专家	jinshanqinglizhuanjia
金山书信通	jinshanshuxintong
金山网镖	jinshanwangbiao
近似匹配	jinsipipei
近似算法	jinsisuanfa
近似推理	jinsituili
进位	jinwei
近线	jinxian
浸小黑	jinxiaohei
进一步模糊	jinyibumohu
禁用字符	jinyongzifu
禁用组合	jinyongzuhe
禁用组合检验	jinyongzuhejianyan
进栈	jinzhan
禁止表	jinzhibiao
禁止播放声音	jinzhibofangshengyin
紧致测试	jinzhiceshi
禁止重画	jinzhichonghua
禁止电路	jinzhidianlu
禁止脉冲	jinzhimaichong
禁止输入	jinzhishuru
禁止下载图像	jinzhixiazaituxiang
禁止显示	jinzhixianshi
禁止显示动画	jinzhixianshidonghua
