阿姆斯里克	amusilike
环境污染损害赔偿	huanjingwuransunhaipeichang
幻觉错误	huanjuecuowu
幻觉犯	huanjuefan
还款协议	huankuanxieyi
还盘	huanpan
缓刑	huanxing
黄金条款	huangjintiaokuan
回避	huibi
回避决定	huibijueding
汇兑	huidui
恢复名誉	huifumingyu
恢复原状	huifuyuanzhuang
回扣	huikou
贿赂案	huiluan
贿赂物	huiluwu
毁灭公文证件印章罪	huimiegongwenzhengjianyinzhangzui
汇票	huipiao
汇票背书	huipiaobeishu
汇票质押	huipiaozhiya
毁容	huirong
回赎权	huishuquan
回头背书	huitoubeishu
汇校作品	huixiaozuopin
贿选	huixuan
回租合同	huizuhetong
混合的犯罪构成	hunhedefanzuigoucheng
混合过错责任	hunheguocuozeren
混合人寿保险	hunherenshoubaoxian
混合式诉讼	hunheshisusong
混合责任	hunhezeren
混合赠与	hunhezengyu
婚前财产	hunqiancaichan
婚生子女	hunshengzinv
混同	huntong
混淆	hunxiao
婚姻	hunyin
婚姻登记	hunyindengji
婚姻登记监督管理	hunyindengjijianduguanli
婚姻法	hunyinfa
婚姻基础	hunyinjichu
婚姻自由	hunyinziyou
婚约	hunyue
混杂	hunza
霍布斯	huobusi
货差	huocha
获得报酬权	huodebaochouquan
霍尔	huoer
霍菲尔德	huofeierde
货换	huohuan
豁免	huomian
豁免权	huomianquan
霍姆斯	huomusi
货物留置	huowuliuzhi
货物落空	huowuluokong
货物所有权	huowusuoyouquan
货物所有权转移	huowusuoyouquanzhuanyi
货物运输民事经济法律关系	huowuyunshuminshijingjifalvguanxi
货物质量	huowuzhiliang
货物重量短损	huowuzhongliangduansun
货运代理	huoyundaili
货运代理合同	huoyundailihetong
货运代理人	huoyundailiren
火灾保险	huozaibaoxian
火灾责任事故认定	huozaizerenshigurending
基本的犯罪构成	jibendefanzuigoucheng
基本犯	jibenfan
基本利益	jibenliyi
基本事实	jibenshishi
基本帐户	jibenzhanghu
基本专利	jibenzhuanli
级别管辖	jibieguanxia
基层两院	jicengliangyuan
继承	jicheng
继承法	jichengfa
即成犯	jichengfan
继承开始	jichengkaishi
继承权	jichengquan
继承权的放弃	jichengquandefangqi
继承权的丧失	jichengquandesangshi
继承人	jichengren
继承顺序	jichengshunxu
继承资格的丧失	jichengzigedesangshi
基础书证	jichushuzheng
寄存保管	jicunbaoguan
给付	jifu|geifu
继父母	jifumu
机关法人	jiguanfaren
集合物	jihewu
计划生育	jihuashengyu
积极错误	jijicuowu
积极的犯罪构成	jijidefanzuigoucheng
积极贿赂	jijihuilu
鸡奸	jijian
纪检组	jijianzu
基金	jijin
既了未遂	jileweisui
既了中止	jilezhongzhi
记名背书	jimingbeishu
记名公司债	jiminggongsizhai
记名提单	jimingtidan
记名有价证券	jimingyoujiazhengquan
记名支票	jimingzhipiao
即期信用证	jiqixinyongzheng
集市交易税	jishijiaoyishui
即时履行	jishilvxing
即时买卖	jishimaimai
即时取得	jishiqude
寄售合同	jishouhetong
继受取得	jishouqude
技术成果鉴定	jishuchengguojianding
技术处	jishuchu
技术的实用性	jishudeshiyongxing
技术方案等同	jishufangandengtong
技术服务合同	jishufuwuhetong
技术合同	jishuhetong
技术合作开发	jishuhezuokaifa
技术鉴定	jishujianding
技术诀窍	jishujueqiao
技术开发合同	jishukaifahetong
技术科	jishuke
技术秘密	jishumimi
技术培训合同	jishupeixunhetong
技术侵权	jishuqinquan
技术特征	jishutezheng
技术信息	jishuxinxi
技术转让	jishuzhuanrang
技术转让合同	jishuzhuanranghetong
技术咨询	jishuzixun
技术咨询合同	jishuzixunhetong
祭祀权	jisiquan
计算机软件侵权	jisuanjiruanjianqinquan
计算机软件作品著作权	jisuanjiruanjianzuopinzhuzuoquan
既遂构成要件说	jisuigouchengyaojianshuo
既遂结果说	jisuijieguoshuo
既遂目的说	jisuimudishuo
既遂行为说	jisuixingweishuo
集体所有权	jitisuoyouquan
集体所有制	jitisuoyouzhi
集体提留	jititiliu
集体土地使用权	jititudishiyongquan
集体土地所有权	jititudisuoyouquan
集团犯	jituanfan
集团企业改制为有限公司	jituanqiyegaizhiweiyouxiangongsi
季卫东	jiweidong
继续履行	jixulvxing
羁押	jiya
羁押时限	jiyashixian
寄予售人	jiyushouren
积载因数	jizaiyinshu
祭葬物	jizangwu
集装箱	jizhuangxiang
集资	jizi
继子女	jizinv
继子女关系	jizinvguanxi
贾春旺	jiachunwang
伽达默尔	jiadamoer
加尔文	jiaerwen
价格保护	jiagebaohu
价格术语	jiageshuyu
加工承揽合同	jiagongchenglanhetong
加工定作合同	jiagongdingzuohetong
加工合同	jiagonghetong
加害给付	jiahaijifu|jiahaigeifu
加害人过错	jiahairenguocuo
假离婚逃废债务	jialihuntaofeizhaiwu
假冒	jiamao
假冒商标	jiamaoshangbiao
假冒商标罪	jiamaoshangbiaozui
假冒商品	jiamaoshangpin
假冒他人姓名	jiamaotarenxingming
假冒他人专利	jiamaotarenzhuanli
假冒伪劣产品	jiamaoweiliechanpin
假冒注册商标罪	jiamaozhuceshangbiaozui
假冒专利罪	jiamaozhuanlizui
加密存款	jiamicunkuan
假释	jiashi
假释制度	jiashizhidu
家属	jiashu
加速到期	jiasudaoqi
家庭暴力	jiatingbaoli
家庭财产	jiatingcaichan
家庭共同财产的分割	jiatinggongtongcaichandefenge
家庭经营	jiatingjingying
家庭联产承包责任制	jiatinglianchanchengbaozerenzhi
假想的避险	jiaxiangdebixian
假想防卫	jiaxiangfangwei
假药	jiayao
价值理性	jiazhilixing
价值判断	jiazhipanduan
加重的犯罪构成	jiazhongdefanzuigoucheng
加重犯	jiazhongfan
监被居住决定书	jianbeijuzhujuedingshu
兼并	jianbing
兼并的生效	jianbingdeshengxiao
建仓	jiancang
检察官	jianchaguan
检察官法	jianchaguanfa
检察官职业道德规范	jianchaguanzhiyedaodeguifan
检察技术工作	jianchajishugongzuo
检察建议	jianchajianyi
检察津贴	jianchajintie
检察权	jianchaquan
检察院	jianchayuan
检察院自行侦查的刑事案件	jianchayuanzixingzhenchadexingshianjian
检察长	jianchazhang
鉴此	jianci
简单的犯罪构成	jiandandefanzuigoucheng
简单共犯	jiandangongfan
简单客体	jiandanketi
简单罪状	jiandanzuizhuang
间谍罪	jiandiezui
鉴定	jianding
鉴定人	jiandingren
监督体系	jiandutixi
建构	jiangou
监管责任	jianguanzeren
监护	jianhu
监护权	jianhuquan
监护人	jianhuren
监护责任	jianhuzeren
间接代理	jianjiedaili
间接反致	jianjiefanzhi
间接故意	jianjieguyi
间接教唆犯	jianjiejiaosuofan
间接损失	jianjiesunshi
间接投资	jianjietouzi
间接义务	jianjieyiwu
间接因果关系	jianjieyinguoguanxi
检举	jianju
检举权	jianjuquan
检举失实	jianjushishi
监理人	jianliren
减轻处罚	jianqingchufa
减轻的犯罪构成	jianqingdefanzuigoucheng
减轻犯	jianqingfan
减轻刑事责任时期	jianqingxingshizerenshiqi
建设工程	jianshegongcheng
建设工程合同	jianshegongchenghetong
建设用地	jiansheyongdi
奸尸	jianshi
监事	jianshi
监事会	jianshihui
监视居住	jianshijuzhu
减刑	jianxing
检验	jianyan
简易程序	jianyichengxu
奸淫	jianyin
奸淫幼女罪	jianyinyounvzui
鉴证	jianzheng
见证人	jianzhengren
兼职收入	jianzhishouru
建筑质量	jianzhuzhiliang
奖金	jiangjin
姜明安	jiangmingan
江平	jiangping
交错要约	jiaocuoyaoyue
交付	jiaofu
交付的购房款	jiaofudegoufangkuan
交付货物	jiaofuhuowu
交割凭单	jiaogepingdan
交互计算	jiaohujisuan
教会法	jiaohuifa
交货地	jiaohuodi
交货共同条件	jiaohuogongtongtiaojian
教唆的未遂	jiaosuodeweisui
教唆的预备	jiaosuodeyubei
教唆的中止	jiaosuodezhongzhi
教唆犯	jiaosuofan
教唆故意	jiaosuoguyi
教唆行为	jiaosuoxingwei
交通事故	jiaotongshigu
交通事故损害赔偿	jiaotongshigusunhaipeichang
交通肇事	jiaotongzhaoshi
交通肇事罪	jiaotongzhaoshizui
教学秩序	jiaoxuezhixu
教养关系	jiaoyangguanxi
交钥匙合同	jiaoyaoshihetong
界碑界桩	jiebeijiezhuang
借仓交易	jiecangjiaoyi
解除合同	jiechuhetong
解除婚姻关系	jiechuhunyinguanxi
解除收养关系	jiechushouyangguanxi
接触说	jiechushuo
解除条件	jiechutiaojian
解除同居关系的财产分割	jiechutongjuguanxidecaichanfenge
借贷合同	jiedaihetong
阶段性技术成果	jieduanxingjishuchengguo
解构主义法学	jiegouzhuyifaxue
接管	jieguan
结果犯	jieguofan
结果加重犯	jieguojiazhongfan
结合的犯罪构成	jiehedefanzuigoucheng
解汇	jiehui
结婚	jiehun
结婚彩礼的归属	jiehuncailideguishu
结婚的法定条件	jiehundefadingtiaojian
借婚姻索取财物	jiehunyinsuoqucaiwu
揭开公司面纱	jiekaigongsimiansha
借款合同	jiekuanhetong
借款人	jiekuanren
借迷信造谣罪	jiemixinzaoyaozui
借迷信诈骗罪	jiemixinzhapianzui
节目预报类作品的性质	jiemuyubaoleizuopindexingzhi
杰裴逊	jiepeixun
结清债权债务	jieqingzhaiquanzhaiwu
介绍贿赂罪	jieshaohuiluzui
结算合同	jiesuanhetong
借新还旧	jiexinhuanjiu|jiexinhaijiu
接续	jiexu
借用	jieyong
借用合同	jieyonghetong
解约定金	jieyuedingjin
解约日	jieyueri
进程	jincheng
进出口管制	jinchukouguanzhi
近代哲理法学	jindaizhelifaxue
近代哲理法学派	jindaizhelifaxuepai
紧急避难	jinjibinan
紧急避险	jinjibixian
紧急危难	jinjiweinan
进口出版许可证	jinkouchubanxukezheng
进口配额制	jinkoupeiezhi
进口税	jinkoushui
进口替代	jinkoutidai
进口押金制	jinkouyajinzhi
近亲属	jinqinshu
金融犯罪	jinrongfanzui
金融票证	jinrongpiaozheng
金融凭证	jinrongpingzheng
金融债券	jinrongzhaiquan
近似	jinsi
近似商标	jinsishangbiao
禁止流通物	jinzhiliutongwu
禁止转让背书	jinzhizhuanrangbeishu
净持仓限额控制	jingchicangxianekongzhi
竞合	jinghe
经济担保	jingjidanbao
经济法	jingjifa
经济犯罪	jingjifanzui
经济犯罪案件	jingjifanzuianjian
经济分析	jingjifenxi
经济分析法学	jingjifenxifaxue
经济解释	jingjijieshi
经纪人	jingjiren
经济学	jingjixue
经济学分析	jingjixuefenxi
竞买人	jingmairen
精神病人	jingshenbingren
精神从犯	jingshencongfan
精神罚	jingshenfa
精神赔偿	jingshenpeichang
精神损害	jingshensunhai
精神损害赔偿	jingshensunhaipeichang
精神损失费	jingshensunshifei
精神障碍者	jingshenzhangaizhe
经验式	jingyanshi
竞业禁止	jingyejinzhi
竞业限制	jingyexianzhi
经营典当业务资格	jingyingdiandangyewuzige
经营范围	jingyingfanwei
经营权	jingyingquan
经营权租赁	jingyingquanzulin
经营信息	jingyingxinxi
经营许可证	jingyingxukezheng
经营自主权	jingyingzizhuquan
竞争法律关系	jingzhengfalvguanxi
纠纷	jiufen
就高赔偿的原则	jiugaopeichangdeyuanze
救济权	jiujiquan
纠问式诉讼	jiuwenshisusong
救助报酬	jiuzhubaochou
举报中心	jubaozhongxin
剧本上演合同	jubenshangyanhetong
拒不执行判决裁定罪	jubuzhixingpanjuecaidingzui
拘传	juchuan
拘传票	juchuanpiao
举动犯	judongfan
居间	jujian
居间合同	jujianhetong
居间牟利	jujianmouli
居间人	jujianren
居间行为	jujianxingwei
居间资格	jujianzige
拒绝辩护	jujuebianhu
拒绝承付	jujuechengfu
拒绝证书	jujuezhengshu
拘留	juliu
拘留证	juliuzheng
居民委员会	juminweiyuanhui
居所	jusuo
拘提	juti
具体的事实错误	jutideshishicuowu
具体的危险犯	jutideweixianfan
具体符合说	jutifuheshuo
具体事项	jutishixiang
具体行政行为	jutixingzhengxingwei
拘役	juyi
具有法律上的利害关系的第三人	juyoufalvshangdelihaiguanxidedisanren
聚众	juzhong
聚众打砸抢罪	juzhongdazaqiangzui
聚众斗殴	juzhongdouou
聚众犯罪	juzhongfanzui
聚众劫狱罪	juzhongjieyuzui
聚众扰乱公共场所秩序罪	juzhongraoluangonggongchangsuozhixuzui
聚众扰乱交通秩序罪	juzhongraoluanjiaotongzhixuzui
居住权	juzhuquan
捐赠	juanzeng
捐助	juanzhu
决定逮捕	juedingdaibu
绝对不能犯	jueduibunengfan
绝对不确定的法定刑	jueduibuquedingdefadingxing
绝对权	jueduiquan
绝对确定的法定刑	jueduiquedingdefadingxing
绝对宣告刑	jueduixuangaoxing
绝卖	juemai
决水罪	jueshuizui
均查明	junchaming
军法	junfa
军法从严原则	junfacongyanyuanze
军婚	junhun
军内在编职工	junneizaibianzhigong
军人残害战区无辜居民罪	junrencanhaizhanquwugujuminzui
军人盗窃军用物资罪	junrendaoqiejunyongwuzizui
军人盗窃武器装备罪	junrendaoqiewuqizhuangbeizui
军人谎报军情罪	junrenhuangbaojunqingzui
军人假传军令罪	junrenjiachuanjunlingzui
军人临阵脱逃罪	junrenlinzhentuotaozui
军人掠夺战区无辜居民罪	junrenlueduozhanquwugujuminzui
军人虐待俘虏罪	junrennuedaifuluzui
军人虐待迫害部属罪	junrennuedaipohaibushuzui
军人破坏军事设施罪	junrenpohuaijunshisheshizui
军人破坏武器装备罪	junrenpohuaiwuqizhuangbeizui
军人窃取刺探提供军事机密罪	junrenqiequcitantigongjunshijimizui
军人擅离职守罪	junrenshanlizhishouzui
军人私放他人偷越国边境罪	junrensifangtarentouyueguobianjingzui
军人逃离部队罪	junrentaolibuduizui
军人偷越国边境外逃罪	junrentouyueguobianjingwaitaozui
军人玩忽职守罪	junrenwanhuzhishouzui
军人违反职责罪	junrenweifanzhizezui
军人违抗作战命令罪	junrenweikangzuozhanminglingzui
军人武器装备肇事罪	junrenwuqizhuangbeizhaoshizui
军人泄露军事机密罪	junrenxieloujunshijimizui
军人遗弃伤员罪	junrenyiqishangyuanzui
军人遗失军事机密罪	junrenyishijunshijimizui
军人战时造谣惑众罪	junrenzhanshizaoyaohuozhongzui
军人战时自伤罪	junrenzhanshizishangzui
军人自动投降敌人罪	junrenzidongtouxiangdirenzui
军人阻碍执行职务罪	junrenzuaizhixingzhiwuzui
军事机密	junshijimi
军事利益	junshiliyi
军事设施	junshisheshi
军职	junzhi
军职罪	junzhizui
卡多佐	kaduozuo
开标	kaibiao
开采权投资	kaicaiquantouzi
凯尔森	kaiersen
开发经营部	kaifajingyingbu
开放公司	kaifanggongsi
开庭	kaiting
勘察设计工程承包	kanchashejigongchengchengbao
抗辩权	kangbianquan
康德	kangde
抗拒逮捕	kangjudaibu
抗税罪	kangshuizui
抗诉	kangsu
可保利益	kebaoliyi
可背书转让的票据	kebeishuzhuanrangdepiaoju
可变更或撤销的民事行为	kebiangenghuochexiaodeminshixingwei
可撤销合同	kechexiaohetong
可得利益损失	kedeliyisunshi
可分物	kefenwu
可分之债	kefenzhizhai
客观归罪	keguanguizui
科技成果权	kejichengguoquan
恪尽职守	kejinzhishou
柯勒	kele
可能客体	kenengketi
可期待利益	keqidailiyi
科斯	kesi
科斯定理	kesidingli
科斯定律	kesidinglv
可诉性	kesuxing
客体不能犯	ketibunengfan
可消耗物	kexiaohaowu
可选择性指定交易制度	kexuanzexingzhidingjiaoyizhidu
科学技术	kexuejishu
柯英	keying
可预见性损害	keyujianxingsunhai
肯定条件	kendingtiaojian
空白背书	kongbaibeishu
空白的犯罪构成	kongbaidefanzuigoucheng
空白支票	kongbaizhipiao
空白罪状	kongbaizuizhuang
控告	konggao
控告申述部门	konggaoshenshubumen
控股公司	konggugongsi
空间效力	kongjianxiaoli
空壳公司	kongkegongsi
控申处	kongshenchu
控申科	kongshenke
控诉式诉讼	kongsushisusong
控诉职能	kongsuzhineng
空头提单	kongtoutidan
空头支票	kongtouzhipiao
控制说	kongzhishuo
空转回购	kongzhuanhuigou
扣船	kouchuan
扣贷	koudai
口头合同	koutouhetong
口头委托	koutouweituo
口头委托协议	koutouweituoxieyi
口头遗嘱	koutouyizhu
扣押	kouya
扣押船舶	kouyachuanbo
扣押船载货物	kouyachuanzaihuowu
扣押物品清单	kouyawupinqingdan
跨国公司	kuaguogongsi
会计法	kuaijifa
会计鉴定	kuaijijianding
宽严相济	kuanyanxiangji
亏舱费	kuicangfei
拉德布鲁赫	ladebuluhe
来料加工	lailiaojiagong
揽储人	lanchuren
滥伐林木罪	lanfalinmuzui
浪损	langsun
劳动报酬	laodongbaochou
劳动保险	laodongbaoxian
劳动法	laodongfa
劳动法律关系	laodongfalvguanxi
劳动合同	laodonghetong
劳动合同的变更	laodonghetongdebiangeng
劳动合同的解除	laodonghetongdejiechu
劳动合同的中止	laodonghetongdezhongzhi
劳动合同的终止	laodonghetongdezhongzhi
劳动试用期	laodongshiyongqi
劳动争议	laodongzhengyi
劳动仲裁	laodongzhongcai
劳工法	laogongfa
劳务报酬	laowubaochou
劳务合同	laowuhetong
劳务纠纷	laowujiufen
劳务输出	laowushuchu
类别管辖	leibieguanxia
类似商品	leisishangpin
类推适用	leituishiyong
类罪名	leizuiming
立案	lian
立案材料	liancailiao
立案程序	lianchengxu
立案管辖	lianguanxia
立案机关	lianjiguan
离岸价格	lianjiage
立案决定	lianjueding
立案条件	liantiaojian
立案侦查	lianzhencha
李昌麒	lichangqi
立法	lifa
立法程序	lifachengxu
立法法	lifafa
立法机构	lifajigou
立法权限	lifaquanxian
立法体制	lifatizhi
立法原则	lifayuanze
立法者	lifazhe
立功	ligong
利害关系	lihaiguanxi
利害关系人	lihaiguanxiren
离婚	lihun
离婚程序	lihunchengxu
离婚的法定条件	lihundefadingtiaojian
离婚的效力	lihundexiaoli
离婚判定	lihunpanding
离婚条件	lihuntiaojian
离婚协议	lihunxieyi
离婚协议书	lihunxieyishu
立检为公	lijianweigong
李林	lilin
李龙	lilong
利率	lilv
李猛	limeng
理赔	lipei
利润分配	lirunfenpei
利润留成	lirunliucheng
李慎之	lishenzhi
历史法学	lishifaxue
历史法学派	lishifaxuepai
历史反革命犯	lishifangemingfan
历史阶段	lishijieduan
历史类型	lishileixing
历史遗留问题	lishiyiliuwenti
理算	lisuan
理算规则	lisuanguize
利息	lixi
理性	lixing
理性主义	lixingzhuyi
利益法学	liyifaxue
利用封建迷信进行反革命活动罪	liyongfengjianmixinjinxingfangeminghuodongzui
利用职务之便	liyongzhiwuzhibian
利欲犯	liyufan
李正华	lizhenghua
理智投资者	lizhitouzizhe
连带保证责任	liandaibaozhengzeren
联带管辖	liandaiguanxia
连带赔偿责任	liandaipeichangzeren
连带责任	liandaizeren
连带债权	liandaizhaiquan
连带债务	liandaizhaiwu
连带债务责任	liandaizhaiwuzeren
联合国国际货物销售合同公约	lianheguoguojihuowuxiaoshouhetonggongyue
联合运输合同	lianheyunshuhetong
联合制片人	lianhezhipianren
连环购销合同	lianhuangouxiaohetong
连环航次租船合同	lianhuanhangcizuchuanhetong
链接	lianjie
连累犯	lianleifan
连锁式教唆	liansuoshijiaosuo
连续工龄	lianxugongling
连续性教唆	lianxuxingjiaosuo
联营	lianying
联营合同	lianyinghetong
联营协议	lianyingxieyi
联运协作关系	lianyunxiezuoguanxi
两大法系	liangdafaxi
两合公司	lianghegongsi
梁慧星	lianghuixing
两级法院	liangjifayuan
两审终审制	liangshenzhongshenzhi
量刑	liangxing
量刑结果	liangxingjieguo
梁治平	liangzhiping
林地使用权	lindishiyongquan
邻接权	linjiequan
林来梵	linlaifan
林木采伐权	linmucaifaquan
林木承包合同	linmuchengbaohetong
临时保护期	linshibaohuqi
临时股东会	linshigudonghui
临时营业执照	linshiyingyezhizhao
领海及毗连区法	linghaijipilianqufa
领货凭证	linghuopingzheng
灵活性	linghuoxing
领事关系法	lingshiguanxifa
领土	lingtu
领土主权	lingtuzhuquan
另行委托辩护	lingxingweituobianhu
流窜犯	liucuanfan
刘恒	liuheng
刘剑文	liujianwen
刘军宁	liujunning
流氓罪	liumangzui
刘明祥	liumingxiang
刘仁文	liurenwen
流通物	liutongwu
刘武俊	liuwujun
刘小枫	liuxiaofeng
刘星	liuxing
留置	liuzhi
留置权	liuzhiquan
留置送达	liuzhisongda
刘作翔	liuzuoxiang
龙勃罗梭	longboluosuo
龙卫球	longweiqiu
聋哑人	longyaren
龙宗智	longzongzhi
漏洞层出	loudongcengchu
路德	lude
陆空保险	lukongbaoxian
卢梭	lusuo
录音遗嘱	luyinyizhu
录音制品	luyinzhipin
鲁英	luying
轮奸	lunjian
论理自相矛盾	lunlizixiangmaodun
罗尔斯	luoersi
逻辑结构	luojijiegou
洛克	luoke
落款	luokuan
罗马法	luomafa
罗马法系	luomafaxi
旅客运输合同	lvkeyunshuhetong
律师代理费	lvshidailifei
律师法	lvshifa
律师协会	lvshixiehui
律师职业道德	lvshizhiyedaode
律师执业行为规范	lvshizhiyexingweiguifan
律师职业责任	lvshizhiyezeren
履行不能	lvxingbuneng
履行迟延	lvxingchiyan
履行地	lvxingdi
履行法定职责	lvxingfadingzhize
履行抗辩权	lvxingkangbianquan
履行责任	lvxingzeren
吕岩峰	lvyanfeng
旅游合同	lvyouhetong
吕忠梅	lvzhongmei
马长山	machangshan
马基雅弗利	majiyafuli
马克思主义	makesizhuyi
马里旦	malidan
脉膊停止说	maibotingzhishuo
埋藏物	maicangwu
买回权	maihuiquan
迈霍费尔	maihuofeier
买空卖空	maikongmaikong
买卖不破租赁	maimaibupozulin
买卖合同	maimaihetong
买卖婚姻	maimaihunyin
买卖双方	maimaishuangfang
买卖行为瑕疵	maimaixingweixiaci
曼昆	mankun
冒领存款	maolingcunkuan
冒用	maoyong
美国宪法	meiguoxianfa
美术作品	meishuzuopin
美术作品独创性	meishuzuopinduchuangxing
梅因	meiyin
孟德斯鸠	mengdesijiu
密尔	mier
秘密合伙人	mimihehuoren
秘密性	mimixing
迷信犯	mixinfan
免除	mianchu
免税	mianshui
免予起诉	mianyuqisu
免予起诉决定书	mianyuqisujuedingshu
免责条件	mianzetiaojian
免责条款	mianzetiaokuan
灭失	mieshi
民法	minfa
民法典	minfadian
民法通则	minfatongze
民间法	minjianfa
民间借贷	minjianjiedai
民商法	minshangfa
民商经济法	minshangjingjifa
民商事案件	minshangshianjian
民事案件	minshianjian
民事纠纷	minshijiufen
民事权利	minshiquanli
民事权利公民权利	minshiquanligongminquanli
民事权利能力	minshiquanlinengli
民事诉讼	minshisusong
民事诉讼法	minshisusongfa
民事诉讼证据	minshisusongzhengju
民事无效行为	minshiwuxiaoxingwei
民事行为	minshixingwei
民事行为能力	minshixingweinengli
民事责任	minshizeren
民事制裁	minshizhicai
民事主体	minshizhuti
民事主体资格	minshizhutizige
民诉	minsu
民行处	minxingchu
民行科	minxingke
民用航空法	minyonghangkongfa
民主	minzhu
民主政治	minzhuzhengzhi
民族区域自治法	minzuquyuzizhifa
名称权	mingchengquan
明德慎罚	mingdeshenfa
名胜古迹	mingshengguji
明示担保	mingshidanbao
明示合伙	mingshihehuo
名为联营实为借贷	mingweilianyingshiweijiedai
名义合伙人	mingyihehuoren
名义价格	mingyijiage
名优标志	mingyoubiaozhi
名优产品荣誉权	mingyouchanpinrongyuquan
名誉权	mingyuquan
明知	mingzhi
莫纪宏	mojihong
默认	moren
默示	moshi
默示担保	moshidanbao
没收	moshou
没收财产	moshoucaichan
目的犯	mudifan
母公司	mugongsi
募集设立	mujisheli
目录	mulu
慕亚平	muyaping
牧业税	muyeshui
纳税人	nashuiren
男女平等	nannvpingdeng
男女平等财产权利	nannvpingdengcaichanquanli
内部行政合同	neibuxingzhenghetong
内部职工股	neibuzhigonggu
内部职工股私下交易	neibuzhigonggusixiajiaoyi
内国法	neiguofa
内幕交易	neimujiaoyi
内容错误	neirongcuowu
内退	neitui
能犯未遂	nengfanweisui
能源供应合同	nengyuangongyinghetong
能源运输合同	nengyuanyunshuhetong
尼泊尔保护文学和艺术作品公约	niboerbaohuwenxueheyishuzuopingongyue
拟制血亲	nizhixueqin
年度报告	niandubaogao
扭送	niusong
农村承包经营户	nongcunchengbaojingyinghu
农村合作基金会	nongcunhezuojijinhui
农村土地承包法	nongcuntudichengbaofa
农副产品收购合同	nongfuchanpinshougouhetong
农活承包	nonghuochengbao
农林特产税	nonglintechanshui
农业税	nongyeshui
农业责任承包合同	nongyezerenchengbaohetong
虐待罪	nuedaizui
诺成合同	nuochenghetong
诺成性不要式合同	nuochengxingbuyaoshihetong
诺成性行为	nuochengxingxingwei
诺思	nuosi
挪用公款	nuoyonggongkuan
挪用公款罪	nuoyonggongkuanzui
挪用国家特定款物罪	nuoyongguojiatedingkuanwuzui
女权主义法学	nvquanzhuyifaxue
女职工劳动保护	nvzhigonglaodongbaohu
偶犯	oufan
偶然因果关系	ouranyinguoguanxi
排除妨碍	paichufangai
排除社会危害性的行为	paichushehuiweihaixingdexingwei
拍卖	paimai
拍卖法	paimaifa
拍卖合同	paimaihetong
拍卖商	paimaishang
派生的犯罪构成	paishengdefanzuigoucheng
潘恩	panen
判付利息损失	panfulixisunshi
判决书	panjueshu
判例	panli
判例法	panlifa
判例汇编	panlihuibian
庞德	pangde
旁系血亲	pangxixueqin
抛弃物	paoqiwu
抛售	paoshou
赔偿标准	peichangbiaozhun
赔偿担保	peichangdanbao
赔偿范围	peichangfanwei
赔偿金	peichangjin
赔偿请求人	peichangqingqiuren
赔偿数额	peichangshue
赔偿损失	peichangsunshi
赔偿协议	peichangxieyi
赔偿义务	peichangyiwu
赔偿责任	peichangzeren
赔偿责任限制	peichangzerenxianzhi
配股除权	peiguchuquan
赔礼道歉	peilidaoqian
配偶	peiou
陪审制度	peishenzhidu
培训费	peixunfei
培养合同	peiyanghetong
盆景作品	penjingzuopin
碰撞责任	pengzhuangzeren
批捕科	pibuke
批复	pifu
批判法学	pipanfaxue
批准逮捕	pizhundaibu
骗奸	pianjian
票据	piaoju
票据保证	piaojubaozheng
票据变造	piaojubianzao
票据到期日	piaojudaoqiri
票据的丧失	piaojudesangshi
票据的伪造	piaojudeweizao
票据法	piaojufa
票据关系	piaojuguanxi
票据基础关系	piaojujichuguanxi
票据抗辩	piaojukangbian
票据能力	piaojunengli
票据权利	piaojuquanli
票据权利的善意取得	piaojuquanlideshanyiqude
票据涂销	piaojutuxiao
票据退票	piaojutuipiao
票据文义性	piaojuwenyixing
票据无因性	piaojuwuyinxing
票据形式要件	piaojuxingshiyaojian
票据行为	piaojuxingwei
票据行为代理	piaojuxingweidaili
票据遗失	piaojuyishi
票据原因	piaojuyuanyin
票据原因关系	piaojuyuanyinguanxi
票据约定	piaojuyueding
票据责任	piaojuzeren
票据粘单	piaojuzhandan
票据资金	piaojuzijin
嫖客	piaoke
漂流物	piaoliuwu
姘居	pinju
聘请鉴定	pinqingjianding
平安险	pinganxian
平仓	pingcang
平等权	pingdengquan
平等自愿	pingdengziyuan
破案	poan
破产	pochan
破产财产	pochancaichan
破产财产分配	pochancaichanfenpei
破产财团	pochancaituan
破产程序	pochanchengxu
破产法	pochanfa
破产费用	pochanfeiyong
破产管理人	pochanguanliren
破产界限	pochanjiexian
破产清算	pochanqingsuan
破产申请	pochanshenqing
破产条件	pochantiaojian
破产宣告	pochanxuangao
破产债权	pochanzhaiquan
破产债务	pochanzhaiwu
破产债务人	pochanzhaiwuren
破产终结	pochanzhongjie
破坏集体生产罪	pohuaijitishengchanzui
破坏交通工具罪	pohuaijiaotonggongjuzui
破坏交通设备罪	pohuaijiaotongshebeizui
破坏界碑界桩罪	pohuaijiebeijiezhuangzui
破坏军婚罪	pohuaijunhunzui
破坏名胜古迹罪	pohuaimingshenggujizui
破坏社会主义经济秩序罪	pohuaishehuizhuyijingjizhixuzui
破坏通讯设备罪	pohuaitongxunshebeizui
破坏选举罪	pohuaixuanjuzui
破坏易燃易爆设备罪	pohuaiyiranyibaoshebeizui
