阿纳克	anake
分化群抗原	fenhuaqunkangyuan
分化抑制	fenhuayizhi
分化诱导剂	fenhuayoudaoji
酚磺酞	fenhuangtai
分脊	fenji
分级槽	fenjicao
分级分离	fenjifenli
分级离心	fenjilixin
分级梯度洗脱	fenjitiduxituo
分级洗脱	fenjixituo
分级运动试验	fenjiyundongshiyan
分级蒸馏	fenjizhengliu
分解代谢	fenjiedaixie
分解代谢产物	fenjiedaixiechanwu
分解代谢物基因活化蛋白	fenjiedaixiewujiyinhuohuadanbai
分解代谢物阻遏	fenjiedaixiewuzue
分解作用	fenjiezuoyong
粪抗体	fenkangti
分类单位	fenleidanwei
分类性状	fenleixingzhuang
分类学	fenleixue
分离菌	fenlijun
分离麻醉	fenlimazui
分离物	fenliwu
分离效率	fenlixiaolv
分离运动	fenliyundong
分裂不分离	fenliebufenli
分裂间期	fenliejianqi
分裂面	fenliemian
分裂耐受	fenlienaishou
分裂生殖	fenlieshengzhi
分裂手	fenlieshou
分裂素	fenliesu
分裂象	fenliexiang
分裂原	fenlieyuan
分流分数	fenliufenshu
分馏物	fenliuwu
分馏柱	fenliuzhu
粪瘘	fenlou
粉绿罂粟碱	fenlvyingsujian
酚酶	fenmei
分米波疗法	fenmiboliaofa
分泌成分	fenmichengfen
分泌片	fenmipian
分泌片段	fenmipianduan
分泌器	fenmiqi
分泌缺乏	fenmiquefa
分泌素	fenmisu
分泌细胞	fenmixibao
分泌小泡	fenmixiaopao
分泌型	fenmixing
分泌载体	fenmizaiti
分泌自噬	fenmizishi
分配定律	fenpeidinglv
分配平衡	fenpeipingheng
分配系数	fenpeixishu
分批操作	fenpicaozuo
分批过滤器	fenpiguolvqi
分批提取	fenpitiqu
分期切除	fenqiqiechu
分期修复	fenqixiufu
粉蕊黄杨醇碱	fenruihuangyangchunjian
分散体	fensanti
奋森龈炎	fensenyinyan
粉砂土	fenshatu
分生孢子梗	fenshengbaozigeng
分生组织	fenshengzuzhi
分生组织培养	fenshengzuzhipeiyang
粪石	fenshi
芬式唐松草碱	fenshitangsongcaojian
粉碎染色体	fensuiranseti
芬特肉芽样瘤	fenterouyayangliu
分析层析	fenxicengxi
分析纯	fenxichun
分析物	fenxiwu
分析细胞学	fenxixibaoxue
分析柱	fenxizhu
分血器	fenxueqi
分牙器	fenyaqi
分牙术	fenyashu
酚盐	fenyan
分叶肝	fenyegan
分液漏斗	fenyeloudou
分叶皮瓣	fenyepiban
粪甾酮	fenzaitong
粪甾烷	fenzaiwan
粪甾烷酮	fenzaiwantong
粪甾烯醇	fenzaixichun
粪甾烯酮	fenzaixitong
分枝杆菌	fenzhiganjun
分枝杆菌病	fenzhiganjunbing
分枝杆菌性溃疡	fenzhiganjunxingkuiyang
分枝菌佐剂	fenzhijunzuoji
分支酶	fenzhimei
分支酸	fenzhisuan
分支因子	fenzhiyinzi
分子病	fenzibing
分子病理学	fenzibinglixue
分子层	fenziceng
分子创伤学	fenzichuangshangxue
分子间力	fenzijianli
分子克隆	fenzikelong
分子克隆化	fenzikelonghua
分子离子	fenzilizi
分子量	fenziliang
分子免疫学	fenzimianyixue
分子模拟	fenzimoni
分子模型化	fenzimoxinghua
分子内剪接	fenzineijianjie
分子熔解	fenzirongjie
分子生物学	fenzishengwuxue
分子识别	fenzishibie
分子细胞学	fenzixibaoxue
分子细胞遗传学	fenzixibaoyichuanxue
分子性	fenzixing
分子遗传学	fenziyichuanxue
分子杂交	fenzizajiao
分子杂交反应中	fenzizajiaofanyingzhong
分子杂种	fenzizazhong
分子组成	fenzizucheng
蜂螯伤	fengaoshang
峰板	fengban
封闭反应帽	fengbifanyingmao
封闭试验	fengbishiyan
封闭因子	fengbiyinzi
葑醇	fengchun
蜂毒明肽	fengdumingtai
缝合吻合	fenghewenhe
蜂花酸	fenghuasuan
缝匠肌	fengjiangji
峰宽	fengkuan
蜂蜡醇	fenglachun
风媒传粉	fengmeichuanfen
峰面积	fengmianji
缝皮钉	fengpiding
风湿性环状红斑	fengshixinghuanzhuanghongban
枫糖尿症	fengtangniaozheng
丰唐手术	fengtangshoushu
风土驯化	fengtuxunhua
蜂窝织炎	fengwozhiyan
蜂窝织炎性阑尾炎	fengwozhiyanxinglanweiyan
缝线包压法	fengxianbaoyafa
风险胎儿	fengxiantaier
峰形	fengxing
缝扎	fengzha
缝扎法重睑成形术	fengzhafazhongjianchengxingshu|fengzhafachongjianchengxingshu
风疹病毒	fengzhenbingdu
佛波酯	fobozhi
佛焰苞	foyanbao
佛焰花序	foyanhuaxu
脯氨酸	fuansuan
脯氨酸二甲内盐	fuansuanerjianeiyan
腹白线	fubaixian
腐败作用	fubaizuoyong
辐板	fuban
父本	fuben
附壁	fubi
腹壁成形术	fubichengxingshu
腹壁多脂症	fubiduozhizheng
腹壁反射	fubifanshe
腹壁感染	fubiganran
腹壁坏死性筋膜炎	fubihuaisixingjinmoyan
腹壁皮肤松垂	fubipifusongchui
腹壁皮肤脂肪切除术	fubipifuzhifangqiechushu
腹壁围裙状松垂	fubiweiqunzhuangsongchui
腹壁硬纤维瘤	fubiyingxianweiliu
腹壁肿瘤	fubizhongliu
复变态	fubiantai
呋哺并色酮	fububingsetong
腹部多脏器移植	fubuduozangqiyizhi
腐草霉素	fucaomeisu
腹侧	fuce
复层上皮	fucengshangpi
复刺	fuci
复雌蕊	fucirui
腹卒中	fucuzhong
副大风子酸	fudafengzisuan
福代斯病	fudaisibing
副蛋白	fudanbai
副蛋白血	fudanbaixue
负氮平衡	fudanpingheng
复等位基因	fudengweijiyin
浮动拇指	fudongmuzhi
副萼	fue
副耳	fuer
福尔根反应	fuergenfanying
福尔根氏反应	fuergenshifanying
复发性阿弗他口炎	fufaxingafutakouyan
复发性阿弗他溃疡	fufaxingafutakuiyang
复发性出血	fufaxingchuxie
复发性单纯疱疹	fufaxingdanchunpaozhen
复发性胆总管结石病	fufaxingdanzongguanjieshibing
复发性二期梅毒	fufaxingerqimeidu
复发性风湿病	fufaxingfengshibing
复发性溃疡	fufaxingkuiyang
复发性阑尾炎	fufaxinglanweiyan
副反应	fufanying
复方药剂	fufangyaoji
复分裂	fufenlie
覆盖义齿	fugaiyichi
氟甘露糖	fuganlutang
附睾	fugao
附睾睾丸炎	fugaogaowanyan
附睾管	fugaoguan
附睾类腺瘤	fugaoleixianliu
附睾梅毒	fugaomeidu
附睾囊腺瘤	fugaonangxianliu
附睾肉瘤	fugaorouliu
附睾腺瘤	fugaoxianliu
附睾造影	fugaozaoying
附睾肿瘤	fugaozhongliu
弗格森疝修补术	fugesenshanxiubushu
福格特	fugete
腹根	fugen
跗骨	fugu
腹股沟部瘢痕挛缩	fugugoububanhenluansuo
腹股沟肉芽肿	fugugourouyazhong
腹股沟疝	fugugoushan
腹管	fuguan
辐管	fuguan
副核	fuhe
复合半抗原	fuhebankangyuan
复合固定桥	fuhegudingqiao
复合抗原	fuhekangyuan
复合皮瓣	fuhepiban
复合伤	fuheshang
复合树脂	fuheshuzhi
复合体	fuheti
复合物	fuhewu
复合物法	fuhewufa
复合牙色	fuheyase
负荷运动	fuheyundong
复合杂合子	fuhezahezi
复合杂交	fuhezajiao
复合组织移植	fuhezuzhiyizhi
复合组织移植术	fuhezuzhiyizhishu
复红	fuhong
副红细胞糖苷脂	fuhongxibaotangganzhi
腹厚	fuhou
腹后外侧核	fuhouwaicehe
氟化氟乙酸	fuhuafuyisuan
副花冠	fuhuaguan
孵化酶	fuhuamei
辅基	fuji
富集	fuji
辅肌动蛋白	fujidongdanbai
腹肌发育缺陷综合征	fujifayuquexianzonghezheng
副基粒	fujili
附加单倍体	fujiadanbeiti
附加亲和	fujiaqinhe
附加体	fujiati
附加系	fujiaxi
副交感神经系统	fujiaoganshenjingxitong
麸胶敏感性肠病	fujiaominganxingchangbing
腹节	fujie
跗节	fujie
福克曼挛缩	fukemanluansuo
复孔绦虫病	fukongtaochongbing
弗兰克尔矫治器	fulankeerjiaozhiqi
浮浪幼体	fulangyouti
浮肋	fulei
浮力密度离心	fulimidulixin
腹裂	fulie
腹鳞	fulin
氟磷灰石莹蒽芴芴甲氧羰基	fulinhuishiyingenwuwujiayangtangji
辅磷酸酯酶	fulinsuanzhimei
茯苓聚糖	fulingjutang
孵卵所	fuluansuo
弗洛里西	fuluolixi
富马酸	fumasuan
辅酶	fumei|fua
副密码子	fumimazi
复面洞	fumiandong
腹膜后间隙炎	fumohoujianxiyan
腹膜后淋巴结切除术	fumohoulinbajieqiechushu
腹膜后淋巴囊肿	fumohoulinbanangzhong
腹膜后脓肿	fumohounongzhong
腹膜后腔	fumohouqiang
腹膜后疝	fumohoushan
腹膜后纤维化	fumohouxianweihua
腹膜后注气造影	fumohouzhuqizaoying
腹膜假粘液瘤	fumojianianyeliu
腹膜内膀胱破裂	fumoneipangguangpolie
腹膜外膀胱破裂	fumowaipangguangpolie
腹膜炎	fumoyan
腹膜粘连	fumozhanlian
复拇畸形	fumujixing
呋喃果糖	funanguotang
呋喃果糖苷基	funanguotangganji
呋喃果糖苷酶	funanguotangganmei
呋喃核糖	funanhetang
呋喃核糖核苷	funanhetanghegan
呋喃甲氨基嘌呤	funanjiaanjipiaoling
呋喃甲基腺嘌呤	funanjiajixianpiaoling
呋喃葡烯糖	funanpuxitang
呋喃糖	funantang
呋喃酮糖	funantongtang
呋喃型阿拉伯糖腺嘌呤核苷	funanxingalabotangxianpiaolinghegan
呋喃型葡萄糖	funanxingputaotang
腹内疝	funeishan
富尼埃坏疽	funiaihuaiju
氟尿苷三磷酸	funiaogansanlinsuan
氟尿嘧啶	funiaomiding
妇女多毛症	funvduomaozheng
氟哌啶醇	fupaidingchun
氟哌利多	fupailiduo
复盘培养	fupanpeiyang
副脾	fupi
氟皮质甾醇	fupizhizaichun
复胼胝体愈伤组织	fupianzhitiyushangzuzhi
复平衡	fupingheng
氟葡萄糖	fuputaotang
附器	fuqi
辅起始因子	fuqishiyinzi
腹前后径	fuqianhoujing
腹腔穿刺	fuqiangchuanci
腹腔丛	fuqiangcong
腹腔分流术	fuqiangfenliushu
腹腔灌洗	fuqiangguanxi
腹腔积血	fuqiangjixue
腹腔脓肿	fuqiangnongzhong
氟羟脱氢皮质醇	fuqiangtuoqingpizhichun
父亲年龄效应	fuqinnianlingxiaoying
氟氢可的松	fuqingkedisong
副球孢子菌病	fuqiubaozijunbing
负趋性	fuquxing
负染	furan
复染	furan
副热带雨林	furedaiyulin
副乳房	furufang
复伞房花序	fusanfanghuaxu
腹疝	fushan
副伤寒	fushanghan
辐射对称	fusheduichen
辐射发光	fushefaguang
辐射防护剂	fushefanghuji
辐射防护屏	fushefanghuping
辐射分解	fushefenjie
辐射抗性	fushekangxing
辐射灭菌	fushemiejun
辐射敏感性	fusheminganxing
辐射嵌合体	fusheqianheti
辐射热疗法	fushereliaofa
辐射损伤	fushesunshang
辐射危害	fusheweihai
辐射细胞学	fushexibaoxue
辐射遗传学	fusheyichuanxue
辐射侦察	fushezhencha
副神经	fushenjing
副神经节瘤	fushenjingjieliu
副神经吻合术	fushenjingwenheshu
腐生	fusheng
腐生动物	fushengdongwu
附生生物	fushengshengwu
腐生现象	fushengxianxiang
腐生植物	fushengzhiwu
附生植物	fushengzhiwu
复视	fushi
弗氏不完全佐剂	fushibuwanquanzuoji
浮石粉	fushifen
腹式呼吸运动	fushihuxiyundong
弗氏完全佐剂	fushiwanquanzuoji
腐蚀性食管狭窄	fushixingshiguanxiazhai
弗氏佐剂	fushizuoji
负鼠	fushu
附属带	fushudai
腹水	fushui
福斯曼糖脂	fusimantangzhi
复苏后综合征	fusuhouzonghezheng
复苏术	fusushu
复苏学	fusuxue
负调控	futiaokong
浮桶式转头	futongshizhuantou
斧头状核酶	futouzhuanghemei
辅脱氢酶	futuoqingmei
氟脱氧尿苷	futuoyangniaogan
腹外疝	fuwaishan
复位术	fuweishu
肤纹学	fuwenxue
父系遗传	fuxiyichuan
腹下部	fuxiabu
腹向	fuxiang
负向超螺旋	fuxiangchaoluoxuan
氟硝安定	fuxiaoanding
复小窝小凹	fuxiaowoxiaoao
负协同性	fuxietongxing
复性	fuxing
赋形剂	fuxingji
匐行性回状红斑	fuxingxinghuizhuanghongban
匐行性溃疡	fuxingxingkuiyang
匐行性血管瘤	fuxingxingxueguanliu
匐行疹	fuxingzhen
匐行置换	fuxingzhihuan
氟胸苷氟尿嘧啶	fuxiongganfuniaomiding
副血友病	fuxueyoubing
氟牙症	fuyazheng
氟氧化物	fuyanghuawu
副胰管	fuyiguan
副缢痕	fuyihen
氟乙酸盐酯根	fuyisuanyanzhigen
副银屑病	fuyinxiebing
辅因子	fuyinzi
负优生学	fuyoushengxue
覆羽	fuyu
抚育细胞	fuyuxibao
复原热	fuyuanre
复孕	fuyun
复杂并趾	fuzabingzhi
复杂并指	fuzabingzhi
复杂易位	fuzayiwei
副粘病毒	fuzhanbingdu
复制叉	fuzhicha
腹直肌分离	fuzhijifenli
腹直肌鞘血肿	fuzhijiqiaoxuezhong
复制基因	fuzhijiyin
复制酶	fuzhimei
复制起点	fuzhiqidian
复制起始位点	fuzhiqishiweidian
复制式培养	fuzhishipeiyang
腐植土	fuzhitu
复制物	fuzhiwu
复制循环	fuzhixunhuan
复制子	fuzhizi
副中肾管	fuzhongshenguan
副中肾管综合征	fuzhongshenguanzonghezheng
腹中线	fuzhongxian
腹主	fuzhu
辅助病毒	fuzhubingdu
辅助蛋白	fuzhudanbai
辅助蛋白质	fuzhudanbaizhi
腹主动脉瘤	fuzhudongmailiu
辅助反应	fuzhufanying
辅助合成反应	fuzhuhechengfanying
辅助色板	fuzhuseban
辅助通气	fuzhutongqi
辅助细胞	fuzhuxibao
辅助心脏移植	fuzhuxinzangyizhi
辅助性肝移植	fuzhuxingganyizhi
辅助循环	fuzhuxunhuan
复壮	fuzhuang
附着胞	fuzhuobao
附着器	fuzhuoqi
附着位点	fuzhuoweidian
附着龈	fuzhuoyin
附着增加	fuzhuozengjia
辅阻遏物	fuzuewu
盖玻片	gaibopian
概测	gaice
钙传感蛋白质	gaichuangandanbaizhi
钙电蛋白	gaidiandanbai
钙感光蛋白	gaiganguangdanbai
盖革氏计数器	gaigeshijishuqi
钙化醇	gaihuachun
钙化性软骨营养不良	gaihuaxingruanguyingyangbuliang
盖嵴式桥体	gaijishiqiaoti
钙介蛋白钙调蛋白拮抗剂	gaijiedanbaigaitiaodanbaijiekangji
钙结合部位	gaijiehebuwei
钙结合蛋白	gaijiehedanbai
钙结合蛋白质	gaijiehedanbaizhi
钙结合稳定蛋白	gaijiehewendingdanbai
钙精蛋白睾丸	gaijingdanbaigaowan
钙粒蛋白	gailidanbai
钙离子通道	gailizitongdao
钙联结蛋白	gailianjiedanbai
改良菱形皮瓣	gailianglingxingpiban
改良式箭头卡环	gailiangshijiantoukahuan
改良威德曼翻瓣术	gailiangweidemanfanbanshu
钙磷蛋白	gailindanbai
钙磷脂结合蛋白	gailinzhijiehedanbai
钙流入	gailiuru
钙牵蛋白	gaiqiandanbai
钙乳胆汁	gairudanzhi
钙三醇	gaisanchun
钙视网膜蛋白	gaishiwangmodanbai
盖髓	gaisui
钙调蛋白	gaitiaodanbai
钙调磷酸酶	gaitiaolinsuanmei
钙调神经磷酸酶	gaitiaoshenjinglinsuanmei
钙调素	gaitiaosu
钙通道	gaitongdao
钙细胞周边蛋白	gaixibaozhoubiandanbai
钙影蛋白	gaiyingdanbai
钙粘着蛋白介导	gaizhanzhedanbaijiedao
钙质沉着	gaizhichenzhuo
钙中介蛋白质	gaizhongjiedanbaizhi
甘氨胆酸	ganandansuan
甘氨酸	ganansuan
甘氨酰	gananxian
甘氨酰胺	gananxianan
甘氨酰胺核苷酸	gananxiananhegansuan
甘氨酰甘氨酸二肽酶	gananxianganansuanertaimei
干标本	ganbiaoben
甘草根	gancaogen
干槽症	gancaozheng
肝肠联合移植	ganchanglianheyizhi
杆单元	gandanyuan
肝淀粉	gandianfen
肝豆状核变性	gandouzhuanghebianxing
肝毒剂	ganduji
肝功能表达图	gangongnengbiaodatu
肝管	ganguan
杆关节	ganguanjie
感光计	ganguangji
感光细胞	ganguangxibao
坩埚形成座	ganguoxingchengzuo
干骺端	ganhouduan
干骺续连症	ganhouxulianzheng
感化性	ganhuaxing
干胶片	ganjiaopian
肝静脉	ganjingmai
苷菊环烃	ganjuhuanting
柑桔黄酮	ganjuhuangtong
感觉过敏	ganjueguomin
感觉器	ganjueqi
感觉球	ganjueqiu
感觉神经	ganjueshenjing
感觉神经元	ganjueshenjingyuan
感觉异常	ganjueyichang
感觉钟	ganjuezhong
感觉中枢	ganjuezhongshu
杆菌素	ganjunsu
杆菌肽	ganjuntai
橄榄脊髓束	ganlanjisuishu
橄榄体	ganlanti
干酪乳酸杆菌	ganlaorusuanganjun
干酪乳酸杆菌因子	ganlaorusuanganjunyinzi
干酪样肺炎	ganlaoyangfeiyan
干酪样坏死	ganlaoyanghuaisi
甘露醇	ganluchun
甘露二糖	ganluertang
甘露庚糖	ganlugengtang
甘露庚糖醇	ganlugengtangchun
甘露庚酮糖	ganlugengtongtang
甘露聚糖	ganlujutang
甘露糖	ganlutang
甘露糖胺	ganlutangan
甘露糖胺丙酮酸	ganlutanganbingtongsuan
甘露糖胺醇	ganlutanganchun
甘露糖醇	ganlutangchun
甘露糖苷焦磷酸化酶	ganlutangganjiaolinsuanhuamei
甘露糖苷酶	ganlutangganmei
甘露糖苷贮积症	ganlutangganzhujizheng
甘露糖基鼠李糖	ganlutangjishulitang
甘露糖基转移酶	ganlutangjizhuanyimei
甘露糖磷酸多萜醇	ganlutanglinsuanduotiechun
甘露糖磷酸肌醇	ganlutanglinsuanjichun
甘露糖磷酸视黄醇	ganlutanglinsuanshihuangchun
甘露糖磷脂酰肌醇	ganlutanglinzhixianjichun
甘露糖酶	ganlutangmei
甘露糖醛酸	ganlutangquansuan
甘露糖神经酰胺	ganlutangshenjingxianan
甘露糖一磷酸多萜醇	ganlutangyilinsuanduotiechun
干罗音	ganluoyin
肝门肠吻合术	ganmenchangwenheshu
肝门静脉	ganmenjingmai
肝门静脉系	ganmenjingmaixi
肝内胆管结石	ganneidanguanjieshi
肝内胆管结石病	ganneidanguanjieshibing
肝内胆汁淤积	ganneidanzhiyuji
肝片吸虫	ganpianxichong
感染伤口	ganranshangkou
感染性核酸	ganranxinghesuan
感染性疾病	ganranxingjibing
感染性心内膜炎	ganranxingxinneimoyan
感染性休克	ganranxingxiuke
干扰电疗法	ganraodianliaofa
干扰范围	ganraofanwei
干扰素	ganraosu
干热灭菌	ganremiejun
干热植物	ganrezhiwu
干涉剂	gansheji
干涉滤波器	ganshelvboqi
干涉显微镜	ganshexianweijing
肝肾联合移植	ganshenlianheyizhi
感生偶极矩	ganshengoujiju
感受器	ganshouqi
感受器电位	ganshouqidianwei
感受态	ganshoutai
甘薯黑疤霉二酮	ganshuheibameiertong
甘薯黑疤霉酸	ganshuheibameisuan
甘薯黑疤霉酮	ganshuheibameitong
感水性	ganshuixing
肝素	gansu
肝素测定系统	gansucedingxitong
肝素辅因子	gansufuyinzi
肝素化	gansuhua
肝素化逆转	gansuhuanizhuan
肝素酶	gansumei
肝素涂覆管道	gansutufuguandao
肝酸	gansuan
肝泰乐	gantaile
肝糖原	gantangyuan
干物质	ganwuzhi
肝细胞	ganxibao
干细胞	ganxibao
肝细胞瘤	ganxibaoliu
肝细胞性黄疸	ganxibaoxinghuangdan
肝细胞移植	ganxibaoyizhi
肝心联合移植	ganxinlianheyizhi
干性坏疽	ganxinghuaiju
肝性昏迷	ganxinghunmi
杆形卡环	ganxingkahuan
干性糠疹	ganxingkangzhen
干眼病	ganyanbing
肝炎病毒	ganyanbingdu
感夜性	ganyexing
肝胰联合移植	ganyilianheyizhi
肝移植	ganyizhi
感应电疗法	ganyingdianliaofa
感应体	ganyingti
甘油单酯	ganyoudanzhi
甘油激酶	ganyoujimei
甘油磷酸	ganyoulinsuan
甘油磷酸酶	ganyoulinsuanmei
甘油磷酸循环	ganyoulinsuanxunhuan
甘油磷酸酯酶	ganyoulinsuanzhimei
甘油醛	ganyouquan
甘油醛磷酸	ganyouquanlinsuan
甘油酸	ganyousuan
甘油酸途径	ganyousuantujing
甘油糖磷脂	ganyoutanglinzhi
甘油糖脂	ganyoutangzhi
甘油酯	ganyouzhi
甘油脂类	ganyouzhilei
干燥病	ganzaobing
干燥性湿疹	ganzaoxingshizhen
干燥综合征	ganzaozonghezheng
肝着	ganzhe
苷脂	ganzhi
感知机	ganzhiji
感知觉训练	ganzhijuexunlian
苷脂硫酸酯酶	ganzhiliusuanzhimei
杆状	ganzhuang
杆状体	ganzhuangti
杆状细胞	ganzhuangxibao
肛管癌	gangguanai
刚果红	gangguohong
杠柳毒苷配基	gangliuduganpeiji
肛门闭锁会阴瘘	gangmenbisuohuiyinlou
肛门闭锁尿道瘘	gangmenbisuoniaodaolou
肛门闭锁前庭瘘	gangmenbisuoqiantinglou
肛门闭锁阴道瘘	gangmenbisuoyindaolou
肛门环箍术	gangmenhuangushu
肛门溃疡	gangmenkuiyang
肛门括约肌成形术	gangmenkuoyuejichengxingshu
肛门瘘	gangmenlou
肛门前移	gangmenqianyi
肛门失禁	gangmenshijin
肛门狭窄	gangmenxiazhai
肛门血管扩张	gangmenxueguankuozhang
肛门直肠瘘	gangmenzhichanglou
肛门直肠脓肿	gangmenzhichangnongzhong
冈崎碎片	gangqisuipian
肛前	gangqian
肛乳头炎	gangrutouyan
肛梳	gangshu
钢水烧伤	gangshuishaoshang
钢丝夹板	gangsijiaban
冈瓦纳古陆	gangwanagulu
肛下板	gangxiaban
冈下肌	gangxiaji
肛周念珠菌病	gangzhounianzhujunbing
高氨基酸	gaoanjisuan
高氨血症	gaoanxuezheng
高半胱氨酸	gaobanguangansuan
高苯丙氨酸血症	gaobenbingansuanxuezheng
高变区	gaobianqu
高丙体六六六	gaobingtiliuliuliu
高丙种球蛋白血症	gaobingzhongqiudanbaixuezheng
高代谢	gaodaixie
高蛋白血症	gaodanbaixuezheng
高胆固醇血症	gaodanguchunxuezheng
高等植物	gaodengzhiwu
高碘酸	gaodiansuan
高碘酸希夫反应	gaodiansuanxifufanying
高碘酸盐	gaodiansuanyan
高度爆炸伤	gaodubaozhashang
高度免疫	gaodumianyi
高度修饰碱基	gaoduxiushijianji
高尔基复合体	gaoerjifuheti
高尔基氏体	gaoerjishiti
高尔基体	gaoerjiti
告尔酸	gaoersuan
高泛酰牛磺酸	gaofanxianniuhuangsuan
高分辨显带	gaofenbianxiandai
高峰淀粉酶	gaofengdianfenmei
高钙尿	gaogainiao
高钙尿症	gaogainiaozheng
高钙血	gaogaixue
高弓足	gaogongzu
高瓜氨酰氨基腺苷	gaoguaanxiananjixiangan
高胱氨酸	gaoguangansuan
高胱氨酸尿	gaoguangansuanniao
高剂量耐受	gaojiliangnaishou
高级糖基化	gaojitangjihua
高钾血症	gaojiaxuezheng
高酪氨酸血症	gaolaoansuanxuezheng
高氯酸	gaolvsuan
高氯酸盐	gaolvsuanyan
高密度脂蛋白	gaomiduzhidanbai
高免疫性	gaomianyixing
高钠血症	gaonaxuezheng
高能键	gaonengjian
高能磷酸化合物	gaonenglinsuanhuahewu
高能磷酸化物	gaonenglinsuanhuawu
高能磷酸键	gaonenglinsuanjian
高尿酸血	gaoniaosuanxue
高凝性	gaoningxing
高频电疗法	gaopindianliaofa
高频电疗美容术	gaopindianliaomeirongshu
高频电美容仪	gaopindianmeirongyi
高频通气	gaopintongqi
高嵌体	gaoqianti
高球蛋白血症紫癜	gaoqiudanbaixuezhengzidian
锆肉芽肿	gaorouyazhong
高山病	gaoshanbing
高山生物	gaoshanshengwu
高山植物	gaoshanzhiwu
高渗溶液	gaoshenrongye
高肾素型高血压	gaoshensuxinggaoxueya
高渗性脱水	gaoshenxingtuoshui
高渗盐溶液	gaoshenyanrongye
高速离心	gaosulixin
高速生物过滤器	gaosushengwuguolvqi
高速泳动族蛋白	gaosuyongdongzudanbai
高速子弹伤	gaosuzidanshang
高碳酸血症	gaotansuanxuezheng
高唐碱	gaotangjian
高铁环六肽	gaotiehuanliutai
高铁细胞色素	gaotiexibaosesu
高铁血红蛋白	gaotiexuehongdanbai
高铁血红蛋白血症	gaotiexuehongdanbaixuezheng
高铁血红素	gaotiexuehongsu
高铁血色原	gaotiexueseyuan
睾酮	gaotong
高铜汞合金	gaotonggonghejin
睾丸表皮样囊肿	gaowanbiaopiyangnangzhong
睾丸挫伤	gaowancuoshang
睾丸发育不全	gaowanfayubuquan
睾丸非生殖细胞瘤	gaowanfeishengzhixibaoliu
睾丸附件	gaowanfujian
睾丸附件扭转	gaowanfujianniuzhuan
睾丸激素	gaowanjisu
睾丸畸胎癌	gaowanjitaiai
睾丸畸胎瘤	gaowanjitailiu
睾丸畸形	gaowanjixing
睾丸间质细胞瘤	gaowanjianzhixibaoliu
睾丸结核	gaowanjiehe
睾丸精母细胞瘤	gaowanjingmuxibaoliu
睾丸精原细胞瘤	gaowanjingyuanxibaoliu
睾丸梅毒	gaowanmeidu
睾丸母细胞瘤	gaowanmuxibaoliu
睾丸女性化	gaowannvxinghua
睾丸女性化综合征	gaowannvxinghuazonghezheng
睾丸旁横纹肌肉瘤	gaowanpanghengwenjirouliu
睾丸胚胎癌	gaowanpeitaiai
睾丸鞘膜	gaowanqiaomo
睾丸鞘膜积液	gaowanqiaomojiye
睾丸鞘膜纤维瘤	gaowanqiaomoxianweiliu
睾丸切除	gaowanqiechu
睾丸缺如综合征	gaowanqueruzonghezheng
睾丸融合	gaowanronghe
睾丸绒毛膜癌	gaowanrongmaomoai
睾丸生殖细胞瘤	gaowanshengzhixibaoliu
睾丸树胶样瘤	gaowanshujiaoyangliu
睾丸损伤	gaowansunshang
睾丸脱位	gaowantuowei
睾丸网乳头状腺癌	gaowanwangrutouzhuangxianai
睾丸萎缩	gaowanweisuo
睾丸下降	gaowanxiajiang
睾丸下降不全	gaowanxiajiangbuquan
睾丸腺癌	gaowanxianai
睾丸异位	gaowanyiwei
睾丸移植	gaowanyizhi
睾丸真菌病	gaowanzhenjunbing
睾丸支持细胞瘤	gaowanzhichixibaoliu
睾丸肿瘤	gaowanzhongliu
睾丸轴	gaowanzhou
高位髌骨	gaoweibingu
高位肩胛	gaoweijianjia
高位微笑	gaoweiweixiao
高位牙	gaoweiya
高位芽植物	gaoweiyazhiwu
高温层析	gaowencengxi
高温水解	gaowenshuijie
高效液相层析	gaoxiaoyexiangcengxi
高效液相色谱法	gaoxiaoyexiangsepufa
高歇氏病	gaoxieshibing
高血糖素瘤	gaoxuetangsuliu
高血糖因子	gaoxuetangyinzi
高血压脑出血	gaoxueyanaochuxue
高血压缺血性溃疡	gaoxueyaquexuexingkuiyang
高血压危象	gaoxueyaweixiang
高压电损伤	gaoyadiansunshang
高压电子显微镜	gaoyadianzixianweijing
高压灭菌器	gaoyamiejunqi
高压素	gaoyasu
高压氧疗法	gaoyayangliaofa
高应答个体	gaoyingdageti
高硬飞燕草碱	gaoyingfeiyancaojian
高张盐溶液	gaozhangyanrongye
高沼地	gaozhaodi
高震按摩机	gaozhenanmoji
高脂蛋白血症	gaozhidanbaixuezheng
高脂血	gaozhixue
高脂血症	gaozhixuezheng
高阻抗管道	gaozukangguandao
隔板槽	gebancao
个别托盘	gebietuopan
哥德式弓描记器	gedeshigongmiaojiqi
膈恶性肿瘤	geexingzhongliu
格拉斯哥昏迷评分	gelasigehunmipingfen
革兰氏染色	gelanshiranse
革兰氏阴性菌毛囊炎	gelanshiyinxingjunmaonangyan
戈勒姆病	gelemubing
格雷西刮治器	geleixiguazhiqi
隔离灌注	geliguanzhu
隔离抗原	gelikangyuan
隔离种群	gelizhongqun
格链孢菌酚	gelianbaojunfen
格链孢菌酸	gelianbaojunsuan
