爱之蔓	aizhiman
水稻土	shuidaotu
水分补偿	shuifenbuchang
水分亏缺	shuifenkuique
水分调节	shuifentiaojie
水浮莲	shuifulian
水果罐头	shuiguoguantou
水果香精	shuiguoxiangjing
水化	shuihua
水剂	shuiji
水浆	shuijiang
水浇地	shuijiaodi
水帘	shuilian
睡莲	shuilian
水芹	shuiqin
睡鼠	shuishu
水田	shuitian
水土保持	shuitubaochi
水土流失	shuituliushi
水稳性	shuiwenxing
水文学	shuiwenxue
水污染	shuiwuran
水污染源	shuiwuranyuan
水质分析	shuizhifenxi
水质评价	shuizhipingjia
死分活评	sifenhuoping
死分死记	sifensiji
四季豆	sijidou
司库	siku
四棱豆	silengdou
饲料作物	siliaozuowu
饲用	siyong
饲用甜菜	siyongtiancai
松粉	songfen
松土	songtu
速冻干燥	sudongganzao
粟灰螟	suhuiming
塑料大棚	suliaodapeng
粟芒蝇	sumangying
塑盘	supan
速效	suxiao
酸橙	suancheng
酸豆	suandou
酸浆	suanjiang
酸角	suanjiao
酸炼	suanlian
酸模	suanmo
酸雨	suanyu
穗部	suibu
穗醋栗	suiculi
穗肥	suifei
穗行法	suihangfa
随机变量	suijibianliang
随机存取	suijicunqu
随机交配	suijijiaopei
随机区组	suijiquzu
随机误差	suijiwucha
随机样本	suijiyangben
随军记者	suijunjizhe
穗粒	suili
损失估计	sunshiguji
损失率	sunshilv
薹菜	taicai
台风	taifeng
太阳辐射	taiyangfushe
太阳能	taiyangneng
碳铵	tanan
碳氮比	tandanbi
炭灰色	tanhuise
碳水	tanshui
碳酸氢铵	tansuanqingan
碳循环	tanxunhuan
塘鹅	tange
唐家村	tangjiacun
棠梨	tangli
糖料作物	tangliaozuowu
糖用甜菜	tangyongtiancai
绦虫	taochong
特许权税	texuquanshui
特征提取	tezhengtiqu
特征向量	tezhengxiangliang
特征值	tezhengzhi
鹈鹕	tihu
提苗	timiao
梯田	titian
梯田农业	titiannongye
提温	tiwen
甜菜	tiancai
甜菜象虫	tiancaixiangchong
甜橙	tiancheng
甜瓜	tiangua
田间	tianjian
田间去杂	tianjianquza
田间释放	tianjianshifang
天门冬	tianmendong
甜糯	tiannuo
田薯	tianshu
田旋花	tianxuanhua
甜叶菊	tianyeju
条播机	tiaoboji
调节剂	tiaojieji
调料作物	tiaoliaozuowu
贴梗海棠	tiegenghaitang
通风井	tongfengjing
同类群	tongleiqun
通透性	tongtouxing
同位素	tongweisu
通用机架	tongyongjijia
铜制剂	tongzhiji
同质性	tongzhixing
突变谱	tubianpu
突变子	tubianzi
土地	tudi
土地报酬	tudibaochou
土地承包	tudichengbao
土地分级	tudifenji
土地分类	tudifenlei
土地改革	tudigaige
土地改良	tudigailiang
土地构成	tudigoucheng
土地管理	tudiguanli
土地规划	tudiguihua
土地开发	tudikaifa
土地开垦	tudikaiken
土地买卖	tudimaimai
土地没收	tudimoshou
土地评价	tudipingjia
土地平整	tudipingzheng
土地退化	tudituihua
土地征收	tudizhengshou
土地质量	tudizhiliang
土地转包	tudizhuanbao
土地资本	tudiziben
土地租佃	tudizudian
秃尖	tujian
土块	tukuai
土壤	turang
土壤比重	turangbizhong
土壤处置	turangchuzhi
土壤调查	turangdiaocha
土壤冻结	turangdongjie
土壤肥力	turangfeili
土壤改良	turanggailiang
土壤耕性	turanggengxing
土壤环境	turanghuanjing
土壤胶体	turangjiaoti
土壤结构	turangjiegou
土壤结皮	turangjiepi
土壤排水	turangpaishui
土壤侵蚀	turangqinshi
土壤水	turangshui
土壤酸度	turangsuandu
土壤特性	turangtexing
土壤条件	turangtiaojian
土壤通气	turangtongqi
土壤退化	turangtuihua
土壤温度	turangwendu
土壤污染	turangwuran
菟丝子	tusizi
图象处理	tuxiangchuli
图象合成	tuxianghecheng
土样	tuyang
徒长	tuzhang
脱臭	tuochou
脱肥	tuofei
脱胶	tuojiao
脱蜡	tuola
脱壳	tuoqiao
脱水	tuoshui
脱水蔬菜	tuoshuishucai
脱酸	tuosuan
脱盐	tuoyan
挖沟	wagou
外激素	waijisu
晚稻	wandao
豌豆	wandou
豌豆尖	wandoujian
晚收	wanshou
万寿菊	wanshouju
晚熟性	wanshuxing
晚霜	wanshuang
晚香玉	wanxiangyu
微波干燥	weiboganzao
微波遥感	weiboyaogan
危害程度	weihaichengdu
围垦地	weikendi
微量元素	weiliangyuansu
委陵菜	weilingcai
卫生纸架	weishengzhijia
喂食器	weishiqi
圩田	weitian
微型胶卷	weixingjiaojuan
温床	wenchuang
温床栽培	wenchuangzaipei
温带	wendai
温带气候	wendaiqihou
稳定剂	wendingji
文具胶带	wenjujiaodai
纹理	wenli
温室	wenshi
温室管理	wenshiguanli
温室通风	wenshitongfeng
温湿图	wenshitu
温室效应	wenshixiaoying
文殊兰	wenshulan
文艺评论	wenyipinglun
文竹	wenzhu
蕹菜	wengcai
渥堆	wodui
无壁犁	wubili
乌鸫	wudong
无害化	wuhaihua
物候观测	wuhouguance
物候谱	wuhoupu
物候图	wuhoutu
无机肥料	wujifeiliao
无机废水	wujifeishui
物价管制	wujiaguanzhi
芜菁	wujing
雾景	wujing
芜菁甘蓝	wujingganlan
乌拉草	wulacao
五敛子	wulianzi
五氯酚	wulvfen
污泥	wuni
污染监测	wuranjiance
污染物	wuranwu
污染源	wuranyuan
无霜	wushuang
污水处理	wushuichuli
雾凇	wusong
无限生长	wuxianshengzhang
无效假设	wuxiaojiashe
无性繁殖	wuxingfanzhi
细胞工程	xibaogongcheng
细胞培养	xibaopeiyang
细胞融合	xibaoronghe
细胞系	xibaoxi
西葫芦	xihulu
细菌	xijun
洗麦	ximai
系谱法	xipufa
细筛	xishai
吸收剂量	xishoujiliang
吸水势	xishuishi
细香葱	xixiangcong
夏播	xiabo
夏大豆	xiadadou
下行列车	xiaxinglieche
苋菜	xiancai
现代农业	xiandainongye
籼稻	xiandao
县计生委	xianjishengwei
现金价格	xianjinjiage
仙客来	xiankelai
纤毛状	xianmaozhuang
显热通量	xianretongliang
仙人掌果	xianrenzhangguo
鲜食	xianshi
显示装置	xianshizhuangzhi
纤维素	xianweisu
线性回归	xianxinghuigui
鲜重	xianzhong
相对湿度	xiangduishidu
香榧	xiangfei
香菇	xianggu
相关系数	xiangguanxishu
相关指数	xiangguanzhishu
橡胶作物	xiangjiaozuowu
香菌	xiangjun
香茅	xiangmao
香蒲	xiangpu
镶嵌图	xiangqiantu
香芹酚	xiangqinfen
向日葵	xiangrikui
香豌豆	xiangwandou
香豌豆花	xiangwandouhua
香雪兰	xiangxuelan
象元	xiangyuan
香橼	xiangyuan
香樟	xiangzhang
小扁豆	xiaobiandou
小苍兰	xiaocanglan
消毒剂	xiaoduji
小段包工	xiaoduanbaogong
硝化作用	xiaohuazuoyong
小井	xiaojing
小莱豆	xiaolaidou
小礼拜堂	xiaolibaitang
小羚羊	xiaolingyang
小麦	xiaomai
小麦粉	xiaomaifen
小满	xiaoman
小米	xiaomi
小气候	xiaoqihou
销售价格	xiaoshoujiage
硝酸铵	xiaosuanan
硝酸钙	xiaosuangai
硝酸钾	xiaosuanjia
硝态氮	xiaotaidan
硝态氮肥	xiaotaidanfei
协方差	xiefangcha
协同效应	xietongxiaoying
新根	xingen
信使	xinshi
心土犁	xintuli
新闻来源	xinwenlaiyuan
形钉	xingding
性状	xingzhuang
雄冠	xiongguan
雄蕊	xiongrui
雄性不育	xiongxingbuyu
雄蚁	xiongyi
锈斑	xiuban
修复过程	xiufuguocheng
修剪	xiujian
锈菌	xiujun
休闲	xiuxian
修枝剪	xiuzhijian
需肥量	xufeiliang
需水量	xushuiliang
萱草	xuancao
悬浮固体	xuanfuguti
旋覆花	xuanfuhua
旋毛虫	xuanmaochong
选择差	xuanzecha
选择强度	xuanzeqiangdu
选择指数	xuanzezhishu
旋转锄	xuanzhuanchu
旋转设计	xuanzhuansheji
雪暴	xuebao
雪害	xuehai
穴距	xueju
熏干	xungan
驯化	xunhua
循环基金	xunhuanjijin
训练样本	xunlianyangben
熏烟	xunyan
鲟鱼	xunyu
芽变	yabian
芽蕉	yajiao
亚麻	yama
亚热带	yaredai
鸭舌草	yashecao
压条繁殖	yatiaofanzhi
芽选择	yaxuanze
芽叶	yaye
延缓剂	yanhuanji
严厉查处	yanlichachu
燕麦片	yanmaipian
芫荽	yansui
烟熏保藏	yanxunbaocang
厌氧发酵	yanyangfajiao
腌制	yanzhi
盐渍	yanzi
腌渍保藏	yanzibaocang
眼子菜	yanzicai
洋白菜	yangbaicai
养虫工厂	yangchonggongchang
养地	yangdi
氧化钾	yanghuajia
氧化塘	yanghuatang
洋蓟	yangji
阳历	yangli
阳离子	yanglizi
阳桃	yangtao
秧田	yangtian
氧效应	yangxiaoying
养猪场	yangzhuchang
鳐鱼	yaoyu
叶斑	yeban
叶背	yebei
叶菜	yecai
叶菜类	yecailei
野鸽	yege
叶互生	yehusheng
冶金学	yejinxue
夜来香	yelaixiang
叶龄	yeling
叶面积	yemianji
野苜蓿	yemuxu
野蔷薇	yeqiangwei
叶鞘	yeqiao
野生大豆	yeshengdadou
野生菌	yeshengjun
野生种	yeshengzhong
液体肥料	yetifeiliao
叶形	yexing
叶子花	yezihua
疫病	yibing
以产定工	yichandinggong
宜昌橙	yichangcheng
遗传工程	yichuangongcheng
一串红	yichuanhong
遗传率	yichuanlv
遗传漂变	yichuanpiaobian
遗传侵蚀	yichuanqinshi
彝家	yijia
异交	yijiao
溢流孔	yiliukong
一年生	yiniansheng
彝山	yishan
易位	yiwei
易位系	yiweixi
彝文	yiwen
异形词	yixingci
异源	yiyuan
移栽	yizai
彝寨	yizhai
抑制发芽	yizhifaya
彝州	yizhou
荫蔽	yinbi
印度鳄	yindue
引发酶	yinfamei
银环蛇	yinhuanshe
引进品种	yinjinpinzhong
阴离子	yinlizi
银莲花	yinlianhua
印制电路	yinzhidianlu
荧光	yingguang
硬粒玉米	yingliyumi
瘿瘤	yingliu
罂粟	yingsu
营养袋	yingyangdai
营养枝	yingyangzhi
影印机	yingyinji
硬质小麦	yingzhixiaomai
鹰嘴豆	yingzuidou
诱变剂	youbianji
诱变育种	youbianyuzhong
油菜籽	youcaizi
有害生物	youhaishengwu
油葫芦	youhulu
有机肥	youjifei
有机肥料	youjifeiliao
有机硫	youjiliu
有机农业	youjinongye
油梨	youli
油料	youliao
油料脱皮	youliaotuopi
油料作物	youliaozuowu
莜麦	youmai
莜麦粉	youmaifen
幼嫩	younen
有效温度	youxiaowendu
诱蝇酮	youyingtong
油脂精炼	youzhijinglian
预测	yuce
预测预报	yuceyubao
誉称	yucheng
淤溉	yugai
雨季	yuji
郁金香	yujinxiang
雨久花	yujiuhua
雨量	yuliang
虞美人	yumeiren
玉米棒子	yumibangzi
玉米粉	yumifen
玉米糁	yumishen
玉米渣	yumizha
育苗	yumiao
榆木树	yumushu
芋艿	yunai
雨水	yushui
雨凇	yusong
榆叶梅	yuyemei
羽衣甘蓝	yuyiganlan
玉簪	yuzan
宇宙志	yuzhouzhi
原地保存	yuandibaocun
原基	yuanji
远交	yuanjiao
园林设计	yuanlinsheji
圆盘耙	yuanpanba
圆盘犁	yuanpanli
原球茎	yuanqiujing
远摄镜头	yuanshejingtou
原始农业	yuanshinongye
鸢尾	yuanwei
园艺	yuanyi
园艺师	yuanyishi
园艺学	yuanyixue
园艺作物	yuanyizuowu
远缘	yuanyuan
远缘嫁接	yuanyuanjiajie
远缘杂种	yuanyuanzazhong
原种	yuanzhong
越冬防治	yuedongfangzhi
越冬作物	yuedongzuowu
越瓜	yuegua
越桔	yueju
月台票	yuetaipiao
云量	yunliang
运输费用	yunshufeiyong
孕穗	yunsui
芸苔	yuntai
芸薹	yuntai
允许浓度	yunxunongdu
杂草	zacao
杂交高粱	zajiaogaoliang
杂交可育	zajiaokeyu
杂交育种	zajiaoyuzhong
杂交种	zajiaozhong
杂交组合	zajiaozuhe
杂项费用	zaxiangfeiyong
杂种	zazhong
杂种优势	zazhongyoushi
栽培品种	zaipeipinzhong
再侵染源	zaiqinranyuan
载体	zaiti
早春	zaochun
早代测验	zaodaiceyan
早稻	zaodao
早发	zaofa
早霜	zaoshuang
糟渍	zaozi
增产灵	zengchanling
增生	zengsheng
炸土豆片	zhatudoupian
沼气	zhaoqi
沼气池	zhaoqichi
着水	zhaoshui
遮阴	zheyin
真菌	zhenjun
砧木	zhenmu
镇压	zhenya
珍珠鸡	zhenzhuji
整倍体	zhengbeiti
政策引导	zhengceyindao
蒸炒	zhengchao
整地	zhengdi
正反交	zhengfanjiao
正交试验	zhengjiaoshiyan
蒸汽蒸馏	zhengqizhengliu
蒸青	zhengqing
蒸散	zhengsan
正态分布	zhengtaifenbu
正态曲线	zhengtaiquxian
蒸腾	zhengteng
蒸腾速率	zhengtengsulv
蒸腾系数	zhengtengxishu
整枝	zhengzhi
植被	zhibei
植被指数	zhibeizhishu
制表机	zhibiaoji
脂肪酸	zhifangsuan
制剂	zhiji
枝接	zhijie
智利草莓	zhilicaomei
直立压条	zhiliyatiao
芝麻酱	zhimajiang
芝麻油	zhimayou
致密	zhimi
支票帐户	zhipiaozhanghu
支渠	zhiqu
指示生物	zhishishengwu
致死剂量	zhisijiliang
植物保护	zhiwubaohu
植物病害	zhiwubinghai
植物检疫	zhiwujianyi
植物群落	zhiwuqunluo
植物学家	zhiwuxuejia
植物引种	zhiwuyinzhong
直线回归	zhixianhuigui
直线相关	zhixianxiangguan
栀子	zhizi
中稻	zhongdao
种肥	zhongfei
中耕	zhonggeng
种鸡场	zhongjichang
中间型	zhongjianxing
重力分级	zhonglifenji
中期贷款	zhongqidaikuan
种球	zhongqiu
中熟	zhongshu
众数	zhongshu
终霜	zhongshuang
中文报纸	zhongwenbaozhi
种质	zhongzhi
种植机	zhongzhiji
种植业	zhongzhiye
种猪	zhongzhu
种子仓库	zhongzicangku
种子活力	zhongzihuoli
种子鉴定	zhongzijianding
种子检验	zhongzijianyan
种子容重	zhongzirongzhong
种子消毒	zhongzixiaodu
种子休眠	zhongzixiumian
周工资	zhougongzi
皱叶甘蓝	zhouyeganlan
昼夜节律	zhouyejielv
周转基金	zhouzhuanjijin
逐步回归	zhubuhuigui
贮藏期	zhucangqi
猪产房	zhuchanfang
主导产业	zhudaochanye
竹杆	zhugan
主根	zhugen
株行距	zhuhangju
株行试验	zhuhangshiyan
株距	zhuju
柱列	zhulie
猪毛菜	zhumaocai
蛀食	zhushi
贮水量	zhushuiliang
竹荪	zhusun
主效应	zhuxiaoying
注油枪	zhuyouqiang
竹蔗	zhuzhe
砖茶	zhuancha
转导	zhuandao
转化	zhuanhua
转换系数	zhuanhuanxishu
撞击杀虫	zhuangjishachong
壮秧	zhuangyang
追施	zhuishi
灼伤	zhuoshang
资本货物	zibenhuowu
资本外逃	zibenwaitao
自变量	zibianliang
紫菜薹	zicaitai
紫菜头	zicaitou
子代	zidai
子房	zifang
渍害	zihai
自花授粉	zihuashoufen
自花受精	zihuashoujing
紫花豌豆	zihuawandou
自交	zijiao
自净作用	zijingzuoyong
紫罗兰	ziluolan
籽棉	zimian
紫皮	zipi
自然肥力	ziranfeili
自然选择	ziranxuanze
紫色土	zisetu
子实	zishi
子实体	zishiti
紫苏	zisu
自锁螺母	zisuoluomu
紫藤	ziteng
紫菀	ziwan
自由度	ziyoudu
自由授粉	ziyoushoufen
紫玉兰	ziyulan
资源保护	ziyuanbaohu
紫云英	ziyunying
紫竹	zizhu
综合利用	zongheliyong
综合种	zonghezhong
棕榈油	zonglvyou
棕壤	zongrang
总收入	zongshouru
总体	zongti
总需氧量	zongxuyangliang
总有机碳	zongyoujitan
棕竹	zongzhu
组织培养	zuzhipeiyang
醉蝶花	zuidiehua
最高速度	zuigaosudu
座果	zuoguo
作物	zuowu
作物气象	zuowuqixiang
作物起源	zuowuqiyuan
作物栽培	zuowuzaipei
白花菜	baihuacai
白苣	baiju
白萝卜	bailuobo
白玉春	baiyuchun
鲍鱼菇	baoyugu
北丰	beifeng
彩椒	caijiao
春不老	chunbulao
春菜	chuncai
春笋	chunsun
春香	chunxiang
茨菇	cigu
茨菰	cigu
大黄茎	dahuangjing
地骷髅	dikulou
东风菜	dongfengcai
豆腐菜	doufucai
豆苗	doumiao
豆芽	douya
鹅肠草	echangcao
儿菜	ercai
甘蓝菜	ganlancai
甘露子	ganluzi
贡菜	gongcai
果裸	guoluo
红菜	hongcai
红辣椒	honglajiao
红薯	hongshu
瓠子	huzi
滑菇	huagu
黄豆芽	huangdouya
黄花菜	huanghuacai
黄芽白菜	huangyabaicai
茭白	jiaobai
金瓜	jingua
金丝瓜	jinsigua
金针菇	jinzhengu
韭菜	jiucai
韭黄	jiuhuang
卷心菜	juanxincai
苦瓠	kuhu
昆仑紫瓜	kunlunzigua
辣椒红	lajiaohong
龙爪葱	longzhuacong
芦笋	lusun
萝卜	luobo
萝卜花	luobohua
罗汉菜	luohancai
马齿菜	machicai
马王菜	mawangcai
麦饭	maifan
蔓菁	manjing
猫爪子	maozhuazi
奶白菜	naibaicai
南瓜	nangua
藕节	oujie
茄子	qiezi
秦椒	qinjiao
庆丰	qingfeng
青椒	qingjiao
秋葵	qiukui
上海青	shanghaiqing
蛇豆	shedou
石花菜	shihuacai
蔬菜	shucai
丝瓜	sigua
丝瓜花	siguahua
酸豆角	suandoujiao
蒜苗	suanmiao
蒜薹	suantai
甜瓜茎	tianguajing
天章	tianzhang
娃娃菜	wawacai
莴苣	woju
莴笋	wosun
五彩椒	wucaijiao
五香熟芥	wuxiangshujie
西兰花	xilanhua
西芹	xiqin
香菜	xiangcai
香芹	xiangqin
小白菜	xiaobaicai
薤白	xiebai
心里美	xinlimei
荇菜	xingcai
雪菜	xuecai
芽菜	yacai
樱桃萝卜	yingtaoluobo
油菜	youcai
油麦	youmai
油麦菜	youmaicai
芋头	yutou
芸豆	yundou
榨菜	zhacai
芝麻菜	zhimacai
紫甘蓝	ziganlan
紫星	zixing
芭蕉	bajiao
白兰瓜	bailangua
白诗南	baishinan
百香果	baixiangguo
荸荠	biqi
车厘子	chelizi
刺角瓜	cijiaogua
翠冠梨	cuiguanli
大叶枣	dayezao
蛋黄果	danhuangguo
灯笼果	denglongguo
冬果梨	dongguoli
鹅莓	emei
肥城桃	feichengtao
佛手柑	foshougan
覆盆子	fupenzi
富士苹果	fushipingguo
柑橘	ganju
歌海娜	gehaina
国光苹果	guoguangpingguo
黑布仑	heibulun
黑加仑	heijialun
黑枣	heizao
火龙果	huolongguo
尖蜜拉	jianmila
巨峰葡萄	jufengputao
橘子	juzi
蓝莓	lanmei
老鸦柿	laoyashi
李子	lizi
莲雾	lianwu
榴莲	liulian
龙荔	longli
绿橙	lvcheng
蔓越莓	manyuemei
玫瑰香	meiguixiang
美人指	meirenzhi
弥猴桃	mihoutao
猕猴桃	mihoutao
南丰蜜桔	nanfengmiju
南果梨	nanguoli
南美梨	nanmeili
柠檬	ningmeng
牛油果	niuyouguo
瓯柑	ougan
脐橙	qicheng
青梅	qingmei
青柠	qingning
热冬果	redongguo
热情果	reqingguo
人参果	renshenguo
软儿梨	ruanerli
赛美蓉	saimeirong
桑葚	sangshen
桑椹	sangshen
沙田柚	shatianyou
山莓	shanmei
山竹	shanzhu
神秘果	shenmiguo
水蜜桃	shuimitao
提子	tizi
榅桲	wenpo
乌饭子	wufanzi
西瓜	xigua
西梅	ximei
霞多丽	xiaduoli
香瓜	xianggua
香蕉	xiangjiao
香柠檬	xiangningmeng
杏子	xingzi
严州雪梨	yanzhouxueli
羊奶子	yangnaizi
杨桃	yangtao
柚子	youzi
月柿	yueshi
枣子	zaozi
阿必多	abiduo
阿波圭鼠	aboguishu
阿卡西鼠	akaxishu
阿克力鼠	akelishu
阿里鼠	alishu
阿莲卡	alianka
阿马帕鼠	amapashu
艾蒿	aihao
矮柳穿鱼	ailiuchuanyu
艾米氏鳉	aimishijiang
矮牵牛	aiqianniu
矮珍珠	aizhenzhu
矮紫薇	aiziwei
安胜	ansheng
安石榴	anshiliu
奥波根鼠	aobogenshu
凹形造景	aoxingzaojing
八卦珍珠	baguazhenzhu
八角枫	bajiaofeng
八角枫科	bajiaofengke
八角金盘	bajiaojinpan
八角莲	bajiaolian
菝葜	baqia
霸王棕	bawangzong
巴西黑钻	baxiheizuan
巴西蝴蝶	baxihudie
八须鼠	baxushu
白柏	baibai
白豹鼠	baibaoshu
白背叶	baibeiye
白萆薢	baibixie
百部	baibu
白车轴草	baichezhoucao
百齿卫矛	baichiweimao
白达摩	baidamo
白丁香	baidingxiang
白狐狸鼠	baihulishu
白花败酱	baihuabaijiang
白花旦	baihuadan
白花前胡	baihuaqianhu
白花紫藤	baihuaziteng
白芨	baiji
白及	baiji
白棘豹鼠	baijibaoshu
败酱	baijiang
白芥	baijie
白接骨	baijiegu
白金薄荷	baijinbohe
白金迷宫	baijinmigong
白金血心	baijinxuexin
白酒草	baijiucao
白鹃梅	baijuanmei
白榄	bailan
白蓝特	bailante
白簕	baile
百两金	bailiangjin
白马骨	baimagu
百脉根	baimaigen
白茅	baimao
白木通	baimutong
白婆婆纳	baipopona
白前	baiqian
白屈菜	baiqucai
百日青	bairiqing
百蕊草	bairuicao
白三叶草	baisanyecao
白色体	baiseti
白山蓼	baishanliao
白棠子树	baitangzishu
白苋	baixian
白星异型	baixingyixing
白杨树	baiyangshu
百叶草	baiyecao
白英	baiying
白玉兰	baiyulan
白云老虎	baiyunlaohu
白芷	baizhi
白术	baizhu
稗子	baizi
百子莲	baizilian
斑豹鼠	banbaoshu
斑背鼠	banbeishu
半边莲	banbianlian
半边莲属	banbianlianshu
斑点豹	bandianbao
斑点老虎	bandianlaohu
斑点鼠	bandianshu
半点鱼	bandianyu
绊根草	bangencao
斑花杓兰	banhuabiaolan
半寄生	banjisheng
斑节鳇鱼	banjiehuangyu
斑节泥鳅	banjieniqiu
半裸缸	banluogang
斑茅	banmao
斑鳍鼠	banqishu
半日花科	banrihuake
半蒴苣苔	banshuojutai
伴随病毒	bansuibingdu
半夏属	banxiashu
半线鱼	banxianyu
斑叶堇菜	banyejincai
斑叶兰	banyelan
斑子麻黄	banzimahuang
蚌花	banghua
绑莫丝	bangmosi
棒状病毒	bangzhuangbingdu
宝贝鼠	baobeishu
薄壁组织	baobizuzhi
薄层电泳	baocengdianyong
报春	baochun
宝盖草	baogaicao
胞果	baoguo
胞间连丝	baojianliansi
枹栎	baoli
孢囊	baonang
孢囊梗	baonanggeng
豹皮樟	baopizhang
豹鼠	baoshu
胞饮作用	baoyinzuoyong
孢原细胞	baoyuanxibao
暴藻	baozao
爆仗竹	baozhangzhu
爆殖	baozhi
胞质分裂	baozhifenlie
胞质环流	baozhihuanliu
孢子堆	baozidui
孢子发生	baozifasheng
孢子角	baozijiao
孢子球	baoziqiu
孢子形成	baozixingcheng
北柴胡	beichaihu
贝蒂灯	beidideng
北京丁香	beijingdingxiang
北京杨	beijingyang
贝壳衫	beikeshan
贝林卡	beilinka
贝罗蒙铁	beiluomengtie
北马兜铃	beimadouling
贝母	beimu
北丝石竹	beisishizhu
北乌头	beiwutou
北玄参	beixuanshen
北鱼黄草	beiyuhuangcao
苯胺蓝	benanlan
本地种	bendizhong
崩大碗	bengdawan
荜拔	biba
闭果	biguo
必康多	bikangduo
薜荔	bili
秘鲁达摩	biludamo
秘鲁黑云	biluheiyun
秘鲁老虎	bilulaohu
秘鲁神仙	bilushenxian
笔罗子	biluozi
闭囊壳	binangke
比色池	bisechi
鞭打绣球	biandaxiuqiu
变豆菜	biandoucai
蝙蝠侠鼠	bianfuxiashu
扁秆藨草	bianganbiaocao
扁化	bianhua
扁蕾	bianlei
鞭毛抗原	bianmaokangyuan
扁桃果	biantaoguo
扁头白钻	biantoubaizuan
扁头蓝钻	biantoulanzuan
萹蓄	bianxu
扁蓄	bianxu
变叶胡椒	bianyehujiao
变叶木	bianyemu
变叶榕	bianyerong
变种熊猫	bianzhongxiongmao
扁竹	bianzhu
藨草	biaocao
标记基因	biaojijiyin
杓兰	biaolan
表皮	biaopi
表皮突	biaopitu
表皮质	biaopizhi
表型模拟	biaoxingmoni
滨海前胡	binhaiqianhu
滨紫草	binzicao
冰草	bingcao
冰凉花	binglianghua
柄生孢子	bingshengbaozi
驳骨丹	bogudan
波克鼠	bokeshu
擘蓝	bolan
玻璃菊	boliju
玻璃血心	bolixuexin
博落回	boluohui
菠萝女王	boluonvwang
波斯曼鼠	bosimanshu
波缘楤木	boyuancongmu|boyuansongmu
不定根	budinggen
不定胚	budingpei
不定芽	budingya
不动精子	budongjingzi
布朗耳蕨	bulangerjue
补血草	buxuecao
彩鳍坦克	caiqitanke
菜头肾	caitoushen
蚕茧草	canjiancao
藏花忍冬	canghuarendong
藏卵器	cangluanqi
苍术	cangzhu
草本植物	caobenzhiwu
草苁蓉	caocongrong
草龙	caolong
草泥丸	caoniwan
糙苏	caosu
草问荆	caowenjing
糙叶五加	caoyewujia
草玉梅	caoyumei
草原植物	caoyuanzhiwu
草泽泻	caozexie
草螽	caozhong
操纵基因	caozongjiyin
侧金盏花	cejinzhanhua
侧生	cesheng
茶梅	chamei
叉子圆柏	chaziyuanbai
豺皮樟	chaipizhang
产囊体	channangti
长白忍冬	changbairendong
长鼻鼠	changbishu
常春卫矛	changchunweimao
长梗郁李	changgengyuli
菖蒲	changpu
长前胡	changqianhu
常染色质	changransezhi
长身猴鱼	changshenhouyu
长瓦韦	changwawei
长腰鼠	changyaoshu
长腰银钻	changyaoyinzuan
长腰芝麻	changyaozhima
超白缸	chaobaigang
巢菜	chaocai
超光管	chaoguangguan
超卷曲	chaojuanqu
朝天罐	chaotianguan
朝天椒	chaotianjiao
朝鲜当归	chaoxiandanggui
朝鲜丁香	chaoxiandingxiang
朝鲜柳	chaoxianliu
朝鲜鼠李	chaoxianshuli
朝鲜崖柏	chaoxianyabai
朝鲜越桔	chaoxianyueju
沉淀塔	chendianta
沉水过滤	chenshuiguolv
橙腹牙鱼	chengfuyayu
秤钩风	chenggoufeng
成景	chengjing
成熟分裂	chengshufenlie
赤瓟	chibo
赤参	chican
赤豆	chidou
赤胫散	chijingsan
翅茎香青	chijingxiangqing
赤麻	chima
赤木灯	chimudeng
赤楠	chinan
赤丸八卦	chiwanbagua
翅卫矛	chiweimao
赤藓红	chixianhong
翅芽	chiya
匙叶草	chiyecao
匙叶黄杨	chiyehuangyang
匙叶五加	chiyewujia
翅英决明	chiyingjueming
赤旃檀	chizhantan
赤卒	chizu
虫纹老虎	chongwenlaohu
重组修复	chongzuxiufu
臭菜	choucai
臭草	choucao
臭辣树	choulashu
臭冷杉	choulengshan
臭牡丹	choumudan
臭菘	chousong
臭梧桐	chouwutong
除虫菊	chuchongju
触角窝	chujiaowo
初生壁	chushengbi
储水组织	chushuizuzhi
楮头红	chutouhong
除油膜器	chuyoumoqi
川赤芍	chuanchishao
传递细胞	chuandixibao
川莲	chuanlian
川明参	chuanmingcan
串钱柳	chuanqianliu
川芎	chuanxiong
川续断	chuanxuduan
川榛	chuanzhen
垂丝海棠	chuisihaitang
垂丝卫矛	chuisiweimao
垂叶榕	chuiyerong
垂枝榆	chuizhiyu
纯合性	chunhexing
春羽	chunyu
刺果卫矛	ciguoweimao
刺海棠	cihaitang
刺蓟菜	cijicai
刺藜	cili
雌蕊群	ciruiqun
刺沙蓬	cishapeng
刺参	cishen
刺桐	citong
刺通草	citongcao
刺五加	ciwujia
雌雄异株	cixiongyizhu
刺榆	ciyu
葱兰	conglan
丛枝蓼	congzhiliao
粗叶耳草	cuyeercao
翠雀	cuique
翠云草	cuiyuncao
大白柳	dabailiu
大包囊	dabaonang
大孢子	dabaozi
大参	dacan
大巢菜	dachaocai
大丁草	dadingcao
大帆三间	dafansanjian
大帆鼠	dafanshu
大帆血心	dafanxuexin
大狗尾草	dagouweicao
大果青扦	daguoqingqian
