阿贝聚光镜	abeijuguangjing
冲击浪	chongjilang
冲击面	chongjimian
冲击能	chongjineng
冲击能量	chongjinengliang
冲击能吸收	chongjinengxishou
冲积粘土	chongjiniantu
冲击扭力试验	chongjiniulishiyan
冲击疲劳强度	chongjipilaoqiangdu
冲击疲劳试验	chongjipilaoshiyan
冲击破裂试验	chongjipolieshiyan
冲击强度	chongjiqiangdu
冲击圈	chongjiquan
冲击韧性	chongjirenxing
冲击韧性试验	chongjirenxingshiyan
冲积砂层	chongjishaceng
冲积砂金	chongjishajin
冲击试件	chongjishijian
冲击式截煤机	chongjishijiemeiji
冲击式磨机	chongjishimoji
冲击式破碎机	chongjishiposuiji
冲击式钎子	chongjishiqianzi
冲击式切割机	chongjishiqiegeji
冲击式压力机	chongjishiyaliji
冲击试验	chongjishiyan
冲击试验机	chongjishiyanji
冲击式凿岩	chongjishizaoyan
冲击式震动筛	chongjishizhendongshai
冲击式钻杆	chongjishizuangan
冲击式钻机	chongjishizuanji
冲击撕裂试验	chongjisilieshiyan
冲击速度	chongjisudu
冲击速降	chongjisujiang
冲击台	chongjitai
冲击弹性	chongjitanxing
冲击调制器	chongjitiaozhiqi
冲击弯曲试验	chongjiwanqushiyan
冲击弯曲性能	chongjiwanquxingneng
冲击位置	chongjiweizhi
冲积物	chongjiwu
冲击系数	chongjixishu
冲击效率	chongjixiaolv
冲击消泡器	chongjixiaopaoqi
冲击效应	chongjixiaoying
冲击性能	chongjixingneng
冲击压碎性	chongjiyasuixing
冲击压缩试验	chongjiyasuoshiyan
冲击液压成形	chongjiyeyachengxing
冲击硬度	chongjiyingdu
冲击硬度试验	chongjiyingdushiyan
冲击应力	chongjiyingli
冲击载荷试验	chongjizaiheshiyan
冲击阻力	chongjizuli
虫胶酯	chongjiaozhi
重结晶带	chongjiejingdai
重结晶作用	chongjiejingzuoyong
冲孔	chongkong
冲孔板筛	chongkongbanshai
冲孔标记	chongkongbiaoji
冲孔冲头	chongkongchongtou
冲孔管	chongkongguan
冲孔器	chongkongqi
冲孔试验	chongkongshiyan
冲孔芯棒	chongkongxinbang
冲孔压力机	chongkongyaliji
冲孔阳模	chongkongyangmo
冲孔应力	chongkongyingli
冲孔柱塞	chongkongzhusai
冲力矩	chongliju
冲力作用	chonglizuoyong
冲量	chongliang
冲量容积比	chongliangrongjibi
冲料压力机	chongliaoyaliji
充料装置	chongliaozhuangzhi
充满气体	chongmanqiti
重磨	chongmo
重磨削	chongmoxue
冲模插床	chongmuchachuang
冲模钢	chongmugang
冲模工作面	chongmugongzuomian
冲模间隙	chongmujianxi
冲模开度	chongmukaidu
冲模切槽铣刀	chongmuqiecaoxidao
冲模生产	chongmushengchan
冲模制造	chongmuzhizao
冲模制作	chongmuzhizuo
重排列	chongpailie
虫漆	chongqi
重砌	chongqi
充气	chongqi
充气比重	chongqibizhong
充气不均电池	chongqibujundianchi
充气槽	chongqicao
充气车	chongqiche
充气充程	chongqichongcheng
充气灯	chongqideng
充气电池	chongqidianchi
充气二极管	chongqierjiguan
充气阀	chongqifa
充气腐蚀	chongqifushi
充气浮选	chongqifuxuan
充气管整流器	chongqiguanzhengliuqi
充气光电管	chongqiguangdianguan
充气滚圈	chongqigunquan
充气混凝土	chongqihunningtu
充气活门	chongqihuomen
充气控制管	chongqikongzhiguan
充气器	chongqiqi
充气歧管	chongqiqiguan
充气溶液	chongqirongye
充气三极管	chongqisanjiguan
充气三级管	chongqisanjiguan
充气设备	chongqishebei
充气式浮选机	chongqishifuxuanji
充气试验	chongqishiyan
充气塔	chongqita
充气系数	chongqixishu
充气箱	chongqixiang
充气压气机	chongqiyaqiji
充气焰	chongqiyan
充气站	chongqizhan
充气整流器	chongqizhengliuqi
充气装置	chongqizhuangzhi
重嵌灰缝	chongqianhuifeng
重燃弧	chongranhu
舂入侧型芯	chongrucexingxin
重入程序	chongruchengxu
重入码	chongruma
冲砂	chongsha
重上引锭杆	chongshangyindinggan
冲刷防治	chongshuafangzhi
冲刷痕	chongshuahen
充填	chongtian
充填采矿法	chongtiancaikuangfa
充填材料	chongtiancailiao
充填钢丝	chongtiangangsi
充填化合物	chongtianhuahewu
充填井	chongtianjing
充填孔	chongtiankong
充填框	chongtiankuang
冲天炉	chongtianlu
冲天炉残铁	chongtianlucantie
冲天炉工作门	chongtianlugongzuomen
冲天炉焦炭	chongtianlujiaotan
冲天炉炉底	chongtianluludi
冲天炉炉身	chongtianlulushen
冲天炉身	chongtianlushen
冲天炉外壳	chongtianluwaike
充填率	chongtianlv
充填深度	chongtianshendu
充填物质	chongtianwuzhi
充填系统	chongtianxitong
充填因数	chongtianyinshu
充填用碎砖块	chongtianyongsuizhuankuai
冲头	chongtou
冲头行程	chongtouxingcheng
冲头用钢	chongtouyonggang
冲头状型芯	chongtouzhuangxingxin
冲头座	chongtouzuo
冲窝	chongwo
冲洗	chongxi
冲洗泵	chongxibeng
冲洗槽	chongxicao
冲洗沉淀器	chongxichendianqi
冲洗沟	chongxigou
冲洗管	chongxiguan
冲洗气体	chongxiqiti
冲洗水	chongxishui
冲洗水泵	chongxishuibeng
冲洗氧化皮	chongxiyanghuapi
冲洗油	chongxiyou
重现精度	chongxianjingdu
重新奥氏体化	chongxinaoshitihua
重新闭合	chongxinbihe
重新处理	chongxinchuli
重新吹	chongxinchui
重新磁化	chongxincihua
重新打结	chongxindajie
重新电镀	chongxindiandu
重新定义	chongxindingyi
重新分布	chongxinfenbu
重新挂银	chongxinguayin
重新回火	chongxinhuihuo
重新浇注轴承	chongxinjiaozhuzhoucheng
重新接通	chongxinjietong
重新排序	chongxinpaixu
重新砌衬	chongxinqichen
重新起动按钮	chongxinqidonganniu
重新启动点	chongxinqidongdian
重新取样	chongxinquyang
重新设计	chongxinsheji
重新使用	chongxinshiyong
重新调节	chongxintiaojie
重新涂覆	chongxintufu
重新退火	chongxintuihuo
重新喂料	chongxinweiliao
重新新料	chongxinxinliao
重新修筑	chongxinxiuzhu
重新指定	chongxinzhiding
重新装备	chongxinzhuangbei
重新装配	chongxinzhuangpei
充型	chongxing
重修表面	chongxiubiaomian
重选	chongxuan
重选法	chongxuanfa
重选作业线	chongxuanzuoyexian
冲压	chongya
冲压薄板	chongyabaoban
充压阀	chongyafa
冲压发动机级	chongyafadongjiji
冲压废料	chongyafeiliao
冲压工	chongyagong
冲压工长	chongyagongzhang
冲压机	chongyaji
冲压模	chongyamo
冲压切边	chongyaqiebian
冲压效率	chongyaxiaolv
冲眼	chongyan
充盐润滑	chongyanrunhua
充氧水	chongyangshui
充液泵	chongyebeng
充液温度计	chongyewenduji
充油电缆	chongyoudianlan
充油套管	chongyoutaoguan
冲盂	chongyu
冲盂操作	chongyucaozuo
冲盂模	chongyumo
重载传动	chongzaichuandong
重载荷润滑脂	chongzaiherunhuazhi
重载试验	chongzaishiyan
重载轴承	chongzaizhoucheng
冲震试验	chongzhenshiyan
重整化技术	chongzhenghuajishu
重整天然气	chongzhengtianranqi
虫脂	chongzhi
冲制	chongzhi
冲撞硬度	chongzhuangyingdu
冲子	chongzi
冲钻法	chongzuanfa
畴壁	choubi
畴壁能	choubineng
畴壁位移	choubiweiyi
畴壁运动	choubiyundong
抽尘	chouchen
抽尘风扇	chouchenfengshan
抽尘器	chouchenqi
抽尘系统	chouchenxitong
抽尘罩	chouchenzhao
抽除	chouchu
抽出	chouchu
抽出钢坯	chouchugangpi
抽出空气	chouchukongqi
抽出式断路器	chouchushiduanluqi
抽出式通风	chouchushitongfeng
抽出通风	chouchutongfeng
抽出型层错	chouchuxingcengcuo
抽出轧辊	chouchuzhagun
抽出装置	chouchuzhuangzhi
抽锭法	choudingfa
稠度系数	chouduxishu
抽风焙烧	choufengbeishao
抽风点火	choufengdianhuo
抽风段	choufengduan
抽风方式	choufengfangshi
抽风风流	choufengfengliu
抽风风箱	choufengfengxiang
抽风干燥	choufengganzao
抽风干燥段	choufengganzaoduan
抽风柜	choufenggui
抽风过度	choufengguodu
抽风回转换热	choufenghuizhuanhuanre
抽风机	choufengji
抽风冷却	choufenglengque
抽风冷却塔	choufenglengqueta
抽风面积	choufengmianji
抽风强度	choufengqiangdu
抽风烧结法	choufengshaojiefa
抽风烧结机	choufengshaojieji
抽风设备	choufengshebei
抽风室	choufengshi
抽风式冷却机	choufengshilengqueji
抽风系统	choufengxitong
抽风箱	choufengxiang
抽风循环	choufengxunhuan
抽风烟道	choufengyandao
抽风预热段	choufengyureduan
抽风装置	choufengzhuangzhi
稠汞齐	chougongqi
抽辊钮	chougunniu
畴结构	choujiegou
抽晶	choujing
抽空度	choukongdu
抽空脱气	choukongtuoqi
稠矿桨	choukuangjiang
抽力	chouli
抽力调节	choulitiaojie
抽力调节挡板	choulitiaojiedangban
抽力调节器	choulitiaojieqi
畴粒子	choulizi
稠密层	choumiceng
稠密沉淀	choumichendian
稠密沉积	choumichenji
畴能	chouneng
稠泥	chouni
抽泥泵	chounibeng
稠浓剂	chounongji
稠浓器	chounongqi
抽气	chouqi
抽汽	chouqi
抽气泵	chouqibeng
抽气管	chouqiguan
抽汽管道	chouqiguandao
抽气机	chouqiji
臭气极限浓度	chouqijixiannongdu
臭气浓度	chouqinongdu
臭气强度指数	chouqiqiangduzhishu
抽气室	chouqishi
抽气式汽轮机	chouqishiqilunji
抽气式吸风机	chouqishixifengji
抽气水喷射器	chouqishuipensheqi
抽气透平	chouqitouping
臭气物质	chouqiwuzhi
抽气烟道	chouqiyandao
筹签	chouqian
抽取样	chouquyang
抽入	chouru
抽试	choushi
抽水管	choushuiguan
抽屉式烘干炉	choutishihongganlu
抽筒器	choutongqi
抽头	choutou
抽头变压器	choutoubianyaqi
抽头切换开关	choutouqiehuankaiguan
抽头绕组	choutouraozu
抽头式电热器	choutoushidianreqi
抽头式焊机	choutoushihanji
抽头转换	choutouzhuanhuan
抽头转换开关	choutouzhuanhuankaiguan
抽吸泵	chouxibeng
抽吸法	chouxifa
抽吸浇注	chouxijiaozhu
抽吸能力	chouxinengli
抽吸设备	chouxishebei
抽吸装置	chouxizhuangzhi
抽吸作用	chouxizuoyong
稠相沸腾层	chouxiangfeitengceng
抽芯	chouxin
稠悬浮液	chouxuanfuye
抽烟气机	chouyanqiji
臭氧处理	chouyangchuli
抽样单位	chouyangdanwei
臭氧定量法	chouyangdingliangfa
臭氧化器	chouyanghuaqi
臭氧化物	chouyanghuawu
臭氧计	chouyangji
抽样检查	chouyangjiancha
臭氧检验器	chouyangjianyanqi
抽样率	chouyanglv
抽扬喷射器	chouyangpensheqi
抽样射束	chouyangsheshu
抽样试验	chouyangshiyan
抽样数据控制	chouyangshujukongzhi
臭氧氧化	chouyangyanghua
稠液喷射器	chouyepensheqi
稠叶栅	chouyezha
稠渣	chouzha
抽真空	chouzhenkong
抽真空管道	chouzhenkongguandao
抽真空口	chouzhenkongkou
抽真空设备	chouzhenkongshebei
抽真空时间	chouzhenkongshijian
抽真空系统	chouzhenkongxitong
畴质点	chouzhidian
畴转动	chouzhuandong
畴组态	chouzutai
除氨	chuan
除铋	chubi
除铋剂	chubiji
触变沉淀	chubianchendian
触变现象	chubianxianxiang
触变行为	chubianxingwei
触变性质	chubianxingzhi
触变淤桨	chubianyujiang
除冰液	chubingye
初步焙烧	chububeishao
初步沉淀	chubuchendian
初步抽气泵	chubuchouqibeng
初步抽真空	chubuchouzhenkong
初步处理	chubuchuli
初步分馏塔	chubufenliuta
初步还原	chubuhuanyuan
初步火法精炼	chubuhuofajinglian
初步技术报告	chubujishubaogao
初步计算	chubujisuan
初步加工	chubujiagong
初步校准曲线	chubujiaozhunquxian
初步浸出	chubujinchu
初步净化	chubujinghua
初步精炼	chubujinglian
初步氯化	chubulvhua
初步氯化带	chubulvhuadai
初步熔炼	chuburonglian
初步设定值	chubushedingzhi
初步试验	chubushiyan
初步提纯	chubutichun
初步调整	chubutiaozheng
初步脱硫	chubutuoliu
初步整定点	chubuzhengdingdian
初步蒸馏	chubuzhengliu
储藏稳定性	chucangwendingxing
储仓卸料装置	chucangxieliaozhuangzhi
除草附加装置	chucaofujiazhuangzhi
除草杆	chucaogan
除草器	chucaoqi
储槽形射线	chucaoxingshexian
储槽组	chucaozu
出车台	chuchetai
除尘	chuchen
除尘袋	chuchendai
除尘段	chuchenduan
除尘风量	chuchenfengliang
除尘孔	chuchenkong
除尘率	chuchenlv
除尘喷嘴	chuchenpenzui
除尘器	chuchenqi
除尘器泥渣	chuchenqinizha
除尘器特性	chuchenqitexing
除尘容积	chuchenrongji
除尘设备	chuchenshebei
除尘室	chuchenshi
除尘网	chuchenwang
除尘系统	chuchenxitong
除尘罩	chuchenzhao
除尘装置	chuchenzhuangzhi
初抽阀	chuchoufa
初抽管路	chuchouguanlu
初抽时间	chuchoushijian
初吹	chuchui
杵锤	chuchui
除疵	chuci
初次分析	chucifenxi
初次加工	chucijiagong
初次结晶	chucijiejing
初次浸出	chucijinchu
初次净化	chucijinghua
初次拉拔	chucilaba
初次冷却剂	chucilengqueji
初次冷却器	chucilengqueqi
初次锍	chuciliu
初次生产	chucishengchan
初次试验	chucishiyan
初次酸洗	chucisuanxi
初次退火	chucituihuo
初次压轧	chuciyaya
初次氧	chuciyang
初次氧化皮	chuciyanghuapi
储存料斗	chucunliaodou
储存炉	chucunlu
储存能量	chucunnengliang
储存式装料台	chucunshizhuangliaotai
储存寿命	chucunshouming
储存周期时间	chucunzhouqishijian
出错维修时间	chucuoweixiushijian
出错修复	chucuoxiufu
初垫	chudian
触点闭合力	chudianbiheli
触点闭合线路	chudianbihexianlu
触点电阻	chudiandianzu
触点合金	chudianhejin
触点金属	chudianjinshu
触点控制器	chudiankongzhiqi
储碘器	chudianqi
初电容	chudianrong
触点损坏	chudiansunhuai
触点态	chudiantai
触点温度计	chudianwenduji
出锭	chuding
初锻	chuduan
出端电阻	chuduandianzu
初锻模	chuduanmo
出耳子	chuerzi
触发电极	chufadianji
除法电路	chufadianlu
触发电容放电	chufadianrongfangdian
触发电压	chufadianya
触发法	chufafa
初发故障	chufaguzhang
触发机	chufaji
触发继电器	chufajidianqi
触发灵敏度	chufalingmindu
触发门	chufamen
触发气	chufaqi
触发器存储器	chufaqicunchuqi
触发器寄存器	chufaqijicunqi
触发器气封	chufaqiqifeng
除法时间	chufashijian
触发位置	chufaweizhi
触发选通脉冲	chufaxuantongmaichong
触发振荡器	chufazhendangqi
触发装置	chufazhuangzhi
除法子程序	chufazichengxu
触发座架	chufazuojia
初沸点	chufeidian
除酚设备	chufenshebei
初负载	chufuzai
除浮渣	chufuzha
触杆规	chugangui
出钢	chugang
出钢槽	chugangcao
出钢槽修理	chugangcaoxiuli
出钢槽渣	chugangcaozha
出钢侧炉衬	chugangceluchen
出钢钢水分析	chuganggangshuifenxi
出钢机	chugangji
出钢间隔	chugangjiange
出钢口	chugangkou
出钢口钎	chugangkouqian
出钢平台	chugangpingtai
出钢时位置	chugangshiweizhi
出钢样	chugangyang
出钢用盛钢桶	chugangyongshenggangtong
出钢渣	chugangzha
除铬	chuge
出格品	chugepin
除镉塔	chugeta
除根机	chugenji
除根犁	chugenli
初耕机具	chugengjiju
除垢除锈法	chugouchuxiufa
除垢液	chugouye
出故障处	chuguzhangchu
储柜管接头	chuguiguanjietou
除灰	chuhui
除灰口	chuhuikou
出灰口	chuhuikou
除灰门	chuhuimen
除灰箱	chuhuixiang
初级泵	chujibeng
初级除尘器	chujichuchenqi
初级电离	chujidianli
初级辐射	chujifushe
初级辐射常数	chujifushechangshu
初级鼓风机	chujigufengji
初级过滤器	chujiguolvqi
储集活套坑	chujihuotaokeng
初级金属	chujijinshu
初基晶胞	chujijingbao
初级粒子	chujilizi
初基平面	chujipingmian
初级射线	chujishexian
初级数据	chujishuju
初级消光	chujixiaoguang
初级消光长度	chujixiaoguangchangdu
初基轴	chujizhou
初加速度	chujiasudu
初键	chujian
出焦侧	chujiaoce
除金	chujin
出金属熔液槽	chujinshurongyecao
雏晶	chujing
初晶	chujing
出口槽	chukoucao
出口侧操纵台	chukoucecaozongtai
出口尺寸	chukouchicun
出口带钢温度	chukoudaigangwendu
出口带卷小车	chukoudaijuanxiaoche
出口导板	chukoudaoban
出口导板盒	chukoudaobanhe
出口导槽	chukoudaocao
出口导卫板	chukoudaoweiban
出口导卫台	chukoudaoweitai
出口端	chukouduan
出口垛板机	chukouduobanji
出口翻钢导板	chukoufangangdaoban
出口分水槽	chukoufenshuicao
出口负荷	chukoufuhe
出口管	chukouguan
出口辊	chukougun
出口辊道	chukougundao
出口含尘量	chukouhanchenliang
出口含尘浓度	chukouhanchennongdu
出口活套	chukouhuotao
出口活套坑	chukouhuotaokeng
出口活套拉辊	chukouhuotaolagun
出口夹持器	chukoujiachiqi
出口角	chukoujiao
出口开度	chukoukaidu
出口开关	chukoukaiguan
出口孔径	chukoukongjing
出口联结管	chukoulianjieguan
出口流钢砖	chukouliugangzhuan
出口密封室	chukoumifengshi
出口浓度	chukounongdu
出口喷管	chukoupenguan
出口喷嘴	chukoupenzui
出口平面	chukoupingmian
出口区研磨	chukouquyanmo
出口软管	chukouruanguan
出口水头损失	chukoushuitousunshi
出口速度	chukousudu
出口速度压头	chukousuduyatou
出口损失	chukousunshi
出口套管	chukoutaoguan
出口推床导板	chukoutuichuangdaoban
出口弯头	chukouwantou
出口卫板	chukouweiban
出口围盘	chukouweipan
出口温度	chukouwendu
出口压力	chukouyali
出口压头	chukouyatou
出口张紧辊	chukouzhangjingun
出口张紧装置	chukouzhangjinzhuangzhi
出口张力	chukouzhangli
出口张力辊	chukouzhangligun
出口锥	chukouzhui
储矿仓	chukuangcang
储矿场	chukuangchang
除楞	chuleng
处理标记	chulibiaoji
处理槽	chulicao
处理程序	chulichengxu
处理费用	chulifeiyong
处理记号	chulijihao
处理界限	chulijiexian
处理介质	chulijiezhi
处理开始阶段	chulikaishijieduan
处理量	chuliliang
处理能力	chulinengli
畜力驱动装置	chuliqudongzhuangzhi
处理溶液	chulirongye
处理设备	chulishebei
处理时间	chulishijian
处理时间滞后	chulishijianzhihou
处理速率	chulisulv
畜力碎土锄	chulisuituchu
处理损失	chulisunshi
处理条件	chulitiaojian
畜力原动机	chuliyuandongji
处理制度	chulizhidu
处理装置	chulizhuangzhi
初炼金属	chulianjinshu
出料拨杆	chuliaobogan
出料槽	chuliaocao
出料侧	chuliaoce
出料侧设备	chuliaoceshebei
出料斗	chuliaodou
出料端	chuliaoduan
出料端砌块	chuliaoduanqikuai
出料活套塔	chuliaohuotaota
出料机	chuliaoji
出料机构	chuliaojigou
出料加热炉	chuliaojiarelu
储料进给台	chuliaojingeitai
出料孔	chuliaokong
出料口	chuliaokou
出料喇叭口	chuliaolabakou
储料漏斗	chuliaoloudou
出料区	chuliaoqu
出料区段	chuliaoquduan
出料式加热炉	chuliaoshijiarelu
出料斜槽	chuliaoxiecao
储料卸出台	chuliaoxiechutai
出料运送机	chuliaoyunsongji
出料装置	chuliaozhuangzhi
初裂	chulie
除鳞	chulin
除磷	chulin
除鳞泵	chulinbeng
除鳞槽	chulincao
除鳞供水管	chulingongshuiguan
除鳞机	chulinji
除鳞集管	chulinjiguan
除鳞机座	chulinjizuo
除鳞喷水	chulinpenshui
除鳞喷嘴系统	chulinpenzuixitong
除鳞喷嘴组	chulinpenzuizu
除鳞设备	chulinshebei
除鳞系统	chulinxitong
储鳞箱	chulinxiang
除鳞用水	chulinyongshui
除鳞装置	chulinzhuangzhi
除硫	chuliu
初馏点	chuliudian
初馏份	chuliufen
初馏分	chuliufen
出锍口	chuliukou
出炉侧	chuluce
出炉机	chuluji
出炉温度	chuluwendu
触轮	chulun
除毛刺辊	chumaocigun
除毛刺机	chumaociji
除铆钉	chumaoding
除镁	chumei
触媒剂	chumeiji
触媒燃烧装置	chumeiranshaozhuangzhi
触媒作用	chumeizuoyong
除醚槽	chumicao
除沫	chumo
初磨机	chumoji
初磨球磨机	chumoqiumoji
储能	chuneng
储能电路	chunengdianlu
除镍	chunie
除镍程度	chuniechengdu
除泡勺	chupaoshao
出坯冲程	chupichongcheng
出坯冲杆	chupichonggan
出坯杆	chupigan
出坯机构	chupijigou
出坯压力	chupiyali
出坯应力	chupiyingli
出坯装置	chupizhuangzhi
除气	chuqi
出汽边	chuqibian
初期变形温度	chuqibianxingwendu
除气槽	chuqicao
初期沉积	chuqichenji
除气池	chuqichi
除气处理	chuqichuli
除气动力学	chuqidonglixue
初期反应	chuqifanying
初期费用	chuqifeiyong
初期故障	chuqiguzhang
初期还原	chuqihuanyuan
除气剂	chuqiji
出气口	chuqikou
初期冷却作用	chuqilengquezuoyong
出气率	chuqilv
出气冒口	chuqimaokou
初期粘结力	chuqinianjieli
初期偏差	chuqipiancha
除气熔剂	chuqirongji
初期蠕变	chuqirubian
初期烧结	chuqishaojie
除气室	chuqishi
除气塔	chuqita
储气桶	chuqitong
除气温度	chuqiwendu
初期析出	chuqixichu
储气箱	chuqixiang
除气装置	chuqizhuangzhi
除铅	chuqian
出铅口	chuqiankou
除铅塔	chuqianta
储氢材料	chuqingcailiao
除去	chuqu
除去镀层	chuquduceng
除去光泽	chuquguangze
除去金属镀层	chuqujinshuduceng
除去空气	chuqukongqi
除去离子	chuqulizi
除去热量	chuqureliang
除去阳离子	chuquyanglizi
除热	chure
除热剂	chureji
储热物质	churewuzhi
初熔	churong
初熔温度	churongwendu
初熔析除铜	churongxichutong
初熔渣	churongzha
初蠕变	churubian
出入沟	churugou
除乳化剂	churuhuaji
除色剂	chuseji
除砂	chusha
出砂	chusha
出砂孔	chushakong
除砂石	chushashi
出射缝隙	chushefengxi
除砷	chushen
初生奥氏体	chushengaoshiti
初生固溶体	chushenggurongti
初生晶胞	chushengjingbao
初生晶体	chushengjingti
初生氢	chushengqing
初生屈氏体	chushengqushiti
初生渗碳体	chushengshentanti
初生石墨	chushengshimo
初生态	chushengtai
初生碳化物	chushengtanhuawu
初生相	chushengxiang
初生组织	chushengzuzhi
初始焙烧温度	chushibeishaowendu
初始长度	chushichangdu
初始电感	chushidiangan
初始电压响应	chushidianyaxiangying
初始负载	chushifuzai
初始功率	chushigonglv
初始鼓风	chushigufeng
初始滑移	chushihuayi
初始加载	chushijiazai
初始颗粒	chushikeli
初始粒度	chushilidu
初始切向模量	chushiqiexiangmoliang
初始水平	chushishuiping
初始位置	chushiweizhi
初始系统	chushixitong
初始硬度	chushiyingdu
初始语言	chushiyuyan
初始载荷	chushizaihe
储水池	chushuichi
出水点	chushuidian
除水份	chushuifen
出水口	chushuikou
除水作用	chushuizuoyong
除酸	chusuan
除酸器	chusuanqi
初酸洗	chusuanxi
初碎	chusui
初碎机	chusuiji
初台产物	chutaichanwu
除铁	chutie
出铁	chutie
出铁比	chutiebi
除铁槽	chutiecao
出铁槽	chutiecao
出铁槽口	chutiecaokou
出铁场	chutiechang
出铁场班组	chutiechangbanzu
出铁场地面	chutiechangdimian
出铁场吊车	chutiechangdiaoche
出铁场废铁	chutiechangfeitie
出铁场结构	chutiechangjiegou
出铁场控制盘	chutiechangkongzhipan
出铁场清理	chutiechangqingli
出铁场设备	chutiechangshebei
出铁场用工具	chutiechangyonggongju
出铁场栈桥	chutiechangzhanqiao
出铁场照明	chutiechangzhaoming
出铁场铸铁工	chutiechangzhutiegong
出铁程序	chutiechengxu
出铁次数	chutiecishu
出铁沟	chutiegou
出铁沟残铁	chutiegoucantie
出铁间隔	chutiejiange
出铁间隔时间	chutiejiangeshijian
出铁口	chutiekou
出铁口冻结	chutiekoudongjie
出铁口流槽	chutiekouliucao
出铁口泥料	chutiekouniliao
出铁口泥套	chutiekounitao
出铁口喷火	chutiekoupenhuo
出铁口钎	chutiekouqian
出铁口铁框	chutiekoutiekuang
出铁口装置	chutiekouzhuangzhi
除铁鳞机	chutielinji
出铁流槽	chutieliucao
出铁时间	chutieshijian
出铁时间表	chutieshijianbiao
出铁温度	chutiewendu
出铁样	chutieyang
出铁用盛铁桶	chutieyongshengtietong
出铁用盛桶	chutieyongshengtong
出铁作业	chutiezuoye
除铜	chutong
除铜槽	chutongcao
除铜粗铅	chutongcuqian
除铜反应	chutongfanying
除铜工段	chutonggongduan
除铜精炼锅	chutongjinglianguo
除铜锌槽	chutongxincao
除铜锌系统	chutongxinxitong
触头材料	chutoucailiao
触头垫片	chutoudianpian
触头金属	chutoujinshu
触头压力	chutouyali
初退火	chutuihuo
出围盘	chuweipan
初温	chuwen
除雾器	chuwuqi
除锡	chuxi
除锡废钢铁	chuxifeigangtie
除锡钢板	chuxigangban
初析晶体	chuxijingti
除锡装置	chuxizhuangzhi
初现裂缝荷载	chuxianliefenghezai
触线圈	chuxianquan
初线线圈	chuxianxianquan
储箱闸门	chuxiangzhamen
除屑机	chuxieji
除锌	chuxin
除锌处理	chuxinchuli
除芯机	chuxinji
出锌口	chuxinkou
除锌炉	chuxinlu
雏形锻造	chuxingduanzao
除锈	chuxiu
除锈锤	chuxiuchui
除锈剂	chuxiuji
除锈溶液	chuxiurongye
除锈液	chuxiuye
储蓄器盖	chuxuqigai
初选槽	chuxuancao
初选机	chuxuanji
初选精矿	chuxuanjingkuang
初轧	chuzha|chuya
初压	chuya
初轧车间	chuyachejian
初轧方坯	chuyafangpi
初轧方坯仓库	chuyafangpicangku
初轧方坯钳	chuyafangpiqian
初轧方坯切头	chuyafangpiqietou
初轧坯	chuzhapi|chuyapi
初轧坯翻转机	chuyapifanzhuanji
初轧轧槽	chuyayacao
初轧轧辊	chuyayagun|chuzhazhagun
除盐	chuyan
除盐操作	chuyancaozuo
除氧	chuyang
除氧化皮液	chuyanghuapiye
储氧筒阀	chuyangtongfa
储液池	chuyechi
除银	chuyin
除银操作	chuyincaozuo
除银法	chuyinfa
除银锅	chuyinguo
除银铅	chuyinqian
除银设备	chuyinshebei
除银作业	chuyinzuoye
除油	chuyou
除油带钢	chuyoudaigang
储油器滤网	chuyouqilvwang
除油液面	chuyouyemian
除油脂槽	chuyouzhicao
处于备用状态	chuyubeiyongzhuangtai
储运机	chuyunji
除渣	chuzha
出渣	chuzha
初渣	chuzha
初轧板坯	chuzhabanpi
出渣槽	chuzhacao
出渣车	chuzhache
除渣锤	chuzhachui
出渣工	chuzhagong
除渣工具	chuzhagongju
除渣锅	chuzhaguo
初轧机	chuzhaji
初轧机架	chuzhajijia
初轧机用轴承	chuzhajiyongzhoucheng
初轧机轧辊	chuzhajizhagun
初轧机组	chuzhajizu
初轧机座	chuzhajizuo
出渣口	chuzhakou
出渣口铁渣	chuzhakoutiezha
出渣率	chuzhalv
出渣门	chuzhamen
除渣期	chuzhaqi
出渣期	chuzhaqi
除渣勺	chuzhashao
初渣生成	chuzhashengcheng
出渣时间	chuzhashijian
初渣形成层	chuzhaxingchengceng
出辙	chuzhe
触针	chuzhen
除脂	chuzhi
出中继线	chuzhongjixian
出锥	chuzhui
串报	chuanbao
串并联	chuanbinglian
串并联接线	chuanbinglianjiexian
船舶巴比合金	chuanbobabihejin
传播差	chuanbocha
传播长度	chuanbochangdu
传播方向	chuanbofangxiang
船舶气压表	chuanboqiyabiao
传播系数	chuanboxishu
船舶装置	chuanbozhuangzhi
串车提升	chuanchetisheng
穿带导卫台	chuandaidaoweitai
穿带台	chuandaitai
传导层	chuandaoceng
传导传热	chuandaochuanre
传导电子	chuandaodianzi
传导功率	chuandaogonglv
传导机理	chuandaojili
传导加热	chuandaojiare
传导介质	chuandaojiezhi
传导热损失	chuandaoresunshi
传导系数	chuandaoxishu
传导元件	chuandaoyuanjian
传递点	chuandidian
传递方式	chuandifangshi
传递管	chuandiguan
传递机能	chuandijineng
传递面	chuandimian
传递模塑法	chuandimosufa
船底水吸口	chuandishuixikou
传递损失	chuandisunshi
传递系数	chuandixishu
船底吸水管	chuandixishuiguan
传递应力	chuandiyingli
传递元件	chuandiyuanjian
传动侧	chuandongce
