aaa 啊啊啊
duomianxing 多面性
duonaohe 多瑙河
duonianlai 多年来
duoniansheng 多年生
duopule 多普勒
duoqianmi 多千米
duoqilai 躲起来
duoqudao 多渠道
duoshaobei 多少倍
duoshaodu 多少度
duoshishi 多试试
duoshudang 多数党
duotailian 多肽链
duotanglei 多糖类
duotongdao 多通道
duowandun 多万吨
duoxiangshi 多项式
duoxingqi 多星期
duoxuanti 多选题
duoyanghua 多样化
duoyangxing 多样性
duoyici 多义词
duoyidian 多一点
duoyonghu 多用户
duoyongtu 多用途
duoyuanhua 多元化
duoyuansuan 多元酸
duoyuanxing 多元性
duozhene 多着呢
duozufen 多组分
duqidan 毒气弹
dushaoqing 杜少卿
dushengzi 独生子
dushihua 都市化
dushiren 都市人
dushubao 读书报
dushuqiang 毒鼠强
dushuren 读书人
dushusheng 读书声
dutexing 独特性
duxieqi 读写器
duxinshu 读心术
duyidu 读一读
duyinjie 读音节
duyuesheng 杜月笙
duyushi 都御史
duzhizhu 毒蜘蛛
ebihe 鄂毕河
eduzi 饿肚子
eguoren 俄国人
ehenhen 恶狠狠
ejile 饿极了
eliuquan 扼流圈
eluanshi 鹅卵石
elunchun 鄂伦春
eluosi 俄罗斯
emeishan 峨眉山
emeiyue 蛾眉月
engeer 恩格尔
engesi 恩格斯
enlike 恩里科
epanggong 阿房宫
erbaiyuan 二百元
erchashu 二叉树
erchuanshou 二传手
ercifang 二次方
erdengjiang 二等奖
erdieji 二叠纪
erduoyan 耳朵眼
erguazi 耳刮子
erguoyi 二过一
erhuangdi 儿皇帝
erjiaben 二甲苯
erjibu 二机部
erjiguan 二极管
erjinzhi 二进制
erlangshen 二郎神
erlongshan 二龙山
erqianyuan 二千元
errenzhuan 二人转
erriyou 二日游
ersange 二三个
ersanshi 二三十
ershiba 二十八
ershiduo 二十多
ershige 二十个
ershijiu 二十九
ershiliu 二十六
ershinian 二十年
ershiqi 二十七
ershiri 二十日
ershisan 二十三
ershisi 二十四
ershisui 二十岁
ershitian 二十天
ershiwu 二十五
ershiyi 二十一
ershiyu 二十余
ershouche 二手车
ertongjie 儿童节
ertongpiao 儿童票
ertongqi 儿童期
ertongtuan 儿童团
ertouji 二头肌
erweima 二维码
erxiangshi 二项式
erxifu 儿媳妇
eryuanlun 二元论
ewenke 鄂温克
eyuwan 鄂豫皖
ezuoju 恶作剧
fabiaoquan 发表权
fabinglv 发病率
fabuer 法布尔
fabuhui 发布会
fabuzhe 发布者
facaimeng 发财梦
fadianchang 发电厂
fadianji 发电机
fadianliang 发电量
fadianzhan 发电站
fadinghua 法定化
fadongji 发动机
faduanxin 发短信
fagaiwei 发改委
fagaoshao 发高烧
fageinin 发给您
fagongzi 发工资
faguanfa 法官法
faguangti 发光体
faguodui 法国队
faguoren 法国人
fagushan 法鼓山
fahongbao 发红包
fajianren 发件人
fajiaofa 发酵法
fajiaofen 发酵粉
fajiaoguan 发酵罐
fajuechu 发掘出
fakanci 发刊词
faladi 法拉第
falanke 法兰克
falanrong 法兰绒
falanxi 法兰西
falaosao 发牢骚
falingqiang 发令枪
falvhua 法律化
famensi 法门寺
famingjia 发明家
famingjiang 发明奖
famingren 发明人
famingzhe 发明者
fanbaiyan 翻白眼
fanbili 反比例
fanbufan 烦不烦
fanchanggui 反常规
fanchangjiang 范长江
fancuowu 犯错误
fandehua 范德华
fandigang 梵蒂冈
fandongpai 反动派
fanduidang 反对党
fanduipai 反对派
fanduipiao 反对票
fanduizhe 反对者
fanerdeng 凡尔登
fanerna 凡尔纳
fanersai 凡尔赛
fanfengjian 反封建
fanfenlie 反分裂
fanfubai 反腐败
fanfuxing 反复性
fangbaosi 防抱死
fangbaoxing 防爆型
fangbaozhu 放爆竹
fangbianmian 方便面
fangbianpao 放鞭炮
fangbianxing 方便性
fangbodi 防波堤
fangbukai 放不开
fangbuxia 放不下
fangchengjie 方程解
fangchengshi 方程式
fangchengzu 方程组
fangchenzhao 防尘罩
fangchuiti 纺锤体
fangdajing 放大镜
fangdanyi 防弹衣
fangdaomen 防盗门
fangdaqi 放大器
fangdianguan 放电管
fangdianying 放电影
fangdichan 房地产
fangdongye 防冻液
fangeming 反革命
fangfalun 方法论
fangfaxue 方法学
fangfenglin 防风林
fangfengzheng 放风筝
fangfuji 防腐剂
fanggezhi 方格纸
fanggezi 方格子
fanghongdi 防洪堤
fanghongjian 方鸿渐
fanghuabing 防化兵
fanghuadian 防滑垫
fanghuatuan 访华团
fanghudi 防护堤
fanghufu 防护服
fanghulin 防护林
fanghuomen 防火门
fanghuoqiang 防火墙
fanghuwang 防护网
fanghuzhao 防护罩
fangjiannei 房间内
fangjieshi 方解石
fangjingdian 防静电
fangjinqu 放进去
fangkongdong 防空洞
fangkuaizi 方块字
fangkuangtu 方框图
fangkuohao 方括号
fangkuosan 防扩散
fanglaoji 防老剂
fangmenkou 房门口
fangmianjun 方面军
fangniulang 放牛郎
fangqiankuang 方铅矿
fangshachang 纺纱厂
fangshaipin 防晒品
fangshaishuang 防晒霜
fangshaji 纺纱机
fangshanqu 房山区
fangshechu 放射出
fangshengxue 仿生学
fangshenshu 防身术
fangshexian 放射线
fangshexing 放射性
fangsheyuan 放射源
fangshezhuang 放射状
fangshujia 放暑假
fangsongti 仿宋体
fangtanlu 访谈录
fanguangdeng 泛光灯
fanguangjing 反光镜
fanguolai 反过来
fangweici 方位词
fangweijiao 方位角
fangwentuan 访问团
fangwenzhe 访问者
fangwuli 房屋里
fangwunei 房屋内
fangxiangjian 方向键
fangxiangpan 方向盘
fangxiangting 芳香烃
fangxiangxian 方向线
fangxiangxing 方向性
fangxiangyou 芳香油
fangxiangzu 芳香族
fangxianjun 放线菌
fangyingji 放映机
fangyizhi 方以智
fangyuxing 防御性
fangzhendu 仿真度
fangzhichang 纺织厂
fangzhifa 防治法
fangzhiji 纺织机
fangzhimin 方志敏
fangzhipin 纺织品
fangzhiye 纺织业
fanhuicang 返回舱
fanhuizhi 返回值
fanjianji 反间计
fanjiaosuo 帆脚索
fanjijie 反季节
fanjindou 翻筋斗
fanjingshan 梵净山
fanjizhan 反击战
fankexue 反科学
fankongbu 反恐怖
fankuibiao 反馈表
fanlizi 反粒子
fanlongduan 反垄断
fanmaiji 贩卖机
fanminzhu 反民主
fanmugua 番木瓜
fanqiezhi 番茄汁
fanqinlve 反侵略
fanqixuan 反气旋
fanrongqi 繁荣期
fanshanglai 翻上来
fansheceng 反射层
fansheguang 反射光
fanshejiao 反射角
fanshejing 反射镜
fanshelv 反射率
fanshemian 反射面
fanshentou 反渗透
fansheqi 反射器
fansheshi 反射式
fanshilin 凡士林
fanshuguo 藩属国
fantanke 反坦克
fantanqiu 反弹球
fantizi 繁体字
fantoule 烦透了
fanwenlan 范文澜
fanwuzhi 反物质
fanyicheng 翻译成
fanyici 反义词
fanyifan 翻一番
fanyijia 翻译家
fanyingdui 反应堆
fanyingfu 反应釜
fanyingqi 反应器
fanyingshi 反应式
fanyingwu 反应物
fanyiqi 翻译器
fanzhengfa 反证法
fanzhilv 繁殖率
fanzhiqi 繁殖期
fanzhizi 反质子
fanzhongyan 范仲淹
fanzhuanpian 反转片
fanzidong 范紫东
fanzuiren 犯罪人
fanzuoyong 反作用
fanzuyu 范祖禹
fapiqi 发脾气
faqiren 发起人
faqiudian 罚球点
faqiuhu 罚球弧
faqiuqu 发球区
faqiuxian 罚球线
faqizhe 发起者
fashaoshi 发烧时
fashaoyou 发烧友
fashechang 发射场
fashedian 发射点
fasheguan 发射管
fasheji 发射机
fashengdi 发生地
fashenglv 发生率
fashengqi 发生器
fasheqi 发射器
fasheta 发射塔
fashetai 发射台
fasongdao 发送到
fasonggei 发送给
fasongzhe 发送者
fawenzhe 发问者
faxiangdi 发祥地
faxianzhe 发现者
faxingliang 发行量
faxingquan 发行权
faxinhao 发信号
faxinren 发信人
faxisi 法西斯
faxuejia 法学家
fayalv 发芽率
fayangao 发言稿
fayanquan 发言权
fayanren 发言人
fayanzhe 发言者
fayoujian 发邮件
fayuandi 发源地
fayuci 发语词
fayuqi 发育期
fazhanguan 发展观
fazhanqi 发展期
fazhanquan 发展权
fazhanshi 发展史
fazhanxing 发展性
fazhihua 法制化
fazhishi 法制史
feibaoli 非暴力
feibenzhi 非本质
feichangdi 非常低
feichanggui 非常规
feichangshao 非常少
feichuantong 非传统
feichuqu 飞出去
feidangyuan 非党员
feidazheng 肥大症
feidianxing 非典型
feiduichen 非对称
feienman 费恩曼
feierde 菲尔德
feifaren 非法人
feigongcheng 非工程
feigongfu 费工夫
feigongyou 非公有
feiguanfang 非官方
feiguoda 非国大
feiguojia 非国家
feiguolai 飞过来
feiguoqu 飞过去
feiguoyou 非国有
feihouxing 肥厚型
feihudui 飞虎队
feihuilai 飞回来
feihuoliang 肺活量
feijialuo 费加罗
feijichang 飞机场
feijiehe 肺结核
feijinrong 非金融
feijinshu 非金属
feijipiao 飞机票
feijunheng 非均衡
feilaifeng 飞来峰
feilipu 菲利普
feilixing 非理性
feilvbin 菲律宾
feiniaoji 飞鸟集
feiniji 腓尼基
feinongye 非农业
feipangzhe 肥胖者
feipangzheng 肥胖症
feiqishi 非歧视
feiqiwu 废弃物
feiqizhong 肺气肿
feirenlei 非人类
feishengwu 非生物
feisuliao 废塑料
feisusong 非诉讼
feiwenzheng 飞蚊症
feixiangxian 肥乡县
feixianxing 非线性
feixiaotong 费孝通
feixiaqu 飞下去
feixingqi 飞行器
feixingyuan 飞行员
feiyingli 非营利
feiyinhang 非银行
feiyuexing 飞跃性
feizaoju 肥皂剧
feizaopao 肥皂泡
feizaoshui 肥皂水
feizaoye 肥皂液
feizhengchang 非正常
feizhengfu 非政府
feizhengshi 非正式
feizhengyi 非正义
feizhili 非智力
feizhiye 非职业
feizhouren 非洲人
feizhuanye 非专业
fenbianli 分辨力
fenbianlv 分辨率
fenbuchu 分不出
fenbukai 分不开
fenbuqing 分不清
fenbuqu 分布区
fenbushi 分布式
fenbutu 分布图
fencanzhi 分餐制
fendaoxian 分道线
fendechu 分得出
fendengji 分等级
fendoushi 奋斗史
fendouzhe 奋斗者
fenfengzhi 分封制
fengbaochao 风暴潮
fengbishi 封闭式
fengbixing 封闭性
fengchengsu 冯承素
fengcixing 讽刺性
fengdianchang 风电场
fengefu 分隔符
fengexian 分割线
fengfuxing 丰富性
fenggehua 风格化
fengguangpian 风光片
fengguozhang 冯国璋
fenghexian 缝合线
fenghuangling 凤凰岭
fenghuangxian 凤凰县
fenghuotai 烽火台
fengjianxing 封建性
fengjianzhi 封建制
fengjianzhu 封建主
fengjieer 凤姐儿
fengjinghua 风景画
fengjingqu 风景区
fengjingtu 风景图
fengjingxian 风景线
fengmianzhi 封面纸
fengmingqi 蜂鸣器
fengongsi 分公司
fengqinghua 风情画
fengrenji 缝纫机
fengrenyuan 疯人院
fengrusong 风入松
fengshibing 风湿病
fengshounian 丰收年
fengsuhua 风俗画
fengsuoxian 封锁线
fengtaiqu 丰台区
fenguangjing 分光镜
fengweizhu 凤尾竹
fengwoshi 蜂窝式
fengxiangei 奉献给
fengxiangxian 凤翔县
fengxianqu 奉贤区
fengxiansi 奉先寺
fengxianzhe 奉献者
fengxiaoxiao 风萧萧
fengyangxian 凤阳县
fengyasong 风雅颂
fengyizhen 缝衣针
fengyoulan 冯友兰
fengyunshan 冯云山
fengyuxiang 冯玉祥
fengzikai 丰子恺
fenhangye 分行业
fenhongse 粉红色
fenhuacheng 分化成
fenjiecheng 分解成
fenjiedian 分界点
fenjiediao 分解掉
fenjieduan 分阶段
fenjiege 分节歌
fenjieli 分解力
fenjiexian 分界线
fenjiezhe 分解者
fenjingtou 分镜头
fenleifa 分类法
fenleihao 分类号
fenleixue 分类学
fenlianzhi 粉连纸
fenlifa 分离法
fenliqi 分离器
fenmeihui 粉煤灰
fenmibo 分米波
fenmozhuang 粉末状
fenpeilv 分配律
fenpeiquan 分配权
fensanbu 分三步
fensanji 分散剂
fensanshi 分散式
fensanxing 分散性
fenshuiling 分水岭
fenshuxian 分数线
fentouqu 分头去
fenxiangzhe 分享者
fenxifa 分析法
fenxishi 分析师
fenxiyi 分析仪
fenxiyuan 分析员
fenyangshi 汾阳市
fenyaqi 分压器
fenzhihang 分支行
fenziliang 分子量
fenzishi 分子式
fenzuhui 分组会
fodejiao 佛得角
fojiaoshi 佛教史
fojiaotu 佛教徒
fojiayu 佛家语
foshanshi 佛山市
fotiaoqiang 佛跳墙
foudingci 否定词
foudingju 否定句
foudingxing 否定性
foujuequan 否决权
fuansuan 脯氨酸
fubaoshi 傅抱石
fubiaoti 副标题
fubingyi 服兵役
fubusi 福布斯
fuchanke 妇产科
fuchanpin 副产品
fuchanwu 副产物
fuchengmen 阜成门
fuchunjiang 富春江
fuchunshan 富春山
fudanzhong 负担重
fudaoyuan 辅导员
fudianhe 负电荷
fudianshu 浮点数
fudingjin 付定金
fudingshi 福鼎市
fuerjia 伏尔加
fuertai 伏尔泰
fufalv 复发率
fufankui 负反馈
fufanying 副反应
fufulia 夫妇俩
fugaiceng 覆盖层
fugaidu 覆盖度
fugailv 覆盖率
fugaiwu 覆盖物
fugaizhu 覆盖住
fugequ 赋格曲
fugesen 弗格森
fuguangpan 附光盘
fuguxian 府谷县
fuhaohua 符号化
fuheci 复合词
fuheju 复合句
fuheshi 复合式
fuheti 复合体
fuhexing 复合型
fuhuagai 氟化钙
fuhuana 氟化钠
fuhuaqi 孵化器
fuhuaqing 氟化氢
fuhuawu 氟化物
fuhuojie 复活节
fujiansheng 福建省
fujiaoshou 副教授
fujiashi 副驾驶
fujiashui 附加税
fujiaxing 附加刑
fujiazhi 附加值
fujiquan 伏击圈
fujuji 副局级
fujuzhang 副局长
fukangshi 阜康市
fukesi 福克斯
fulamen 弗拉门
fulangci 弗朗茨
fulanke 弗兰克
fulaoyi 服劳役
fuleide 弗雷德
fulexi 富勒烯
fuliang 氟利昂
fulingqu 涪陵区
fulixing 福利性
fuliyuan 福利院
fulizi 负离子
fuloubai 福楼拜
fuluanqi 孵卵器
fuluomu 弗洛姆
fulushou 福禄寿
fumuqin 父母亲
funvjie 妇女节
fupenzi 覆盆子
fupingxian 阜平县
fuqijian 夫妻间
fuqilai 扶起来
fuqilia 夫妻俩
fuqinjie 父亲节
fuquanxiang 傅全香
furedai 副热带
furonglou 芙蓉楼
fushanglai 浮上来
fusheliang 辐射量
fusheneng 辐射能
fushexing 辐射性
fushide 浮士德
fushihui 浮世绘
fushipin 副食品
fushishan 富士山
fushitu 俯视图
fushixing 腐蚀性
fushouyi 扶手椅
fushuguo 附属国
fushupin 附属品
fusite 福斯特
fusuozhang 副所长
fuweijin 抚慰金
fuwocheng 俯卧撑
fuwuduan 服务端
fuwudui 服务队
fuwufei 服务费
fuwuqi 服务器
fuwuqu 服务区
fuwushang 服务商
fuwusheng 服务生
fuwuting 服务厅
fuwuxing 服务型
fuwuye 服务业
fuwuyuan 服务员
fuwuzhan 服务站
fuxiangguan 负相关
fuxiangjiao 氟橡胶
fuxiaoji 孵小鸡
fuxiaqu 服下去
fuxiezhi 复写纸
fuxingmen 复兴门
fuxinshi 阜新市
fuxiti 复习题
fuyangfei 抚养费
fuyangquan 抚养权
fuyangren 抚养人
fuyangshi 富阳市
fuyinji 复印机
fuyinjian 复印件
fuyinshu 福音书
fuyongguo 附庸国
fuyucun 富裕村
fuyufei 抚育费
fuyuhu 富裕户
fuyunmu 复韵母
fuzadu 复杂度
fuzahua 复杂化
fuzaxing 复杂性
fuzengzhang 负增长
fuzeren 负责人
fuzezhi 负责制
fuzhichu 复制出
fuzhidao 复制到
fuzhipin 复制品
fuzhizhi 腐殖质
fuzhoushi 福州市
fuzhuangdian 服装店
fuzhuangwang 服装网
fuzhubian 副主编
fuzhuoli 附着力
fuzhuxian 辅助线
fuzhuxing 辅助性
fuzilia 父子俩
fuzimiao 夫子庙
fuzuoyi 傅作义
fuzuoyong 副作用
fuzuzhang 副组长
gaerdan 噶尔丹
gaibianquan 改编权
gaibianzhe 改编者
gaibopian 盖玻片
gaibugai 该不该
gaierman 盖尔曼
gaifangzi 盖房子
gaigejia 改革家
gaigepai 改革派
gaigezhe 改革者
gaiguolai 改过来
gaihuilai 改回来
gaijiaotian 盖叫天
gaijinxing 改进型
gaikuoxing 概括性
gailvlun 概率论
gainianche 概念车
gainianhua 概念化
gainiantu 概念图
gainianxing 概念性
gairuanjian 该软件
gaitongdao 钙通道
gaizhengju 该证据
ganansuan 甘氨酸
ganbaba 干巴巴
ganbuchu 赶不出
ganbudao 赶不到
ganbuliao 干不了
ganbushang 赶不上
gancaodui 干草堆
ganchulai 赶出来
gandeshang 赶得上
gandianchi 干电池
ganenjie 感恩节
gangaotai 港澳台
gangaoyou 港澳游
gangbihua 钢笔画
gangbiya 冈比亚
gangchanliang 钢产量
gangchengli 刚成立
gangchusheng 刚出生
gangguohe 刚果河
gangguohong 刚果红
gangguoqu 刚过去
gangjiegou 钢结构
ganglingxing 纲领性
gangqinjia 钢琴家
gangqinke 钢琴课
gangqinpu 钢琴谱
gangqinqu 钢琴曲
gangsishua 钢丝刷
gangtiechang 钢铁厂
gangtieye 钢铁业
ganguoqu 赶过去
ganhuangguan 干簧管
ganhuidao 赶回到
ganhuilai 赶回来
ganhuoer 干活儿
ganjiaomu 干酵母
ganlanlv 橄榄绿
ganlanqiu 橄榄球
ganlanshu 橄榄树
ganlanyou 橄榄油
ganlanzhi 橄榄枝
ganmianzhang 擀面杖
ganquanxian 甘泉县
ganranli 感染力
ganranxing 感染性
ganranzhe 感染者
ganraosu 干扰素
ganshanglai 赶上来
ganshenme 干什么
gansheyi 干涉仪
ganshidu 干湿度
ganshouli 感受力
ganshouqi 感受器
ganshuohua 敢说话
gansusheng 甘肃省
gantanci 感叹词
gantanger 赶趟儿
gantanhao 感叹号
gantanju 感叹句
ganwudao 感悟到
ganxibao 干细胞
ganxienin 感谢您
ganxiexin 感谢信
ganxingqu 感兴趣
ganyihang 干一行
ganyingdian 感应电
ganyingqi 感应器
ganyingshi 感应式
ganyouquan 甘油醛
ganyouzhi 甘油酯
ganzaoji 干燥剂
ganzhaoli 感召力
ganzhiji 感知机
ganzhiqi 感知器
ganzuchang 甘祖昌
gaobaozhen 高保真
gaobeidian 高碑店
gaobiaozhun 高标准
gaocengci 高层次
gaochanchu 高产出
gaochantian 高产田
gaochaoqi 高潮期
gaochundu 高纯度
gaodangci 高档次
gaodengji 高等级
gaodianping 高电平
gaodigang 高低杠
gaodiwen 高低温
gaodiyin 高低音
gaoerji 高尔基
gaofengqi 高峰期
gaofengxian 高风险
gaofenzi 高分子
gaofudiao 高浮雕
gaofuli 高福利
gaogeer 高个儿
gaogenxie 高跟鞋
gaogezi 高个子
gaogouli 高句丽
gaohaoneng 高耗能
gaohuibao 高回报
gaojiaobei 高脚杯
gaojiaqiao 高架桥
gaojiasuo 高加索
gaojibie 高级别
gaojihua 高级化
gaojingdu 高精度
gaojingjian 高精尖
gaojishu 高技术
gaojuzhe 高举着
gaokeji 高科技
gaokuanbi 高宽比
gaolaotou 高老头
gaolege 搞了个
gaoliangdu 高亮度
gaolidai 高利贷
gaolingshi 高岭石
gaolingtu 高岭土
gaolizhi 高丽纸
gaolvsuan 高氯酸
gaomidu 高密度
gaonandu 高难度
gaonenghao 高能耗
gaonengliang 高能量
gaonianji 高年级
gaonongdu 高浓度
gaopinci 高频词
gaopinlv 高频率
gaopinzhi 高品质
gaopohuai 搞破坏
gaoqiangdu 高强度
gaoqidian 高起点
gaoqingchu 搞清楚
gaoqingxi 高清晰
gaoqiya 高气压
gaoreliang 高热量
gaorenxing 高韧性
gaoshanzu 高山族
gaoshipai 告示牌
gaoshiqi 高士其
gaoshuiping 高水平
gaosudu 高速度
gaosugang 高速钢
gaosuhua 高速化
gaosulu 高速路
gaosunin 告诉您
gaosuzhi 高素质
gaotangang 高碳钢
gaotanxing 高弹性
gaotongliang 高通量
gaoweidu 高纬度
gaowuran 高污染
gaoxianzhi 高仙芝
gaoxiaolv 高效率
gaoxiaoxing 高效性
gaoxiaoyi 高效益
gaoxingneng 高性能
gaoxinqu 高新区
gaoxueli 高学历
gaoyadian 高压电
gaoyaoxian 高要县
gaoyaxian 高压线
gaoyingdu 高硬度
gaoyuanqi 高原期
gaozhifang 高脂肪
gaozhiliang 高质量
gaozhongji 高中级
gaozhongsheng 高中生
gebaini 哥白尼
gebitan 戈壁滩
gebuzhu 搁不住
gechangjia 歌唱家
gechangzhe 歌唱者
gedade 戈达德
gedangpai 各党派
geduanluo 各段落
geermen 哥儿们
geermu 格尔木
gehade 格哈德
geirenyi 给人以
gejieceng 各阶层
gejuyuan 歌剧院
gelangtai 葛朗台
gelaozu 仡佬族
gelaxiao 格拉肖
geleige 格雷格
geleshan 歌乐山
gelidai 隔离带
gelifen 格里芬
gelinglan 格陵兰
gelinka 格林卡
gelisi 格里斯
gelunbu 哥伦布
gelupai 格鲁派
gemener 哥们儿
gemingdang 革命党
geminghua 革命化
gemingjia 革命家
gemingjun 革命军
gemingpai 革命派
gemingshi 革命史
gemingxing 革命性
gemingzhe 革命者
genbendian 根本点
genbenfa 根本法
genbenxing 根本性
genbushang 跟不上
gengduode 更多地
genghekuang 更何况
gengrangren 更让人
gengxinkuai 更新快
gengyishi 更衣室
gengyouyue 更优越
genianji 各年级
genjingye 根茎叶
genjudi 根据地
genliujun 根瘤菌
genmulu 根目录
genwolai 跟我来
genzongqi 跟踪器
geqiguan 各器官
gereceng 隔热层
gesaer 格萨尔
geshengshi 各省市
geshihua 格式化
geshiwen 格什温
geteshi 哥特式
getiekuang 铬铁矿
getihu 个体户
getouer 个头儿
gewuji 歌舞伎
gewuju 歌舞剧
gewuting 歌舞厅
gewutuan 歌舞团
gexialai 割下来
gexinghua 个性化
gexinzhe 革新者
gezhengdang 各政党
gezhouba 葛洲坝
gezilong 鸽子笼
gonganbu 公安部
gonganju 公安局
gongbeishu 公倍数
gongbihua 工笔画
gongcankao 供参考
gongchandang 共产党
gongchanghua 工厂化
gongchengdui 工程队
gongchenghua 工程化
gongchengjie 工程界
gongchengkuan 工程款
gongchengliang 工程量
gongchengshi 工程师
gongchengtu 工程图
gongchengxue 工程学
gongcunwang 共存亡
gongdelin 功德林
gongdianliang 供电量
gongfangzhan 攻防战
gongfenmu 公分母
gonggaolan 公告栏
gonggashan 贡嘎山
gonggulv 巩固率
gonghedang 共和党
gongheguo 共和国
gonghezhi 共和制
gonghuannan 共患难
gongjiajian 共价键
gongjianbu 弓箭步
gongjianfa 公检法
gongjianshou 弓箭手
gongjianzhan 攻坚战
gongjiaoche 公交车
gongjibu 供给部
gongjidian 攻击点
gongjijin 公积金
gongjili 攻击力
gongjingai 宫颈癌
gongjingde 恭敬地
gongjixing 攻击性
gongjizhe 攻击者
gongjubao 工具包
gongjugang 工具钢
gongjulan 工具栏
gongjushu 工具书
gongjuxiang 工具箱
gongkaihua 公开化
gongkaisai 公开赛
gongkaixin 公开信
gongkaixing 公开性
gonglihua 公理化
gonglixing 功利性
gongluqiao 公路桥
gongluwang 公路网
gonglvbiao 功率表
gongmingyun 共命运
gongminquan 公民权
gongnengbiao 功能表
gongnenghua 功能化
gongnengqu 功能区
gongnengxing 功能性
gongnongbing 工农兵
gongnongye 工农业
gongpeiyang 共培养
gongpingcheng 公平秤
gongpingxing 公平性
gongqingtuan 共青团
gongqinwang 恭亲王
gongquanli 公权力
gongrendang 工人党
gongshangjie 工商界
gongshangye 工商业
gongshengti 共生体
gongshiguan 公使馆
gongshoulu 共收录
gongshuiliang 供水量
gongsifa 公司法
gongsunlong 公孙龙
gongsuren 公诉人
gongtingwu 宫廷舞
gongtongdian 共同点
gongtongti 共同体
gongtongxing 共同性
gongweihua 恭维话
gongwuyuan 公务员
gongxianlv 贡献率
gongxianzhe 贡献者
gongxiaoshe 供销社
gongxinli 公信力
gongxiuri 公休日
gongxuandui 工宣队
gongxuanze 供选择
gongyangxue 公羊学
gongyangzhuan 公羊传
gongyechang 公冶长
gongyegang 工业港
gongyeguo 工业国
gongyehua 工业化
gongyejie 工业界
gongyeju 工业局
gongyepin 工业品
gongyequ 工业区
gongyeyuan 工业园
gongyichang 工艺厂
gongyingguo 供应国
gongyinglian 供应链
gongyingliang 供应量
gongyingshang 供应商
gongyinshi 公因式
gongyinshu 公因数
gongyipin 工艺品
gongyixing 公益性
gongyixue 工艺学
gongyouhua 公有化
gongyouzhi 公有制
gongyuanqian 公元前
gongzhengchu 公证处
gongzhengyuan 公证员
gongzijiu 公子纠
gongzixing 工字形
gongzizhen 龚自珍
gongzizhi 工资制
gongzuofu 工作服
gongzuoliang 工作量
gongzuori 工作日
gongzuoshi 工作室
gongzuotai 工作台
gongzuotuan 工作团
gongzuozhan 工作站
gongzuozhe 工作者
gongzuozhi 工作制
gongzuozu 工作组
goubuqi 勾不起
goubushang 够不上
goucheren 购车人
goucifa 构词法
goudeshang 够得上
goudezhao 够得着
gouhuachu 勾画出
goujianjian 勾践剑
gouloubing 佝偻病
goumaili 购买力
goumailiang 购买量
goumaiyu 购买欲
goumaizhe 购买者
goupengyou 够朋友
guadaer 瓜达尔
guahaochu 挂号处
guaibude 怪不得
guaiji 古埃及
guaijiaochu 拐角处
guanbingmen 官兵们
guanbuliao 管不了
guanbuzhao 管不着
guancanghai 观沧海
guancedian 观测点
guancetai 观测台
guanceyuan 观测员
guancezhan 观测站
guancezhe 观测者
guanchachuang 观察窗
guanchadian 观察点
guanchafa 观察法
guanchajia 观察家
guanchali 观察力
guanchaqi 观察器
guanchashi 观察使
guanchasuo 观察所
guanchayuan 观察员
guanchazhe 观察者
guanchuanghu 关窗户
guandimiao 关帝庙
guandongjun 关东军
guanfengqin 管风琴
guanganmen 广安门
guangansuan 胱氨酸
guangbocao 广播操
guangbochang 光波长
guangbotai 广播台
guangbozhan 广播站
guangdianchi 光电池
guangdianguan 光电管
guangdianliu 光电流
guangdianzi 光电子
guangdonghua 广东话
guangdongsheng 广东省
guangfanshe 光反射
guangfanxing 广泛性
guangfanying 光反应
guangfuhui 光复会
guangfushe 光辐射
guanggaoci 广告词
guanggaofa 广告法
guanggaopai 广告牌
guangguhua 光固化
guanghere 光和热
guanghuadu 光滑度
guanghuaxue 光化学
guangjiangjie 光降解
guangjiaohui 广交会
guangjidian 光机电
guangjiedu 光洁度
guangkeji 光刻机
guangkejiao 光刻胶
guangliangdu 光亮度
guangliangzi 光量子
guanglingsan 广陵散
guangliuliu 光溜溜
guanglutu 光路图
guangminji 光敏剂
guangpigu 光屁股
guangpuxian 光谱线
guangpuxue 光谱学
guangpuyi 光谱仪
guangqumen 广渠门
guangshizai 光是在
guangtongliang 光通量
guangtongxin 光通信
guangtutu 光秃秃
guanguangche 观光车
guanguangke 观光客
guanguangqu 观光区
guangwudi 光武帝
guangwuran 光污染
guangxianwang 光纤网
guangxudi 光绪帝
guangyuwang 广域网
guangyuying 光与影
guangzedu 光泽度
guangzhaodu 光照度
guangzhoushi 广州市
guangzhouwan 广州湾
guanhanqing 关汉卿
guanhougan 观后感
guanjianci 关键词
guanjianqi 关键期
guanjianxing 关键性
guanjianzhen 关键帧
guanjianzi 关键字
guanjiedian 关节点
guanjieyan 关节炎
guanjingchuang 观景窗
guanlianci 关联词
guanliandu 关联度
guanlianxing 关联性
guanliceng 管理层
guanlichu 管理处
guanlifa 管理法
guanlifei 管理费
guanliju 管理局
guanliqi 管理器
guanliqu 管理区
guanliquan 管理权
guanlisuo 管理所
guanlixi 管理系
guanlixue 管理学
guanliyuan 管理员
guanlizhe 管理者
guanmucong 灌木丛
guannengtuan 官能团
guanqixing 观其行
guanshangmen 关上门
guanshangxing 观赏性
guanshangyu 观赏鱼
guanshangzhe 观赏者
guanshanyue 关山月
guansuan 谷氨酸
guantianpei 关天培
