aba 阿巴
handian 焊点
handong 寒冬
hanfei 韩非
hanfeng 寒风
hanfu 汉服
hangai 涵盖
hangban 航班
hangbei 行辈
hangbiao 航标
hangcheng 航程
hangchuan 航船
hangdang 行当
hangdao 航道
hange 酣歌
hangge 夯歌
hanggui 行规
hanghai 航海
hanghang 行行
hanghao 行号
hanghua 行话
hanghui 行会
hanghuo 行货
hangji 航迹
hangjia 行家
hangjian 行间
hangju 行距
hangkong 航空
hanglie 行列
hanglu 航路
hangmo 航模
hangmu 航母
hangong 汉宫
hangpai 航拍
hangqing 行情
hangshi 夯实
hangshu 行数
hangsu 航速
hangtian 航天
hanguan 函馆
hanguang 寒光
hanguo 韩国
hangwu 行伍
hangxian 航线
hangxiang 航向
hangxing 航行
hangye 行业
hangyun 航运
hangzhang 行长
hangzhen 行阵
hangzhong 行中
hangzhou 杭州
hangzi 行字
hanhai 瀚海
hanhou 憨厚
hanhu 含糊
hanhua 汉化
hanhun 含混
hani 哈尼
hanji 旱季
hanjia 寒假
hanjian 罕见
hanjiang 寒江
hanjiao 喊叫
hanjie 焊接
hanjin 寒噤
hanjun 汉军
hankou 汉口
hanlai 喊来
hanlao 旱涝
hanlei 含泪
hanleng 寒冷
hanlian 颔联
hanliang 含量
hanliao 焊料
hanlin 翰林
hanliu 寒流
hanlu 寒露
hanmen 寒门
hanmian 酣眠
hanmo 汉末
hanmou 韩某
hanmu 汉墓
hannan 汉南
hannu 含怒
hanpan 焊盘
hanpeng 含硼
hanqi 寒气
hanqian 含铅
hanqing 旱情
hanqiu 寒秋
hanran 悍然
hanre 寒热
hanren 汉人
hansen 汉森
hanshang 含上
hanshe 寒舍
hansheng 喊声
hanshi 汉室
hanshou 函授
hanshu 函数
hanshui 汗水
hansi 焊丝
hanta 旱獭
hantan 含碳
hantang 汉唐
hantian 旱田
hantiao 焊条
hantie 含铁
hanwang 汉王
hanwei 捍卫
hanwen 韩文
hanwu 寒武
hanxi 焊锡
hanxiao 含笑
hanxie 汗血
hanxin 韩信
hanxing 寒星
hanxu 含蓄
hanxuan 寒暄
hanyan 含盐
hanyang 涵养
hanye 汗液
hanyi 含义
hanyin 汉阴
hanying 汉英
hanyou 含有
hanyu 汉语
hanyuan 含冤
hanyue 寒月
hanzai 旱灾
hanzang 汉藏
hanzhan 寒战
hanzhe 含着
hanzhong 汉中
hanzhuang 韩庄
hanzi 汉字
hanzu 汉族
haoan 毫安
haobai 皓白
haobi 好比
haobing 号兵
haobu 毫不
haocai 耗材
haoche 豪车
haocheng 号称
haochi 好吃
haochou 好丑
haochu 好处
haoci 好词
haoda 好大
haodai 好歹
haodang 浩荡
haode 好的
haodian 耗电
haodiao 耗掉
haodong 好动
haodu 好读
haoduo 好多
haofa 毫发
haofang 豪放
haofei 耗费
haofu 毫伏
haogan 好感
haogou 壕沟
haogu 好古
haoguai 好乖
haoguo 好过
haohan 浩瀚
haohao 好好
haohe 好喝
haohua 豪华
haohuai 好坏
haoji 好几
haojiao 号角
haojie 豪杰
haojin 耗尽
haojing 好景
haojiu 好久
haojun 豪俊
haokan 好看
haoke 毫克
haoku 好苦
haoli 耗力
haoling 号令
haolou 号楼
haoma 号码
haomai 豪迈
haomao 毫毛
haomen 豪门
haomi 毫米
haomiao 毫秒
haomo 毫末
haoneng 耗能
haoping 好评
haoqi 好奇
haoqiang 豪强
haoqing 豪情
haoqiu 好球
haoran 浩然
haoren 好人
haosan 耗散
haose 好色
haoshen 豪绅
haosheng 毫升
haoshi 好事
haoshou 好手
haoshu 好书
haoshui 好水
haoshuo 好说
haosi 好似
haosun 耗损
haoting 好听
haowa 好哇
haowan 好玩
haowei 号位
haowen 好闻
haowu 毫无
haoxi 好戏
haoxia 豪侠
haoxian 号线
haoxiang 好像
haoxiao 好笑
haoxie 好些
haoxin 好心
haoxing 号型
haoxue 好学
haoyang 好样
haoyi 好意
haoyin 豪饮
haoyong 好用
haoyou 好友
haoyu 好于
haoyuan 号院
haoyue 皓月
haoyun 好运
haozai 好在
haozhao 号召
haozhuan 好转
haozhuang 豪壮
haozi 耗资
haozu 豪族
haqi 哈气
hasi 哈斯
hate 哈特
heai 和蔼
hean 河岸
heban 合办
hebang 河蚌
hebao 荷包
hebei 河北
hebi 何必
hebian 河边
hebing 合并
hebo 河伯
hebu 何不
hecai 喝彩
heceng 何曾
hecha 喝茶
hechang 合唱
hecheng 合成
hechou 何愁
hechu 何处
hechuan 河川
hechuang 河床
heci 贺词
hedan 核弹
hedang 何当
hedao 河道
hede 赫德
hedeng 何等
hedi 河底
hedian 核电
heding 核定
hedong 河东
hedu 合度
heduan 河段
hedui 核对
heduo 喝多
heer 赫尔
hefa 合法
hefan 盒饭
hefang 何妨
hefei 合肥
hefu 和服
hegai 盒盖
hegan 核苷
hegang 河港
hege 合格
hegong 合共
hegou 河沟
hegu 何故
hegui 合规
heguo 核果
hehan 河汉
hehe 呵呵
hehu 呵护
hehua 荷花
hehuan 和缓
hehuo 合伙
heian 黑暗
heibai 黑白
heiban 黑板
heibao 黑豹
heibu 黑布
heicha 黑茶
heichao 黑潮
heidi 黑底
heidian 黑点
heidiao 黑貂
heidong 黑洞
heidu 黑度
heifang 黑方
heige 黑格
heiguang 黑光
heihai 黑海
heihe 黑河
heihei 嘿嘿
heihong 黑红
heihuang 黑黄
heihui 黑灰
heijin 黑巾
heike 黑客
heilian 黑脸
heiliang 黑亮
heilong 黑龙
heima 黑马
heimai 黑麦
heimao 黑猫
heimei 黑莓
heimo 黑墨
heinu 黑奴
heiping 黑屏
heiqi 黑棋
heiqiu 黑球
heiren 黑人
heise 黑色
heishan 黑山
heishi 黑石
heishou 黑手
heishui 黑水
heitan 黑炭
heitao 黑桃
heiti 黑体
heitian 黑天
heitou 黑头
heitu 黑土
heiwen 黑纹
heixian 黑线
heixiang 黑箱
heixin 黑心
heiyan 黑烟
heiye 黑夜
heiyi 黑衣
heiying 黑影
heiyou 黑油
heiyu 黑鱼
heiyun 黑云
heizhi 黑痣
heizhu 黑猪
heji 合集
hejia 合家
hejian 河间
hejie 和解
hejin 合金
hejiu 喝酒
heju 何惧
heka 贺卡
hekou 喝口
heku 何苦
hekuang 何况
hela 赫拉
helai 何来
helan 荷兰
heli 合理
helian 合练
heliu 河流
helong 合拢
hema 河马
hemei 褐煤
hemian 河面
hemiao 禾苗
heming 鹤鸣
hemo 核膜
hemou 合谋
hemu 和睦
henai 喝奶
henan 河南
henbang 很棒
hencha 很差
henchang 很长
henchen 很沉
hencu 很粗
hencui 很脆
henda 很大
hendan 很淡
henduo 很多
henei 河内
heneng 核能
hengbao 横暴
hengbi 横臂
hengbin 横滨
hengbo 横波
hengchan 恒产
hengchang 哼唱
hengchuan 横穿
hengchui 横吹
hengdang 横档
hengdao 横刀
hengdi 横笛
hengding 恒定
hengdu 横渡
hengduan 横断
henge 横额
hengfang 横放
hengfei 横飞
hengfu 横幅
henggan 横杆
henggang 横杠
hengge 哼歌
henggen 横亘
hengguan 横贯
hengguo 横过
henghe 恒河
hengheng 哼哼
hengji 横击
hengjia 桁架
hengjiu 恒久
hengkua 横跨
hengli 亨利
hengliang 衡量
hengliu 横流
hengman 横蛮
hengmei 横眉
hengmu 横木
hengpai 横排
hengpi 横披
hengqie 横切
hengrou 横肉
hengsao 横扫
hengshan 恒山
hengsheng 横生
hengshi 恒湿
hengshu 横竖
hengshui 衡水
hengshun 恒顺
hengte 亨特
henguang 很广
hengwen 恒温
hengwo 横卧
hengxian 横线
hengxiang 横向
hengxin 恒心
hengxing 恒星
hengyan 恒言
hengyang 衡阳
hengyi 横移
hengyu 衡宇
hengyue 横越
hengzao 横遭
hengzhe 横着
hengzhi 横置
hengzhou 横轴
henhen 狠狠
henhou 很厚
henhuai 很坏
henhui 很会
henian 何年
henji 痕迹
henjin 很近
henjing 很静
henjiu 很久
henju 很具
henkuai 很快
henlei 很累
henliang 很亮
henman 很慢
henming 狠命
hennan 很难
henneng 很能
hennong 很浓
henpang 很胖
henpi 狠批
henping 很平
henqiang 很强
henqing 很轻
henruan 很软
henruo 很弱
henshao 很少
henshen 很深
hensheng 很省
henshou 很瘦
henuan 和暖
henwan 很晚
henxi 很细
henxiang 很想
henxiao 很小
henxin 狠心
henyi 恨意
henyuan 很远
henzao 很早
henzhai 很窄
henzhong 很重
henzu 很足
hepai 合拍
hepan 河畔
heping 和平
hepu 合浦
heqi 和气
heqian 呵欠
heqin 和亲
hequ 河渠
heran 赫然
heren 何人
heri 何日
heru 何如
hesai 何塞
hese 褐色
hesha 河沙
heshan 和善
heshang 和尚
heshen 合身
heshi 合适
heshu 荷属
heshui 喝水
heshun 和顺
hesi 何似
hesu 核素
hesuan 核算
hesuo 何所
hetan 河滩
hetang 喝汤
hetao 核桃
heti 合体
hetian 和田
hetong 合同
hetu 河图
hewan 喝完
hewang 河网
hewei 何谓
hewen 和文
hewu 何物
hexi 河西
hexia 喝下
hexian 和弦
hexie 和谐
hexin 核心
hexu 何须
heyan 核验
heye 荷叶
heyi 何以
heying 合影
heyong 合用
heyou 何由
heyu 合于
heyuan 河源
heyue 合约
heyun 河运
hezai 何在
hezang 合葬
hezao 褐藻
heze 呵责
hezhang 合掌
hezhao 合照
hezhe 合着
hezhi 何止
hezhong 何种
hezhu 合著
hezhuang 盒装
hezhun 核准
hezi 盒子
hezou 合奏
hezu 何足
hezui 喝醉
hezuo 合作
hongbai 红白
hongbao 红包
hongbei 烘焙
hongbi 红笔
hongbo 洪波
hongbu 红布
hongcha 红茶
hongchang 红场
hongchao 红潮
hongchen 红尘
hongcheng 红橙
hongchou 红绸
hongchuan 红船
hongchun 红唇
hongda 宏大
hongdai 红带
hongde 红得
hongdeng 红灯
hongdi 红底
hongdian 红点
hongdong 轰动
hongdou 红豆
hongdui 红队
hongfang 红方
hongfu 洪福
honggan 烘干
honggou 鸿沟
hongguan 宏观
hongguang 红光
hongguo 红果
honghai 红海
honghe 红河
honghei 红黑
honghong 红红
honghu 洪湖
honghua 红花
honghuang 洪荒
honghuo 红火
hongji 轰击
hongjin 红巾
hongjiu 红酒
hongjun 红军
hongkai 轰开
hongkao 烘烤
hongkou 虹口
hongkuang 红框
hongkuo 宏阔
honglan 红蓝
honglao 洪涝
hongli 红利
honglian 红莲
hongliang 洪亮
honglin 红磷
hongling 红菱
hongliu 洪流
honglou 红楼
honglv 红绿
hongmao 红毛
hongmei 红梅
hongmen 洪门
hongming 轰鸣
hongmo 虹膜
hongniang 红娘
hongpai 红牌
hongpao 红袍
hongpian 哄骗
hongqi 红旗
hongqiang 哄抢
hongqiao 虹桥
hongqiu 红球
hongqu 红曲
hongquan 哄劝
hongque 红雀
hongqun 红裙
hongran 轰然
hongrang 红壤
hongre 红热
hongri 红日
hongru 鸿儒
hongrun 红润
hongsao 红嫂
hongse 红色
hongsha 红纱
hongshan 红山
hongshao 红烧
hongsheng 红生
hongshu 红薯
hongshui 洪水
hongsi 红丝
hongsong 红松
hongta 红塔
hongtai 哄抬
hongtang 红糖
hongtao 红桃
hongtou 红透
hongtu 红土
hongtuo 烘托
hongwai 红外
hongwei 宏伟
hongwu 洪武
hongxia 红霞
hongxian 红线
hongxiang 烘箱
hongxiao 哄笑
hongxin 红心
hongxing 红星
hongyan 红颜
hongyang 弘扬
hongyao 红药
hongye 红叶
hongyi 红衣
hongyu 红玉
hongyuan 宏愿
hongyun 红晕
hongzai 洪灾
hongzao 红枣
hongze 洪泽
hongzha 轰炸
hongzhi 烘制
hongzhong 红中
hongzhu 红烛
hongzhuan 红砖
hongzhuang 红妆
houai 厚爱
houbao 厚薄
houbei 后背
houbi 后壁
houbian 后边
houbu 候补
houcang 后舱
houce 后侧
houchang 后场
houche 候车
houcheng 后称
houchu 吼出
houchuang 后窗
houcun 后村
houdai 后代
houdao 厚道
houdu 厚度
houduan 后端
houdun 后盾
houfa 后发
houfang 后方
houfei 后妃
houfu 后富
houge 后个
hougong 后宫
houguo 后果
houhan 后汉
houhou 厚厚
houhuan 后患
houhui 后悔
houji 后记
houjia 后加
houjian 后件
houjiao 吼叫
houjie 后街
houjin 后劲
houjing 后经
houjue 侯爵
houlai 后来
houliang 后梁
houlong 喉咙
houlun 后轮
houmen 后门
houmian 后面
houmo 厚膜
hounao 后脑
hounei 后内
hounian 后年
houniao 候鸟
houpai 后排
houqi 后期
houqin 后勤
houqun 猴群
houren 后人
houru 后入
houshan 后山
houshe 后设
housheng 后生
houshi 后世
houshou 后首
housi 后嗣
houtai 后台
houtang 后堂
houtian 后天
houting 后庭
houtong 喉痛
houtou 后头
houtu 厚土
houtui 后退
houwang 厚望
houwei 后卫
houwen 后文
houxia 后下
houxie 后写
houxin 后心
houxu 后续
houxuan 候选
houxue 后学
houyan 喉咽
houyang 后仰
houyao 后腰
houyi 后裔
houyin 喉音
houying 后应
houyong 后用
houyu 后于
houyuan 后院
houzai 候在
houzang 厚葬
houzhao 后赵
houzhe 后者
houzhi 后置
houzhong 厚重
houzhou 后周
houzhu 后主
houzhui 后缀
houzi 猴子
houzuo 后坐
huabai 花白
huaban 花瓣
huabao 花苞
huabei 华北
huaben 话本
huabi 画笔
huabian 花边
huabiao 华表
huabing 滑冰
huabu 画布
huacai 华彩
huacao 花草
huace 画册
huacha 花茶
huacheng 化成
huachu 画出
huachuan 划船
huacong 花丛
huadan 花旦
huadao 滑倒
huade 花得
huadeng 花灯
huadiao 花掉
huadie 化蝶
huading 划定
huadong 滑动
huadu 花都
huaduo 花朵
huae 花萼
huaer 花儿
huafa 画法
huafang 画舫
huafei 花费
huafen 划分
huafeng 画风
huafu 画幅
huagai 华盖
huagao 画稿
huage 花个
huageng 花梗
huagong 化工
huagu 花鼓
huaguan 花冠
huagui 华贵
huaguo 划过
huahao 画好
huahe 化合
huahen 划痕
huahong 花红
huahua 画画
huahuan 花环
huahuang 花黄
huahui 花卉
huai 互爱
huaian 淮安
huaibao 怀抱
huaibei 淮北
huaichu 坏处
huaichuai 怀揣
huaichun 怀春
huaidan 坏蛋
huaigu 怀古
huaihai 淮海
huaihe 淮河
huaihua 槐花
huaiji 怀集
huaijiu 怀旧
huailai 怀来
huaili 怀里
huailian 怀恋
huainan 淮南
huainian 怀念
huaining 怀宁
huairen 坏人
huairou 怀柔
huaishi 坏事
huaishu 槐树
huaishui 淮水
huaisi 坏死
huaisu 怀素
huaitai 怀胎
huaite 怀特
huaiwang 怀王
huaixiang 怀想
huaiyang 淮阳
huaiyi 怀疑
huaiyou 怀有
huaiyuan 怀远
huaiyun 怀孕
huaizhe 怀着
huaizhong 怀中
huaji 话机
huajia 画家
huajian 化简
huajiang 滑降
huajiao 花椒
huajie 化解
huajing 花径
huaju 话剧
huajuan 画卷
huajun 华军
huakai 花开
huakuai 滑块
huakuang 画框
hualan 花篮
hualang 画廊
hualei 花蕾
huali 华丽
hualian 花脸
hualiao 化疗
hualiu 滑溜
hualong 画龙
hualou 花楼
hualun 滑轮
hualuo 滑落
huamei 画眉
huami 花蜜
huamian 画面
huaming 化名
huamu 花木
huan 湖岸
huana 华纳
huanai 欢爱
huanan 华南
huanbao 环保
huanbi 环比
huanbing 患病
huanbu 缓步
huanchang 欢畅
huanche 换车
huanchen 环衬
huancheng 换成
huanchong 缓冲
huanchu 患处
huancun 缓存
huandai 还贷
huandang 换挡
huandao 环岛
huandeng 幻灯
huandi 桓帝
huandiao 换掉
huandong 缓动
huandu 欢度
huaner 患儿
huanfa 焕发
huanfang 幻方
huangan 磺胺
huangban 黄斑
huangbao 谎报
huangcao 荒草
huangchao 黄巢
huangchen 黄尘
huangcheng 皇城
huangchong 蝗虫
huangchu 皇储
huangcun 荒村
huangdan 荒诞
huangdang 晃荡
huangdao 荒岛
huangdi 皇帝
huangdong 晃动
huangdou 黄豆
huange 换个
huangfei 荒废
huangfen 黄粉
huangfeng 黄蜂
huangfu 皇甫
huanggang 黄冈
huanggong 皇宫
huanggua 黄瓜
huangguan 皇冠
huangguang 黄光
huangguo 黄果
huanghai 黄海
huanghan 荒寒
huanghe 黄河
huanghou 皇后
huanghu 恍惚
huanghua 谎话
huanghuang 黄黄
huanghun 黄昏
huangji 惶急
huangjia 皇家
huangjiang 黄姜
huangjiao 荒郊
huangjin 黄金
huangjing 黄经
huangjiu 黄酒
huangjuan 黄绢
huangkao 皇考
huangkong 惶恐
huangla 黄蜡
huanglao 黄老
huangli 黄鹂
huanglian 黄连
huangliang 荒凉
huangling 皇陵
huanglong 黄龙
huanglu 黄栌
huangluan 慌乱
huanglv 黄绿
huangma 黄麻
huangmang 慌忙
huangmei 黄梅
huangming 皇明
huangmiu 荒谬
huangmo 荒漠
huangmou 黄某
huangnan 蝗蝻
huangni 黄泥
huangnian 荒年
huangniao 黄鸟
huangniu 黄牛
huangnv 皇女
huangong 桓公
huangpai 黄牌
huangpi 荒僻
huangpian 簧片
huangpo 荒坡
huangpu 黄浦
huangqiang 黄腔
huangqiu 荒丘
huangquan 黄泉
huangque 黄雀
huangran 恍然
huangrang 黄壤
huangren 黄人
huangruo 恍若
huangse 黄色
huangsha 黄沙
huangshan 荒山
huangshang 皇上
huangshi 皇室
huangshu 黄书
huangshui 黄水
huangsuan 磺酸
huangtan 荒滩
huangtang 荒唐
huangtian 皇天
huangtong 黄铜
huangtu 黄土
huangu 环顾
huanguan 宦官
huangwei 皇位
huangwu 荒芜
huangxi 黄西
huangxian 黄线
huangyan 谎言
huangyang 黄羊
huangye 荒野
huangyi 黄衣
huangying 黄莺
huangyou 黄油
huangyu 黄玉
huangyuan 荒原
huangyun 黄晕
huangzai 蝗灾
huangzhang 慌张
huangzhi 黄纸
huangzhong 黄忠
huangzhou 黄州
huangzi 皇子
huangzu 皇族
huanhai 环海
huanhang 换行
huanhe 缓和
huanhu 欢呼
huanhua 幻化
huanhuan 缓缓
huanhui 换回
huani 滑腻
huaniang 花娘
huaniao 花鸟
huanji 还击
huanjia 还家
huanjie 环节
huanjing 环境
huanju 欢聚
huanjue 幻觉
huankou 环扣
huankuai 欢快
huankuan 还款
huanlai 换来
huanle 欢乐
huanliu 环流
huanlu 环路
huanma 换马
huanman 缓慢
huanmie 幻灭
huannan 患难
huanpei 环佩
huanpo 缓坡
huanqi 唤起
huanqing 还清
huanqiu 环球
huanqu 换取
huanrao 环绕
huanren 换人
huansan 涣散
huansha 浣纱
huanshan 环山
huanshang 换上
huansheng 欢声
huanshi 环视
huanshou 换手
huanshu 还书
huanshui 换水
huansong 欢送
huansuan 换算
huantang 换汤
huanteng 欢腾
huantian 还田
huantou 换头
huanwei 换位
huanwen 换文
huanwu 欢舞
huanxi 欢喜
huanxian 环线
huanxiang 幻想
huanxiao 欢笑
huanxin 欢心
huanxing 唤醒
huanya 换牙
huanyan 欢颜
huanyang 豢养
huanying 欢迎
huanyong 换用
huanyou 患有
huanyu 欢愉
huanyuan 还原
huanyue 欢悦
huanzhai 还债
huanzhe 患者
huanzhu 獾猪
huapai 画派
huapan 花盘
huapao 花炮
huapen 花盆
huapin 画品
huaping 花瓶
huapo 划破
huapu 花圃
huaqi 花期
huaqian 花钱
huaqiang 花墙
huaqiao 华侨
huaqing 划清
huaqu 滑去
huaquan 花圈
huaran 哗然
huaren 华人
huarong 花容
huaru 划入
huarui 花蕊
huase 花色
huasha 华沙
huashan 华山
huashang 画上
huashao 花哨
huashen 化身
huasheng 花生
huashi 化石
huashu 桦树
huashui 划水
huasi 花丝
huasuan 划算
huatan 花坛
huati 话题
huating 华亭
huatong 话筒
huatou 话头
huatu 画图
huatuo 华佗
huawei 化为
huawen 花纹
huawu 华屋
huaxia 华夏
huaxian 画线
huaxiang 花香
huaxiao 花销
huaxie 花谢
huaxin 花心
huaxing 滑行
huaxu 花絮
huaxue 化学
huayan 化验
huayang 花样
huayao 花药
huaye 花叶
huayi 华裔
huayin 话音
huayu 话语
huayuan 花园
huayue 华约
huazhan 画展
huazhang 华章
huazhao 花招
huazhe 划着
huazhen 花针
huazhi 花枝
huazhong 华中
huazhou 画轴
huazhu 花烛
huazhuan 划转
huazhuang 化妆
huazi 花子
huazou 划走
huazuo 化作
huban 护板
hubang 互帮
hubao 虎豹
hubei 湖北
hubi 湖笔
hubian 湖边
hubin 湖滨
hubu 互补
hucha 胡茬
huchang 弧长
huche 胡扯
hucheng 互成
huchi 互斥
huchu 呼出
huchuan 互传
huda 互答
hudang 湖荡
hude 忽地
hudi 湖底
hudie 蝴蝶
hudong 互动
hudou 胡豆
hudu 弧度
huer 忽而
hufa 护法
hufang 互访
hufeng 忽逢
hufo 胡佛
hufu 护符
hugai 壶盖
hugan 互感
huguang 湖广
huguo 护国
huhai 湖海
huhan 呼喊
huhang 护航
huhao 呼号
huhu 呼呼
huhua 胡话
huhuan 呼唤
huhui 互惠
huian 灰暗
huibai 灰白
huibang 毁谤
huibao 汇报
huiben 绘本
huibi 回避
huibian 汇编
huibiao 徽标
huibo 回拨
huican 会餐
huichang 会场
huichao 回巢
huiche 回车
huichen 灰尘
huicheng 汇成
huichong 蛔虫
huichu 会出
huichuan 回传
huichun 回春
huicui 荟萃
huicun 惠存
huicuo 会错
huida 回答
huidai 会带
huidang 回荡
huidao 回到
huidian 会典
huidiao 毁掉
huidong 挥动
huidu 灰度
huiduan 会断
huidui 汇兑
huiduo 会多
huier 会儿
huifa 挥发
huifan 回返
huifang 回放
huifei 会费
huifen 灰分
huifu 回复
huigai 悔改
huige 会歌
huigu 回顾
huiguan 会馆
huiguang 辉光
huigui 回归
huiguo 回国
huihao 挥毫
huihe 回合
huihei 灰黑
huihen 悔恨
huihong 恢宏
huihou 会后
huihu 回鹘
huihua 回话
huihuai 毁坏
huihuan 回环
huihuang 辉煌
huihui 回回
huihuo 挥霍
huiji 汇集
huijia 回家
huijian 会见
huijiang 灰浆
huijin 灰烬
huijing 回京
huiju 汇聚
huijue 回绝
huikan 回看
huike 会客
huikou 回扣
huikuan 汇款
huikui 回馈
huilai 回来
huilang 回廊
huile 惠勒
huilin 毁林
huiling 会令
huiliu 回流
huilu 贿赂
huiluo 回落
huilv 汇率
huimeng 会盟
huimian 会面
huimie 毁灭
huimin 惠民
huiming 晦明
huimo 徽墨
huimou 回眸
huimu 回目
huineng 慧能
huini 灰泥
huining 会宁
huipiao 汇票
huiqi 晦气
huiqian 回迁
huiqing 回请
huiqiu 回球
huiqu 回去
huirao 回绕
huiru 汇入
huisa 挥洒
huise 灰色
huishan 惠山
huishang 会上
huishen 回身
huisheng 回升
huishi 回事
huishou 回收
huishui 回水
huisu 回溯
huisun 毁损
huitai 回台
huitan 会谈
huitian 回填
huitiao 回跳
huitie 回帖
huitong 会同
huitou 回头
huitu 绘图
huiwang 回望
huiwei 会为
huiwen 回文
huiwu 会晤
huixia 麾下
huixian 会先
huixiang 回想
huixiao 回校
huixie 诙谐
huixin 回信
huixing 彗星
huixiong 灰熊
huixu 回叙
huixuan 回旋
huiyan 慧眼
huiyao 会要
huiyi 会议
huiyin 会因
huiying 回应
huiyou 会有
huiyu 毁于
huiyuan 会员
huiyue 毁约
huize 惠泽
huizeng 惠赠
huizhan 会展
huizhang 会长
huizhen 会诊
huizhi 绘制
huizhong 会众
huizhou 惠州
huizhuan 回转
huizi 会子
huizong 汇总
huizu 回族
huizui 回嘴
huji 户籍
hujia 胡笳
hujian 忽见
hujiao 呼叫
hujing 互敬
hujiu 呼救
huju 护具
hujun 壶菌
huke 胡克
hukou 户口
hulai 胡来
hulan 呼兰
hulang 虎狼
huli 护理
hulian 互联
huliang 互谅
hulin 护林
hulu 葫芦
huluan 胡乱
hulun 囫囵
hulve 忽略
humen 虎门
humian 湖面
huming 户名
humou 胡某
humu 护目
hunan 湖南
hunao 胡闹
huncai 荤菜
hunchi 混吃
hundan 混蛋
hundao 昏倒
hundou 混斗
hundun 混沌
hunei 户内
hunfang 婚房
hunfei 魂飞
hunfou 婚否
hungui 魂归
hunhe 混合
hunhei 昏黑
hunhou 婚后
hunhua 昏花
hunhuang 昏黄
hunhun 浑浑
huning 沪宁
huniu 虎妞
hunji 混迹
hunjia 婚嫁
hunjiao 混交
hunjin 混进
hunju 混居
hunjun 昏君
hunli 婚礼
hunling 婚龄
hunluan 混乱
hunmi 昏迷
hunming 诨名
hunpei 婚配
hunpo 魂魄
hunpu 浑朴
hunqi 婚期
hunqian 婚前
hunqing 婚庆
hunqu 婚娶
hunran 昏然
hunru 混入
hunsang 婚丧
hunse 混色
hunsha 婚纱
hunshen 浑身
hunsheng 混声
hunshi 婚事
hunshui 昏睡
huntian 浑天
huntun 馄饨
hunxiao 混淆
hunxie 混血
hunya 昏鸦
hunyang 混养
hunyi 浑仪
hunyin 婚姻
hunyong 昏庸
hunyou 混有
hunyu 婚育
hunyuan 浑圆
hunyun 混匀
hunza 混杂
hunzai 混在
hunzhan 混战
hunzhe 混着
hunzhong 混种
hunzhuo 浑浊
huoba 火把
huoban 伙伴
huobao 火爆
huobi 货币
huocang 货仓
huochai 火柴
huochan 活产
huochang 货场
huoche 火车
huochi 火炽
huochu 豁出
huochuan 货船
huoci 获此
huoda 豁达
huodao 活到
huode 获得
huodian 火电
huodong 活动
huodui 火堆
huoen 霍恩
huoer 活儿
huofa 火法
huofei 或非
huofeng 获封
huofu 祸福
huogai 活该
huoge 霍格
huogen 祸根
huoguang 火光
huogui 货柜
huoguo 火锅
huohai 祸害
huohong 火红
huohou 火候
huohua 火花
huohuan 祸患
huohui 或会
huohuo 活活
huoji 伙计
huojia 货架
huojian 火箭
huojiang 获奖
huojin 霍金
huojing 或经
huojiu 获救
huoju 火炬
huojun 活菌
huokao 火烤
huokuan 货款
huolang 货郎
huoli 活力
huolian 火炼
huoliang 豁亮
huolie 火烈
huolong 火龙
huolu 火炉
huoluan 霍乱
huolun 货轮
huoluo 活络
huomai 活埋
huomen 或门
huomiao 火苗
huoming 活命
huopao 火炮
huopen 火盆
huopi 获批
huopin 货品
huopo 活泼
huoqi 火气
huoqiang 火枪
huoqing 火情
huoqiu 火球
huoqu 获取
huoque 或缺
huoran 豁然
huore 火热
huoren 活人
huosai 活塞
huose 货色
huoshan 火山
huoshang 火上
huoshao 火烧
huoshe 火舌
huoshen 火神
huosheng 获胜
huoshi 或是
huoshou 祸首
huoshui 活水
huosu 火速
huotan 火炭
huotang 火塘
huoti 活体
huotong 伙同
huotui 火腿
huotuo 活脱
huowang 火旺
huowu 货物
huoxi 获悉
huoxian 火线
huoxiang 活像
huoxie 活血
huoxing 火星
huoxu 或许
huoyan 火焰
huoyao 火药
huoyi 获益
huoyong 或用
huoyu 活鱼
huoyuan 货源
huoyue 活跃
huoyun 货运
huozai 活在
huozhe 或者
huozhi 获知
huozhong 火种
huozhu 火烛
huozhun 获准
huozhuo 活捉
huozi 活字
huozui 获罪
huozuo 或作
hupai 互派
hupan 湖畔
hupao 虎跑
hupi 狐皮
huping 互评
hupo 湖泊
huqi 呼气
huqian 虎钳
huqiang 护墙
huqin 胡琴
huqiu 护球
huran 忽然
hurang 互让
huren 胡人
hurong 互溶
huru 呼入
husang 互丧
hushan 忽闪
hushang 湖上
hushao 呼哨
hushen 护身
husheng 呼声
hushi 护士
hushu 户数
hushui 湖水
hushuo 胡说
husong 护送
husu 互诉
husun 猢狲
hutan 湖滩
hutao 胡桃
huting 户庭
hutong 互通
hutou 虎头
hutu 糊涂
huwai 户外
huwan 护腕
huwang 虎王
huwei 护卫
huwen 忽闻
huxi 呼吸
huxian 弧线
huxiang 互相
huxiao 呼啸
huxin 互信
huxing 弧形
huxu 胡须
huxuan 胡旋
huxue 虎穴
huya 虎牙
huyan 护眼
huyang 胡杨
huye 槲叶
huyi 互译
huying 呼应
huyong 互用
huyou 忽悠
huyu 呼吁
huzhang 湖长
huzhao 护照
huzhe 护着
huzheng 户政
huzhi 互质
huzhong 湖中
huzhou 胡诌
huzhu 互助
huzi 胡子
