abuzhabi 阿布扎比
ganjinshajue 赶尽杀绝
ganjurenhou 甘居人后
gankaixizhi 感慨系之
gannaotudi 肝脑涂地
gantiandongdi 感天动地
gantongshenshou 感同身受
ganweirenxian 敢为人先
ganxianggangan 敢想敢干
ganyousanzhi 甘油三酯
ganzhiruyi 甘之如饴
gaocifangcheng 高次方程
gaoerfuqiu 高尔夫球
gaoerjiti 高尔基体
gaofenbianlv 高分辨率
gaofujiazhi 高附加值
gaogaoxingxing 高高兴兴
gaogaozaishang 高高在上
gaoguanhoulu 高官厚禄
gaojiadaolu 高架道路
gaokekaoxing 高可靠性
gaolidaizhe 高利贷者
gaomengsuanjia 高锰酸钾
gaoqingxidu 高清晰度
gaoqiyaqu 高气压区
gaoshandachuan 高山大川
gaoshanyangzhi 高山仰止
gaoshenmoce 高深莫测
gaoshouruzhe 高收入者
gaotankuolun 高谈阔论
gaowujianling 高屋建瓴
gaoyiduanluo 告一段落
gaozhanyuanzhu 高瞻远瞩
gaozhenerwo 高枕而卧
gaozhenwuyou 高枕无忧
geanguanhuo 隔岸观火
gebenhagen 哥本哈根
gebenqiancheng 各奔前程
gebuxiangtong 各不相同
gedeqisuo 各得其所
geermushi 格尔木市
geernika 格尔尼卡
gefuqize 各负其责
gegejipo 各个击破
gegudingxin 革故鼎新
gehaixiangwang 隔海相望
gejiagehu 各家各户
gejinqize 各尽其责
gelasige 格拉斯哥
geleiemu 格雷厄姆
gelinglandao 格陵兰岛
gelinnada 格林纳达
gelinweizhi 格林威治
gelujiya 格鲁吉亚
gelunbiya 哥伦比亚
genbendafa 根本大法
gengjinyibu 更进一步
gengshengyichou 更胜一筹
gengxinhuandai 更新换代
gengyouyiyi 更有意义
genshendigu 根深蒂固
geqiangyouer 隔墙有耳
gequsuochang 各取所长
geshujijian 各抒己见
gesiqizhi 各司其职
gewushengping 歌舞升平
gewuzhizhi 格物致知
gexianshenshou 各显身手
gexingqidao 各行其道
gexingqishi 各行其是
geyousuochang 各有所长
gongbukemo 功不可没
gongbulixi 贡布里希
gongbuyingqiu 供不应求
gongchengmingjiu 功成名就
gongchoujiaocuo 觥筹交错
gongdayuqiu 供大于求
gongerwangsi 公而忘私
gongfuguonan 共赴国难
gongguoyuqiu 供过于求
gongjuyitang 共聚一堂
gongkuiyikui 功亏一篑
gongminglilu 功名利禄
gongqingtuanyuan 共青团员
gongshangyezhe 工商业者
gongsiheying 公私合营
gongtuanzhuyi 工团主义
gongwubuke 攻无不克
gongwuyuanfa 公务员法
gongxiangshengju 共襄盛举
gongzhiyushi 公之于世
gongzhiyuzhong 公之于众
gougoukankan 沟沟坎坎
gouquanxingming 苟全性命
gouzhangrenshi 狗仗人势
guabudizhong 寡不敌众
guadeluopu 瓜德罗普
guahegansuan 寡核苷酸
gualianxianchi 寡廉鲜耻
guanbaozhijiao 管鲍之交
guanbiminfan 官逼民反
guangcaizhaoren 光彩照人
guangdaoxianwei 光导纤维
guangergaozhi 广而告之
guangjiaojingtou 广角镜头
guangkaiyanlu 广开言路
guangtuzhongmin 广土众民
guanqimenlai 关起门来
guansuanna 谷氨酸钠
guanzhongkuibao 管中窥豹
guanzhuangbingdu 冠状病毒
guanzhuangdongmai 冠状动脉
gubabilun 古巴比伦
gubuzifeng 故步自封
gucishibi 顾此失彼
gudongyisheng 咕咚一声
gufangzishang 孤芳自赏
gugualaoren 孤寡老人
gugudandan 孤孤单单
guguzhuidi 呱呱坠地
guigenjiedi 归根结底
guiguisuisui 鬼鬼祟祟
guikulanghao 鬼哭狼嚎
guiqulaixi 归去来兮
gujiaguaren 孤家寡人
gujianzhuqun 古建筑群
gumingdiaoyu 沽名钓誉
gumingsiyi 顾名思义
gunlaigunqu 滚来滚去
gunongxuanxu 故弄玄虚
guobuqiran 果不其然
guoduanshijian 过段时间
guofubingqiang 国富兵强
guofuminqiang 国富民强
guojigongfa 国际公法
guojiminsheng 国计民生
guojipinglian 国际乒联
guojizulian 国际足联
guomubuwang 过目不忘
guopojiawang 国破家亡
guoqigaige 国企改革
guowuyuanling 国务院令
guoxierizi 过些日子
guoyanghuana 过氧化钠
guoyanghuaqing 过氧化氢
guoyanghuawu 过氧化物
guoyibuqu 过意不去
guquandaju 顾全大局
gushengwuxue 古生物学
gushengxianxian 古圣先贤
guwangjinlai 古往今来
guweijinyong 古为今用
guwenzixue 古文字学
guyingzilian 顾影自怜
guyiyouzhi 古已有之
guzhijijian 固执己见
guzhuyizhi 孤注一掷
haerbinshi 哈尔滨市
hafodaxue 哈佛大学
haidilaoyue 海底捞月
haiguanzongshu 海关总署
haikuotiankong 海阔天空
haikushilan 海枯石烂
hairentingwen 骇人听闻
haishishenlou 海市蜃楼
haitishidai 孩提时代
hamuleite 哈姆雷特
hanbaoyufang 含苞欲放
hanerbulu 含而不露
hangjialishou 行家里手
hangjinhouqi 杭锦后旗
hangkongmujian 航空母舰
hanguangwudi 汉光武帝
hanhanhuhu 含含糊糊
hanhuqici 含糊其词
hanlaishuwang 寒来暑往
hanlaobaoshou 旱涝保收
hanliujiabei 汗流浃背
hanliumanmian 汗流满面
hanmagonglao 汗马功劳
hanmierdun 汉密尔顿
hanqibiren 寒气逼人
hanranrumeng 酣然入梦
hantaikeju 憨态可掬
hantiandongdi 撼天动地
hanxinruku 含辛茹苦
hanyingjuhua 含英咀华
haoburongyi 好不容易
haochilanzuo 好吃懒做
haohaodangdang 浩浩荡荡
haoliangzhishang 濠梁之上
haomigongzhu 毫米汞柱
haoruyanhai 浩如烟海
haoshanhaoshui 好山好水
haowuguji 毫无顾忌
haowuhuiyi 毫无悔意
haowujuse 毫无惧色
haowuyiyi 毫无疑义
haoxingxiaohui 好行小慧
haoyanzhuangyu 豪言壮语
haoyiwulao 好逸恶劳
hasakezu 哈萨克族
hebaozhimu 合抱之木
hecigongzhen 核磁共振
heerbutong 和而不同
heereryi 合二而一
heermosi 赫尔墨斯
heermosi 赫耳墨斯
heerweiyi 合二为一
heerxinji 赫尔辛基
hefanyingdui 核反应堆
hehaoruchu 和好如初
hehemeimei 和和美美
heheqiqi 和和气气
heilongjiangsheng 黑龙江省
heiyunyacheng 黑云压城
hejiubifen 合久必分
helijiqun 鹤立鸡群
helimizhi 合理密植
helingeer 和林格尔
heluxiaofu 赫鲁晓夫
henganxingqu 很感兴趣
hengchongzhizhuang 横冲直撞
hengkongchushi 横空出世
hengmeilimu 横眉立目
hengqishuba 横七竖八
hengshuofushi 横槊赋诗
henzhirugu 恨之入骨
heqingheli 合情合理
heqizhixiang 和气致祥
hequhecong 何去何从
hetangyuese 荷塘月色
hewaidianzi 核外电子
hewaixingxi 河外星系
heyanyuese 和颜悦色
heyiershui 和衣而睡
hezaiyiqi 合在一起
hezhiyuci 何至于此
hezhonggongji 和衷共济
hezuweiqi 何足为奇
hongdeyisheng 轰的一声
hongdulasi 洪都拉斯
honghonglielie 轰轰烈烈
hongnanlvnv 红男绿女
hongpianjuzhi 鸿篇巨制
hongrandaxiao 哄然大笑
hongshizihui 红十字会
hongtangdaxiao 哄堂大笑
hongxinyuehui 红新月会
hongxixianxiang 虹吸现象
hongyifashi 弘一法师
hongzhuangsuguo 红装素裹
houdezaiwu 厚德载物
houguzhiyou 后顾之忧
houshizhishi 后事之师
houzhihoujue 后知后觉
huabingchongji 画饼充饥
huadajiyin 华大基因
huadengchushang 华灯初上
huaerbushi 华而不实
huafanweijian 化繁为简
huahongyuran 花红欲燃
huaicaibuyu 怀才不遇
huajieliuxiang 花街柳巷
hualiyouhua 话里有话
huanbingshaxing 环丙沙星
huangdineijing 黄帝内经
huangfachuitiao 黄发垂髫
huangleshoujiao 慌了手脚
huangquezaihou 黄雀在后
huangshanyeling 荒山野岭
huangwurenyan 荒无人烟
huanhuqueyue 欢呼雀跃
huaniaochongyu 花鸟虫鱼
huanjuhuashuo 换句话说
huanjuyitang 欢聚一堂
huannanyugong 患难与共
huanranyixin 焕然一新
huantaipingyang 环太平洋
huantianxidi 欢天喜地
huanyangyiwan 环氧乙烷
huanyoushijie 环游世界
huashengdunzhou 华盛顿州
huashetianzu 画蛇添足
huatuanjincu 花团锦簇
huaweiwuyou 化为乌有
huaxianweiyi 化险为夷
huayanqiaoyu 花言巧语
huayingangluo 话音刚落
huazhengweiling 化整为零
huazhongquchong 哗众取宠
huazhongyoushi 画中有诗
huazihuasi 华兹华斯
huchihuchi 呼哧呼哧
hufenghuanyu 呼风唤雨
hugaohudi 忽高忽低
huhehaote 呼和浩特
huichangdangqi 回肠荡气
huifeiyanmie 灰飞烟灭
huifenghechang 惠风和畅
huifengyinhang 汇丰银行
huijinrutu 挥金如土
huirenbujuan 诲人不倦
huishenghuise 绘声绘色
huitanjiyao 会谈纪要
huixinsangqi 灰心丧气
huizhibuqu 挥之不去
hujulongpan 虎踞龙盘
hukuaihuman 忽快忽慢
hulihutu 糊里糊涂
hulunbeier 呼伦贝尔
huluntunzao 囫囵吞枣
huluobosu 胡萝卜素
humenxiaoyan 虎门销烟
huminghuan 忽明忽暗
hunbuxiaqu 混不下去
hunhunchenchen 昏昏沉沉
hunhunyushui 昏昏欲睡
hunqianmengying 魂牵梦萦
hunranbujue 浑然不觉
hunranyise 浑然一色
hunranyiti 浑然一体
hunshengzinv 婚生子女
huntouhunnao 昏头昏脑
hunweiyitan 混为一谈
hunweiyiti 混为一体
huobengluantiao 活蹦乱跳
huobisanjia 货比三家
huobudanxing 祸不单行
huobuxiaqu 活不下去
huodahuoxiao 或大或小
huodaofukuan 货到付款
huoduohuoshao 或多或少
huoerguosi 霍尔果斯
huoermuzi 霍尔木兹
huolinghuoxian 活灵活现
huoluanhujun 霍乱弧菌
huopujinsi 霍普金斯
huoqixiaoqiang 祸起萧墙
huoshangjiaoyou 火上浇油
huoshuyinhua 火树银花
huoyanjinjing 火眼金睛
huoyifeiqian 获益匪浅
huozhenjiashi 货真价实
hushanghuxia 忽上忽下
hushuobadao 胡说八道
husiluanxiang 胡思乱想
hutianqiangdi 呼天抢地
huzhimingshi 胡志明市
huzhiyuchu 呼之欲出
huzuohuyou 忽左忽右
jiachanbuqing 夹缠不清
jiademandu 加德满都
jiaergeda 加尔各答
jiaguanjinjue 加官晋爵
jiajiahuhu 家家户户
jiajihuamei 甲基化酶
jiajirenzu 家给人足
jiajizhanfan 甲级战犯
jiajufanying 加聚反应
jialajiasi 加拉加斯
jialebihai 加勒比海
jialiuansuan 甲硫氨酸
jiamaoweilie 假冒伪劣
jianadaren 加拿大人
jianbanuzhang 剑拔弩张
jianbianyixing 简便易行
jianbukecui 坚不可摧
jianburongfa 间不容发
jianchaguanfa 检察官法
jianchuanlipao 坚船利炮
jiandanglika 建档立卡
jiandanmingliao 简单明了
jiandanyixing 简单易行
jiandeduole 见得多了
jiandingkaoshi 检定考试
jianeryanzhi 简而言之
jianeryouzhi 兼而有之
jianfengshiduo 见风使舵
jianghexingdi 江河行地
jianghuyiqi 江湖义气
jiangjingshuofa 讲经说法
jiangxinbixin 将心比心
jiangxinxiumu 讲信修睦
jianhunvxia 鉴湖女侠
jianjiemingliao 简洁明了
jianjingshengqing 见景生情
jiankoubuyan 缄口不言
jiankuzhuojue 艰苦卓绝
jianlisiyi 见利思义
jianliwangyi 见利忘义
jianmaiguimai 贱买贵卖
jianmakesi 见马克思
jianqianyankai 见钱眼开
jianrenbuba 坚忍不拔
jianrenjianzhi 见仁见智
jianrongbingbao 兼容并包
jianrongbingxu 兼容并蓄
jianrupanshi 坚如磐石
jianshantianxia 兼善天下
jianshoubingxu 兼收并蓄
jianshouzidao 监守自盗
jiantingzeming 兼听则明
jiantizhongwen 简体中文
jiantujinshu 碱土金属
jianweizhizhu 见微知著
jianxiansiqi 见贤思齐
jianxieyundong 简谐运动
jianyangmaoji 剪羊毛机
jianyanxiance 建言献策
jianyisiqian 见异思迁
jianyiyangde 俭以养德
jianyiyongwei 见义勇为
jianzhanglizhi 建章立制
jianzhengfangquan 简政放权
jianzuihousai 尖嘴猴腮
jianzujianxi 减租减息
jiaoaoziman 骄傲自满
jiaobudiandi 脚不点地
jiaojinnaozhi 绞尽脑汁
jiaoliaoshoukao 脚镣手铐
jiaorouzaozuo 矫揉造作
jiaotongyaodao 交通要道
jiaotoujieer 交头接耳
jiaotoulane 焦头烂额
jiaowuhuiyi 教务会议
jiaoxuexiangzhang 教学相长
jiaozhirenyuan 教职人员
jiaporenwang 家破人亡
jiaqijiaba 夹七夹八
jiaranerzhi 戛然而止
jiashouyuren 假手于人
jiasuduji 加速度计
jiaxiansanjiao 贾宪三角
jiaxingjinshi 假性近视
jiayangguizi 假洋鬼子
jiayanyixing 嘉言懿行
jiayuguanshi 嘉峪关市
jiayuhuxiao 家喻户晓
jiazhiliancheng 价值连城
jibusairen 吉卜赛人
jichajiyong 即插即用
jicisanfan 几次三番
jidachengzhe 集大成者
jieaobuxun 桀骜不驯
jiebaopinchuan 捷报频传
jiebukaiguo 揭不开锅
jiedahuanxi 皆大欢喜
jieerliansan 接二连三
jiefangjunbao 解放军报
jiegufengjin 借古讽今
jieguyujin 借古喻今
jiejiaojiezao 戒骄戒躁
jiejiebaba 结结巴巴
jiejieshishi 结结实实
jielaizhishi 嗟来之食
jieranyishen 孑然一身
jierjisi 吉尔吉斯
jieruchou 疾恶如仇
jietouxiangwei 街头巷尾
jiexinhuayuan 街心花园
jieyishihuo 解疑释惑
jieyisuoshi 节衣缩食
jiezeeryu 竭泽而渔
jiezhidongwu 节肢动物
jiezhongerzhi 接踵而至
jiezhongjinzhi 竭忠尽智
jifeigoutiao 鸡飞狗跳
jifengbaoyu 急风暴雨
jigongjinli 急功近利
jiguangzhaopai 激光照排
jihanjiaopo 饥寒交迫
jijianganchu 计将安出
jijiangongzi 计件工资
jijianjiancha 纪检监察
jijikewei 岌岌可危
jijiwuwen 寂寂无闻
jijizhazha 叽叽喳喳
jikunfupin 济困扶贫
jilaochengji 积劳成疾
jilibasi 基里巴斯
jiluzaian 记录在案
jimaoshichang 集贸市场
jimeixuecun 集美学村
jimusiwang 极目四望
jimuyuantiao 极目远眺
jimuyuanwang 极目远望
jinbabuwei 津巴布韦
jinbainianlai 近百年来
jinbangtiming 金榜题名
jinbenweizhi 金本位制
jinbihuihuang 金碧辉煌
jineiyawan 几内亚湾
jinfeixibi 今非昔比
jinfengyulu 金风玉露
jingbingjianzheng 精兵简政
jingchengsuozhi 精诚所至
jingdaxisuan 精打细算
jingdezhenshi 景德镇市
jingdiaoxike 精雕细刻
jingdiaoxizhuo 精雕细琢
jingdizhiwa 井底之蛙
jingeryuanzhi 敬而远之
jingetiema 金戈铁马
jinggengxizuo 精耕细作
jinggongxizuo 精工细作
jinghuashuiyue 镜花水月
jinghunweiding 惊魂未定
jingjingyeye 兢兢业业
jingjingyoutiao 井井有条
jingjixuejiang 经济学奖
jinglaoaiyou 敬老爱幼
jinglaozunxian 敬老尊贤
jingmaidizhu 静脉滴注
jingmocali 静摩擦力
jingmuxibao 精母细胞
jingpilijie 精疲力竭
jingranyouxu 井然有序
jingrenjieshao 经人介绍
jingruizhishi 精锐之师
jingtaohailang 惊涛骇浪
jingtaopaian 惊涛拍岸
jingtiandongdi 惊天动地
jingtiaoxixuan 精挑细选
jingweitianhai 精卫填海
jingxiaxinlai 静下心来
jingxindongpo 惊心动魄
jingyelequn 敬业乐群
jingyingchenbi 静影沉璧
jingyingtitou 晶莹剔透
jingyiqiujing 精益求精
jingyuanxibao 精原细胞
jingzhongbaoguo 精忠报国
jinjiluyu 晋冀鲁豫
jinjinianlai 近几年来
jinjinledao 津津乐道
jinjinyouwei 津津有味
jinkeyulv 金科玉律
jinlierwei 尽力而为
jinluomigu 紧锣密鼓
jinmozhehei 近墨者黑
jinnangmiaoji 锦囊妙计
jinpilijin 筋疲力尽
jinputielu 津浦铁路
jinqinghaixia 津轻海峡
jinrurenyi 尽如人意
jinshangtianhua 锦上添花
jinshanjinmei 尽善尽美
jinshiweikai 金石为开
jinwuzuchi 金无足赤
jinxiandaishi 近现代史
jinxiaowudi 晋孝武帝
jinxienianlai 近些年来
jinyintongtie 金银铜铁
jinyiyushi 锦衣玉食
jinzaiyanqian 近在眼前
jinzaizhichi 近在咫尺
jinzhijiangzhang 金质奖章
jinzhuzhechi 近朱者赤
jipinjiruo 积贫积弱
jipusairen 吉普赛人
jiqirenxue 机器人学
jiquanxiangwen 鸡犬相闻
jishanchengde 积善成德
jishaochengduo 积少成多
jishengchongbing 寄生虫病
jishiqingjie 即时清结
jisiguangyi 集思广益
jisuanjisuo 计算机所
jisuanjixi 计算机系
jisuobuyu 己所不欲
jisuodongwu 脊索动物
jituchengshan 积土成山
jitutonglong 鸡兔同笼
jiuerjiuzhi 久而久之
jiuguojiumin 救国救民
jiukeyikan 就可以看
jiurenyiming 救人一命
jiusanxueshe 九三学社
jiushilunshi 就事论事
jiusifushang 救死扶伤
jiuwangtucun 救亡图存
jiuyouziqu 咎由自取
jiuzhanquechao 鸠占鹊巢
jiuzheyangban 就这样办
jiuzufanbao 酒足饭饱
jiwangkailai 继往开来
jixiwangyu 寄希望于
jiyinzuxue 基因组学
jiyiqigao 几易其稿
jiyiyouxin 记忆犹新
jiyuqiucheng 急于求成
jiyuyishen 集于一身
jizhongnanfan 积重难返
jizhongshengzhi 急中生智
jizhuanzhixia 急转直下
jizhuoyangqing 激浊扬清
juansiwei 居安思危
juantuchonglai 卷土重来
jubingxijing 聚丙烯腈
jubujieshou 拒不接受
jubulvxing 拒不履行
jubushengju 举不胜举
jubuweijian 举步维艰
juechufengsheng 绝处逢生
juefeiyishi 绝非易事
juewujinyou 绝无仅有
jueyisizhan 决一死战
juezijuesun 绝子绝孙
jugaolinxia 居高临下
jugongjincui 鞠躬尽瘁
jujinghuishen 聚精会神
julvyixi 聚氯乙烯
junchenzuoshi 君臣佐使
junguodashi 军国大事
junguozhuyi 军国主义
junjidachen 军机大臣
junshitanding 君士坦丁
junziguqiong 君子固穷
junzihaoqiu 君子好逑
jushaoliduo 聚少离多
jushoutouzu 举手投足
jutansuanzhi 聚碳酸酯
jutierwei 具体而微
juweijiyou 据为己有
juwosuozhi 据我所知
juwuqiuan 居无求安
juyierchun 聚乙二醇
juyifansan 举一反三
juyixichun 聚乙烯醇
juzuqingzhong 举足轻重
kaerdanuo 卡尔达诺
kaerweinuo 卡尔维诺
kaifanggaohuo 开放搞活
kaijiangtuotu 开疆拓土
kaimenjianshan 开门见山
kaitianpidi 开天辟地
kaizhafangshui 开闸放水
kaizongmingyi 开宗明义
kaizumali 开足马力
kalakunlun 喀喇昆仑
kanameisu 卡那霉素
kanbuchulai 看不出来
kanbuqingchu 看不清楚
kanbushangyan 看不上眼
kanbushunyan 看不顺眼
kanbuxiaqu 看不下去
kancaichifan 看菜吃饭
kanchengyijue 堪称一绝
kandangdaren 堪当大任
kangdingsiji 康定斯基
kangganraoxing 抗干扰性
kanglaqiangdu 抗拉强度
kangmeiyuanchao 抗美援朝
kangpaneila 康帕内拉
kangyanghuaji 抗氧化剂
kangyanghuaxing 抗氧化性
kangzhuangdadao 康庄大道
kanleyoukan 看了又看
kanyebukan 看也不看
kaotianchifan 靠天吃饭
kasiteluo 卡斯特罗
katuoweizi 卡托维兹
kawendixu 卡文迪许
keburonghuan 刻不容缓
kecaozuoxing 可操作性
kechangkeduan 可长可短
kechengzhiji 可乘之机
kechixuxing 可持续性
kechongfuxing 可重复性
kedakexiao 可大可小
kedizhisheng 克敌制胜
keerjuejing 渴而掘井
keerkezi 柯尔克孜
kegekeqi 可歌可泣
kegongkeshou 可攻可守
kegumingxin 刻骨铭心
kehuoyunshu 客货运输
kejianyiban 可见一斑
kejifenggong 克己奉公
kejifuli 克己复礼
kejixingnong 科技兴农
kejuanzashui 苛捐杂税
kekebaba 磕磕巴巴
kekebanban 磕磕绊绊
kekeqiqi 客客气气
kekuozhanxing 可扩展性
kelaideman 克莱德曼
kelamayi 克拉玛依
kelifulan 克利夫兰
kelimiya 克里米亚
kelisidi 克里斯蒂
kelitedao 克里特岛
keliwushou 颗粒无收
kelunweier 克伦威尔
keluodiya 克罗地亚
keluoladuo 科罗拉多
kengkengwawa 坑坑洼洼
kentajizhou 肯塔基州
keqinkejian 克勤克俭
keranchangshi 溘然长逝
kesakefu 科萨科夫
keshimier 克什米尔
ketediwa 科特迪瓦
keweihuxing 可维护性
kexijiadao 科西嘉岛
keyanyuansuo 科研院所
keyizhixing 可移植性
keyoukewu 可有可无
kezhouqiujian 刻舟求剑
konghouwuping 恐后无凭
kongkongdangdang 空空荡荡
kongkouwuping 空口无凭
kongwuyouli 孔武有力
kouchiqingxi 口齿清晰
kouerxiangchuan 口耳相传
koukouxiangchuan 口口相传
kourenxinxian 扣人心弦
koushikenrang 叩石垦壤
koushixinfei 口是心非
kuafuzhuiri 夸父追日
kuaiqukuaihui 快去快回
kuaizhirenkou 脍炙人口
kuakuaqitan 夸夸其谈
kuanghonglanzha 狂轰滥炸
kuangquanshuiping 矿泉水瓶
kuangrichijiu 旷日持久
kuanyidairen 宽以待人
kuerleshi 库尔勒市
kuersike 库尔斯克
kuibugandang 愧不敢当
kuiranbudong 岿然不动
kukutiti 哭哭啼啼
kunshouzhidou 困兽之斗
kuojunbeizhan 扩军备战
kusangzhelian 哭丧着脸
kuxiaobude 哭笑不得
kuxinguyi 苦心孤诣
labangjiepai 拉帮结派
labuladuo 拉布拉多
laibunici 莱布尼茨
laibunizi 莱布尼兹
laichubuyi 来处不易
laihuneihai 濑户内海
lailongqumai 来龙去脉
laiqucongcong 来去匆匆
laiquziyou 来去自由
laizhibuyi 来之不易
lalazaza 拉拉杂杂
langbeiweijian 狼狈为奸
langbenshitu 狼奔豕突
langlangshangkou 朗朗上口
langtunhuyan 狼吞虎咽
langxingoufei 狼心狗肺
langziyexin 狼子野心
lanluqiangjie 拦路抢劫
lantingjixu 兰亭集序
lanxintielu 兰新铁路
laobukepo 牢不可破
laodangyizhuang 老当益壮
laoerwugong 劳而无功
laoerwuhuo 劳而无获
laohuayanjing 老花眼镜
laojianjuhua 老奸巨猾
laojifuli 老骥伏枥
laojizaixin 牢记在心
laolaodaodao 唠唠叨叨
laolaoshaoshao 老老少少
laolaoshishi 老老实实
laoqihengqiu 老气横秋
laoqijingu 劳其筋骨
laorenyuhai 老人与海
laoshaobianqiong 老少边穷
laoshaojieyi 老少皆宜
laosilaisi 劳斯莱斯
laoyanhunhua 老眼昏花
laoyijiehe 劳逸结合
laoyousuoyang 老有所养
laoyousuozhong 老有所终
lapulasi 拉普拉斯
latuoweiya 拉脱维亚
lazaihoumian 落在后面
lazouyueqi 拉奏乐器
lecibupi 乐此不疲
leerbuyin 乐而不淫
leidabudong 雷打不动
leidanbaizhi 类蛋白质
leidixingxing 类地行星
leilifengxing 雷厉风行
leiruquanyong 泪如泉涌
leiruyuxia 泪如雨下
leitingwanjun 雷霆万钧
leizhoubandao 雷州半岛
lengchaorefeng 冷嘲热讽
lengcidinglv 楞次定律
lenglengqingqing 冷冷清清
leshanhaoshi 乐善好施
leyiwangyou 乐以忘忧
lezaiqizhong 乐在其中
liangchenjiri 良辰吉日
liangdanyixing 两弹一星
liangenbaqi 连根拔起
liangkuyongxin 良苦用心
liangleichadao 两肋插刀
liangliangqiangqiang 踉踉跄跄
liangnongzuzhi 粮农组织
liangqingxiangyue 两情相悦
liangquanqimei 两全其美
liangruweichu 量入为出
liangshiyiyou 良师益友
liangticaiyi 量体裁衣
liangundaipa 连滚带爬
liangxiuqingfeng 两袖清风
lianjinshushi 炼金术士
lianlianbushe 恋恋不舍
lianpolaoyi 廉颇老矣
lianshibutian 炼石补天
lianweiyiti 连为一体
lianxuanlianren 连选连任
lianzaiyiqi 连在一起
liaobode 利奥波德
liaoliaoshuyu 寥寥数语
liaoliaowuji 寥寥无几
liaoranyuxiong 了然于胸
liaoruzhizhang 了如指掌
liaoyuanzhishi 燎原之势
liaozhaizhiyi 聊斋志异
libengyuehuai 礼崩乐坏
libiliya 利比里亚
libucongxin 力不从心
lidaitaojiang 李代桃僵
lidangweigong 立党为公
lieaonaduo 列奥纳多
lieninggele 列宁格勒
lijingpandao 离经叛道
lijingtuzhi 励精图治
lijisunren 利己损人
lijiumixin 历久弥新
lilizaimu 历历在目
limusiji 里姆斯基
lincizhibi 鳞次栉比
linfuchanpin 林副产品
lingdetupo 零的突破
linglingsansan 零零散散
linglongtitou 玲珑剔透
lingpixijing 另辟蹊径
lingqinggaoming 另请高明
lingrenchengqi 令人称奇
lingrenfazhi 令人发指
lingrenzeshe 令人咋舌
lingrenzuoou 令人作呕
lingxingjinzhi 令行禁止
lingyankandai 另眼看待
lingyifangmian 另一方面
linhanjiansu 林寒涧肃
linkejuejing 临渴掘井
linlangmanmu 琳琅满目
linlijinzhi 淋漓尽致
linlinzongzong 林林总总
linsuanerzhi 磷酸二酯
linyuanxianyu 临渊羡鱼
linzhentuotao 临阵脱逃
liqingbiexu 离情别绪
liqunsuoju 离群索居
lishangwanglai 礼尚往来
lisuodangran 理所当然
lisuonengji 力所能及
litongwaiguo 里通外国
litouzhibei 力透纸背
liuanhuaming 柳暗花明
liubianquanshen 流遍全身
liudemila 柳德米拉
liufenzhiyi 六分之一
liuguangyicai 流光溢彩
liulianwangfan 流连忘返
liuliliuqi 流里流气
liulishisuo 流离失所
liurixuesheng 留日学生
liuxingbingxue 流行病学
liuxupaima 溜须拍马
liuyuxingshi 流于形式
liuzhongquanhui 六中全会
lixianxiashi 礼贤下士
liyingwaihe 里应外合
liyizhibang 礼仪之邦
lizhiqizhuang 理直气壮
longzhoujingdu 龙舟竞渡
luandiulaji 乱丢垃圾
luanmuxibao 卵母细胞
luanqibazao 乱七八糟
luanyuanxibao 卵原细胞
luanyunfeidu 乱云飞渡
luanzanggangzi 乱葬岗子
luanzuoyituan 乱作一团
ludeweixi 路德维希
luhuochunqing 炉火纯青
lukelaixiu 卢克莱修
lunzipaibei 论资排辈
luoguxuantian 锣鼓喧天
luoluodafang 落落大方
luomoyanna 罗摩衍那
luosaihuzi 络腮胡子
luosituoke 罗斯托克
luozizhiwu 裸子植物
lvcaoruyin 绿草如茵
lvdingerxi 氯丁二烯
lvdingxiangjiao 氯丁橡胶
lvezhiyier 略知一二
lvguisuanyan 铝硅酸盐
lvjianbuxian 屡见不鲜
lvjinbujue 屡禁不绝
lvjinbuzhi 屡禁不止
lvrefanying 铝热反应
lvshichunqiu 吕氏春秋
lvxianruyi 履险如夷
lvyiangran 绿意盎然
maerdaifu 马尔代夫
maersasi 马尔萨斯
magedebao 马格德堡
mageguoshi 马革裹尸
maibuchuqu 卖不出去
maiguanyujue 卖官鬻爵
maikesiwei 麦克斯韦
maikuantiaozhi 脉宽调制
maiyatangmei 麦芽糖酶
maiyinpiaochang 卖淫嫖娼
malasongsai 马拉松赛
maliyana 马里亚纳
mamahuhu 马马虎虎
mamalielie 骂骂咧咧
manbujingxin 漫不经心
manbuzaihu 满不在乎
manchesite 曼彻斯特
mangbuguolai 忙不过来
mangcizaibei 芒刺在背
mangmangzhuangzhuang 莽莽撞撞
mangrenmoxiang 盲人摸象
manlianduixiao 满脸堆笑
manmuchuangyi 满目疮痍
manwubianji 漫无边际
maobujingren 貌不惊人
maodiezhinian 耄耋之年
maogusongran 毛骨悚然
maolinxiuzhu 茂林修竹
maoliqiusi 毛里求斯
maomaoshishi 冒冒失失
maomingdingti 冒名顶替
maosedunkai 茅塞顿开
mapangyongcuo 玛旁雍错
maqidunren 马其顿人
maqiubiqiu 马丘比丘
masikate 马斯喀特
masiluowa 玛丝洛娃
matinike 马提尼克
meibushengshou 美不胜收
meihuasannong 梅花三弄
meijiameihu 每家每户
meikaiyanxiao 眉开眼笑
meilanzhuju 梅兰竹菊
meilvhejin 镁铝合金
meimuchuanqing 眉目传情
