藏匿	cangni
耄耋	maodie
土生土长	tushengtuzhang|tushengtuchang
十年动乱	shiniandongluan
考考	kaokao
老到	laodao
老天	laotian
老表	laobiao
老夫	laofu
无敌于天下	wudiyutianxia
老豆	laodou
教规	jiaogui
丧失殆尽	sangshidaijin
老死	laosi
老迈	laomai
都来	doulai
老班	laoban
都督	dudu
老虎	laohu
教具	jiaoju
才具	caiju
老柴	laochai
老婆	laopo
老汉	laohan
教法	jiaofa
老光	laoguang
老小	laoxiao
教学	jiaoxue
教堂	jiaotang
老酒	laojiu
老少	laoshao
都没	doumei
老生常谈	laoshengchangtan
老师	laoshi
教师	jiaoshi
考量	kaoliang
都是	doushi
走街串巷	zoujiechuanxiang
教唆	jiaosuo
孝顺	xiaoshun
霉味	meiwei
老路	laolu
二重唱	erchongchang
雨刮器	yuguaqi
教员	jiaoyuan
老兄	laoxiong
老四	laosi
才思	caisi
老罗	laoluo
才略	cailue
进行曲	jinxingqu
运筹帷幄	yunchouweiwo
十年内乱	shinianneiluan
教导	jiaodao
才情	caiqing
教书	jiaoshu
教科书	jiaokeshu
趋利避害	qulibihai
孝悌	xiaoti
孝心	xiaoxin
二季度	erjidu
老粗	laocu
老庄	laozhuang
老店	laodian
真知灼见	zhenzhizhuojian
老火	laohuo
雾灯	wudeng
未知数	weizhishu
老鹰	laoying
十年磨剑	shinianmojian
填街塞巷	tianjiesaixiang|tianjiesexiang
老农	laonong
教室	jiaoshi
老家	laojia
远征军	yuanzhengjun
教官	jiaoguan
考官	kaoguan
十年寒窗	shinianhanchuang
截长补短	jiechangbuduan
老实	laoshi
超短裙	chaoduanqun
老衲	laona
教案	jiaoan
考察	kaocha
考究	kaojiu
赤身裸体	chishenluoti
老窖	laojiao
无稽之谈	wujizhitan
老鸟	laoniao
老外	laowai
老铁	laotie
老狼	laolang
都匀	duyun
教授	jiaoshou
老挝	laowo
教皇	jiaohuang
考据	kaoju
老鬼	laogui
老手	laoshou
才气	caiqi
雾气	wuqi
老气	laoqi
考拉	kaola
老兵	laobing
专利权	zhuanliquan
教材	jiaocai
老朽	laoxiu
老哥	laoge
老赖	laolai
无利可图	wuliketu
老板	laoban
十年树木	shinianshumu
载舟覆舟	zaizhoufuzhou
都要	douyao
十年树木百年树人	shinianshumubainianshuren
起重机	qizhongji
直升机	zhishengji
老枪	laoqiang
考核	kaohe
老牛舐犊	laoniushidu
教徒	jiaotu
老千	laoqian
教廷	jiaoting
老街	laojie
老年	laonian
老牌	laopai
教务处	jiaowuchu
教程	jiaocheng
老身	laoshen
教条	jiaotiao
教委	jiaowei
运算符	yunsuanfu
老徐	laoxu
老头	laotou
教头	jiaotou
喜笑颜开	xixiaoyankai
南征北战	nanzhengbeizhan
志得意满	zhideyiman
直系亲属	zhixiqinshu
都将	doujiang
老将	laojiang
二律背反	erlvbeifan
老辣	laola
老亲	laoqin
孝道	xiaodao
老道	laodao
教益	jiaoyi
老弟	laodi
教门	jiaomen
老妪	laoyu
老妈	laoma
老姐	laojie
老妹	laomei
老巢	laochao
堆积如山	duijirushan
都灵	duling
老九	laojiu
老君	laojun
老妖	laoyao
考妣	kaobi
老娘	laoniang
老公	laogong
老翁	laoweng
都会	douhui
教会	jiaohui
老舍	laoshe
鼓舞人心	guwurenxin
老爸	laoba
老爹	laodie
老伯	laobo
老爷	laoye
教父	jiaofu
无条件	wutiaojian
地利人和	dilirenhe
老伴	laoban
老人	laoren
老年人	laonianren
才华	caihua
老化	laohua
教化	jiaohua
雾化	wuhua
嘉年华	jianianhua
教练	jiaolian
老练	laolian
孝经	xiaojing
老鸨	laobao
考绩	kaoji
老母	laomu
老乡	laoxiang
考试	kaoshi
煮熟	zhushu
教育	jiaoyu
考评	kaoping
考证	kaozheng
教主	jiaozhu
教训	jiaoxun
都市	dushi
老房	laofang
霉变	meibian
教义	jiaoyi
孝义	xiaoyi
教诲	jiaohui
增长率	zengzhanglv
封闭式	fengbishi
干将莫邪	ganjiangmoye|ganjiangmoxie
埋头苦干	maitoukugan
丧葬	sangzang
墙头草	qiangtoucao
增产节约	zengchanjieyue
老头子	laotouzi
增盈	zengying
无产阶级	wuchanjieji
增大	zengda
增压	zengya
过意不去	guoyibuqu
远道而来	yuandaoerlai
喜新厌旧	xixinyanjiu
无关大局	wuguandaju
直道而行	zhidaoerxing
老羞成怒	laoxiuchengnu
幸甚	xingshen
培养基	peiyangji
无关大体	wuguandati
远亲不如近邻	yuanqinburujinlin
无疾而终	wujierzhong
丧服	sangfu
丧胆	sangdan
增加	zengjia
境域	jingyu
垃圾	laji
境地	jingdi
幸运	xingyun
无亲无故	wuqinwugu
增城	zengcheng
培土	peitu
增进	zengjin
增刊	zengkan
走头无路	zoutouwulu
十六进制	shiliujinzhi
增开	zengkai
增至	zengzhi
老半天	laobantian
南半球	nanbanqiu
丧事	sangshi
增殖	zengzhi
老前辈	laoqianbei
南北战争	nanbeizhanzheng
走着瞧	zouzheqiao
增添	zengtian
增光	zengguang
增辉	zenghui
邯郸学步	handanxuebu
增派	zengpai
南美洲	nanmeizhou
霎时	shashi
增量	zengliang
境遇	jingyu
地头蛇	ditoushe
无关紧要	wuguanjinyao
无病呻吟	wubingshenyin
裁判员	caipanyuan
吉普车	jipuche
魂斗罗	hundouluo
示意图	shiyitu
过关斩将	guoguanzhanjiang
境界	jingjie
二道贩子	erdaofanzi
增幅	zengfu
增删	zengshan
增收	zengshou
增发	zengfa
吉普赛	jipusai
增补	zengbu
无头案	wutouan
增容	zengrong
无关宏旨	wuguanhongzhi
幸福	xingfu
增色	zengse
境外	jingwai
丧钟	sangzhong
增多	zengduo
老头儿	laotouer
远交近攻	yuanjiaojingong
增援	zengyuan
增持	zengchi
增损	zengsun
增白	zengbai
丧气	sangqi
培植	peizhi
增速	zengsu
培根	peigen
增长	zengzhang
干净利落	ganjingliluo
丧失	sangshi
增生	zengsheng
增重	zengzhong
喜闻乐见	xiwenlejian
城门失火	chengmenshihuo
城门失火殃及池鱼	chengmenshihuoyangjichiyu
增减	zengjian
培养	peiyang
真善美	zhenshanmei
无意间	wuyijian
增资	zengzi
增效	zengxiao
培新	peixin
增产	zengchan
无关痛痒	wuguantongyang
增益	zengyi
幸好	xinghao
增值	zengzhi
赤道几内亚	chidaojineiya
丧偶	sangou
丧假	sangjia
零部件	lingbujian
增强	zengqiang
丧母	sangmu
博闻强识	bowenqiangzhi|bowenqiangshi
博闻强记	bowenqiangji
培育	peiyu
老北京	laobeijing
培训	peixun
无意识	wuyishi
增高	zenggao
增订	zengding
增设	zengshe
雪茄	xuejia
雪菜	xuecai
雪莱	xuelai
老奸巨滑	laojianjuhua
雪莲	xuelian
老奸巨猾	laojianjuhua
雪花	xuehua
老妈子	laomazi
雪耻	xuechi
超群出众	chaoqunchuzhong
雪原	xueyuan
雪龙	xuelong
雪豹	xuebao
动如脱兔	dongrutuotu
雪域	xueyu
雪地	xuedi
喜怒无常	xinuwuchang
真刀真枪	zhendaozhenqiang
进退无门	jintuiwumen
雪堆	xuedui
进退两难	jintuiliangnan
雪天	xuetian
雪青	xueqing
雪球	xueqiu
未婚夫	weihunfu
雪碧	xuebi
未婚妻	weihunqi
雪泥	xueni
声如洪钟	shengruhongzhong
甘肃省	gansusheng
雪暴	xuebao
雪野	xueye
朝九晚五	zhaojiuwanwu
雪蛤	xueha
雪景	xuejing
雪中	xuezhong
雪崩	xuebeng
雪雕	xuediao
雪山	xueshan
雪见	xuejian
雪峰	xuefeng
雪恨	xuehen
雪灾	xuezai
雪冤	xueyuan
封建社会	fengjianshehui
雪饼	xuebing
雪儿	xueer
雪狼	xuelang
雪狐	xuehu
雪白	xuebai
雪橇	xueqiao
雪松	xuesong
雪舞	xuewu
雪梨	xueli
老奶奶	laonainai
吉娃娃	jiwawa
雪女	xuenv
雪人	xueren
进退维谷	jintuiweigu
雪纺	xuefang
雪衣	xueyi
雪盲	xuemang
喜怒哀乐	xinuaile
雪夜	xueye
零散	lingsan
零落	lingluo
二人世界	errenshijie
真伪莫辨	zhenweimobian
零花	linghua
老爷子	laoyezi
零陵	lingling
堆叠	duidie
真假难辨	zhenjiananbian
堆砌	duiqi
无伤大雅	wushangdaya
去伪存真	quweicunzhen
无风不起浪	wufengbuqilang
无风三尺浪	wufengsanchilang
十传百	shichuanbai
真人不露相	zhenrenbulouxiang
无伤大体	wushangdati
零碎	lingsui
堆肥	duifei
超凡脱俗	chaofantuosu
霍地	huodi
真人真事	zhenrenzhenshi
堆起	duiqi
无风起浪	wufengqilang
堆场	duichang
无凭无据	wupingwuju
无依无靠	wuyiwukao
十全十美	shiquanshimei
霍霍	huohuo
才华超众	caihuachaozhong
堆垛	duiduo
喜从天降	xicongtianjiang
老人与海	laorenyuhai
无从下手	wucongxiashou
吉人天相	jirentianxiang
零点	lingdian
零时	lingshi
颠倒是非	diandaoshifei
零星	lingxing
零号	linghao
垛口	duokou
二人转	errenzhuan
老爷车	laoyeche
十八罗汉	shibaluohan
颠倒黑白	diandaoheibai
霍山	huoshan
二人同心其利断金	errentongxinqiliduanjin
十八层地狱	shibacengdiyu
动人心魄	dongrenxinpo
动人心弦	dongrenxinxian
零度	lingdu
零售业	lingshouye
堆焊	duihan
鼓风炉	gufenglu
老人家	laorenjia
无价之宝	wujiazhibao
趁人之危	chenrenzhiwei
真凭实据	zhenpingshiju
零售额	lingshoue
霍然	huoran
霍尔	huoer
十分钟	shifenzhong
朝令夕改	zhaolingxigai|chaolingxigai
霍金	huojin
老伴儿	laobaner
零担	lingdan
二传手	erchuanshou
堆栈	duizhan
才华横溢	caihuahengyi
鼓风机	gufengji
十八般武艺	shibabanwuyi
干什么	ganshenme
超凡入圣	chaofanrusheng
零乱	lingluan
霍乱	huoluan
霍华德	huohuade
动作片	dongzuopian
堆积	duiji
老僧入定	laosengruding
吉人自有天相	jirenziyoutianxiang
增值税	zengzhishui
雪佛兰	xuefolan
无人问津	wurenwenjin
赤贫如洗	chipinruxi
十拿九稳	shinajiuwen
越俎代庖	yuezudaipao
老爷爷	laoyeye
墙倒众人推	qiangdaozhongrentui
零件	lingjian
零位	lingwei
零分	lingfen
零售价	lingshoujia
零食	lingshi
零售	lingshou
零线	lingxian
堆放	duifang
零售商	lingshoushang
吉他谱	jitapu
进化论	jinhualun
二维码	erweima
封疆大吏	fengjiangdali
动弹不得	dongtanbude
戴维斯	daiweisi
韦编三绝	weibiansanjue
干细胞	ganxibao
无缘无故	wuyuanwugu
雪纳瑞	xuenarui
老弱残兵	laoruocanbing
无线电	wuxiandian
教练员	jiaolianyuan
喜结连理	xijielianli
违约金	weiyuejin
老弱病残	laoruobingcan
无纸化	wuzhihua
超级市场	chaojishichang
坟墓	fenmu
考试院	kaoshiyuan
填充物	tianchongwu
支离破碎	zhiliposui
无为而治	wuweierzhi
南京大学	nanjingdaxue
墩布	dunbu
零敲碎打	lingqiaosuida
教育厅	jiaoyuting
直言不讳	zhiyanbuhui
二话不说	erhuabushuo
二郎腿	erlangtui
坟地	fendi
壤土	rangtu
坟场	fenchang
献计献策	xianjixiance
走为上策	zouweishangce
走为上计	zouweishangji
坑洼	kengwa
教育学	jiaoyuxue
壕沟	haogou
老谋深算	laomoushensuan
博施济众	boshijizhong
土豪劣绅	tuhaolieshen
二话没说	erhuameishuo
南京师范大学	nanjingshifandaxue
南京路	nanjinglu
坑口	kengkou
戴高帽	daigaomao
无言以对	wuyanyidui
墒情	shangqing
教育局	jiaoyuju
起诉书	qisushu
协议书	xieyishu
协调发展	xietiaofazhan
教育家	jiaoyujia
无妄之灾	wuwangzhizai
地主之谊	dizhuzhiyi
坟包	fenbao
坑杀	kengsha
超文本	chaowenben
超高速	chaogaosu
坦诚相见	tanchengxiangjian
坑木	kengmu
无话可说	wuhuakeshuo
无计可施	wujikeshi
走读生	zoudusheng
士为知己者死	shiweizhijizhesi
戴高乐	daigaole
地方税	difangshui
老调重弹	laodiaochongtan
坟头	fentou
教育部	jiaoyubu
坑道	kengdao
无论如何	wulunruhe
坑爹	kengdie
才高八斗	caigaobadou
坑人	kengren
颠鸾倒凤	dianluandaofeng
城市化	chengshihua
培训费	peixunfei
形式	xingshi
开工	kaigong
武功	wugong
弄臣	nongchen
开幕	kaimu
武艺	wuyi
开荤	kaihun
武警	wujing
刑警	xingjing
开花	kaihua
五劳七伤	wulaoqishang
开荒	kaihuang
武陵	wuling
开出	kaichu
开了	kaile
武隆	wulong
开除	kaichu
与世隔绝	yushigejue
开戏	kaixi
开通	kaitong
武圣	wusheng
开台	kaitai
邢台	xingtai
玩世不恭	wanshibugong
武大	wuda
一卧不起	yiwobuqi
天若有情天亦老	tianruoyouqingtianyilao
武威	wuwei
型砂	xingsha
下落不明	xialuobuming
形成	xingcheng
开矿	kaikuang
青鞋布袜	qingxiebuwa
弄巧成拙	nongqiaochengzhuo
青黄不接	qinghuangbujie
开春	kaichun
刑期	xingqi
五花大绑	wuhuadabang
形态	xingtai
开服	kaifu
开县	kaixian
开膛	kaitang
武力	wuli
开腔	kaiqiang
形貌	xingmao
开采	kaicai
开动	kaidong
开支	kaizhi
武魂	wuhun
开封	kaifeng
天荒地老	tianhuangdilao
武士	wushi
开示	kaishi
开进	kaijin
开场	kaichang
刑场	xingchang
与世无争	yushiwuzheng
开元	kaiyuan
救苦救难	jiukujiunan
开球	kaiqiu
武夫	wufu
一匡天下	yikuangtianxia
刑事	xingshi
夫荣妻贵	furongqigui
弄瓦	nongwa
开裂	kailie
开列	kailie
一草一木	yicaoyimu
开平	kaiping
一式两份	yishiliangfen
武夷	wuyi
开眼	kaiyan
开具	kaiju
刑具	xingju
万世流芳	wanshiliufang
武汉	wuhan
开源	kaiyuan
刑法	xingfa
弄潮	nongchao
开光	kaiguang
武举	wuju
救世济民	jiushijimin
武学	wuxue
开溜	kailiu
武当	wudang
开滦	kailuan
开明	kaiming
囊萤映雪	nangyingyingxue
开题	kaiti
武师	wushi
武昌	wuchang
青苹果	qingpingguo
形影	xingying
型号	xinghao
开路	kailu
武器	wuqi
开口	kaikou
开胃	kaiwei
开团	kaituan
开车	kaiche
开国	kaiguo
开罪	kaizui
开罗	kailuo
刑罚	xingfa
形骸	xinghai
开山	kaishan
残花败柳	canhuabailiu
五花肉	wuhuarou
开展	kaizhan
开怀	kaihuai
开导	kaidao
开辟	kaipi
开局	kaiju
规划局	guihuaju
开发	kaifa
开屏	kaiping
刑戮	xinglu
开心	kaixin
开席	kaixi
开业	kaiye
开店	kaidian
武库	wuku
武断	wuduan
开火	kaihuo
麦芽糖	maiyatang
开炮	kaipao
开庭	kaiting
武广	wuguang
武官	wuguan
武宁	wuning
开衫	kaishan
形容	xingrong
开窍	kaiqiao
武穴	wuxue
开窗	kaichuang
形神	xingshen
武神	wushen
形色	xingse
开解	kaijie
开印	kaiyin
开销	kaixiao
开锁	kaisuo
形象	xingxiang
开锅	kaiguo
开锣	kailuo
型钢	xinggang
开饭	kaifan
开镜	kaijing
玛莎拉蒂	mashaladi
开拓	kaituo
武技	wuji
武后	wuhou
碧欧泉	biouquan
开掘	kaijue
开挖	kaiwa
武打	wuda
形势	xingshi
弄权	nongquan
开票	kaipiao
型材	xingcai
开标	kaibiao
开本	kaiben
形相	xingxiang
天花板	tianhuaban
武林	wulin
开机	kaiji
开枪	kaiqiang
武松	wusong
武术	wushu
天花乱坠	tianhualuanzhui
一落千丈	yiluoqianzhang
武生	wusheng
形制	xingzhi
正式版	zhengshiban
武备	wubei
万花筒	wanhuatong
开释	kaishi
开箱	kaixiang
与世长辞	yushichangci
开盘	kaipan
开船	kaichuan
豆蔻年华	doukounianhua
开篇	kaipian
形状	xingzhuang
开关	kaiguan
开头	kaitou
武装	wuzhuang
开卷	kaijuan
开着	kaizhe
开单	kaidan
刑部	xingbu
开闸	kaizha
开端	kaiduan
武将	wujiang
青花瓷	qinghuaci
开立	kaili
开门	kaimen
开始	kaishi
开垦	kaiken
开建	kaijian
开创	kaichuang
开会	kaihui
武侠	wuxia
刑侦	xingzhen
形似	xingsi
形像	xingxiang
形体	xingti
五花八门	wuhuabamen
开价	kaijia
开化	kaihua
规范化	guifanhua
开花结果	kaihuajieguo
开张	kaizhang
开斋	kaizhai
青藏高原	qingzanggaoyuan
开讲	kaijiang
救世主	jiushizhu
开启	kaiqi
开房	kaifang
开户	kaihu
刑讯	xingxun
形迹	xingji
一劳永逸	yilaoyongyi
刑诉	xingsu
开放	kaifang
形旁	xingpang
开朗	kailang
开设	kaishe
两世为人	liangshiweiren
开方	kaifang
形式主义	xingshizhuyi
击节	jijie
击落	jiluo
屯聚	tunju
一阵阵	yizhenzhen
击破	jipo
一了百了	yiliaobailiao|yilebaile
事出有因	shichuyouyin
击毁	jihui
击鼓	jigu
青出于蓝	qingchuyulan
青出于蓝而胜于蓝	qingchuyulanershengyulan
严防死守	yanfangsishou
玻璃	boli
屯溪	tunxi
击水	jishui
击溃	jikui
击掌	jizhang
顿觉	dunjue
殃及池鱼	yangjichiyu
王阳明	wangyangming
顿时	dunshi
顿号	dunhao
击中	jizhong
顿足	dunzu
屯田	tuntian
互联网	hulianwang
击败	jibai
顿悟	dunwu
严阵以待	yanzhenyidai
击发	jifa
珠联璧合	zhulianbihe
屯粮	tunliang
一隅之地	yiyuzhidi
屯军	tunjun
一孔之见	yikongzhijian
迈阿密	maiami
击穿	jichuan
玻尔	boer
王子犯法庶民同罪	wangzifanfashumintongzui
政出多门	zhengchuduomen
屯扎	tunzha
击杀	jisha
顿挫	duncuo
屯兵	tunbing
五子棋	wuziqi
死皮赖脸	sipilailian
副院长	fuyuanzhang
现阶段	xianjieduan
顿首	dunshou
屯垦	tunken
击退	jitui
王孙公子	wangsungongzi
天随人愿	tiansuirenyuan
与子偕老	yuzixielao
击倒	jidao
击剑	jijian
五子登科	wuzidengke
求职信	qiuzhixin
击毙	jibi
万圣节	wanshengjie
玛雅	maya
玛莎	masha
致敬	zhijing
一物降一物	yiwuxiangyiwu|yiwujiangyiwu
致函	zhihan
到了	daole
斑驳陆离	banboluli
一对对	yiduidui
万马奔腾	wanmabenteng
互通有无	hutongyouwu
下马威	xiamawei
到达	daoda
到期	daoqi
静观其变	jingguanqibian
致力	zhili
至爱	zhiai
致胜	zhisheng
玩物丧志	wanwusangzhi
到过	daoguo
致远	zhiyuan
至于	zhiyu
一对一	yiduiyi
至理	zhili
一马平川	yimapingchuan
玛丽	mali
致死	zhisi
致残	zhican
到来	daolai
玛瑙	manao
至上	zhishang
至此	zhici
死马当活马医	simadanghuomayi
玛法	mafa
至少	zhishao
一马当先	yimadangxian
致电	zhidian
到岸	daoan
五台山	wutaishan
到账	daozhang
玛尼	mani
致以	zhiyi
到底	daodi
到家	daojia
致富	zhifu
致密	zhimi
万物之灵	wanwuzhiling
至多	zhiduo
下马看花	xiamakanhua
到手	daoshou
至极	zhiji
致辞	zhici
到处	daochu
至圣先师	zhishengxianshi
天马行空	tianmaxingkong
到头	daotou
亚特兰大	yatelanda
到站	daozhan
致意	zhiyi
至交	zhijiao
至亲	zhiqin
至尊	zhizun
至善	zhishan
致歉	zhiqian
至好	zhihao
致命	zhiming
致使	zhishi
五马分尸	wumafenshi
致伤	zhishang
到位	daowei
至人	zhiren
至今	zhijin
斑马线	banmaxian
至诚	zhicheng
致哀	zhiai
万马齐喑	wanmaqiyin
至高	zhigao
致词	zhici
致谢	zhixie
表达式	biaodashi
环节	huanjie
蚕茧	canjian
天蓬	tianpeng
天花	tianhua
天子	tianzi
下不了台	xiabuliaotai
天阴	tianyin
天际	tianji
环卫	huanwei
麦克阿瑟	maikease
天职	tianzhi
天阵	tianzhen
天降	tianjiang
天险	tianxian
来不及	laibuji
蚕桑	cansang
天圣	tiansheng
天马	tianma
天骄	tianjiao
天台	tiantai
来而不往非礼也	laierbuwangfeiliye
天大	tianda
麦克斯韦	maikesiwei
天有不测风云	tianyoubucefengyun
再而三	zaiersan
来历不明	lailibuming
天成	tiancheng
五大三粗	wudasancu
天有不测风云人有旦夕祸福	tianyoubucefengyunrenyoudanxihuofu
两面三刀	liangmiansandao
青春期	qingchunqi
王顾左右而言他	wangguzuoyoueryanta
死而不僵	sierbujiang
天龙	tianlong
一成不变	yichengbubian
天月	tianyue
环县	huanxian
天边	tianbian
天域	tianyu
天地	tiandi
天劫	tianjie
环城	huancheng
亘古未有	genguweiyou
事不过三	shibuguosan
来龙去脉	lailongqumai
天坛	tiantan
天干	tiangan
素面朝天	sumianchaotian
天真	tianzhen
天朝	tianchao
天井	tianjing
天雷	tianlei
吞声	tunsheng
天元	tianyuan
一石二鸟	yishierniao
天才	tiancai
环境	huanjing
天幸	tianxing
一大堆	yidadui
万寿无疆	wanshouwujiang
天壤	tianrang
环形	huanxing
天天	tiantian
一而再再而三	yierzaizaiersan
一而再再而三	yierzaizaiersan
天王	tianwang
环球	huanqiu
天下	tianxia
吞下	tunxia
天正	tianzheng
天理	tianli
蚕豆	candou
两码事	liangmashi
一而再	yierzai
一百万	yibaiwan
恶有恶报	eyouebao
天平	tianping
天上	tianshang
画龙点睛	hualongdianjing
死不瞑目	sibumingmu
天目	tianmu
形而上学	xingershangxue
天眼	tianyan
天鸿	tianhong
天池	tianchi
天波	tianbo
天泽	tianze
天涯	tianya
天光	tianguang
一碗水端平	yiwanshuiduanping
弄不清	nongbuqing
一石激起千层浪	yishijiqiqiancenglang
天水	tianshui
正大光明	zhengdaguangming
一不小心	yibuxiaoxin
天堂	tiantang
天河	tianhe
天渊	tianyuan
天津	tianjin
吞没	tunmo
环游	huanyou
环流	huanliu
天虹	tianhong
蚕蛹	canyong
天明	tianming
天时	tianshi
天晴	tianqing
天师	tianshi
一大早	yidazao
天蝎	tianxie
蚕蛾	cane
天顺	tianshun
吞吐	tuntu
天足	tianzu
天路	tianlu
吞咽	tunyan
死不足惜	sibuzuxi
吞噬	tunshi
天黑	tianhei
天罡	tiangang
天国	tianguo
天车	tianche
天罗	tianluo
天堑	tianqian
平面图	pingmiantu
天界	tianjie
亚历山大	yalishanda
天赋	tianfu
天赐	tianci
天山	tianshan
环山	huanshan
求大同存小异	qiudatongcunxiaoyi
天网	tianwang
一厢情愿	yixiangqingyuan
天恒	tianheng
天翼	tianyi
天书	tianshu
天不怕地不怕	tianbupadibupa
死不悔改	sibuhuigai
天性	tianxing
正确性	zhengquexing
天心	tianxin
天火	tianhuo
环烷	huanwan
天底	tiandi
天麻	tianma
天魔	tianmo
天庭	tianting
天数	tianshu
天府	tianfu
天宏	tianhong
天宇	tianyu
天宝	tianbao
环宇	huanyu
天宫	tiangong
事不宜迟	shibuyichi
天灾	tianzai
天牢	tianlao
一面之交	yimianzhijiao
天空	tiankong
天窗	tianchuang
天穹	tianqiong
一面之缘	yimianzhiyuan
环视	huanshi
一面之词	yimianzhici
天神	tianshen
天福	tianfu
青面獠牙	qingmianliaoya
天色	tianse
天然	tianran
珠三角	zhusanjiao
天外	tianwai
天象	tianxiang
天逸	tianyi
一不留神	yibuliushen
天猫	tianmao
天狗	tiangou
天煞	tiansha
天授	tianshou
天皇	tianhuang
瑕不掩瑜	xiabuyanyu
死而后已	sierhouyi
环抱	huanbao
天鬼	tiangui
天气	tianqi
环氧	huanyang
天极	tianji
天顶	tianding
天桥	tianqiao
天梯	tianti
天机	tianji
素不相识	subuxiangshi
天柱	tianzhu
天长	tianchang
天敌	tiandi
殊不知	shubuzhi
天竺	tianzhu
天生	tiansheng
天年	tiannian
万古长青	wanguchangqing
青春年少	qingchunnianshao
天香	tianxiang
万不得已	wanbudeyi
死灰复燃	sihuifuran
天鹅	tiane
天籁	tianlai
死而复生	sierfusheng
天敏	tianmin
吞并	tunbing
环状	huanzhuang
天关	tianguan
事不关己高高挂起	shibuguanjigaogaoguaqi
事不关己高高挂起	shibuguanjigaogaoguaqi
一大半	yidaban
青春痘	qingchundou
天意	tianyi
天问	tianwen
事不关己	shibuguanji
天翔	tianxiang
天资	tianzi
天尊	tianzun
天道	tiandao
天阙	tianque
天冷	tianleng
天门	tianmen
天娱	tianyu
天女	tiannv
天公	tiangong
死有余辜	siyouyugu
天使	tianshi
天命	tianming
环保	huanbao
天仙	tianxian
麦克风	maikefeng
天父	tianfu
天体	tianti
玉石俱焚	yushijufen
天不作美	tianbuzuomei
天龙八部	tianlongbabu
天分	tianfen
天价	tianjia
天伦	tianlun
一不做二不休	yibuzuoerbuxiu
一不做二不休	yibuzuoerbuxiu
蚕食	canshi
吞食	tunshi
事在人为	shizairenwei
环绕	huanrao
万有引力	wanyouyinli
天线	tianxian
环线	huanxian
蚕丝	cansi
环比	huanbi
万丈高楼平地起	wanzhanggaoloupingdiqi
天主	tianzhu
天语	tianyu
天谴	tianqian
两不误	liangbuwu
天高	tiangao
天启	tianqi
天亮	tianliang
天帝	tiandi
表面文章	biaomianwenzhang
下不为例	xiabuweili
正确率	zhengquelv
天文	tianwen
青藏	qingzang
青工	qinggong
青苔	qingtai
青菜	qingcai
青草	qingcao
青莲	qinglian
青苗	qingmiao
青黄	qinghuang
青葱	qingcong
环肥燕瘦	huanfeiyanshou
青蒿	qinghao
青阳	qingyang
逐出	zhuchu
表皮	biaopi
瑶台	yaotai
静观	jingguan
静物	jingwu
青石	qingshi
表面	biaomian
青灰	qinghui
表达	biaoda
一毛不拔	yimaobuba
青春	qingchun
青龙	qinglong
静态	jingtai
表态	biaotai
逐月	zhuyue
青县	qingxian
一股脑儿	yigunaoer
静脉	jingmai
天悬地隔	tianxuandige
青云	qingyun
青城	qingcheng
表土	biaotu
表示	biaoshi
青天	qingtian
静静	jingjing
万用表	wanyongbiao
青青	qingqing
瑶瑶	yaoyao
致力于	zhiliyu
逐一	zhuyi
表现	biaoxian
瑷珲	aihui
青玉	qingyu
青睐	qinglai
逐步	zhubu
静止	jingzhi
表叔	biaoshu
青眼	qingyan
青紫	qingzi
瑶池	yaochi
静水	jingshui
逐渐	zhujian
表演	biaoyan
青浦	qingpu
青海	qinghai
青蛙	qingwa
表里	biaoli
逐日	zhuri
静电	jingdian
青蛇	qingshe
青果	qingguo
静听	jingting
青史	qingshi
青川	qingchuan
静默	jingmo
靓车	liangche
青田	qingtian
青轴	qingzhou
静思	jingsi
亚力山大	yalishanda
青山	qingshan
青峰	qingfeng
表层	biaoceng
表情	biaoqing
静心	jingxin
青翠	qingcui
麦乳精	mairujing
青灯	qingdeng
逐鹿	zhulu
表字	biaozi
王力宏	wanglihong
青冢	qingzhong
逐客	zhuke
青衫	qingshan
静安	jingan
青色	qingse
青鸟	qingniao
青鱼	qingyu
表象	biaoxiang
逐句	zhuju
表名	biaoming
青岛	qingdao
青铜	qingtong
表扬	biaoyang
表白	biaobai
两肋插刀	liangleichadao
一脉相承	yimaixiangcheng
青椒	qingjiao
表相	biaoxiang
表哥	biaoge
青楼	qinglou
青木	qingmu
表格	biaoge
青梅	qingmei
青松	qingsong
表述	biaoshu
表笔	biaobi
青年	qingnian
逐年	zhunian
表征	biaozheng
逐行	zhuhang|zhuxing
青竹	qingzhu
逐臭	zhuchou
逐利	zhuli
青稞	qingke
表盘	biaopan
表头	biaotou
五脏六腑	wuzangliufu
静美	jingmei
静音	jingyin
表彰	biaozhang
表单	biaodan
表决	biaojue
逐次	zhuci
青瓷	qingci
靓妆	jingzhuang
表弟	biaodi
表姑	biaogu
表姐	biaojie
表妹	biaomei
青黛	qingdai
靓仔	liangzai
一边倒	yibiandao
表侄	biaozhi
逐个	zhuge
静坐	jingzuo
五脏俱全	wuzangjuquan
青红	qinghong
逐级	zhuji
青纱	qingsha
青绿	qinglv
青丝	qingsi
五彩缤纷	wucaibinfen
青衣	qingyi
表计	biaoji
表语	biaoyu
静谧	jingmi
瑶族	yaozu
表率	biaoshuai
死无葬身之地	siwuzangshenzhidi
曹雪芹	caoxueqin
事无巨细	shiwujuxi
