阿巴斯派	abasipai
七层宝矿	qicengbaokuang
七层地狱	qicengdiyu
七党联盟	qidanglianmeng
祈祷词	qidaoci
七段伊玛尼	qiduanyimani
祁静一遗训	qijingyiyixun
齐克尔	qikeer
齐勒坦传	qiletanchuan
乞勒坦麻札	qiletanmazha
齐米	qimi
祈求真主回赐	qiqiuzhenzhuhuici
七思惧	qisiju
契斯提教团	qisitijiaotuan
齐亚尼教团	qiyanijiaotuan
七伊玛目派	qiyimamupai
契约继承人	qiyuejichengren
七斋	qizhai
起指	qizhi
迁士	qianshi
佥议	qianyi
谴责派	qianzepai
切莱比	qielaibi
亲赐	qinci
勤炼人	qinlianren
钦圣	qinsheng
清净教运动	qingjingjiaoyundong
情人集	qingrenji
情人篇	qingrenpian
清真根源	qingzhengenyuan
清真教考	qingzhenjiaokao
清真教说	qingzhenjiaoshuo
清真牌	qingzhenpai
清真普寿寺	qingzhenpushousi
清真寺	qingzhensi
清真寺判例	qingzhensipanli
清真通俗歌	qingzhentongsuge
清真香	qingzhenxiang
清真醒世篇	qingzhenxingshipian
清真学社	qingzhenxueshe
清真言	qingzhenyan
清真要义	qingzhenyaoyi
清真正学	qingzhenzhengxue
清真至理	qingzhenzhili
区别教义	qubiejiaoyi
曲索麻	qusuoma
曲学	quxue
权威教义	quanweijiaoyi
泉州灵山圣墓	quanzhoulingshanshengmu
群书汇辑释疑	qunshuhuijishiyi
热衣斯	reyisi
热衣斯制	reyisizhi
人极	renji
人类史纲要	renleishigangyao
认亲继承人	renqinjichengren
人身监护	renshenjianhu
人仙神鬼说	renxianshenguishuo
认一学	renyixue
人主合一	renzhuheyi
人主合一论	renzhuheyilun
认主学	renzhuxue
肉身派	roushenpai
肉身说	roushenshuo
肉孜节	rouzijie
萨班派	sabanpai
萨比教徒	sabijiaotu
萨多查依王朝	saduochayiwangchao
萨法尔	safaer
萨法尔王朝	safaerwangchao
萨非王朝	safeiwangchao
撒哈比	sahabi
撒金豆	sajindou
撒拉回	salahui
撒拉教	salajiao
撒拉姆	salamu
萨拉森帝国	salasendiguo
撒拉森人	salasenren
撒拉特	salate
撒立哈	saliha
萨里姆派	salimupai
萨里姆学派	salimuxuepai
萨曼教团	samanjiaotuan
萨曼王朝	samanwangchao
撒米里	samili
赛阿德判例	saiadepanli
赛巴伊派	saibayipai
塞白	saibai
赛拜布	saibaibu
赛百布	saibaibu
赛伯邑	saiboyi
赛尔德教团	saierdejiaotuan
塞尔柱帝国	saierzhudiguo
塞尔柱王朝	saierzhuwangchao
塞基发会议	saijifahuiyi
赛莱菲亚派	sailaifeiyapai
赛莱菲耶	sailaifeiye
赛俩目	sailiamu
赛玛	saima
赛莫德	saimode
赛母德	saimude
塞那	saina
赛努西教团	sainuxijiaotuan
赛努西王朝	sainuxiwangchao
赛努西运动	sainuxiyundong
赛哇布	saiwabu
赛义德王朝	saiyidewangchao
散班阿訇	sanbanahong
三程	sancheng
三大经学	sandajingxue
三大障碍	sandazhangai
三大正事	sandazhengshi
三道制	sandaozhi
三德十行	sandeshihang
三分之德	sanfenzhide
三极之学	sanjizhixue
三君子	sanjunzi
散课	sanke
三品十条	sanpinshitiao
三十程	sanshicheng
三抬教派	santaijiaopai
三王之战	sanwangzhizhan
三位穆罕默德	sanweimuhanmode
三心七品	sanxinqipin
三亚清真古寺	sanyaqingzhengusi
三亚清真南寺	sanyaqingzhennansi
三掌教制	sanzhangjiaozhi
三字归一	sanziguiyi
桑给巴尔王国	sangjibaerwangguo
桑尼王朝	sangniwangchao
色兰	selan
色俩目	seliangmu|seliamu
沙便人	shabianren
莎车大寺	shachedasi
沙德尔	shadeer
沙法维教团	shafaweijiaotuan
沙法维王朝	shafaweiwangchao
沙斐仪学派	shafeiyixuepai
沙沟门宦	shagoumenhuan
沙贾汉清真寺	shajiahanqingzhensi
沙金达清真寺	shajindaqingzhensi
沙克开	shakekai
沙里哈	shaliha
沙利赫教团	shalihejiaotuan
沙里西派	shalixipai
沙里亚	shaliya
沙里亚法	shaliyafa
沙里亚法庭	shaliyafating
沙曼尼教团	shamannijiaotuan
沙迷赖人	shamilairen
沙塔里教团	shatalijiaotuan
沙兹里教团	shazilijiaotuan
沙孜林耶	shazilinye
晒依陀尼	shaiyituoni
善功	shangong
山中老人	shanzhonglaoren
晌礼	shangli
上苫单	shangshandan
稍麻寺	shaomasi
邵武清真寺	shaowuqingzhensi
舍哈代台	shehadaitai
社会进步党	shehuijinbudang
舍里阿	shelia
射石	sheshi
舍西德	shexide
舍希德	shexide
涉疑	sheyi
神爱论	shenailun
神光论	shenguanglun
神秘论者园地	shenmilunzheyuandi
神秘主义注释	shenmizhuyizhushi
神秘宗教剧	shenmizongjiaoju
渗渗泉	shenshenquan
神圣界	shenshengjie
神圣信条	shenshengxintiao
神圣义务运动	shenshengyiwuyundong
沈阳清真南寺	shenyangqingzhennansi
神旨	shenzhi
神智	shenzhi
神旨变换说	shenzhibianhuanshuo
神智论	shenzhilun
神智宇宙论	shenzhiyuzhoulun
圣会	shenghui
圣忌	shengji
圣纪	shengji
圣洁者	shengjiezhe
圣洁之园	shengjiezhiyuan
圣门弟子	shengmendizi
圣门弟子团	shengmendizituan
圣人	shengren
圣寺	shengsi
圣徒崇拜	shengtuchongbai
圣徒列传	shengtuliezhuan
圣徒受难戏	shengtushounanxi
圣贤传	shengxianchuan
圣学重光	shengxuechongguang
圣训	shengxun
圣训辨异	shengxunbianyi
圣训废止说	shengxunfeizhishuo
圣训集	shengxunji
圣训经	shengxunjing
圣训律例	shengxunlvli
圣训派	shengxunpai
圣训实录	shengxunshilu
圣训学	shengxunxue
圣训易读	shengxunyidu
圣训珠玑	shengxunzhuji
圣裔	shengyi
圣友寺	shengyousi
圣战者运动	shengzhanzheyundong
圣治	shengzhi
圣智者	shengzhizhe
圣族	shengzu
事阿訇	shiahong
十八段	shibaduan
十八千世界	shibaqianshijie
侍从长	shicongchang
时代瑰宝	shidaiguibao
时代之主	shidaizhizhu
十二伊玛目派	shieryimamupai
十六遵行	shiliuzunxing
释奴	shinu
诗人传记大全	shirenzhuanjidaquan
十三本	shisanben
十圣人	shishengren
施师	shishi
十四本	shisiben
十项主命	shixiangzhuming
示形礼拜	shixinglibai
史选	shixuan
誓言保证	shiyanbaozheng
十叶派继承法	shiyepaijichengfa
十叶派世纪	shiyepaishiji
什一税	shiyishui
使者与帝王史	shizheyudiwangshi
石嘴山清真寺	shizuishanqingzhensi
受谴责派	shouqianzepai
寿县清真寺	shouxianqingzhensi
守制期	shouzhiqi
舒阿卜	shuabo|shuabu
书尔布	shuerbu
属迷	shumi
属性派	shuxingpai
属性之美名	shuxingzhimeiming
甩得盖	shuaidegai
双重买卖	shuangchongmaimai
双角人	shuangjiaoren
四大哈里发	sidahalifa
四大幔帐	sidamanzhang
四大天使	sidatianshi
寺坊	sifang
死后复活	sihoufuhuo
四角乡老	sijiaoxianglao
四教要括	sijiaoyaokuo
四篇要道	sipianyaodao
四任代理	sirendaili
私人瓦克夫	sirenwakefu
四任维卡拉	sirenweikala
寺师傅	sishifu
四统	sitong
私通罪	sitongzui
斯瓦希里文化	siwaxiliwenhua
四伊玛目传	siyimamuchuan
送阿訇	songahong
诵经家	songjingjia
苏丹哈桑寺	sudanhasangsi
苏丹乌玛党	sudanwumadang
苏丹之律令	sudanzhilvling
苏尔斯体	suersiti
苏非	sufei
苏非教团	sufeijiaotuan
苏非教义	sufeijiaoyi
苏非派	sufeipai
苏非派教制	sufeipaijiaozhi
苏非主义	sufeizhuyi
苏富扬人	sufuyangren
苏拉巴迪经注	sulabadijingzhu
苏莱曼	sulaiman
素赖曼	sulaiman
苏莱曼派	sulaimanpai
苏莱曼游记	sulaimanyouji
苏力坦麻札	sulitanmazha
苏玛特派	sumatepai
宿命论派	suminglunpai
苏欧布运动	suoubuyundong
苏派	supai
苏皮	supi
素瓦尔	suwaer
随法提	suifati
隋芬之战	suifenzhizhan
笋乃台	sunnaitai
索哈百	suohabai
索科托苏丹国	suoketuosudanguo
索嘞	suole
索马里家庭法	suomalijiatingfa
塔百里史	tabailishi
塔比尔	tabier
塔布克之战	tabukezhizhan
塔格利德	tagelide
塔格利德派	tagelidepai
塔古特	tagute
塔哈维派	tahaweipai
塔基亚	tajiya
塔克鲁尔王国	takeluerwangguo
塔拉格	talage
塔里布	talibu
塔鲁特	talute
塔什干起义	tashiganqiyi
塔希尔王朝	taxierwangchao
塔伊夫之战	tayifuzhizhan
泰安清真寺	taianqingzhensi
台北清真大寺	taibeiqingzhendasi
太甫绥鲁	taifusuilu
台哈勒麦	taihalemai
太哈秘德	taihamide
泰姬玛哈尔	taijimahaer
太克毕雷	taikebilei
太可瓦克夫地	taikewakefudi
太萨伍夫	taisawufu
台思迷	taisimi
台斯米	taisimi
太思米叶	taisimiye
台土卧	taituwo
泰亚蒙	taiyameng
台伊布传道会	taiyibuchuandaohui
台伊布教义	taiyibujiaoyi
台伊布派	taiyibupai
太原清真古寺	taiyuanqingzhengusi
台子寺	taizisi
太兹伊尔	taiziyier
坦吉麦特	tanjimaite
探泉	tanquan
探索之路	tansuozhilu
汤牌	tangpai
汤瓶	tangping
讨白	taobai
讨菲盖	taofeigai
陶菲戈	taofeige
讨黑德	taoheide
讨拉特	taolate
陶立嘎	taoliga
陶醉者	taozuizhe
特别代理人	tebiedailiren
特慈	teci
特拉威哈	telaweiha
特斯必赫	tesibihe
替代说	tidaishuo
提加尼教团	tijianijiaotuan
体一	tiyi
天方教	tianfangjiao
天方三字经	tianfangsanzijing
天方圣教序	tianfangshengjiaoxu
天方诗经	tianfangshijing
天方字母解义	tianfangzimujieyi
天国剧	tianguoju
天降筵席	tianjiangyanxi
天津清真大寺	tianjinqingzhendasi
天使界	tianshijie
天仙	tianxian
天园圣灵	tianyuanshengling
听诉法庭	tingsufating
通贵门宦	tongguimenhuan
统教	tongjiao
通俗经典注释	tongsujingdianzhushi
同心清真大寺	tongxinqingzhendasi
偷盗罪	toudaozui
图白	tubai
土耳其救国党	tuerqijiuguodang
土耳其统一党	tuerqitongyidang
图尔战役	tuerzhanyi
图格拉体	tugelati
图格鲁克王朝	tugelukewangchao
土净	tujing
图伦王朝	tulunwangchao
图马尼派	tumanipai
图哇	tuwa
吐峪沟拱北	tuyugougongbei
推定守寡	tuidingshougua
推定死亡	tuidingsiwang
托钵僧	tuoboseng
托隆卡瓦	tuolongkawa
托罗贝	tuoluobei
托茂人	tuomaoren
托吾鲁克麻札	tuowulukemazha
瓦达阿德	wadaade
瓦尔兹	waerzi
瓦哈比派	wahabipai
瓦哈比派运动	wahabipaiyundong
穵哈德特	wahadete
挖哈一	wahayi
瓦吉布	wajibu
瓦基尔	wajier
瓦基法派	wajifapai
瓦克夫	wakefu
瓦克夫地	wakefudi
瓦克夫法	wakefufa
瓦克夫经管人	wakefujingguanren
瓦克夫期限	wakefuqixian
瓦克夫受益人	wakefushouyiren
瓦拉亚	walaya
瓦里阿赫德	waliahede
瓦利安拉	walianla
瓦伊索夫派	wayisuofupai
外邦克	waibangke
外五常	waiwuchang
外学	waixue
宛葛思墓	wangesimu
完满性	wanmanxing
完人论	wanrenlun
完人之书	wanrenzhishu
亡人	wangren
望月楼	wangyuelou
卫道经解	weidaojingjie
伟嘎业	weigaye
维卡拉	weikala
维卡亚教法	weikayajiaofa
维拉亚	weilaya
唯能力论	weinenglilun
委派制	weipaizhi
委权说	weiquanshuo
伟人之园	weirenzhiyuan
伪士	weishi
伟特雷	weitelei
卫特礼	weiteli
委托休妻	weituoxiuqi
伪先知	weixianzhi
唯信德论	weixindelun
伪训	weixun
韦州清真大寺	weizhouqingzhendasi
吻拜	wenbai
文麦台	wenmaitai
渥都	wodou
卧尔兹	woerzi
卧各夫	wogefu
倭马亚清真寺	womayaqingzhensi
倭马亚王朝	womayawangchao
乌巴德派	wubadepai
无常	wuchang
武昌清真寺	wuchangqingzhensi
五大本	wudaben
五典	wudian
五番拜	wufanbai
无方式信条	wufangshixintiao
五更月	wugengyue
五功	wugong
五功释义	wugongshiyi
五观清	wuguanqing
伍侯德之战	wuhoudezhizhan
吾吉麦麻札	wujimaimazha
吴鉴清净寺记	wujianqingjingsiji
吾里	wuli
乌里玛	wulima
伍麦叶王朝	wumaiyewangchao
五圣界	wushengjie
五圣界说	wushengjieshuo
五圣书	wushengshu
五时三会	wushisanhui
乌斯里	wusili
务思立	wusili
勿斯里	wusili
乌苏尔	wusuer
乌苏尔学派	wusuerxuepai
乌苏勒	wusule
乌韦斯教团	wuweisijiaotuan
乌吾斯传	wuwusichuan
五仙马	wuxianma
诬陷私通罪	wuxiansitongzui
无效婚姻	wuxiaohunyin
无伊玛目教义	wuyimamujiaoyi
乌札	wuzha
五种行为规范	wuzhongxingweiguifan
无字真经歌	wuzizhenjingge
希巴拉	xibala
析产	xichan
希大亚教法	xidayajiaofa
西道堂	xidaotang
西哈胡西塔	xihahuxita
希吉拉	xijila
希吉拉历	xijilali
希拉山洞	xilashandong
西来宗谱	xilaizongpu
西浪瓦克夫地	xilangwakefudi
锡斯坦史	xisitanshi
希亚沙沙里亚	xiyashashaliya
希只尔	xizhier
希兹布	xizibu
夏赫散买吉提	xiahesanmaijiti
狭经	xiajing
先买权	xianmaiquan
鲜门门宦	xianmenmenhuan
现象一元论	xianxiangyiyuanlun
先知	xianzhi
先知故事集	xianzhigushiji
先知寺	xianzhisi
限制童婚法	xianzhitonghunfa
先知无罪教义	xianzhiwuzuijiaoyi
先知之城	xianzhizhicheng
相对隐密世界	xiangduiyinmishijie
响坟	xiangfen
象军	xiangjun
乡老	xianglao
象年	xiangnian
详史	xiangshi
乡约制	xiangyuezhi
小儿锦	xiaoerjin
小净	xiaojing
宵礼	xiaoli
小麦加	xiaomaijia
小皮院清真寺	xiaopiyuanqingzhensi
小桃园清真寺	xiaotaoyuanqingzhensi
小隐遁	xiaoyindun
谢赫学派	xiehexuepai
谢里夫王朝	xielifuwangchao
写作启明	xiezuoqiming
新罕百里派	xinhanbailipai
信后世	xinhoushi
心见	xinjian
信禁	xinjin
新凯拉姆	xinkailamu
新圣训派	xinshengxunpai
新史	xinshi
信士传	xinshichuan
信士修行之道	xinshixiuxingzhidao
新苏非派	xinsufeipai
信徒之坦途	xintuzhitantu
新兴派	xinxingpai
新汛史录	xinxunshilu
信仰学	xinyangxue
醒回篇	xinghuipian
形界	xingjie
性理本经注释	xinglibenjingzhushi
醒迷要录	xingmiyaolu
性命宗旨	xingmingzongzhi
行为指南	xingweizhinan
雄辩之路	xiongbianzhilu
雄辩之路注	xiongbianzhiluzhu
修辞之坦途	xiucizhitantu
修建天房传说	xiujiantianfangchuanshuo
羞体	xiuti
修真蒙引	xiuzhenmengyin
酗酒罪	xujiuzui
续认	xuren
续圣洁之园	xushengjiezhiyuan
虚位殡礼	xuweibinli
宣邦克	xuanbangke
宣化清真北寺	xuanhuaqingzhenbeisi
宣化清真南寺	xuanhuaqingzhennansi
宣礼	xuanli
宣礼楼	xuanlilou
宣礼员	xuanliyuan
选聘制	xuanpinzhi
选择期	xuanzeqi
学董	xuedong
血金	xuejin
寻道者	xundaozhe
殉教者园地	xunjiaozheyuandi
逊奈	xunnai
逊奈和大众派	xunnaihedazhongpai
逊尼派继承法	xunnipaijichengfa
逊尼苏非学派	xunnisufeixuepai
循序礼拜	xunxulibai
雅非斯	yafeisi
雅古柏	yagubai
雅穆克之战	yamukezhizhan
亚齐苏丹国	yaqisudanguo
亚齐战争	yaqizhanzheng
崖头门宦	yatoumenhuan
雅朱者	yazhuzhe
雅兹里布	yazilibu
岩石清真寺	yanshiqingzhensi
洋行清真寺	yanghangqingzhensi
摇头派	yaotoupai
叶尔孤白	yeergubai
耶尔穆克之战	yeermukezhizhan
叶哈雅	yehaya
耶海雅	yehaiya
耶乎德	yehude
叶欧格	yeouge
耶提木买吉提	yetimumaijiti
叶巫斯	yewusi
伊巴达特	yibadate
易巴德王朝	yibadewangchao
伊巴哈派	yibahapai
伊巴希叶派	yibaxiyepai
伊布拉欣	yibulaxin
易卜力斯	yibulisi
易卜劣厮	yibuliesi
依禅	yichan
依禅来尔	yichanlaier
依禅派	yichanpai
依达耶提传	yidayetichuan
一德理师	yidelishi
易德里斯	yidelisi
伊德里斯教团	yidelisijiaotuan
伊德里斯王朝	yidelisiwangchao
益都真教寺	yiduzhenjiaosi
伊儿汗国	yierhanguo
伊儿汗历	yierhanli
易夫里特	yifulite
伊赫什德王朝	yiheshendewangchao
伊合瓦尼	yihewani
意见派	yijianpai
意见注释	yijianzhushi
伊赖姆	yilaimu
易勒雅斯	yileyasi
伊历	yili
益路	yilu
伊銮	yiluan
伊玛目	yimamu
伊玛目代理人	yimamudailiren
伊玛目反对者	yimamufanduizhe
伊玛目教义	yimamujiaoyi
伊玛目派	yimamupai
伊玛目追随者	yimamuzhuisuizhe
伊玛尼	yimani
仪姆兰	yimulan
伊宁回族大寺	yininghuizudasi
伊宁塔塔尔寺	yiningtataersi
伊赛夫	yisaifu
伊沙维教团	yishaweijiaotuan
以石击毙刑	yishijibixing
伊斯法罕学派	yisifahanxuepai
伊斯哈格	yisihage
易司哈格	yisihage
伊斯哈格派	yisihagepai
伊斯坎达尔	yisikandaer
伊斯拉非来	yisilafeilai
易司拉仪	yisilayi
伊斯兰	yisilan
伊斯兰促进会	yisilancujinhui
伊斯兰法庭	yisilanfating
伊斯兰复兴	yisilanfuxing
伊斯兰共和党	yisilangonghedang
伊斯兰国家	yisilanguojia
伊斯兰教	yisilanjiao
伊斯兰教法	yisilanjiaofa
伊斯兰教概论	yisilanjiaogailun
伊斯兰教历	yisilanjiaoli
伊斯兰教长老	yisilanjiaozhanglao
伊斯兰教哲学	yisilanjiaozhexue
伊斯兰金融	yisilanjinrong
伊斯兰经济	yisilanjingji
伊斯兰经济学	yisilanjingjixue
伊斯兰社会主义	yisilanshehuizhuyi
伊斯兰宪法	yisilanxianfa
伊斯兰研究会	yisilanyanjiuhui
伊斯兰政府	yisilanzhengfu
伊斯俩目	yisiliamu
伊斯玛仪	yisimayi
易司马仪	yisimayi
伊斯玛仪教团	yisimayijiaotuan
伊斯玛依莱	yisimayilai
伊斯玛仪派	yisimayipai
依斯目咱提	yisimuzanti
伊斯纳德	yisinade
伊斯提哈桑	yisitihasang
伊斯提斯哈伯	yisitisihabo
伊斯提斯拉赫	yisitisilahe
以体哈德	yitihade
义务遗嘱	yiwuyizhu
一用学	yiyongxue
意欲	yiyu
遗赠继承人	yizengjichengren
伊扎布	yizhabu
依札布	yizhabu
依札孜	yizhazi
易真	yizhen
伊制玛尔	yizhimaer
伊智提哈德	yizhitihade
意志自由论	yizhiziyoulun
遗嘱处分法	yizhuchufenfa
伊兹拉伊来	yizilayilai
印巴分治决议	yinbafenzhijueyi
隐遁教义	yindunjiaoyi
隐遁井	yindunjing
隐遁室	yindunshi
隐遁伊玛目	yindunyimamu
隐遁之门	yindunzhimen
印尼穆斯林党	yinnimusilindang
印沙安拉	yinshaanla
因善安拉	yinshananla
隐意	yinyi
引支勒	yinzhile
永乐五年敕谕	yonglewunianchiyu
游坟	youfen
有经人	youjingren
优努斯	younusi
优努思出无难	younusichuwunan
优努斯派	younusipai
优舍阿	youshea
犹太教式注释	youtaijiaoshizhushi
油香	youxiang
有效婚姻	youxiaohunyin
余产	yuchan
育人圣道	yurenshengdao
喻世书信集	yushishuxinji
于阗宗教战争	yutianzongjiaozhanzheng
宇宙精神	yuzhoujingshen
宇宙灵魂	yuzhoulinghun
愿安拉回赐你	yuananlahuicini
圆顶清真寺	yuandingqingzhensi
圆经	yuanjing
远亲继承人	yuanqinjichengren
远寺	yuansi
原型界	yuanxingjie
约定聘礼	yuedingpinli
乐府集成	yuefujicheng
乐府诗集	yuefushiji
月即别汗国	yuejibiehanguo
宰逋尔	zaibuer
再传弟子	zaichuandizi
栽德派	zaidepai
栽德派起义	zaidepaiqiyi
栽德王朝	zaidewangchao
宰卡提	zaikati
宰凯里雅	zaikailiya
宰洛祈福礼	zailuoqifuli
宰牲	zaisheng
宰牲节	zaishengjie
再世说	zaishishuo
仔雅墩事件	ziyadunshijian|zaiyadunshijian
赞德王朝	zandewangchao
赞吉起义	zanjiqiyi
赞吉王朝	zanjiwangchao
赞念	zannian
赞许性	zanxuxing
赞珠	zanzhu
早期教法学派	zaoqijiaofaxuepai
赠与人	zengyuren
扎卡利亚陵墓	zhakaliyalingmu
札卡特	zhakate
札维亚	zhaweiya
札希尔学派	zhaxierxuepai
扎西来	zhaxilai
斋功	zhaigong
斋戒	zhaijie
翟克赁亚	zhaikelinya
斋月	zhaiyue
站拱北者	zhangongbeizhe
占乃提	zhannaiti
斩首刑	zhanshouxing
沾沾	zhanzhan
战争地区	zhanzhengdiqu
掌灯人	zhangdengren
掌教制	zhangjiaozhi
掌学阿訇	zhangxueahong
照明学派	zhaomingxuepai
罩幕	zhaomu
爪哇战争	zhaowazhanzheng
昭微经	zhaoweijing
昭元秘诀	zhaoyuanmijue
哲布勒伊来	zhebuleyilai
哲德沙尔汗国	zhedeshaerhanguo
哲罕南木	zhehannanmu
哲合林耶	zhehelinye
哲理大全	zhelidaquan
者俩来尼经注	zhelianglainijingzhu|zhelialainijingzhu
哲麻尔提	zhemaerti
者那再	zhenazai
者那则	zhenaze
珍宝集	zhenbaoji
真赐	zhenci
真功发微	zhengongfawei
真光闪耀	zhenguangshanyao
真教说	zhenjiaoshuo
真教寺碑记	zhenjiaosibeiji
真境花园	zhenjinghuayuan
真理之园	zhenlizhiyuan
镇尼	zhenni
真义探讨	zhenyitantao
真忠	zhenzhong
真主	zhenzhu
真主回赐	zhenzhuhuici
珍珠清真寺	zhenzhuqingzhensi
真主世界	zhenzhushijie
正变	zhengbian
正朝	zhengchao
正道派	zhengdaopai
正教理论	zhengjiaolilun
正教论	zhengjiaolun
拯救论	zhengjiulun
证人信誉	zhengrenxinyu
正堂禁碑	zhengtangjinbei
正统哈里发	zhengtonghalifa
政治论	zhengzhilun
治安法庭	zhianfating
滞布特	zhibute
至诚之征	zhichengzhizheng
治坊阿訇	zhifangahong
知感	zhigan
知感安拉	zhigananla
智慧馆	zhihuiguan
直解学派	zhijiexuepai
知认	zhiren
至仁主	zhirenzhu
止一之光	zhiyizhiguang
中阿初婚	zhongachuhun
中断期	zhongduanqi
中国回教公会	zhongguohuijiaogonghui
中国回教史	zhongguohuijiaoshi
中国回教史鉴	zhongguohuijiaoshijian
中国回教小史	zhongguohuijiaoxiaoshi
中国回教协会	zhongguohuijiaoxiehui
中国回教学会	zhongguohuijiaoxuehui
中华回教公会	zhonghuahuijiaogonghui
周期圣职史	zhouqishengzhishi
朱迭	zhudie
朱乎得忒	zhuhudete|zhuhudetei
助勒基福勒	zhulejifule
主麻	zhuma
主麻拜	zhumabai
主麻日	zhumari
祝天大赞集解	zhutiandazanjijie
祝延圣寿	zhuyanshengshou
朱兹	zhuzi
转白拉提	zhuanbailati
转化制	zhuanhuazhi
转香炉	zhuanxianglu
酌定刑	zhuodingxing
擢升者	zhuoshengzhe
榟橔清真大寺	zidunqingzhendasi
孜那买克他甫	zinamaiketafu
自羊王朝	ziyangwangchao
自由思想派	ziyousixiangpai
总传教师	zongchuanjiaoshi
总教法官	zongjiaofaguan
宗教轨仪	zongjiaoguiyi
宗教信仰论	zongjiaoxinyanglun
宗教原理	zongjiaoyuanli
总信	zongxin
租立格尔乃尼	zuligeernaini
最长妊娠期	zuichangrenshenqi
最短妊娠期	zuiduanrenshenqi
遵法派	zunfapai
遵古教	zungujiao
左勒盖尔奈英	zuolegaiernaiying
左农	zuonong
作证词	zuozhengci
阿代	adai
阿丹	adan
阿德	ade
阿扎尔	azhaer
巴尔	baer
丛林的居民	conglindejumin
达伍德的迷误	dawudedemiwu
洞中人	dongzhongren
杜瓦	duwa
尔撒的预言	ersadeyuyan
法老	falao
哈鲁特	halute
哈伦	halun
哈曼	haman
好娃	haowa
胡德	hude
黄牛	huangniu
精灵	jingling
拉特	late
兰斯	lansi
鲁姆	lumu
鲁特	lute
马立克	malike
麦嘎姆麦哈茂德	maigamumaihamaode
穆萨的奇迹	musadeqiji
穆萨的约定	musadeyueding
努哈	nuha
七人一狗	qirenyigou
撒旦	sadan
苏莱曼的智慧	sulaimandezhihui
图尔	tuer
瓦德	wade
旺德	wangde
希兹尔	xizier
夜行	yexing
易卜拉欣	yibulaxin
易卜拉欣立足地	yibulaxinlizudi
以色列的后裔	yiseliedehouyi
幼年的尔撒	youniandeersa
优素福	yousufu
朱迪	zhudi
阿尔冬鲁克麻札	aerdonglukemazha
阿赫拉尔和卓墓	ahelaerhezhuomu
阿拉法特	alafate
阿里阿尔斯兰汗麻札	aliaersilanhanmazha
阿默达巴德大清真寺	amodabadedaqingzhensi
阿慕尔本阿斯清真寺	amuerbenasiqingzhensi
阿帕克和卓麻札	apakehezhuomazha
阿塔拉德维清真寺	ataladeweiqingzhensi
艾力排塔胡加木寺	ailipaitahujiamusi
爱资哈尔清真寺	aizihaerqingzhensi
安庆忠孝街清真寺	anqingzhongxiaojieqingzhensi
巴德夏希清真大寺	badexiaxiqingzhendasi
邦克楼	bangkelou
贝比贾温蒂陵墓	beibijiawendilingmu
壁龛	bikan
布哈拉清真大寺	buhalaqingzhendasi
布兰德瓦札大清真寺	bulandewazhadaqingzhensi
沧州清真北大寺	cangzhouqingzhenbeidasi
沈丘槐店清真寺	chenqiuhuaidianqingzhensi
成都鼓楼街清真寺	chengduguloujieqingzhensi
成都皇城清真寺	chengduhuangchengqingzhensi
大理老南门清真寺	dalilaonanmenqingzhensi
大马士革清真寺	damashigeqingzhensi
达塔甘吉巴赫什陵墓	dataganjibaheshenlingmu
大学习巷清真寺	daxuexixiangqingzhensi
德州北营清真寺	dezhoubeiyingqingzhensi
东四清真寺	dongsiqingzhensi
凤凰寺	fenghuangsi
拱北	gongbei
固原二十里铺拱北	guyuanershilipugongbei
桂林崇善街清真寺	guilinchongshanjieqingzhensi
桂林西门外清真寺	guilinximenwaiqingzhensi
哈密艾提卡尔大寺	hamiaitikaerdasi
哈密回城主麻大寺	hamihuichengzhumadasi
哈密回族陕西寺	hamihuizushanxisi
赫拉特加米清真寺	helatejiamiqingzhensi
和田艾提卡尔大寺	hetianaitikaerdasi
和田加曼清真寺	hetianjiamanqingzhensi
和卓木米得清真寺	hezhuomumideqingzhensi
黑城礼拜寺遗址	heichenglibaisiyizhi
黑石	heishi
呼和浩特清真大寺	huhehaoteqingzhendasi
徽县东关清真寺	huixiandongguanqingzhensi
吉隆坡国家清真寺	jilongpoguojiaqingzhensi
济南清真北大寺	jinanqingzhenbeidasi
济南清真南大寺	jinanqingzhennandasi
济宁清真东大寺	jiningqingzhendongdasi
济宁清真西大寺	jiningqingzhenxidasi
加米	jiami
教坊	jiaofang
禁地	jindi
净觉寺	jingjuesi
卡拉维因清真大寺	kalaweiyinqingzhendasi
喀什艾提卡尔清真寺	kashiaitikaerqingzhensi
开封清真东大寺	kaifengqingzhendongdasi
开封文化街清真寺	kaifengwenhuajieqingzhensi
开衣斯安沙里麻札	kaiyisianshalimazha
科尔多瓦清真大寺	keerduowaqingzhendasi
可合他良柒清真寺	kehetaliangqiqingzhensi
库姆	kumu
库瓦特乌尔伊斯兰清真寺	kuwatewueryisilanqingzhensi
昆明南城清真寺	kunmingnanchengqingzhensi
拉萨河坝林清真寺	lasahebalinqingzhensi
蓝色清真寺	lanseqingzhensi
兰州桥门街清真寺	lanzhouqiaomenjieqingzhensi
兰州西关清真寺	lanzhouxiguanqingzhensi
礼拜寺	libaisi
临桂六塘清真寺	linguiliutangqingzhensi
临夏八坊南关大寺	linxiabafangnanguandasi
柳州城内清真寺	liuzhouchengneiqingzhensi
玛哈巴特汗清真寺	mahabatehanqingzhensi
